C57-A_2	C57-B_3	C57-C_3	C57-E_2	C57-F_2	C57-G_2	C57-H_2
1877	3449	2888	1646	1634	1852	1910
4583	6415	5213	3286	2776	2975	3276
5299	6307	5022	3074	2573	2559	2977
2329	2284	1670	1355	1046	1003	916
2010	1324	862	1199	921	579	521
2332	1530	966	1360	1115	622	634
2155	1345	885	1172	1098	567	706
1057	889	574	536	713	296	453
