C99L1_3	C99M1a_3	C99M1b_1	C99M1c_2	C99M1d_1	C99M2a_1	C99M2b_1	C99M2c_1	C99N1_1	C99N2_2	C99P1a_3	C99P1b_3	C99P1c_2	C99P1d_3	C99P1e_1	C99P1f_3	C99P1g_3	C99P1h_2
319	1427	1561	1326	1785	982	929	1085	818	526	507	958	899	1351	963	795	884	172
648	3685	4170	3610	4579	2276	1969	2670	1709	993	1169	1766	2103	2855	2147	1514	1662	338
1630	5561	6635	6195	7844	4141	3964	4925	3885	2604	2935	4470	4787	5972	4831	3380	3919	904
2599	5692	7927	7197	9524	5340	5517	6615	6073	4181	4546	7026	7173	8706	7406	5022	6429	1440
3076	4244	6615	6315	8425	5132	5564	6592	7121	5076	5308	7849	8041	9372	8756	5578	7692	1735
2578	1941	3706	3522	4914	3318	3880	4332	6496	4428	4608	6604	6502	7454	7553	4639	6649	1530
1436	767	1033	915	1390	1095	1381	1494	4115	2625	2588	3610	3642	4024	4405	2651	3861	878
463	212	310	286	388	332	461	471	1352	731	838	1087	1296	1727	1537	1097	1305	253
