	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.0203828702212877	0.0389091267423751	0.0745239806521319	0.0174646942516525	0.0129256507016877	0.0289808359899047	0.0266948924222275	0.0303236559427741	0.0525511043210708	0.0591533700236838	0.00394169728272068	0.0235899104976994	0.0354606694905666	0.056220556190547	0.0129415208538491	0.00901343750790016	0.0101871002611405	0.0387793758274994	0.0388424141161058	0.017841260800205	0.0442433583372927	0.0104645857866127	0.0243575408700183	0.00686479923646025	0.0504963264704212	0.0532301029126846	0.0280785133855713	0.0431871116709792	0.0426144464761356	0.0539748659409837	0.0141667957931414	0.0514357907789806	0.0399902722985575	0.0153531098727849	0.0220922746469399	0.0261500164210354	0.0313469072657891	0.0343365141474252	0.0507737896464909	0.0236250629377138	0.0576226686179152	0.046790855643204	0.0262952561723858	0.0593158099421955	0.0258381593094065	0.0328662596742615	0.0143468484540398	0.0391293272567167	0.0173394030529585	0.0306658194129793	0.0429007092697413	0.00936784812538361	0.0246175074058358	0.0362929913975336	0.0681516379375995
OM5_B_B_2	0.0203828702212877	0	0.0212438171990403	0.0570089328775595	0.00522421898603867	0.0189493744393476	0.0130218191148726	0.0102571941857942	0.013251103716601	0.0377769636628754	0.0407726532393441	0.0195526165066292	0.00539296293309745	0.0196346149010726	0.0377922271175623	0.0275667834075085	0.0221152920008316	0.0267572171126042	0.0208722758842157	0.0203129283248472	0.0120646209701587	0.0268435911681896	0.0134938575263545	0.00789918158952367	0.0145002449205435	0.0323401875285522	0.036283327806735	0.0118913490239674	0.0263115047948252	0.0258022885489295	0.0365425685624461	0.00879019728442157	0.0334305628853405	0.0258766370528832	0.0322957305610534	0.00705695155938941	0.010542591030431	0.0130097243339713	0.0151843341539195	0.0329737644056831	0.0369682659443393	0.0396418447231161	0.0278963417439221	0.00921240493440226	0.0421863334473565	0.00642794633923534	0.0152076593063779	0.00783257354593875	0.0224883594549432	0.0319405094777482	0.0125020254538818	0.024544597514396	0.014493626920106	0.00875571947046644	0.0170082322710435	0.0495797295356455
OM5_B_B_3	0.0389091267423751	0.0212438171990403	0	0.0361667205752927	0.0221118361351263	0.0379396476204855	0.0132841928412154	0.0123993370875296	0.00861361547853975	0.0186177327776974	0.0208474316634469	0.0381676173224318	0.0162476176307016	0.0108145235600646	0.017374302101937	0.0469710095712782	0.0424266428763284	0.0468819530364324	0.000836429269814068	0.00680164932359588	0.0299061759286312	0.00707901487779623	0.0344811688922157	0.0148480300863263	0.0338174839182768	0.0123704388926407	0.0173340301139395	0.0115216322135471	0.0119283904858798	0.00498365996297735	0.0164436313710606	0.0266762234603584	0.0126526015536704	0.0129324684042954	0.0526923771466905	0.0190794843879575	0.013618030685262	0.00854589610591549	0.00706307891598597	0.0119519922253557	0.0568812689200111	0.0194140868121561	0.00885346716021763	0.0128517802594263	0.0216424945064991	0.0148810305041261	0.0121496856809999	0.0257973394234407	0.00782084119542112	0.0514573024637279	0.00883134520440303	0.00583719121994054	0.0311672905614935	0.0151458087606084	0.00748933672257385	0.0299297524249891
OM5_C_4A_3	0.0745239806521319	0.0570089328775595	0.0361667205752927	0	0.0582174424681254	0.0739125797682472	0.0485181011432096	0.0481315279544951	0.0446154863136784	0.024432235321511	0.0169427285422408	0.0740502711776801	0.0522950921913304	0.0405974584781389	0.0197474847050889	0.0830075713372361	0.0785106176226741	0.0828963459340483	0.0363772849180109	0.0388619241766463	0.0656152754947063	0.03056174458653	0.0703407050442196	0.0509709940837946	0.069845612348455	0.0248338054694694	0.0229816912428011	0.0467183742366239	0.0337514649360619	0.0325079252466821	0.0210967043920554	0.0627898567352788	0.0236730082216041	0.0366976745417115	0.0886341467348951	0.0550903866566925	0.0487167040508479	0.0441118772073927	0.0421413626917429	0.0243502406412192	0.0928335851509496	0.0176736019718366	0.0295037664556171	0.0489708164207423	0.015579566335124	0.0505950637642934	0.0441251324378907	0.0619120149828569	0.0361944318943511	0.0874698165656199	0.0447033489412111	0.0338745681616741	0.0669525770644978	0.0504240136235679	0.0404019749860215	0.0108791296183985
OM5_C_4D_1	0.0174646942516525	0.00522421898603867	0.0221118361351263	0.0582174424681254	0	0.0168011333294423	0.0122279700763588	0.0104370935659955	0.0136361838835978	0.0380137407401651	0.0425485364280213	0.0163814601573567	0.00635575348925321	0.0209446148072126	0.0393038698827766	0.0251550196969978	0.0203666427660764	0.0247878860003484	0.0219265222524657	0.0214674753331165	0.0109478390590665	0.0280388665321527	0.0130597550926448	0.00727817193572467	0.0117566688368629	0.0339502029842519	0.0377148396566774	0.0123392142536017	0.0281384830985497	0.0261366395876478	0.0379007023320161	0.00508123307401682	0.0347156648569664	0.0263187144603393	0.0306404078841966	0.00540217700758104	0.0108612865393953	0.0145530404172046	0.0170386048308525	0.0340501171854338	0.0353412816174649	0.0411975463068701	0.0297963525627087	0.00926562513625032	0.0433348675010365	0.00890846087513614	0.01777321865444	0.00388084558629941	0.0237232616293528	0.0297301239238985	0.0137518276083811	0.0256606495416183	0.0101565800955779	0.0092984604326866	0.019496318258944	0.0515489882007523
OM5_C_4D_2	0.0129256507016877	0.0189493744393476	0.0379396476204855	0.0739125797682472	0.0168011333294423	0	0.0256697945991577	0.0271363967089377	0.029929829088342	0.0544503404767377	0.0583546702082893	0.00933997279406266	0.0224737891204985	0.0376865529687664	0.0546786791048003	0.0100360181014623	0.00810839891966668	0.0125465557115885	0.0377829632682308	0.0356184135973943	0.0091224146336167	0.044357264962999	0.0105716909245095	0.0235234456585566	0.00879061520523023	0.0499439382606293	0.0542625874016406	0.0291137589665484	0.0447773980910748	0.0416924132630863	0.0541619467382166	0.0118494683167334	0.0504002591585288	0.043043683446809	0.0181563041877065	0.0188786216211006	0.0276495885444042	0.0308023705867458	0.0323706814980098	0.0496135846483378	0.019035278974762	0.0571753335256104	0.0453320709983498	0.0255143137118784	0.0595102786340951	0.0246152365776771	0.0340017350380009	0.013082998222343	0.0404294236142854	0.0138985466796925	0.0299590893178316	0.0403882818534343	0.0111343801940542	0.0260217272800032	0.0352261513271226	0.0672413477966966
OM5_C_4D_3	0.0289808359899047	0.0130218191148726	0.0132841928412154	0.0485181011432096	0.0122279700763588	0.0256697945991577	0	0.00910169886093337	0.008033715953661	0.0307613407814744	0.0336262806440116	0.0273018165901246	0.00856553202027219	0.018253089520564	0.0295142436652082	0.035016899190467	0.0312784970846181	0.0359002937331801	0.0133223444093868	0.0107258727523757	0.017673933561006	0.0202939692976508	0.0246382373966069	0.00692246391549005	0.023152489830943	0.0254389201582842	0.0305660834026801	0.0107833732069968	0.0233937366790618	0.0164239449547338	0.0296622576908592	0.015408118081238	0.0252800662129266	0.02250046307381	0.0419130448524133	0.00745876919435787	0.0115049632125828	0.00981399654361953	0.00955069162987923	0.0243045038165021	0.0446569522733811	0.0323819164282526	0.0210167616677348	0.00667188698682278	0.0346342074376991	0.0093267682882481	0.0164065373480413	0.0150010539440426	0.0185128321698712	0.0393192670370539	0.008708007137754	0.0151245731641186	0.0202353192093961	0.0116654264512831	0.0137357792883152	0.042549246290418
OM5_C_4E_1	0.0266948924222275	0.0102571941857942	0.0123993370875296	0.0481315279544951	0.0104370935659955	0.0271363967089377	0.00910169886093337	0	0.00392707365110454	0.027800406634147	0.0325232035649463	0.0262449968135205	0.00534922138247918	0.0110981938148905	0.0295862961166796	0.0355267234328727	0.0306272255976712	0.0348832226869098	0.0121971338029111	0.0139743220964267	0.020165951884274	0.0177396162325966	0.022633560045757	0.00406312376118694	0.0218578291154463	0.0238593273042172	0.0273086871398877	0.0021971406747714	0.0180165107919931	0.0165831518685442	0.0275888420661579	0.0153917913037378	0.0248127245255341	0.0163986535796657	0.0405998096026598	0.00956830117865599	0.00243684569608488	0.00508985320431106	0.00879539692401027	0.0242478515224603	0.0457615713325646	0.0310465452401014	0.0202088595020597	0.0027641788871782	0.0330408703591843	0.00532562067857498	0.00920206498390751	0.0142613580934857	0.013350257250262	0.0401341759214582	0.00441230225112247	0.0170045833021219	0.0196131551003458	0.00323236221547029	0.0105593097191412	0.0415619268553871
OM5_C_4E_2	0.0303236559427741	0.013251103716601	0.00861361547853975	0.0446154863136784	0.0136361838835978	0.029929829088342	0.008033715953661	0.00392707365110454	0	0.0250510722224297	0.0291176198833221	0.0296511672416377	0.00802794677853719	0.0102370919631035	0.0259235369590488	0.0386662922793991	0.0339875063297682	0.0383574703370409	0.00846101477933388	0.0103713246723253	0.0224154476137795	0.0145023609073312	0.0261059567100049	0.00644175480781223	0.0252830856197832	0.0204818716822117	0.0244536678656597	0.00394241755406899	0.016025320041384	0.012815084054235	0.0243591086894872	0.0183677210605734	0.0211869716328912	0.0149885497660458	0.0441501959089794	0.0114014764033373	0.00575191904124959	0.003115411471271	0.0058577547416933	0.0205423388706556	0.048774206871236	0.027662723278758	0.0167235705233786	0.00444561577622387	0.0297337185012759	0.0073245305950258	0.00920373913940672	0.0173858186940631	0.0110997837788718	0.0432203808873858	0.00225521352884161	0.0131321027181656	0.0227850491344537	0.00700785620412759	0.00817744990174507	0.038189934981804
OM5_C_4E_3	0.0525511043210708	0.0377769636628754	0.0186177327776974	0.024432235321511	0.0380137407401651	0.0544503404767377	0.0307613407814744	0.027800406634147	0.0250510722224297	0	0.0154149629294213	0.052639515731147	0.0328893427918852	0.0196282709921073	0.0157066350506386	0.0625039444568857	0.0579406608522356	0.0617861712449311	0.0189798459005501	0.0244596718220703	0.0473384889033434	0.0128256739203151	0.0501125680956505	0.0312121816181684	0.0489057136309022	0.0128059079846032	0.00877682237054875	0.026069691511724	0.0150766745784423	0.0154797735971091	0.00958645763532598	0.0427180035793155	0.0130210936616381	0.0137859692942553	0.0673794805623266	0.0361942684471025	0.0278020107280473	0.0252492168721318	0.0252698050426454	0.0131170821519747	0.0731335890985852	0.0129376413823867	0.0172218624836216	0.0293833206531906	0.0105401719524459	0.0317474306711654	0.0249583736828981	0.0416477407216341	0.0159867373756044	0.0671804641737965	0.0257605474451102	0.0203561729365381	0.0457504085068674	0.0296844515677331	0.0236173027357361	0.0219678203777414
