	OM5_B_B_1	OM5_B_B_2	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_H_2H_2	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_3
OM5_B_B_1	0	0.0268054899801035	0.00912264393185033	0.00259328431561176	0.000155963050456734	0.00557119495013957	0.0036142469759797	0.0144448091688977	0.0107459490400156	0.0123113074675869	0.0092614363780683	0.00382179456927097	0.0047133612957895	0.00386909216943965	0.000848584361158926	0.00168679300033657	0.00535689716794632	0.0085370655531898	0.00846519800286663	0.00738484303958487	0.00297568495234926	0.00766715972634309	0.00909664184558951	0.00486897267732059	0.000534507064414718	0.00543523397270619	0.00917337579768376	0.00825786694202431	0.0148464534711879	0.0102639392732969	0.00891441693342094	0.0813428484172962	0.0343532770852294	0.0289259329930048	0.0380931336629897	0.0115965963254688	0.00903540065128745	0.126871112234034	0.133488174328453	0.0014165969366404	0.000961249260126455	0.00435315593867786	0.00703313898187873	0.00532535162746208	0.0101970723375805	0.00772390575952733	0.00512301309767283	0.00679001852433233	0.000859736269358234	0.0026212436098483	0.0126879680461783	0.000133535213178269	0.0150878286219189	0.00382510921434931	0.00290355420870946	0.00581057882143416	0.00528697612528201
OM5_B_B_2	0.0268054899801035	0	0.0176844061376295	0.0242128146468234	0.0269614121962983	0.0212354408957529	0.0231920555814138	0.012362403670354	0.0160612087715452	0.0391120942739855	0.0360636689070094	0.0306261459768012	0.0315174056193469	0.022937258027684	0.0259571194190148	0.0284918159466144	0.0214497058259959	0.0353396141743408	0.0183417938847188	0.0194220350005159	0.0238304926557941	0.0344700741418398	0.0177104060821754	0.0219375521751296	0.0262711192330549	0.0322390181349255	0.0359756473116248	0.0185491048562215	0.0119607494469286	0.0165431918785727	0.0357168021947977	0.0545792104011365	0.00755026952620291	0.00212103143579706	0.01129175464775	0.0383977386043703	0.035837732936976	0.10018431426681	0.106815707328964	0.0253892420544179	0.0277664799556857	0.0311573262214233	0.0197736970980848	0.0321291760569862	0.0369988811046926	0.0190830104542402	0.0319269110501211	0.0335932865427701	0.0259459702264656	0.0294259837053584	0.0141192516176675	0.0266719893486774	0.0117193668385493	0.0229812328514294	0.0297082054632565	0.0326142236307135	0.0320908145614837
OM5_C_4A_1	0.00912264393185033	0.0176844061376295	0	0.00652941597835408	0.00927860215852155	0.00355151474538756	0.00550846319139905	0.0053224196832096	0.00162336294388174	0.0214330663145404	0.0183835101422531	0.0129442732993488	0.0138357873547184	0.00525361937937582	0.00827408296205609	0.0108093761103787	0.00376581382054748	0.0176592048114837	0.000657464401368096	0.00173784351010225	0.00614701985348998	0.0167893729309717	2.60028735247474e-05	0.00425374011693457	0.00858815216289535	0.0145576134575473	0.0182954577141855	0.000864800694740285	0.00572409074393804	0.0011413341889415	0.0180365225180915	0.0722391531261239	0.0252334767566811	0.0198051727046379	0.0289741046883647	0.0207184346583918	0.0181574952350544	0.117796113939584	0.124418414224539	0.00770608335301029	0.0100838608698442	0.0134756039226149	0.0020895537608636	0.0144477384287019	0.0193190562280903	0.00139877404406664	0.0142454131581764	0.0159123010971157	0.00826293132927591	0.0117437848066369	0.00356547395989241	0.00898911271883336	0.00596548248442798	0.00529760212691779	0.0120260815885451	0.0149329326991891	0.0144093654625226
OM5_C_4A_2	0.00259328431561176	0.0242128146468234	0.00652941597835408	0	0.00274924695816905	0.00297792636088561	0.00102096616158966	0.0118516864191556	0.0081527475552057	0.0149044162032517	0.0118546158116907	0.00641505553197937	0.00730661279242581	0.00127581253696535	0.0017447013612113	0.00428007044684786	0.00276362688711095	0.0111302591328895	0.00587196073672128	0.0047915922351889	0.000382401716790866	0.0102603689558334	0.00650341350836382	0.00227569886857859	0.00205877829695245	0.0080284766880843	0.0117665570051386	0.00566462690753167	0.0122533408082096	0.00767072941326409	0.0115076032703581	0.0787554487304781	0.0317610130892835	0.0263333627011451	0.0355011119307045	0.0141897232462392	0.0116285846078897	0.124292138507609	0.130910727620996	0.00117668896233835	0.00355453032605087	0.00694641144318264	0.00443988424411737	0.00791859574405179	0.0127902319983621	0.00513065896759587	0.00771625973382521	0.00938324205696669	0.00173354946247692	0.00521451491416997	0.0100948047120638	0.00245974941432861	0.0124947221653359	0.00123182936910662	0.00549682332918372	0.00840381657553329	0.00788022072577167
OM5_C_4A_3	0.000155963050456734	0.0269614121962983	0.00927860215852155	0.00274924695816905	0	0.00572715617882165	0.00377020924751063	0.0146007602324109	0.010901905419767	0.0121553530423335	0.00910547818004446	0.00366583232283997	0.00455739947847982	0.00402505432981998	0.00100454736264975	0.00153083009808661	0.00551285853205874	0.00838110661821164	0.0086211568929181	0.00754080291361769	0.0031316474698685	0.00751119998686088	0.00925260009942265	0.0050249343302677	0.000690470093445368	0.00527927257009647	0.00901741750681188	0.00841382603115784	0.0150024038649854	0.010419896232473	0.00875845837473476	0.0814984449005118	0.0345091733817457	0.0290818485597419	0.0382490148051361	0.011440640918798	0.00887944221674838	0.127026195164417	0.133643164459813	0.00157255985944036	0.000805286254243492	0.00419719393697244	0.00718909914775793	0.00516939015784074	0.0100411151817357	0.00787986533895963	0.00496705150833118	0.0066340580624693	0.00101569926953094	0.00246528093012043	0.0128439218264103	0.000289498261407555	0.0152437786045605	0.00398107139445133	0.00274759161598863	0.00565461765818552	0.00513101463260289
OM5_C_4D_1	0.00557119495013957	0.0212354408957529	0.00355151474538756	0.00297792636088561	0.00572715617882165	0	0.00195696237009697	0.00887387373126769	0.00517486687490548	0.0178820505905829	0.014832349861141	0.00939291617594403	0.0102844571609028	0.00170211618311567	0.00472261875715835	0.00725796296485944	0.000214300116837873	0.0141080138163796	0.00289405279612951	0.0018136752991719	0.00259552572281465	0.0132381468825755	0.00352551199237786	0.000702229227572898	0.00503669337373605	0.011006306596541	0.0147442936251643	0.00268671704513686	0.00927553726907773	0.00469284203775467	0.014485347349993	0.0757838067994195	0.0287840660821919	0.0233560967507839	0.0325244205604423	0.0171673828453968	0.0146063252209568	0.121329909195549	0.127950214598218	0.0041546100057169	0.00653243139987644	0.00992426259779112	0.0014619649239829	0.0108964279276768	0.0157679376727362	0.00215274458316515	0.0106940960373837	0.0123610417248928	0.00471146693679231	0.00819239471284481	0.00711695606843497	0.00543766121718289	0.00951692429040433	0.00174609932854378	0.00847469890832625	0.0113816385114301	0.0108580536977277
OM5_C_4D_2	0.0036142469759797	0.0231920555814138	0.00550846319139905	0.00102096616158966	0.00377020924751063	0.00195696237009697	0	0.0108307678680832	0.00713180299778911	0.0159252931233903	0.012875524679591	0.007436003838937	0.00832755616914083	0.000254846496294058	0.00276566572110468	0.00530102812559944	0.00174266251966373	0.0121511745474367	0.00485100517086267	0.00377063279777344	0.000638564535978107	0.011281291705522	0.00548246060542071	0.00125473377090986	0.00307974209073969	0.00904941563328577	0.0127874666902072	0.00464367053163714	0.0112324256863762	0.00664978220913096	0.0125285153242921	0.0777366940389423	0.0307404058145461	0.0253126421362517	0.0344805950126588	0.0152106082897789	0.0126494955614499	0.123276642545019	0.129895824559605	0.00219765415871003	0.00457549040929048	0.00796735688398731	0.00341892373294292	0.00893953538920443	0.013811131819445	0.00410970065215295	0.00873720064404478	0.010404171621486	0.00275451384114546	0.00623546891326074	0.00907387255358015	0.00348071237795823	0.0114738091613078	0.00021086330417351	0.00651777608737898	0.00942475306087656	0.00890116061324718
OM5_C_4E_1	0.0144448091688977	0.012362403670354	0.0053224196832096	0.0118516864191556	0.0146007602324109	0.00887387373126769	0.0108307678680832	0	0.00369906827752763	0.0267543721335734	0.0237050846107913	0.0182662356023649	0.019157694077863	0.0105759319701157	0.0135962855098066	0.0161314588297897	0.00908816758327652	0.0229808376669742	0.00597987652251014	0.00706023958230232	0.0114693035919184	0.0221110731615392	0.00534842228688817	0.00957608132340176	0.0139103412287529	0.0198794728898821	0.0236170393916265	0.00618721008542747	0.000401675470611902	0.00418109466548706	0.0233581252167988	0.0669257907751632	0.0199120130787225	0.014483299965014	0.0236529870991915	0.0260398067469823	0.023479088145815	0.112498277835107	0.11912346191886	0.0130283093060983	0.0154059804460317	0.018797533476853	0.00741194363557951	0.0197696051918743	0.0246405522054802	0.00672117563842387	0.0195672932961019	0.0212340662367155	0.0135851343486533	0.0170658170209268	0.00175695774973198	0.0143112840134957	0.000643070158333191	0.0106199133697989	0.0173480978715594	0.0202547667317876	0.0197312347747257
OM5_C_4E_2	0.0107459490400156	0.0160612087715452	0.00162336294388174	0.0081527475552057	0.010901905419767	0.00517486687490548	0.00713180299778911	0.00369906827752763	0	0.023056135941174	0.0200066551134006	0.0145675247891966	0.0154590238227928	0.00687696104729704	0.00989739761168035	0.0124326597041975	0.00538916482147754	0.0192823660239354	0.00228082646402169	0.00336120301978266	0.00777035465748007	0.0184125528110121	0.00164936578980477	0.00587708834571261	0.0102114633809549	0.0161808370644254	0.019918604693602	0.00248816237413679	0.00410074155405044	0.000482029077965857	0.0196596753489182	0.070618708168167	0.0236104600603783	0.0181820194977208	0.0273512016363011	0.0223415229525244	0.0197806453422235	0.116180499394281	0.122803692696605	0.00932940391065305	0.0117071541335694	0.0150988465744269	0.00371291214265361	0.0160709640336643	0.0209421792827151	0.00302213450302749	0.0158686424044795	0.0175354988766006	0.00988624609858499	0.0133670550199928	0.00194211507735714	0.0106124193852969	0.00434213471670176	0.00692094347905049	0.0136493475541671	0.0165561493715104	0.0160325917618736
OM5_C_4E_3	0.0123113074675869	0.0391120942739855	0.0214330663145404	0.0149044162032517	0.0121553530423335	0.0178820505905829	0.0159252931233903	0.0267543721335734	0.023056135941174	0	0.00305000026396651	0.00848966081352815	0.00759810951822852	0.0161801154539983	0.0131598410512352	0.0106245960710891	0.0176677753442075	0.00377438920435581	0.0207757090820134	0.0196954914988118	0.0152867858238516	0.00464431042994428	0.0214070678093878	0.0171799006293092	0.012845783306093	0.00687624403242114	0.00313806330367981	0.0205684051932334	0.0271559413962253	0.022574198542781	0.00339702898772074	0.0936207751337163	0.0466574203384867	0.0412318957029949	0.0503958754451527	0.000714749097038554	0.00327604216029136	0.139106117466741	0.145715517681606	0.0137278160071594	0.0113501078663516	0.00795830951184819	0.0193438299163417	0.00698612558951624	0.00211433377643818	0.0200345122243827	0.00718846237996004	0.00552146014545067	0.0131709922487734	0.00969017957603873	0.0249978424764015	0.0124448351217475	0.0273972707651106	0.0161361364863962	0.0094078777255183	0.00650090104557747	0.0070245007904684
