	OM5_B_B	OM5_C_4A	OM5_C_4D	OM5_C_4E	OM5_C_4F	OM5_C_4H	OM5_C_5A	OM5_C_5B	OM5_C_5D	OM5_C_5E	OM5_C_5F	OM5_C_5G	OM5_C_5H	OM5_C_6A	OM5_C_6B	OM5_C_6D	OM5_C_6F	OM5_H_2H	OM5_H_6A	OM5_H_6B	OM5_H_6C	OM5_H_6F	OM5_H_6G	OM5_H_6H
OM5_B_B	0	0.0164145910290413	0.019418080266726	0.0141711918708866	0.0955329117591656	0.019278206739432	0.0260387391853496	0.0223661148166939	0.0118221403316498	0.0517718910975257	0.0213807589279465	0.0214110054980648	0.0220892289847071	0.0201879360446565	0.019100529794233	0.0177215603807624	0.0404909422595011	0.0177703478990647	0.0107401465306084	0.0199290539441633	0.0238705423083662	0.0173800696591939	0.0162907898092538	0.0241167099446523
OM5_C_4A	0.0164145910290413	0	0.0148307435789441	0.00291349858777666	0.0955045249249418	0.0116211261795404	0.0146225928876471	0.0239146313745212	0.00478026170605046	0.0513258510260441	0.00609096669256729	0.00525547152948286	0.0146613051479479	0.00433869640701092	0.00341549551423977	0.00607569873736129	0.0445048794535549	0.010085350288991	0.015511527627246	0.0103323275726397	0.0114732709905227	0.00578756975002069	0.00290491979381955	0.0151216718433339
OM5_C_4D	0.019418080266726	0.0148307435789441	0	0.0150937490492471	0.0809638874482029	0.00421626947142642	0.0101271162098107	0.0102893010509618	0.0133639713278364	0.0368095102629091	0.0141758278639019	0.0167752492065739	0.0045621952661347	0.0143614408870423	0.013644100130727	0.0091770230830561	0.056886328880087	0.004858943437318	0.025710985428357	0.00614430272869091	0.011679744100082	0.00928919324575275	0.0129999675191924	0.00640066136860484
OM5_C_4E	0.0141711918708866	0.00291349858777666	0.0150937490492471	0	0.0959914660575505	0.0120586767438635	0.0158849986862517	0.0237648134657286	0.00326710826917954	0.0518462392118811	0.0078613218415163	0.00728758534476825	0.015161650598224	0.00650267556787759	0.00604702187019764	0.00741999788856026	0.0430279808045707	0.0105387653774171	0.0134826168158762	0.0116128124504803	0.0124747316266206	0.00689704031146828	0.00321793422088512	0.0160422150759036
OM5_C_4F	0.0955329117591656	0.0955045249249418	0.0809638874482029	0.0959914660575505	0	0.0842395865233814	0.0838802505019342	0.0738309471144367	0.094115601373697	0.0446957584206629	0.0932250005973968	0.0961844038044106	0.0815736425387304	0.0940101308131509	0.0935566449957239	0.0895072030940757	0.13572065782297	0.0855853846660183	0.104981230045381	0.0853957334782654	0.0881063387097859	0.0897872159463844	0.0936924680028874	0.0814355996983597
OM5_C_4H	0.019278206739432	0.0116211261795404	0.00421626947142642	0.0120586767438635	0.0842395865233814	0	0.00731190274906463	0.0144705691338952	0.0110837520469615	0.0403487808819179	0.0101408275510347	0.0128927223461795	0.00333546244687085	0.0105424404901172	0.010204781095423	0.00603454283418553	0.0547090994070675	0.00203863201561469	0.0239903320487977	0.00405782194785182	0.00770599679624568	0.00596003845901593	0.00950695879866262	0.00486354677990815
OM5_C_5A	0.0260387391853496	0.0146225928876471	0.0101271162098107	0.0158849986862517	0.0838802505019342	0.00731190274906463	0	0.0195588989240605	0.0162107318207887	0.0410102208366833	0.00998752179363224	0.013041396743816	0.0060500930571827	0.0113628777007692	0.0119834825207168	0.00984467747915868	0.0586203613753223	0.00870462556719793	0.0291317688419157	0.00797126986317489	0.00469477144319365	0.00987497007869148	0.0126940251822115	0.00405820922640739
OM5_C_5B	0.0223661148166939	0.0239146313745212	0.0102893010509618	0.0237648134657286	0.0738309471144367	0.0144705691338952	0.0195588989240605	0	0.0212239695631152	0.0295720502573519	0.0243251189071333	0.0267146645457679	0.0139620344240518	0.0242828365816262	0.0232304561469541	0.0187731465953287	0.0624222535527861	0.0148038061099731	0.0313182393284225	0.0157434920384656	0.0218025027908267	0.0189549874041237	0.022403103481192	0.0155057905257564
OM5_C_5D	0.0118221403316498	0.00478026170605046	0.0133639713278364	0.00326710826917954	0.094115601373697	0.0110837520469615	0.0162107318207887	0.0212239695631152	0	0.0498125344251526	0.00978313503048298	0.00980440623911538	0.0143685620409481	0.00842297084513936	0.00730331445675332	0.00695680947345274	0.0438336563910256	0.00930471324969489	0.0131819637517316	0.0106189227365115	0.0135142169611704	0.00656501002041612	0.00482492548653336	0.0155572242001771
OM5_C_5E	0.0517718910975257	0.0513258510260441	0.0368095102629091	0.0518462392118811	0.0446957584206629	0.0403487808819179	0.0410102208366833	0.0295720502573519	0.0498125344251526	0	0.0496546023047391	0.0524929752834265	0.0380076485710742	0.050205054074944	0.0495193094498084	0.0453621874131262	0.091871436737181	0.0414948434468504	0.0608150080292945	0.0412537525113108	0.045165796650798	0.0456866737011304	0.0496928306034633	0.0380421005722767
