	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.00486590450069269	0.0125506814743782	0.00590222605858672	0.0139854346327126	0.0330255976787746	0.012458247503183	0.00723862352821787	0.0152557307109745	0.00489458169830172	0.0234193225556436	0.0210045215344335	0.00573802321342195	0.0163270158451786	0.0287248494324753	0.0212939241503851	0.0234671649917624	0.0220282507580952	0.0160776227995682	0.0138182244141984	0.0217766270754393	0.0233807243783605	0.00970054938195767	0.0190246939485207	0.00844588183574846	0.0227698678396105	0.0209517807421094	0.0181376384686625	0.00977322318514338	0.019169287056072	0.00667686931889849	0.014091851268686	0.0424209397328307	0.00687140963433929	0.0170700813490076	0.0238226621636183	0.0100393289040929	0.0294620130788089	0.0277775592503242	0.00872332505010175	0.046639135484318	0.0220927058846262	0.0106346922972912	0.0158709828684068	0.0103979902601698	0.00896659396837827	0.0247437197685173	0.0162543535711801	0.00680330722334143	0.0140219336354894	0.0252964587614095	0.0147038206336543	0.0274758786108354	0.00614408402147398	0.0227668401423923	0.0177835708836392	0.00675391149304631	0.0248316011420085	0.0266218398666944	0.0356782068170671	0.0116462468985048	0.0168764293795975	0.0211299790790788	0.00587922205522056	0.00742584620110193	0.0135726008869375	0.0153099483996279
OM5_B_B_2	0.00486590450069269	0	0.0130843644117876	0.00265910585711978	0.0156597175207218	0.0335888888164529	0.0130712965163335	0.00475352438071552	0.0109924687599689	0.00638211661608442	0.0240437221353645	0.0211995167704531	0.00337079133855234	0.0166300767002016	0.0281749975035784	0.0194300712599642	0.0243892729822494	0.0212624727059327	0.0166823350203161	0.0137467348795104	0.0209422167261468	0.0224073378277443	0.010629232879255	0.0183862354751331	0.00694048522975911	0.0221253716734416	0.0196320018648683	0.0190804138558689	0.00954143486620371	0.0167058017070729	0.00193420734908674	0.0137570545861522	0.0420946510002944	0.00704825682348737	0.0155248538934588	0.0228483052819211	0.0113868161580264	0.0296501535536765	0.0268638377048864	0.00863469709363801	0.0443931820549441	0.0221483040271125	0.0094405583917778	0.0113799658437778	0.00866359237390552	0.00937135085111613	0.0206685208114239	0.016390993235215	0.00682285636563341	0.0150496433670945	0.0255966316264088	0.0143858425406538	0.0280075126812348	0.00435033480457593	0.0220939356051153	0.0161816521279964	0.00587315569496504	0.0244497049332404	0.0258458831932935	0.0346057269442612	0.00826466137987745	0.0166994639345458	0.0199897454967243	0.00618207681051407	0.0063338134591092	0.0137619283433566	0.0151008618867737
OM5_B_B_3	0.0125506814743782	0.0130843644117876	0	0.0145763170259671	0.0111037529678311	0.0216085874039081	0.0101571295504017	0.01186005113878	0.0150648358345462	0.0118412664454488	0.0126783122563539	0.0110439455573104	0.012350321112202	0.00695472782019768	0.0170595318646874	0.0318732930951017	0.0139413319489446	0.0102112525321284	0.0281441951952975	0.00906348815375272	0.00994758790528697	0.0352855309113352	0.00573253567762134	0.00775947806768431	0.0143316605666378	0.0116538827805514	0.0106187310049012	0.0114388029017884	0.00553764635443044	0.0110539081410786	0.0144340284464372	0.00690884497562676	0.0302603414626438	0.0101310115501442	0.0083614500957397	0.0132168629940862	0.00973623169493772	0.018276520175464	0.0156603050046026	0.00939840056746532	0.0556033102417651	0.0101037771729185	0.0206627676989545	0.0212192617689807	0.00704981280818014	0.0175429996504599	0.0294122400789657	0.00383271982889321	0.016664497271424	0.00391276498760893	0.0132687601207649	0.00306740571224154	0.0155060280515925	0.0165218690991623	0.0122126481203127	0.00824136538284429	0.0178546434764918	0.0129203973971725	0.0153575172103455	0.0240856980796312	0.0128677170570431	0.00462395684804495	0.0099239352821947	0.0161713552374364	0.00792248727452345	0.00386685643272383	0.00324722833560032
OM5_C_4A_1	0.00590222605858672	0.00265910585711978	0.0145763170259671	0	0.0181168699125607	0.0355766309363023	0.0156433008577384	0.0073398744346622	0.0109195508598224	0.00874162168357578	0.0261307584551915	0.0234015410452517	0.00600738864812415	0.0188047801582876	0.0300264044445763	0.0193168707112902	0.0266301386054358	0.0228841310350971	0.0150335638291627	0.0162451580964271	0.022493164681607	0.0210667745691576	0.0112061396446556	0.0201955787360217	0.0094163270208924	0.0240518217008317	0.0214512032084283	0.0215160929688159	0.0117231390766577	0.0175368313683864	0.00272977117599923	0.0160431710122551	0.0438180858553528	0.00963512544283704	0.0174278242014895	0.024811598559005	0.0138774545327425	0.0317089244596099	0.0282055564074916	0.0112236485250717	0.0420812975066151	0.0239457793040434	0.0105210619214909	0.0100548979844319	0.0106920580666114	0.0113486032390672	0.0188576682617157	0.0179517232104178	0.00857195741739436	0.0169544963450332	0.0273926815610774	0.0159535242455271	0.0298009045082169	0.00545771346623421	0.0241349193128684	0.0178650749553645	0.00663902053545148	0.0262279215112704	0.0277412165987189	0.0363421301970603	0.0103657033979359	0.0182358477745435	0.0216171679745393	0.00786788612853386	0.00862643836629199	0.0157560958680693	0.0164921262933118
OM5_C_4A_2	0.0139854346327126	0.0156597175207218	0.0111037529678311	0.0181168699125607	0	0.0219925084604031	0.00373761113219947	0.0123153107911071	0.0215279502088337	0.0100955159522782	0.0127107300331525	0.0104805992863577	0.0129865139991292	0.00767818803597975	0.0198102017260903	0.0295245570786118	0.0113544761766982	0.0160917440427613	0.029172008159228	0.00556179493079388	0.0163899259207413	0.0351301068734299	0.0146176610767567	0.0129152901240284	0.0120006975381459	0.0146825368417973	0.0148939105504492	0.00524212129568566	0.00858230547606181	0.0196201687242151	0.0170319998011984	0.00749134153125291	0.0328364073762933	0.0087553276822396	0.0126261768949925	0.01566630195475	0.0042986371224899	0.0185688122350399	0.0221869523326438	0.00753962442353841	0.0598629265847454	0.0142416325290259	0.0180564778685221	0.0258288051706006	0.0112299234627554	0.0131849825173248	0.0353095322466068	0.0122110600322149	0.0142634767088184	0.00810252281480011	0.0165237463669297	0.0120163989422451	0.0182046338716358	0.0164374555103148	0.0140290949649083	0.0141367933274259	0.0171466565905201	0.0168669851655512	0.0180266117017167	0.0270698346334286	0.0138257609603152	0.0129390330638241	0.0158424716077254	0.0142636988279199	0.0105644601608988	0.00850032695867483	0.0131121483414807
OM5_C_4A_3	0.0330255976787746	0.0335888888164529	0.0216085874039081	0.0355766309363023	0.0219925084604031	0	0.0231840617907309	0.030483500744322	0.0330045334001193	0.0303809250251895	0.00972827669734746	0.0128615936789344	0.0316345087931153	0.0171177308479485	0.00871345269906007	0.0498298344693737	0.0106841629641518	0.0146311933358493	0.0490743384493278	0.0213827929572493	0.0153119735535657	0.0555422474613474	0.0269803254100737	0.01610823992394	0.0316162877681069	0.0128588774220785	0.0165601659430004	0.01707135813827	0.0240858296877972	0.024236989063735	0.0346911874536198	0.0202644896090502	0.0120614700587232	0.0281488824628898	0.0198900389883162	0.0133642872674551	0.0249434411851364	0.00468713461980489	0.0139651717864887	0.0263961242029325	0.076455712674824	0.0120093895533079	0.0386889262699282	0.0406535147315675	0.0254467132255719	0.0344769395791439	0.0483567357369556	0.0182160194651511	0.0350389337682678	0.0190755815737567	0.00870611898956377	0.0200930289148853	0.00658050798620798	0.0361236329277343	0.0130234477432099	0.019754121946485	0.0373383564048483	0.0107755217258742	0.0108173855003899	0.0119058625546432	0.0294961193778388	0.018080681350776	0.0162949904377861	0.034928333561643	0.0273286756034528	0.0198560977014197	0.0200406552109721
OM5_C_4D_1	0.012458247503183	0.0130712965163335	0.0101571295504017	0.0156433008577384	0.00373761113219947	0.0231840617907309	0	0.00917458260220928	0.0182456152973003	0.0081836491458899	0.0136409316960893	0.0106498587989442	0.0101519599931702	0.00716011824230654	0.0195789307498341	0.0270929708108002	0.0128451340542929	0.0151078283294212	0.0276843449248347	0.00284626299241667	0.0153130643436317	0.0330657976121604	0.0135099190204522	0.0117315128568749	0.00903584704940763	0.0139136020095262	0.0132214000667994	0.0065878917810633	0.00610969456291576	0.0171450447242152	0.014201908147402	0.00531439940712845	0.0332307811987974	0.00612179088319255	0.010242544367017	0.014625753315531	0.00276881029978167	0.0192739703318531	0.0214152801612731	0.00446587852814208	0.0572070401457875	0.0141792489413407	0.0157155480409704	0.0225654045006427	0.00818899025132224	0.0113097406520471	0.0320600688734546	0.0114733025609744	0.0121528934198477	0.0080387232662064	0.0169878290392919	0.0106286755121337	0.0190399047597895	0.0139858379735479	0.0132272224388718	0.0119262595319183	0.0149099078771806	0.016543764286371	0.0174305333789569	0.0265816545730708	0.0101556452027728	0.0119768873914983	0.0144069600114969	0.0122173986177094	0.00774117015667318	0.00724904016687597	0.0119290215481777
OM5_C_4D_2	0.00723862352821787	0.00475352438071552	0.01186005113878	0.0073398744346622	0.0123153107911071	0.030483500744322	0.00917458260220928	0	0.0115128653842332	0.00486370986585241	0.0209123768882305	0.0177440177521533	0.00172988465236834	0.0134523077266522	0.0250828421560268	0.0202450708850663	0.0210095778805034	0.0187746773983023	0.020544046747073	0.00974052283579356	0.0185961161901074	0.0252988266422172	0.0116468510727245	0.0156521801913085	0.00339858106372818	0.0189820617090843	0.0165847856130591	0.0153958878671676	0.00687363819506517	0.0155490015487839	0.00525748041003486	0.0102345252683572	0.0391587529759073	0.00384053325705165	0.012406074527941	0.0194915863367747	0.00815480284737171	0.0263330430543829	0.0247355379222145	0.00484315680389421	0.0481343574703535	0.0195171034324182	0.00935873119103161	0.0137033881088189	0.00599612698759771	0.00773665534390396	0.0233434325941905	0.0145870313103104	0.00644211863121407	0.012859178636013	0.0229466637430645	0.0125836101319129	0.0253810954735424	0.0060851802129571	0.018685615180947	0.0135237709928236	0.00757599538530711	0.0216493341932987	0.022633174248142	0.0314893603540811	0.00454725932240181	0.0148257979095497	0.0174165348863781	0.00631002393582305	0.00393890064703735	0.0111881341869356	0.0136552341534339
OM5_C_4D_3	0.0152557307109745	0.0109924687599689	0.0150648358345462	0.0109195508598224	0.0215279502088337	0.0330045334001193	0.0182456152973003	0.0115128653842332	0	0.0157545606787781	0.0248049623340899	0.0219452435410913	0.0119831708015313	0.018442231517604	0.0255633293751545	0.0251342564795274	0.0261948259466219	0.0186124523157332	0.0246537981053488	0.017082332263069	0.0180663859473565	0.0284887850371937	0.0138909583431265	0.0170204759114801	0.0143907427360419	0.020324013938338	0.0167793885415218	0.0225620481728609	0.0132767102684478	0.0101007521856301	0.0100630111704236	0.0157261475989838	0.0386631262944789	0.0144776783068607	0.0136088672408899	0.0204717536682091	0.0180140957500285	0.0288582772906983	0.0225814397233656	0.014653187941321	0.0441887045860151	0.0213340546126863	0.017961664345089	0.00840391543960878	0.0103826996467596	0.0187012033364906	0.0154580509502447	0.016557090328608	0.0167412034970448	0.0179340412359134	0.0247657967685267	0.0143546110077348	0.0273610747915571	0.0142178186942367	0.0206022289767705	0.0133073904578167	0.0158089356253186	0.022396882762016	0.0232050664133083	0.0302778668571765	0.00973838313131712	0.0161142040591494	0.0168795141668614	0.0164493599713526	0.0115223177322243	0.0157565546657257	0.0147446807047763
OM5_C_4E_1	0.00489458169830172	0.00638211661608442	0.0118412664454488	0.00874162168357578	0.0100955159522782	0.0303809250251895	0.0081836491458899	0.00486370986585241	0.0157545606787781	0	0.0206592507576688	0.0179059967150594	0.00420808703487427	0.0134714755436221	0.0262163393624384	0.0211527013453806	0.02031519313395	0.0201941653308903	0.01951370651107	0.00993116592739467	0.0200976013803	0.025459632418301	0.0113392681612997	0.0169020015688142	0.00484159276874556	0.0202046061812754	0.0185696399331869	0.0144118371015906	0.00746683310159857	0.0186467570057922	0.00784128405320458	0.0109614018844665	0.0400892226498938	0.00281435611704861	0.0146599667974942	0.0210568571524844	0.00594743785311199	0.0265991762588526	0.0263435795743738	0.00470336779532116	0.049886094677277	0.0200129463042099	0.00948854589311102	0.0174034977610181	0.00851762022024398	0.00594225531446148	0.026908195803913	0.0150256943935091	0.00512768894140633	0.0121401298530386	0.0231852176282059	0.0134998464685013	0.0253757108710378	0.00655160663811415	0.0199021931598624	0.0158408732193348	0.00729841687539019	0.0226273784622431	0.0239965718304101	0.0331791276958809	0.00910639075541288	0.0156123239287072	0.0192329304772483	0.00473327525444512	0.0055528136209136	0.0114079049637846	0.0144805605811782
OM5_C_4E_2	0.0234193225556436	0.0240437221353645	0.0126783122563539	0.0261307584551915	0.0127107300331525	0.00972827669734746	0.0136409316960893	0.0209123768882305	0.0248049623340899	0.0206592507576688	0	0.00369878908576255	0.0220058196578343	0.00747780527991332	0.00829895749575845	0.0403705480027155	0.00305227027189528	0.00855259855775843	0.039485226897016	0.0118757295655812	0.00925519211630177	0.0458684234023281	0.0182895247566726	0.00808192542407729	0.0220350261613403	0.00636244680345652	0.0096728487421179	0.0080128165710681	0.0145105374011975	0.0174979714270033	0.0252094119508218	0.0107637519522954	0.020265157599354	0.0184406690154718	0.0116056710527978	0.00777026131087624	0.0152922208270687	0.00632118402630653	0.0122930067672189	0.0167174508062868	0.0675676308602706	0.00493375937810603	0.0290749439401454	0.0318740513788051	0.0161551157939808	0.0248796009435888	0.040188419389347	0.00979559041202465	0.0253438569730693	0.00967269557585822	0.00468966129747009	0.0114282185889666	0.00585787709009592	0.0264469624665082	0.00629012843046847	0.0119296232938073	0.0276358854873716	0.00635122637092126	0.00780659118908523	0.0156470340181343	0.0203723680074255	0.00990328494330716	0.00978199064658187	0.0252155372791759	0.0177692670471606	0.0103969225424374	0.0117447514658283
OM5_C_4E_3	0.0210045215344335	0.0211995167704531	0.0110439455573104	0.0234015410452517	0.0104805992863577	0.0128615936789344	0.0106498587989442	0.0177440177521533	0.0219452435410913	0.0179059967150594	0.00369878908576255	0	0.0189640688951175	0.00471566871155858	0.00934821520933327	0.0370117163044937	0.00450125271381277	0.00774098643884324	0.0369921076437423	0.0085686329266467	0.00840615146974968	0.0428780822936696	0.0167505989044604	0.00608346794949271	0.0187774796312871	0.00507433844052071	0.00739813533464255	0.00577680174595849	0.0117113505340455	0.0154681302445645	0.0222356715147451	0.0075374349830372	0.0226192799533019	0.0154976697416536	0.00857181874351915	0.00620006375415193	0.0126073223537521	0.00873828099909261	0.0128815852122648	0.0136604296859758	0.0647600866391412	0.00533738408233519	0.0258910435430785	0.0288221061431871	0.0131368679756053	0.0218653447411212	0.0373259139425979	0.0085460713382929	0.0223596088110193	0.00804547049323623	0.00707036369095739	0.00953483254356337	0.00898973183704422	0.0234497278038528	0.0044060092898845	0.00933659492279858	0.0246741039926987	0.00692213351906269	0.00775927637215996	0.0166519753321669	0.0169081155981717	0.00855783886555563	0.0082257078270706	0.0222973517188299	0.0148678646872685	0.00797793112753816	0.0102481814185547
