	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_B_B_1	0	0.0251546247120909	0.0134023187343173	0.00820214841021941	0.0130112398027959	0.0207665015598693	0.0272963073272244	0.00367654721670746	0.00496320194588735	0.0271643772422166	0.0132883923729652	0.01343617642814	0.0195219956198312	0.0111323598846444	0.0131149148937485	0.026267941253022	0.00986438966091294	0.00706242552918694	0.00805467602388157	0.0305964490387272	0.0226239285984199	0.0158184998645524	0.0177893914355225	0.0170022967407417	0.0168420359965272	0.0370161365221887	0.0364321492265915	0.00701513641611472	0.0213135880834107	0.0146147898887346	0.0113733688184234	0.0122286120183834	0.0220939836020861	0.0312099026117848	0.0180413443391592	0.00678637619513218	0.0324029661597617	0.0139946155109023	0.0286092480400008	0.00345314957528581	0.00869356661089313	0.0175505404995849	0.00917618982596513	0.0158658964301653	0.0254665933603922	0.0403216604710125	0.0297224271972888	0.00785230231632093	0.00657706172688968	0.0105296684401361	0.00998067052423202	0.0161395836513965	0.014532595400205	0.00426403548786377	0.0107463724527345	0.0280096021212533	0.0158871518459072	0.0154387547797162	0.0128214313942767	0.019469692313045	0.0167883631996621	0.02510750740917	0.0170062320187626	0.0172675304137159	0.00778217133067555	0.0175329325649066	0.0167638564448716	0.00724854056453557	0.0173370357458613
OM5_B_B_2	0.0251546247120909	0	0.0119633284917287	0.0182696136683144	0.0165361550147852	0.0112370250363702	0.0513014768339927	0.0273856459419644	0.0275045998327986	0.0511009116255554	0.0379934097289094	0.0375569878883687	0.0430332784171936	0.0231554425704442	0.036861703604423	0.0501363896739894	0.0208062913311337	0.0270355852331841	0.0287934475307574	0.00652349066991844	0.00689842649582109	0.0376452570763679	0.00739457958951297	0.0174930384579289	0.00840664828817169	0.0120979602293995	0.0125773790030379	0.0290771601963187	0.0114209482915859	0.0153684989441811	0.0349423251345452	0.0143707737338265	0.0464806244516495	0.0551435748707166	0.0423396678008125	0.0185346798477779	0.0139534882738692	0.0161331064705355	0.051573050881153	0.0269524374091739	0.0336150109494411	0.0394307028715553	0.0208510631320449	0.0403668312333223	0.00668757868223709	0.0160334997601866	0.0160873948405808	0.022327796636816	0.0200478097332282	0.0206827291156586	0.0165434909535581	0.0412175328701491	0.0395783676876116	0.0287847041151823	0.0338642047517412	0.0518670250693251	0.0409513010987395	0.0403202993402904	0.0379099772912695	0.0427888074702753	0.0392824978290934	0.0499232957525275	0.0416544329525266	0.0421398412372169	0.0320960360132555	0.0409162257454354	0.041355184606881	0.0295649484404336	0.0423313675123533
OM5_B_B_3	0.0134023187343173	0.0119633284917287	0	0.00702470463152902	0.00960370645276333	0.0117879995032407	0.0394060997827845	0.0155157732809214	0.0156516374764965	0.0392232004199584	0.0262107558963377	0.0256317898643977	0.0311670115493345	0.0146243301598039	0.0250315571230432	0.0384272984881874	0.0119547151597172	0.0153482633833641	0.0176848262275926	0.0178222737276196	0.0111419729502451	0.0261819534761457	0.00465277131054387	0.0131098083345513	0.00356416577357348	0.0240024088322222	0.0238815560965597	0.0172238053677139	0.0121764088947523	0.00909691600548128	0.0230976101645981	0.00591994239364713	0.0346147674278892	0.0433291403477947	0.0304417145304712	0.00717680569796135	0.0218734973012806	0.00983819136711095	0.0399183572141538	0.0150518685167669	0.022016674162259	0.0279239659541975	0.00961093043240952	0.0284420208119386	0.013212444081233	0.0277128543027004	0.0210579753540548	0.0126313598307526	0.00947370597333228	0.0110610164194004	0.00700628564353781	0.0295266476929618	0.0276863676124321	0.0168546787862499	0.0222172422476408	0.0400460426148064	0.0290758223956482	0.0286666102044389	0.0260503826137211	0.0309917518524471	0.0275928971953102	0.0379840420871912	0.0297414103300349	0.0302048411600392	0.0202699132187308	0.0291505226406539	0.0295213426911326	0.0184887899109466	0.0304876928200938
OM5_C_4A_1	0.00820214841021941	0.0182696136683144	0.00702470463152902	0	0.00888475845590452	0.0143582073033643	0.0340035180902776	0.0095292597279996	0.00960650267434016	0.0340062701953352	0.0212627747176242	0.0205317687401452	0.0257931791700189	0.0102085430892815	0.0204389476393139	0.0338854712000344	0.00844766049209256	0.0119429019604865	0.0149625252894736	0.0242585461658352	0.015439867537831	0.0226197110730911	0.011239703614517	0.0119861763698309	0.0101390693501463	0.0299306794608932	0.0292113044401691	0.0129166058461411	0.0143868476046392	0.00783308101861483	0.0170099779944718	0.00610437981793301	0.0296077267025355	0.0384265391226855	0.0253886986095184	0.00493547425465939	0.0256951893517963	0.00897846573730832	0.0354370886185514	0.00921373057681877	0.0161715815001597	0.0241473553003107	0.00842552494057028	0.0232313416145176	0.0201495510602258	0.0337281390635895	0.0237260691841267	0.00903615449088662	0.00610253962276362	0.00503183250610607	0.00583712532699828	0.0236448262282857	0.0220743936789857	0.0113928048238771	0.0156532785315444	0.0351521034795974	0.0231879335344618	0.0234792376610643	0.0204931112135092	0.0262863907137834	0.0232861612203599	0.0323908077881198	0.0237166156636685	0.0246190845572411	0.0140350473037115	0.0246731464017667	0.0245501807635334	0.0148471349368023	0.0251150099539592
OM5_C_4A_2	0.0130112398027959	0.0165361550147852	0.00960370645276333	0.00888475845590452	0	0.00848384710509142	0.0399919408058513	0.0156770785280921	0.0164398867988373	0.0399554541616996	0.0255902491130017	0.0263716783320961	0.0322877655101193	0.00693016960953705	0.0260411888849558	0.0388638220642505	0.00461768780782546	0.0185913870267968	0.018431166617788	0.0211041151903051	0.0118230828764698	0.02845162825702	0.0109464819897085	0.00539121222350169	0.0106321550356875	0.0268499986292075	0.0254426556473484	0.0195494482270112	0.00958669149843071	0.0056169896282074	0.0234132349385123	0.00396690171500886	0.0347352411821562	0.0439807876002079	0.0308402227929354	0.00812901745067907	0.0199570677696153	0.0019577993358403	0.0415843880964561	0.0155412087987185	0.0196543638204168	0.0303580435542168	0.0157102514210405	0.0286200925935311	0.018421011420513	0.0295896863432305	0.0168059862214655	0.00693488900928993	0.00663565578247317	0.0101440032516791	0.00389807820390317	0.0271689986055222	0.0267383368438003	0.0171501495615524	0.0216600151033672	0.0408426195970262	0.0277750877895752	0.0268910015426192	0.0249758000817126	0.032465533976895	0.0297554658024643	0.0373909723125885	0.0290956716177114	0.029657754116685	0.0196145301728058	0.0304753472262894	0.0292487168078648	0.0170286424153283	0.0294217975286588
OM5_C_4A_3	0.0207665015598693	0.0112370250363702	0.0117879995032407	0.0143582073033643	0.00848384710509142	0	0.0477335453672632	0.023086544348041	0.0235282706731821	0.0477371276579745	0.0337861284192155	0.0341230212174652	0.039761879278656	0.0142976282093426	0.0338214039094871	0.0469477109140618	0.0128927474759316	0.0253862654895606	0.0260920121535273	0.0150136175145881	0.00475661187339617	0.0359059182415507	0.00972226259114316	0.00698500414688921	0.0100819983211989	0.0193417293591295	0.0173826684710147	0.0266840185536785	0.00230111713029103	0.00768758137525844	0.0307318395611813	0.00869955002698778	0.0427975693647561	0.0519376579036604	0.0387745046337165	0.0149271158418795	0.0116862303165252	0.00739849095513303	0.0492538929170117	0.0228842551858171	0.0278882409400183	0.0377474627743772	0.020828775873603	0.0365616225969675	0.0152738290394633	0.0221708557009904	0.00949959803735111	0.0154177594596744	0.0145988570978566	0.0149196348132202	0.0109602969521925	0.0354317517552647	0.0348530982800663	0.0247820320267707	0.0288647229978802	0.048737770417004	0.0358573289780242	0.0352691505332305	0.0331272522127074	0.040096122760788	0.0371575491046229	0.0454607611666388	0.0369031733331814	0.0376917475944549	0.0272380408174952	0.0382122465531831	0.0373910609807737	0.025233566436151	0.0376581302157168
OM5_C_4D_1	0.0272963073272244	0.0513014768339927	0.0394060997827845	0.0340035180902776	0.0399919408058513	0.0477335453672632	0	0.0246963981445195	0.0244244951735257	0.00160325766160328	0.0158897645443975	0.0140837221566886	0.00841765651251036	0.0357914939061513	0.0153460707013646	0.00883501381588071	0.0360593388730534	0.0246666484354224	0.0256389010812531	0.0569991995276315	0.0493915206437625	0.0163321960201573	0.0440329892429274	0.0430629888105745	0.0429589123420919	0.0633244235336136	0.0630395689212623	0.0223828726769167	0.0479405731096836	0.0407415135806158	0.0173500192053314	0.0392632580386044	0.00758783556144881	0.00651299031008959	0.00998959977729021	0.0338232402034527	0.0593652599591149	0.0407639772081943	0.00696615797188049	0.0249563943129938	0.0211546535537217	0.0143916393627998	0.0308937629192654	0.0118099856570979	0.0510805850775909	0.0670126073765125	0.0565295866315206	0.0339285692611329	0.0337854542753771	0.0343061754092839	0.0372373554306148	0.0155858716657598	0.0138744973020686	0.0231300919081527	0.0197802437060749	0.00470471255193209	0.0131892145225106	0.0160704034296532	0.015640642625085	0.00937410590926575	0.0131125712492397	0.00552900312961598	0.0114785925674043	0.0108300142493385	0.0206269966587252	0.0117913748006507	0.0124502237973375	0.0258276573872871	0.0123967735690567
OM5_C_4D_2	0.00367654721670746	0.0273856459419644	0.0155157732809214	0.0095292597279996	0.0156770785280921	0.023086544348041	0.0246963981445195	0	0.001550368186146	0.0247013529274341	0.0121446087769733	0.0112613256747075	0.0167070829940283	0.0129780402879474	0.0115189001130395	0.0246877082362492	0.0123924529515308	0.00686295241279249	0.00985414185462765	0.033146909473884	0.0247884376252019	0.0147056538188602	0.0200725913210477	0.0190111953198476	0.0190118095935418	0.0392548198524691	0.0386352813766683	0.0057343786966311	0.0233310776573427	0.0162637448854483	0.00802611304065713	0.0145959967168521	0.0202145232127276	0.0291010878291289	0.016028349930231	0.00973686973526162	0.0347126401766542	0.0163388923797807	0.0264794678900493	0.000653736065964777	0.00766504161640604	0.0160138599641013	0.0100010781389538	0.0138106726358204	0.0281285056659727	0.0428586122882513	0.0320982096969607	0.0108576779159169	0.00970843707673585	0.0106815700534033	0.0127612903091499	0.0145564412583516	0.0125980614456302	0.00236195560565297	0.00733353301732845	0.025864327749221	0.0137436489711332	0.0144835297176326	0.0110948419509106	0.0172868774873394	0.0147773977201905	0.0228698703161931	0.0143128645676449	0.0150931468925521	0.00477767639344427	0.0157494174540066	0.0152457733118645	0.0092945393080487	0.0157101675107543
OM5_C_4D_3	0.00496320194588735	0.0275045998327986	0.0156516374764965	0.00960650267434016	0.0164398867988373	0.0235282706731821	0.0244244951735257	0.001550368186146	0	0.0244721762396681	0.0127426646520175	0.0112546301228455	0.0162774004978433	0.0139008670287127	0.0116826297215978	0.024850158431093	0.0133633291346089	0.00684713570403778	0.0108799196669524	0.0334053129974381	0.0250224684361731	0.0147641199535228	0.0202524007749672	0.0195946454243722	0.0191455268141913	0.0393709021688231	0.0387912103013803	0.00565399858683304	0.0236414308817911	0.0165422045215028	0.00750549902785253	0.0150639695011361	0.0203346662150261	0.0290194561844273	0.0160907551588839	0.0104193410266935	0.0350820073478331	0.016969872993777	0.0262537807787566	0.00156959702881586	0.00867513337921253	0.0158899375140001	0.00973005859414022	0.0139192141371902	0.0284174537123745	0.043127962374873	0.0326218006042916	0.0120676922521938	0.0106754762477145	0.010545421826553	0.0134583325239618	0.0151428770322662	0.0129487488314449	0.00323903610967603	0.00686144922710268	0.0257581596518637	0.0140219512206704	0.0152354158637378	0.0115856456032609	0.0170876593374657	0.0145198313881922	0.0229149814631065	0.0142393735633741	0.0152412483055381	0.00492116143957928	0.0157446684338265	0.0156076664912711	0.0106849814069261	0.0161320899752857
OM5_C_4E_1	0.0271643772422166	0.0511009116255554	0.0392232004199584	0.0340062701953352	0.0399554541616996	0.0477371276579745	0.00160325766160328	0.0247013529274341	0.0244721762396681	0	0.0154786674691461	0.0138062144979916	0.00852895073655174	0.0359294244334895	0.014833866803391	0.00744085090738338	0.03606983406963	0.0242908035521755	0.0250497557711002	0.0567180950757519	0.0493494258597036	0.0154472664421453	0.0438308827331289	0.0431943292397021	0.0427749003223436	0.0631500889677122	0.0629453213090284	0.0220868374761566	0.0480055359409954	0.040857112243549	0.0176114604077526	0.0392117366889332	0.00677298855241341	0.0054533337906086	0.00949700588117128	0.0336273572492362	0.0593732433995854	0.0407911719787713	0.00550468595336375	0.0249319755506921	0.0211786735169179	0.0134922066114726	0.0305962265536125	0.011505031936995	0.050675080198704	0.066777204421458	0.0565786272564977	0.0338411066452095	0.0336564289250913	0.0345404811255936	0.0371329803777283	0.0157179715821683	0.0138184107682085	0.0230259307907916	0.0201863258732956	0.00319023922855523	0.0133518097139107	0.015770578230373	0.0155426606061123	0.0086790082373435	0.0124647874047689	0.00569528175941503	0.0118850532540893	0.0107980367271242	0.0207797626347825	0.011018489218851	0.0119257570361579	0.025396819224131	0.0121509086231389
