Sample	JSDistance_OM5_B_B	S1038_OM5_0.01_selected	S1038_OM5_0.01_JSD	S1050_OM5_0.01_selected	S1050_OM5_0.01_JSD	S1062_OM5_0.01_selected	S1062_OM5_0.01_JSD	S1070_OM5_0.01_selected	S1070_OM5_0.01_JSD	S1074_OM5_0.01_selected	S1074_OM5_0.01_JSD	S1149_OM5_0.01_selected	S1149_OM5_0.01_JSD	S1163_OM5_0.01_selected	S1163_OM5_0.01_JSD	S1181_OM5_0.01_selected	S1181_OM5_0.01_JSD	S1230_OM5_0.01_selected	S1230_OM5_0.01_JSD	S1292_OM5_0.01_selected	S1292_OM5_0.01_JSD	S1316_OM5_0.01_selected	S1316_OM5_0.01_JSD	S1322_OM5_0.01_selected	S1322_OM5_0.01_JSD	S1334_OM5_0.01_selected	S1334_OM5_0.01_JSD	S1377_OM5_0.01_selected	S1377_OM5_0.01_JSD	S1411_OM5_0.01_selected	S1411_OM5_0.01_JSD	S293_OM5_0.01_selected	S293_OM5_0.01_JSD	S321_OM5_0.01_selected	S321_OM5_0.01_JSD	S438_OM5_0.01_selected	S438_OM5_0.01_JSD	S498_OM5_0.01_selected	S498_OM5_0.01_JSD	S506_OM5_0.01_selected	S506_OM5_0.01_JSD	S538_OM5_0.01_selected	S538_OM5_0.01_JSD	S542_OM5_0.01_selected	S542_OM5_0.01_JSD	S598_OM5_0.01_selected	S598_OM5_0.01_JSD	S644_OM5_0.01_selected	S644_OM5_0.01_JSD	S686_OM5_0.01_selected	S686_OM5_0.01_JSD	S771_OM5_0.01_selected	S771_OM5_0.01_JSD
OM5_C_5H	0.611546755334193	OM5_C_5H_2	0.018237492778588	OM5_C_5H_2	0.00804939352615705	OM5_C_5H_2	0.0143604366679751	NA	NA	OM5_C_5H_3	0.0839794163852818	OM5_C_5H_2	0.00681806257868628	OM5_C_5H_2	0.0296501535536765	OM5_C_5H_2	0.0217497649011717	OM5_C_5H_2	0.0191477960131907	OM5_C_5H_3	0.0177316730632912	OM5_C_5H_2	0.00755026952620291	OM5_C_5H_1	0.00163804493195275	OM5_C_5H_2	0.0220892289847071	OM5_C_5H_1	0.0560604047542043	OM5_C_5H_1	0.0213313289324104	OM5_C_5H_3	0.0119009825061736	OM5_C_5H_3	0.0334305628853405	OM5_C_5H_2	0.0102881157116019	OM5_C_5H_2	0.056992947770913	OM5_C_5H_3	0.0170686775973779	OM5_C_5H_1	0.0185346798477779	OM5_C_5H_2	0.0331070665729548	OM5_C_5H_2	0.0337681074334356	OM5_C_5H_1	0.0457843330235419	NA	NA	OM5_C_5H_2	0.0222778153875798
OM5_C_6A	0.501222166015054	OM5_C_6A_1	0.0151673443679208	OM5_C_6A_2	0.0122500499000573	NA	NA	NA	NA	OM5_C_6A_1	0.0668300434173872	OM5_C_6A_1	0.00204263497459009	OM5_C_6A_1	0.00863469709363801	OM5_C_6A_2	0.00800686775652091	OM5_C_6A_2	0.0137719820894975	OM5_C_6A_1	0.00514584947274066	OM5_C_6A_1	0.00212103143579706	OM5_C_6A_2	0.00521119940515074	OM5_C_6A_2	0.0201879360446565	OM5_C_6A_1	0.0452003833235032	OM5_C_6A_1	0.0606641384758025	OM5_C_6A_1	0.0178253415732409	OM5_C_6A_2	0.0322957305610534	OM5_C_6A_1	0.0119757949324825	OM5_C_6A_1	0.0243129094432758	NA	NA	OM5_C_6A_2	0.0269524374091739	OM5_C_6A_3	0.0119982173720663	OM5_C_6A_1	0.0343863604856576	OM5_C_6A_2	0.0429545742239231	OM5_C_6A_1	0.00687672148178242	OM5_C_6A_1	0.0264099207751353
OM5_C_6B	0.481431328631062	OM5_C_6B_3	0.0120608544173037	OM5_C_6B_3	0.0100395934094558	NA	NA	NA	NA	OM5_C_6B_2	0.0383122924575071	OM5_C_6B_1	0.00615596038189034	OM5_C_6B_1	0.0094405583917778	NA	NA	OM5_C_6B_1	0.0186126969728892	OM5_C_6B_1	0.00209914476583389	OM5_C_6B_2	0.035837732936976	OM5_C_6B_1	0.00774408750068386	OM5_C_6B_2	0.019100529794233	OM5_C_6B_1	0.0510244764240718	OM5_C_6B_1	0.0178142381633661	NA	NA	OM5_C_6B_3	0.0130097243339713	OM5_C_6B_3	0.0130798697832889	OM5_C_6B_1	0.0385279091597863	OM5_C_6B_1	0.0370449152144781	OM5_C_6B_3	0.0403668312333223	OM5_C_6B_2	0.0217873935748837	OM5_C_6B_2	0.0194399824248728	OM5_C_6B_1	0.047071307400129	NA	NA	OM5_C_6B_1	0.0228612298903411
OM5_C_6D	0.567668193469531	OM5_C_6D_1	0.0418723762886423	OM5_C_6D_1	0.00666203632422428	OM5_C_6D_2	0.0185399900843879	NA	NA	OM5_C_6D_1	0.0695784318231481	OM5_C_6D_1	0.00564348950523607	OM5_C_6D_1	0.00937135085111613	OM5_C_6D_2	0.00954352646851069	OM5_C_6D_1	0.00733611252244472	OM5_C_6D_2	0.0040961758549713	OM5_C_6D_1	0.10018431426681	OM5_C_6D_1	0.0155728752463091	OM5_C_6D_1	0.0177215603807624	OM5_C_6D_2	0.038104601095493	OM5_C_6D_1	0.0388377462492607	OM5_C_6D_3	0.0111514741620089	OM5_C_6D_1	0.0151843341539195	OM5_C_6D_3	0.0116147472412956	OM5_C_6D_3	0.031244348927489	OM5_C_6D_3	0.011356865597355	OM5_C_6D_1	0.00668757868223709	OM5_C_6D_3	0.0315503453612798	OM5_C_6D_2	0.0287437875531149	OM5_C_6D_1	0.0322927020497804	NA	NA	OM5_C_6D_1	0.00477742277973383
OM5_C_6F	0.416840346559644	OM5_C_6F_3	0.0207577513672001	OM5_C_6F_2	0.0213108100656786	NA	NA	NA	NA	OM5_C_6F_3	0.0223640040901993	OM5_C_6F_2	0.0051120307792267	OM5_C_6F_3	0.0255966316264088	OM5_C_6F_2	0.0140154639745611	OM5_C_6F_1	0.0162581431808355	OM5_C_6F_1	0.00070671575873109	OM5_C_6F_1	0.0253892420544179	OM5_C_6F_1	0.00163804493195275	OM5_C_6F_2	0.0404909422595011	OM5_C_6F_1	0.0188794562318893	OM5_C_6F_2	0.00667303711456029	OM5_C_6F_2	0.017722600728084	OM5_C_6F_2	0.0396418447231161	OM5_C_6F_1	0.0136919414655232	OM5_C_6F_2	0.00822924269634738	OM5_C_6F_1	0.00829244569761265	OM5_C_6F_1	0.022327796636816	OM5_C_6F_2	0.0134621079232695	OM5_C_6F_3	0.0110308290102521	OM5_C_6F_1	0.0130289855886455	OM5_C_6F_2	0.0240538602433567	OM5_C_6F_3	0.0261664184114585
OM5_H_2H	0.517934475386404	OM5_H_2H_2	0.014699322753504	OM5_H_2H_3	0.00719814581846148	NA	NA	NA	NA	OM5_H_2H_3	0.0720473975160708	OM5_H_2H_1	0.00429868830275281	OM5_H_2H_3	0.0280075126812348	OM5_H_2H_2	0.010446240530194	OM5_H_2H_3	0.0186021958249415	OM5_H_2H_3	0.00509251831163181	OM5_H_2H_2	0.0311573262214233	OM5_H_2H_2	0.00842544775502635	OM5_H_2H_2	0.0177703478990647	NA	NA	OM5_H_2H_3	0.00594837089972997	OM5_H_2H_1	0.0219791497537081	OM5_H_2H_2	0.00921240493440226	OM5_H_2H_2	0.0380214342209208	OM5_H_2H_2	0.044620142480157	NA	NA	OM5_H_2H_2	0.0165434909535581	OM5_H_2H_3	0.0267193890312556	OM5_H_2H_2	0.0410089738915134	OM5_H_2H_2	0.0251913117577997	OM5_H_2H_3	0.0421325884968629	OM5_H_2H_2	0.0288120753521911
OM5_H_6A	0.443643903966749	OM5_H_6A_3	0.0252169885425334	OM5_H_6A_3	0.000947492655092018	OM5_H_6A_2	0.0142056328624178	NA	NA	OM5_H_6A_2	0.0435508810802916	OM5_H_6A_2	0.00633017627587408	OM5_H_6A_3	0.0161816521279964	OM5_H_6A_2	0.0300184764203195	OM5_H_6A_3	0.0180273655225712	OM5_H_6A_3	0.00853658876411379	OM5_H_6A_2	0.0321291760569862	OM5_H_6A_3	0.00143763325899222	OM5_H_6A_1	0.0107401465306084	OM5_H_6A_1	0.0155487707458076	OM5_H_6A_1	0.0131888286714116	OM5_H_6A_1	0.0165512349208255	OM5_H_6A_3	0.0152076593063779	OM5_H_6A_1	0.0193589586175992	OM5_H_6A_2	0.0364971879152865	OM5_H_6A_2	0.0195331583948889	OM5_H_6A_3	0.0338642047517412	OM5_H_6A_3	0.0173628309325371	OM5_H_6A_2	0.0285853657927178	OM5_H_6A_1	0.00989818172679077	NA	NA	OM5_H_6A_2	0.0107253120929683
OM5_H_6B	0.58937418811007	OM5_H_6B_3	0.0165361993919307	OM5_H_6B_1	0.0107279938442667	NA	NA	NA	NA	OM5_H_6B_1	0.0597452832152007	OM5_H_6B_2	0.00322426902452754	OM5_H_6B_3	0.0244497049332404	OM5_H_6B_2	0.0125492820216155	OM5_H_6B_1	0.0161322014918415	OM5_H_6B_1	0.00449092003831386	OM5_H_6B_2	0.0319269110501211	OM5_H_6B_1	0.0138514409694469	OM5_H_6B_3	0.0199290539441633	OM5_H_6B_1	0.048244850163116	OM5_H_6B_1	0.0159981799303962	OM5_H_6B_2	0.0183992469791538	OM5_H_6B_1	0.00783257354593875	OM5_H_6B_2	0.035614992918635	OM5_H_6B_2	0.0566376138883258	NA	NA	OM5_H_6B_2	0.0409513010987395	OM5_H_6B_3	0.0461093232333782	OM5_H_6B_2	0.0252729570821432	OM5_H_6B_1	0.0457090627683269	NA	NA	OM5_H_6B_2	0.0350408265772488
OM5_H_6C	0.570415875087419	OM5_H_6C_3	0.0379852087877188	OM5_H_6C_3	0.00751618318786216	NA	NA	NA	NA	OM5_H_6C_2	0.0739078115991208	OM5_H_6C_1	0.0188728663413102	OM5_H_6C_3	0.0346057269442612	OM5_H_6C_3	0.00674923863169959	OM5_H_6C_2	0.00578261603895968	OM5_H_6C_2	0.00267016981505903	OM5_H_6C_2	0.0259459702264656	OM5_H_6C_2	0.00754119160663791	OM5_H_6C_2	0.0238705423083662	OM5_H_6C_2	0.0459304007576895	OM5_H_6C_2	0.00853273436224464	OM5_H_6C_2	0.0520304566418714	OM5_H_6C_2	0.0319405094777482	NA	NA	OM5_H_6C_1	0.0468855492984525	NA	NA	OM5_H_6C_2	0.0379099772912695	OM5_H_6C_2	0.0311893721298764	OM5_H_6C_1	0.0343473714066561	OM5_H_6C_2	0.0308375188653649	NA	NA	OM5_H_6C_2	0.00536445936878455
OM5_H_6F	0.608583871844686	OM5_H_6F_2	0.0132301847097136	OM5_H_6F_1	0.0048482408137445	NA	NA	NA	NA	OM5_H_6F_2	0.0855726727515167	OM5_H_6F_1	0.00186206200994231	OM5_H_6F_3	0.0199897454967243	OM5_H_6F_1	0.0185456276386004	OM5_H_6F_1	0.0173950370845231	OM5_H_6F_2	0.00394276670497917	OM5_H_6F_1	0.0141192516176675	OM5_H_6F_2	0.0053527962618555	OM5_H_6F_1	0.0173800696591939	OM5_H_6F_1	0.0396144536809265	OM5_H_6F_2	0.0101180445784327	OM5_H_6F_1	0.000210771610532118	OM5_H_6F_3	0.024544597514396	OM5_H_6F_1	0.034493223032416	OM5_H_6F_3	0.09761972951889	OM5_H_6F_1	0.0050946629889036	OM5_H_6F_2	0.0499232957525275	OM5_H_6F_2	0.0396845817731068	OM5_H_6F_1	0.0322924105902678	OM5_H_6F_2	0.0300084359481611	NA	NA	OM5_H_6F_2	0.0427412101076649
OM5_H_6G	0.494402573028027	OM5_H_6G_2	0.014905320942436	OM5_H_6G_2	0.00674105499545557	NA	NA	NA	NA	OM5_H_6G_2	0.0709973654096137	OM5_H_6G_1	0.009572922280019	OM5_H_6G_1	0.00618207681051407	OM5_H_6G_3	0.0224859901251555	OM5_H_6G_1	0.010478942658304	OM5_H_6G_1	0.00581376665042224	OM5_H_6G_2	0.0229812328514294	OM5_H_6G_2	0.00513758554364398	OM5_H_6G_2	0.0162907898092538	OM5_H_6G_2	0.0352311744685136	OM5_H_6G_1	0.023150885151248	NA	NA	OM5_H_6G_2	0.00875571947046644	OM5_H_6G_1	0.0260718912543076	OM5_H_6G_1	0.0354827744865839	NA	NA	OM5_H_6G_1	0.0421398412372169	OM5_H_6G_1	0.031033209967098	OM5_H_6G_1	0.0448795425156908	OM5_H_6G_2	0.0410676355304294	NA	NA	OM5_H_6G_1	0.0150028508702249
OM5_H_6H	0.54545493738133	OM5_H_6H_3	0.0104941428138242	OM5_H_6H_2	0.00914779342383574	NA	NA	NA	NA	OM5_H_6H_2	0.0419120095223032	OM5_H_6H_1	0.0098333227990348	OM5_H_6H_2	0.0137619283433566	OM5_H_6H_1	0.0279696741127586	OM5_H_6H_1	0.0888879549424759	OM5_H_6H_3	0.011069582941376	OM5_H_6H_1	0.0326142236307135	OM5_H_6H_1	0.00109286622297063	OM5_H_6H_1	0.0241167099446523	OM5_H_6H_2	0.00654919431479642	OM5_H_6H_3	0.00527364075847558	OM5_H_6H_1	0.0105462769759049	OM5_H_6H_2	0.0170082322710435	OM5_H_6H_2	0.0205093163422502	OM5_H_6H_1	0.0474705251314477	NA	NA	OM5_H_6H_1	0.041355184606881	OM5_H_6H_2	0.0243431823541748	OM5_H_6H_2	0.0322320194290872	OM5_H_6H_2	0.0212982571445834	NA	NA	OM5_H_6H_2	0.0479688993553836
