C94L10_1	C94L11_3	C94L2_1	C94L12_3	C94L3_3	C94L4_3	C94L5_3	C94L6_1	C94L7_3	C94L8_3	C94L9_2	C94N1_3	C94N2_3	C94N3_3	C94P1b_3	C94P1d_3	C94P1e_3	C94P1f_3
1527	591	1531	325	622	779	830	1149	622	530	1489	719	797	894	690	644	861	1040
3948	2006	4279	1009	1754	2611	2765	4307	1608	1663	4363	2184	2369	2783	2262	1843	2521	3859
11358	5759	11221	3262	5346	5202	6933	11684	4855	5166	12819	6383	7503	8772	7225	6235	8367	10413
24375	13309	24382	7257	11889	11514	14318	24017	11606	11533	27234	15880	17364	20856	17107	15752	20455	23740
6132	2508	6261	1672	2959	2706	3345	5506	2347	2524	6981	3069	3737	4418	3578	3204	4060	4030
7219	2979	8923	2022	3400	2947	3738	6930	2481	2943	9316	4202	4714	5440	4597	4192	5155	3716
9832	4316	12635	2921	4525	4141	5122	9587	3535	4292	13543	6524	7292	8342	7045	6894	8277	5339
7936	3629	10085	2265	3729	3398	3945	7782	2688	3617	12135	5750	6453	7751	6471	6379	7740	4772
2119	862	2816	558	703	938	1040	1720	569	847	2762	1283	1580	1834	1484	1305	1778	1005
636	241	729	152	237	262	329	609	159	216	705	376	374	529	366	365	448	268
