C94L10_2	C94L11_2	C94L2_1	C94L12_2	C94L3_2	C94L4_2	C94L5_2	C94L6_1	C94L7_1	C94L8_1	C94L9_1	C94N1_2	C94N2_1	C94N3_2	C94P1b_1	C94P1d_1	C94P1e_2	C94P1f_1
3619	3537	557	277	1507	1283	1087	3994	4104	3302	5168	666	618	693	668	657	624	638
7128	5266	1539	924	3025	2821	2023	7917	6392	4610	8241	2121	1999	2058	2022	2089	1983	1942
8258	6749	3670	2045	4896	5042	3805	9900	8453	6194	8581	5172	4959	5582	4931	5616	5455	4703
8180	9086	8505	5355	8040	8731	8095	10117	9616	8660	6835	13279	12887	13463	12074	14196	12352	11338
6764	10875	14620	9322	10834	11531	12449	9219	10280	11019	4918	21944	21240	21912	20348	24712	21485	19652
5175	11227	18497	11029	12445	12380	15135	7420	10574	11939	3368	26718	26569	26670	26119	25580	26356	25480
3325	9495	17576	9998	10822	10188	13910	4181	8726	10000	2613	25530	25106	26074	24834	25372	26103	24414
1816	5144	11029	5957	6112	5089	9030	2460	5115	5457	1638	15414	15646	16488	16162	19702	18364	15888
482	1639	2884	1532	1902	1579	2462	744	1636	1889	536	3970	4681	4466	4383	5337	5223	3968
