C94L10_1	C94L11_2	C94L2_2	C94L12_1	C94L3_2	C94L4_2	C94L5_2	C94L6_2	C94L7_1	C94L8_2	C94L9_2	C94N1_1	C94N2_2	C94N3_1	C94P1b_1	C94P1d_1	C94P1e_1	C94P1f_1
576	2230	2140	999	2007	1725	2032	1856	1118	1529	372	2083	1921	2089	2454	2110	1886	2288
2107	7259	8422	3429	7663	6155	8461	6391	5232	5354	1020	6294	6515	6405	8566	6758	6131	8710
5308	17347	19715	8105	18257	13849	18625	12219	11279	13960	2814	18092	18602	18757	21867	20237	18260	22342
6992	24191	25936	10711	24045	17439	24208	14796	14181	18410	4420	25791	25435	25264	26749	25826	26002	27352
5739	20192	20896	8345	20421	13789	19636	11332	11027	15139	3847	21838	22514	22324	25365	23797	21400	24888
2757	9656	9475	3692	10069	6277	8758	5147	4263	6954	2030	12558	12300	12673	11927	11079	9920	10508
1823	6390	6425	2491	8079	4274	5802	3475	2155	4957	1635	11324	10544	11337	8374	8357	7642	6714
2023	6611	6698	2561	8494	4699	6095	3764	2149	5403	1673	12179	11284	12714	9176	10193	9001	7307
1658	5327	5485	2126	6666	3814	5027	2976	1742	4180	1581	9686	9444	10344	7154	7966	7557	6083
932	3020	2848	1197	3833	1994	2613	1508	870	2300	879	5435	5284	5166	3910	4177	3723	3050
