C94L10_1	C94L11_2	C94L2_2	C94L12_2	C94L3_2	C94L4_2	C94L5_2	C94L6_2	C94L7_2	C94L8_2	C94L9_2	C94N1_2	C94N2_2	C94N3_2	C94P1b_1	C94P1d_1	C94P1e_1	C94P1f_2
749	980	841	532	1634	2633	1185	1485	815	944	570	2560	2729	2609	728	1581	1183	1092
2738	3363	2864	2354	6660	4496	3598	3956	2687	3529	716	13489	12550	14759	3780	5730	4360	3866
6250	9283	8469	7476	15506	9079	9495	7052	7402	9531	2577	26572	26351	26869	11996	17325	14377	12243
7475	13045	13314	12745	19497	11929	13756	9035	10964	12850	4738	26152	26924	26479	20958	25016	23142	20232
5256	11492	13716	14676	14823	9995	12689	7664	10240	9032	5516	16365	14527	17334	25437	22186	24349	22895
3978	8897	10642	11247	11498	7103	10186	6179	8459	7371	3808	12913	10985	13338	20987	17988	19855	18811
1742	3063	3822	3706	4621	2975	3350	2131	3024	3833	784	9545	8478	10117	6681	6790	7141	6299
571	783	706	572	1657	676	834	581	796	857	56	3052	3178	3175	952	1832	1546	1188
