C94L10_2	C94L11_2	C94L2_2	C94L12_1	C94L3_2	C94L4_2	C94L5_2	C94L6_2	C94L7_2	C94L8_2	C94L9_2	C94N1_2	C94N2_2	C94N3_1	C94P1b_1	C94P1d_2	C94P1e_1	C94P1f_2
3522	2113	756	830	1067	1275	1264	4396	9756	5820	6605	495	202	266	363	874	505	732
7569	5294	2540	2474	2732	3212	3129	9225	19592	11654	14546	1646	756	882	1368	2812	1771	2493
11340	9048	5909	5250	5646	6102	6169	13812	26373	15878	18936	4668	2092	2680	3433	7074	4696	6049
9693	8866	6940	5333	6261	6731	6750	12533	21314	11989	13268	6634	3187	4233	4540	9067	5937	7096
8225	7859	6483	4290	5679	6103	5989	9657	15723	9320	9262	7465	3724	5112	4159	8535	5870	6153
6469	5317	4700	2741	3878	4369	3935	6861	10487	7114	6036	6535	3290	4482	2334	5789	4058	3637
2282	1674	1139	751	1119	1399	1117	2710	4812	2993	3090	1911	1106	1440	474	1513	980	951
703	465	250	148	267	324	242	727	1461	919	1066	358	192	276	0	277	191	169
