	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_B_B_1	0	0.0076189470656557	0.00934250486603074	0.0217592887623074	0.00704836917037377	0.00864214701281059	0.0142931944541484	0.0337455689906653	0.0244649173865144	0.0287545983629598	0.00604860489327563	0.00341307499309773	0.00370557532483304	0.00642353882939434	0.00525526187840578	0.0130120654998137	0.020659399106326	0.00823059685092034	0.0289355266320501	0.0150610307138061	0.0244235642006945	0.00713000775424203	0.0111104144987101	0.0152752361341965	0.0229033414016997	0.0231392459425897	0.00670385068574077	0.0226433478165684	0.0150220798755035	0.00637129981277799	0.01585204529594	0.0232744956152231	0.00988314966570419	0.0226011949144373	0.00652322756931197	0.011719040662793	0.00955471709475578	0.0117873761912135	0.016599283172926	0.0247503557159905	0.0131300531455505	0.00660039249130137	0.0109618465307413	0.0221249940352517	0.0233192542945194	0.0260484387714609	0.0122556425368135	0.0163441950751377	0.0124765421608198	0.011369759558896	0.00803280155716737	0.011661540048873	0.0242028484493481	0.0229653466935079	0.0060704666743609	0.0172705660105626	0.00735316322841513	0.00741471071068948
OM2_B_B_2	0.0076189470656557	0	0.00628597237722326	0.0272453698524239	0.00872515239456768	0.0108175901894923	0.0192056089297392	0.0391721053282431	0.0297122867636459	0.034164608844737	0.00951909089363489	0.00909453091444683	0.00650228944022039	0.0122826895918763	0.0117320235808553	0.014429801531202	0.0263983016109133	0.00212196644798137	0.0350405181022199	0.022425356815444	0.0291321223696237	0.0143209889451391	0.0141659046232894	0.0135481778903439	0.0278206114116209	0.0293164658642808	0.00889380417985521	0.0282059440104927	0.0193373846418187	0.00481220879138237	0.0201491645661409	0.026845696725072	0.0113541502337829	0.0279290154174401	0.00637000889438828	0.00549814229410988	0.0135105721502692	0.016481912362692	0.0143326183509224	0.0299508964190675	0.0185158405826136	0.00945183259592914	0.00581335487276777	0.0145386394229919	0.0285933764824333	0.0329514024201097	0.0177416799856141	0.0222105265557184	0.0121367595958661	0.0142954511086362	0.00710094878707383	0.0165464713649425	0.0303730366056067	0.0292367382627119	0.00436709859036723	0.0228313745627431	0.0105940428704701	0.00442045170802066
OM2_B_B_3	0.00934250486603074	0.00628597237722326	0	0.0233027370161768	0.00489493525691227	0.00635590618440714	0.0152590570839849	0.0348702002324886	0.0254768542850236	0.0299462203590383	0.00668372482191468	0.00833597611657903	0.00588501367535005	0.0103578764355498	0.0105973257821347	0.00879032352000416	0.0227270445924699	0.00427750214871492	0.0314702452059921	0.0213128327591953	0.0245018683215776	0.013580075558346	0.00949910851605147	0.00728909216524105	0.0233868329322892	0.0259887160596058	0.00538329127943543	0.0242957430666416	0.0149207172951378	0.00299900338762195	0.0156554862164783	0.0215821278628627	0.00624227237720256	0.0238218035961586	0.00318351894659426	0.00428749659006524	0.00962032173863229	0.0126602311658632	0.00819369541853391	0.0256696883487274	0.0150451821964804	0.00614615238969271	0.00263957766074797	0.0170381617795123	0.0244170675437517	0.0304919822273504	0.0144484264352668	0.0188938643992298	0.00602434799082945	0.00952171788523908	0.00222239202204825	0.0128727239327743	0.0270019467023179	0.026020116338784	0.00340052416011603	0.0191764235444757	0.00703908183498343	0.00223727286030557
OM2_B_C_1	0.0217592887623074	0.0272453698524239	0.0233027370161768	0	0.0188234354764292	0.0169868256778525	0.00809985987696187	0.0120129512196692	0.00283650189980807	0.00700271387605029	0.0177323574956858	0.0187222067390996	0.0208489249977683	0.0154186612733811	0.0165057054894751	0.0155755997869257	0.00152659004527739	0.0262888085578022	0.00829562726485428	0.0121139597065479	0.00418929652354414	0.0154386713097389	0.0138331779575974	0.0211648181885324	0.00268118286471699	0.0039676519522717	0.0185181230595409	0.000996156758193594	0.00846190113781285	0.0227285732884083	0.00782989884914849	0.00778983564283385	0.0171240860099498	0.00105886791382298	0.0212230548402846	0.0275860015000856	0.0138585008339294	0.0108060790167931	0.0223848867913647	0.0031686327631438	0.00877112667298765	0.0178701425903826	0.0259009407153901	0.0403312579557707	0.00176374094503178	0.0101252292473294	0.00959890172201303	0.00550380456459324	0.0188976744600725	0.0138497978091499	0.0212393141745457	0.0107072406548706	0.0045615343125117	0.00440080805060317	0.0230492215780516	0.00449501301466856	0.0167451648279596	0.0236299070382049
OM2_B_C_2	0.00704836917037377	0.00872515239456768	0.00489493525691227	0.0188234354764292	0	0.00211833057377125	0.0107243694964753	0.030622567096409	0.0211642122603868	0.0256377847675939	0.0019382319716321	0.00451109213009712	0.00357947185469021	0.00560457029101311	0.00613060633842637	0.00626867668199064	0.0181253936799957	0.00749616428909531	0.0268652454422899	0.0165141032937442	0.0204540003009731	0.0090606111697105	0.00544246361281961	0.00844298905331132	0.0191928324214347	0.0212841077423134	0.000551085960081256	0.0198055847478759	0.0106728413534132	0.00396808371920936	0.0114700986241185	0.0181541988945243	0.00300549700468521	0.0194297144687543	0.00241692214041328	0.00905671909023296	0.00496698978011402	0.00803203689701662	0.00987606351705425	0.0213852003881388	0.0103119415196753	0.00128159063927108	0.00750506837609212	0.0216606849291106	0.0200660325455274	0.0256303576660544	0.009657328027705	0.0141480576802051	0.00545572405391403	0.00558139397442778	0.00267270914982003	0.0081842279390061	0.0223144924765347	0.0212842641233628	0.00436467200286584	0.0145461941554104	0.00217090189997268	0.00480752297294089
OM2_B_C_3	0.00864214701281059	0.0108175901894923	0.00635590618440714	0.0169868256778525	0.00211833057377125	0	0.00891431787202694	0.0286832757281985	0.0192425076990182	0.0237192211434083	0.00265109330130839	0.00560266397332533	0.00549583460965837	0.00540617691849142	0.006382470172644	0.00437687144584929	0.0163772958120522	0.00949057078217154	0.0251241702419285	0.0158303290259476	0.0184382019669614	0.00904020346473771	0.00336011405705148	0.00781779280157976	0.017220798272058	0.0196375331841516	0.00213116024752593	0.0179769120654437	0.00869791984821454	0.00602536156253375	0.00947448616521003	0.016041902221665	0.00135679678293395	0.0175439404821691	0.00445937918203156	0.0106392015913331	0.0032902510360041	0.00630601445901443	0.00934345191535422	0.0194516153753856	0.0087122855693379	0.00204190580503792	0.00898769966456594	0.0233680109313972	0.0181605814287379	0.0242606711025945	0.00815911907017526	0.0125580771575297	0.00455446489492387	0.00347822373824174	0.00425345862866682	0.00653014707786685	0.0206490015955102	0.0196755722557843	0.00645068318884743	0.0128219790786059	0.00160796582491004	0.00674941529602018
OM2_C_4A_1	0.0142931944541484	0.0192056089297392	0.0152590570839849	0.00809985987696187	0.0107243694964753	0.00891431787202694	0	0.0199725627100042	0.0105103267837707	0.0149642691188255	0.00969051986421013	0.0110279269383502	0.0128965036962584	0.0078810244692175	0.00919478502967365	0.00826133835217059	0.00747273695817911	0.018195998763906	0.016216002834341	0.0106837910666234	0.0101563089705448	0.00918068807915211	0.00590731485996877	0.0141073815496089	0.0087025697642423	0.0108197695619753	0.010423421064219	0.00908305452253096	0.00171336737029133	0.0146372687055638	0.00215976580926669	0.00946041520179152	0.00916981505031951	0.00873060504751051	0.0131256460965525	0.0195455272541752	0.00575950937385928	0.0027242232832504	0.0155109376901584	0.0107540052435428	0.00165069842066368	0.0097872154498726	0.0178776838253696	0.03227829221231	0.00938994034876965	0.0159466049659773	0.00240104285568727	0.00406636690415186	0.011375556604736	0.00598470329805749	0.0131618003451156	0.00269692639335905	0.0118019922940744	0.0109150529526403	0.0149678495493081	0.00396224464110724	0.00865572273131542	0.0155314958202317
OM2_C_4A_2	0.0337455689906653	0.0391721053282431	0.0348702002324886	0.0120129512196692	0.030622567096409	0.0286832757281985	0.0199725627100042	0	0.0094668598158049	0.00501844592993627	0.0296597615318609	0.0307325945517893	0.0328272141196265	0.0274281102042739	0.0284924752191198	0.026550658426196	0.0131025869523267	0.0381146425755175	0.00646293210665529	0.0221911367255477	0.010496142388166	0.0272251637857355	0.0253943470671518	0.0315759206938465	0.0114878628258197	0.0112895676749912	0.0303593747673283	0.0111069908537691	0.0199891864743623	0.0345708126794332	0.0192289651129488	0.0146751969968271	0.0286311111082302	0.011256710287548	0.0330372997161143	0.0391110722233441	0.025695695680587	0.0226961401465205	0.0325422209414842	0.00923994490660039	0.0207737800621215	0.0297463679971566	0.0373996359225533	0.0518301100543041	0.0105836990607217	0.0131115760843644	0.0216089515435501	0.0174141715239847	0.0298816960569725	0.0253556113109369	0.0329107032758546	0.022640815304484	0.0103521004646267	0.0116850485756118	0.034919257324569	0.0165058454686472	0.0286092818994084	0.0354100355650147
OM2_C_4A_3	0.0244649173865144	0.0297122867636459	0.0254768542850236	0.00283650189980807	0.0211642122603868	0.0192425076990182	0.0105103267837707	0.0094668598158049	0	0.00447767047948058	0.0202000301601013	0.021362558247406	0.0233867731691216	0.0180838683402928	0.0192202430423992	0.017367341428254	0.00427670725334081	0.0286568238219214	0.00700014796251587	0.0147630184319009	0.00252895683381916	0.0182503680486972	0.0159815911472845	0.0227083476968415	0.00230841957530675	0.00499628768119594	0.0208962687360027	0.00226964589630709	0.0105612824318737	0.0251094385131686	0.00982671823667736	0.00733158062568863	0.0192449563798497	0.00187330585178956	0.023578394918577	0.0297392660722423	0.0162308796418351	0.0132334471853895	0.0238203615488956	0.000348971057285296	0.0113802618896607	0.0202818687437157	0.0280351547895964	0.0424828571065294	0.0011459212167469	0.0107529588590593	0.0122358292165034	0.00831375171901435	0.0207151025147963	0.0159591928493288	0.0234822568174046	0.0131873869538652	0.00498339929431433	0.00556219749272244	0.0254561304688559	0.00721401752202795	0.0191445846617331	0.0259582352153954
OM2_C_4B_1	0.0287545983629598	0.034164608844737	0.0299462203590383	0.00700271387605029	0.0256377847675939	0.0237192211434083	0.0149642691188255	0.00501844592993627	0.00447767047948058	0	0.0246496069399575	0.0257213558802769	0.0278111567402041	0.0224202966263189	0.0235007067027758	0.0217577976800989	0.00815109790928818	0.0331283972293859	0.00445547186519371	0.0178024604258605	0.00590849081274507	0.0223164852595899	0.0204542362723173	0.0269688882935384	0.00661362266214663	0.00688505400982604	0.025365509059645	0.00611722021613335	0.0150360393013867	0.0295791457379785	0.0142943126215149	0.0106014639780572	0.023711647524358	0.00624030416682559	0.0280509347632597	0.0342036563918357	0.0206989923889848	0.0176881436941865	0.0280169712795811	0.00427872786761226	0.015756962811171	0.0247452344857504	0.0324974232817585	0.0469412557648123	0.00557655297278046	0.0105872581323556	0.016594356632127	0.012443601202606	0.0251026654175304	0.0204278128292655	0.0279578749877276	0.0176271286190434	0.0061448251766571	0.0073782634449602	0.0299217861103758	0.0114975888818382	0.0236097873660782	0.0304330523046385
