	OM2_B_B	OM2_B_C	OM2_C_4A	OM2_C_4B	OM2_C_4C	OM2_C_4E	OM2_C_4F	OM2_C_4G	OM2_C_4H	OM2_C_5A	OM2_C_5F	OM2_C_5G	OM2_C_6E	OM2_C_6F	OM2_C_6G	OM2_C_6H	OM2_H_2A	OM2_H_2B	OM2_H_2C	OM2_H_2F
OM2_B_B	0	0.014419960512061	0.00739179467229268	NA	0.0224580801823045	0.0629216679540233	0.017469305609517	0.0307736110420476	0.0173684904473804	0.0129797100546147	0.0453348924450499	NA	0.00440242914771319	0.015175362345766	0.00449874980050799	0.00403422673321615	0.0357696580353864	0.0459155733509973	0.0341179099208386	0.0513218364033828
OM2_B_C	0.014419960512061	0	0.00764689417933804	NA	0.0198529801288054	0.0530043268337561	0.0106674888175239	0.0196735215015656	0.012201154850525	0.00872868715884553	0.0352143730652941	NA	0.0177767229702883	0.010364664650095	0.0143330096459262	0.0184454940100151	0.0488871973475557	0.033877725698603	0.02005756065219	0.0399778865711225
OM2_C_4A	0.00739179467229268	0.00764689417933804	0	NA	0.0178719149325687	0.056303142361109	0.0108806645783705	0.0236435816994108	0.0113069051622411	0.00653335362295432	0.0385690955977845	NA	0.0102035781005421	0.00895439148195841	0.00669446940796731	0.0112524018549225	0.0430208625002032	0.0386980193948012	0.0268001597318892	0.0442705666338183
OM2_C_4B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM2_C_4C	0.0224580801823045	0.0198529801288054	0.0178719149325687	NA	0	0.0423606933115902	0.00934425212361025	0.0161373617107666	0.00765580652700151	0.0118263779922886	0.0259498544025098	NA	0.0216422938738407	0.00963672562728693	0.0182744975906344	0.024453307011343	0.0561081936959148	0.0295748927622751	0.026474739071066	0.0331625002718599
OM2_C_4E	0.0629216679540233	0.0530043268337561	0.056303142361109	NA	0.0423606933115902	0	0.0455323955614487	0.0333478012183379	0.0455977123489133	0.0500187797546195	0.0178348006227892	NA	0.0632902843774694	0.047768570316893	0.0594678857431755	0.0657994369722381	0.0980365776978382	0.0211946134189024	0.0384003388925977	0.0144781663858229
OM2_C_4F	0.017469305609517	0.0106674888175239	0.0108806645783705	NA	0.00934425212361025	0.0455323955614487	0	0.0136478638586963	0.00193538655644579	0.00449621355318186	0.0278792894985007	NA	0.0185102005301135	0.00248154387080802	0.0144648906317907	0.0206551307106156	0.0530884960300923	0.0288439341162786	0.0203792205327259	0.0339581846858974
OM2_C_4G	0.0307736110420476	0.0196735215015656	0.0236435816994108	NA	0.0161373617107666	0.0333478012183379	0.0136478638586963	0	0.0145212431096846	0.0179450158235529	0.01556351184189	NA	0.0321405341453052	0.0161247917845808	0.028083614305744	0.0341829712319168	0.0665074794730895	0.0152112381530264	0.0119284890090663	0.0206482142867113
OM2_C_4H	0.0173684904473804	0.012201154850525	0.0113069051622411	NA	0.00765580652700151	0.0455977123489133	0.00193538655644579	0.0145212431096846	0	0.00478281641303531	0.0281035965293887	NA	0.0179465233523261	0.00235561283109133	0.0139801312769719	0.0202864584142358	0.0527194799964338	0.0296068693319911	0.0220374252290916	0.0344580228843248
OM2_C_5A	0.0129797100546147	0.00872868715884553	0.00653335362295432	NA	0.0118263779922886	0.0500187797546195	0.00449621355318186	0.0179450158235529	0.00478281641303531	0	0.0323729143254469	NA	0.0142495695305918	0.00242722827333869	0.0101794726453303	0.0162475347390968	0.0486506775357654	0.0331496841209877	0.0233057644513187	0.038393541336327
OM2_C_5F	0.0453348924450499	0.0352143730652941	0.0385690955977845	NA	0.0259498544025098	0.0178348006227892	0.0278792894985007	0.01556351184189	0.0281035965293887	0.0323729143254469	0	NA	0.0459915342829091	0.030189442534217	0.0420701927397443	0.0483774557517649	0.0807640383341866	0.00833317708685085	0.0225233923805883	0.00767148554991568
OM2_C_5G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM2_C_6E	0.00440242914771319	0.0177767229702883	0.0102035781005421	NA	0.0216422938738407	0.0632902843774694	0.0185102005301135	0.0321405341453052	0.0179465233523261	0.0142495695305918	0.0459915342829091	NA	0	0.0160511539867697	0.0040705817496783	0.00301079797382538	0.0348551706411247	0.0473387055011601	0.0367949286164075	0.0523789483979286
OM2_C_6F	0.015175362345766	0.010364664650095	0.00895439148195841	NA	0.00963672562728693	0.047768570316893	0.00248154387080802	0.0161247917845808	0.00235561283109133	0.00242722827333869	0.030189442534217	NA	0.0160511539867697	0	0.0120180150471873	0.0182498089323419	0.0506976262875425	0.0313140420613829	0.0225493729487846	0.0363739338199881
