	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_2	OM2_C_6E_2	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2
OM2_B_B_1	0	0.00527205829970874	0.0216029417345139	0.0149471818965402	0.00163683411902438	0.00452737881099865	0.00942890367848502	0.0246219179859457	0.00222691274610441	0.0110531343475595	0.0129448359275739	0.00287839879231551	0.0125525793029138	0.000653252772485744	0.01126388548591	0.0180088621714775	0.00895564465414331	0.00349386985949858	0.0249179311349752	0.0141336027772688	0.00504652130954497	0.00929266326634104	0.00852854920602632	0.0172385340902492	0.0143471250422463	0.0160259875445525	0.00316789824928065	0.0182991509792287	0.003527655747602	0.00882009896403005	0.0101869680044183	0.0096355566965825	0.00951152970876249	0.000515483071903813	0.00675498894452727	0.0171741204602966	0.00310841209645354	0.00972562437103987	0.00168815666523375	0.0119732403086447	0.00759030638399144
OM2_B_B_2	0.00527205829970874	0	0.0163315715698876	0.0202186617595535	0.0069088706326178	0.00979935176475562	0.00415692132152363	0.0193507905599529	0.0074989388839533	0.0057811999652402	0.00767297043786849	0.00815041192444087	0.0072806983746926	0.00461881134679852	0.00599195808471746	0.0127372503795399	0.00368365025721429	0.00177820044050877	0.0196468294728224	0.0194051359298503	0.0103184794630298	0.00402067735377253	0.0138003815366621	0.0119668771785316	0.0196186444504597	0.0107542643649891	0.00210417292352176	0.0130275567996641	0.00174441443846433	0.00354810127969636	0.00491500675509862	0.0149073393667288	0.00423954954349017	0.00578753562088843	0.00148295002653837	0.011902459882107	0.00838042024851862	0.00445365000869724	0.00358391330990843	0.00670133768287033	0.00231828214525871
OM2_B_B_3	0.0216029417345139	0.0163315715698876	0	0.0365458047810456	0.0232394729910676	0.0261293801423417	0.0121749576814666	0.00301957716975841	0.023829432111083	0.0105507424757454	0.00865900555433502	0.0244807798673951	0.00905127423378748	0.0209497980602897	0.0103399902447881	0.00359460072577767	0.0126482042560382	0.0181095770606165	0.00331565729315268	0.0357325499517434	0.026648394282692	0.0123111948766885	0.0301294525729963	0.0043650131606111	0.0359459880946465	0.00557767299289415	0.0184355096977021	0.00330427763097378	0.0180757951157112	0.012783745720857	0.0114169058311486	0.0312361122814527	0.0120923334575346	0.0221183339729284	0.0148487550976281	0.00442943340788939	0.0247107427574563	0.0118782429675557	0.0199150532312839	0.00963062650646329	0.0140134865589653
OM2_B_C_3	0.0149471818965402	0.0202186617595535	0.0365458047810456	0	0.0133104656264556	0.0104200579300778	0.024374835921603	0.0395637626869995	0.0127204223351386	0.0259987524957477	0.0278900514018987	0.0120689709075388	0.0274978815387653	0.01560037948646	0.0262094607378402	0.0329528036295016	0.0239016629272688	0.018440702419912	0.0398596704354408	0.000813640979983465	0.00990093043870971	0.0242386205291959	0.00641892789462521	0.0321826878210894	0.000600103164921608	0.0309704619562659	0.0181147690480103	0.0332430107202935	0.0184744842781831	0.0237661414211359	0.0251327572857064	0.00531190106739867	0.024457446678164	0.0144317390855831	0.0217013747896771	0.0321182916400719	0.0118389687249884	0.0246715014131295	0.0166351864252156	0.0269186675603035	0.0225365589943363
OM2_C_4A_1	0.00163683411902438	0.0069088706326178	0.0232394729910676	0.0133104656264556	0	0.00289055248176148	0.0110656752585196	0.0262583614330416	0.000590079410289905	0.0126898843234134	0.0145815567012641	0.00124156680222086	0.0141893064897567	0.00229008599862194	0.0129006324238233	0.0196454832733898	0.0105924219273716	0.00513069326607002	0.0265543653632544	0.0124968733202314	0.00340969743040911	0.0109294365131309	0.00689175000679038	0.0188751723797081	0.0127103989711135	0.0176626514132443	0.00480472327390416	0.0199357654150915	0.00516447897918188	0.0104568778178845	0.0118237298995754	0.00799876834331733	0.0111483002670096	0.00112135139185943	0.00839178913246713	0.0188107601539408	0.00147158070217517	0.0113623922432037	0.00332498743287059	0.0136099766246462	0.00922709856311614
OM2_C_4A_2	0.00452737881099865	0.00979935176475562	0.0261293801423417	0.0104200579300778	0.00289055248176148	0	0.0139560646498291	0.0291480991967523	0.00230047449692315	0.0155802278390801	0.0174718396539049	0.00164898782863739	0.017079602632357	0.0051806260053627	0.0157909695725689	0.022535566149228	0.0134828236233662	0.00802120241442318	0.0294440854434852	0.00960644620548526	0.000519146804968332	0.0138198294957507	0.00400122639511757	0.0217652892665935	0.00981997682022897	0.0205528192319446	0.00769523683067946	0.0228258351404192	0.00805498765774312	0.0133472829498451	0.0147140985828407	0.00510825861785489	0.014038687460934	0.00401189914582696	0.0112822417623346	0.0217008798265142	0.001418973971304	0.0142527736754774	0.00621551817297586	0.0165002916430506	0.0121175330762409
OM2_C_4B_1	0.00942890367848502	0.00415692132152363	0.0121749576814666	0.024374835921603	0.0110656752585196	0.0139560646498291	0	0.015194324646896	0.0116557268305764	0.0016242930759334	0.00351609062450292	0.0123071802342236	0.00312381203739597	0.00877567072334837	0.0018350536644987	0.00858049769143831	0.000473273740632031	0.00593510560863723	0.0154903796180846	0.0235613638073311	0.0144751732036063	0.000136244808809867	0.0179569259441653	0.00781010000273859	0.0237748584205768	0.00659745239420446	0.00626107408420069	0.00887081382033503	0.00590132000339934	0.000608823357787179	0.000758091157370613	0.0190638286870134	8.26287598938686e-05	0.00994436904070609	0.00267397737505145	0.00774568074262374	0.0125371813192736	0.00029673071705488	0.00774079221072062	0.00254444258105096	0.00183864571486362
OM2_C_4B_2	0.0246219179859457	0.0193507905599529	0.00301957716975841	0.0395637626869995	0.0262583614330416	0.0291480991967523	0.015194324646896	0	0.0268482874578176	0.0135701567900022	0.0116784675628732	0.0274995977898786	0.0120707270128638	0.0239688077140552	0.0133594102699362	0.00661415073234822	0.0156675563158401	0.0211287210361913	0.000296081250137683	0.0387505757151899	0.0296670809833581	0.015330557602392	0.033147907121935	0.00738455352164185	0.0389639961864739	0.00859719544677791	0.0214546391633639	0.0063238309229339	0.0210949405817662	0.0158030934194521	0.0144362956297072	0.0342544875170212	0.015111702974042	0.025137283204824	0.0178680312870989	0.00744897290140858	0.0277295472453203	0.0148976190232866	0.0229341138808517	0.0126500650219506	0.0170327928168843
OM2_C_4C_1	0.00222691274610441	0.0074989388839533	0.023829432111083	0.0127204223351386	0.000590079410289905	0.00230047449692315	0.0116557268305764	0.0268482874578176	0	0.0132799273306455	0.0151715882769325	0.000651487565571738	0.0147793405648343	0.00288016399144017	0.013490674235124	0.0202354764982019	0.0111824757781172	0.00572076636001258	0.0271442879235197	0.011906825663904	0.00281962008056319	0.0115194887511834	0.0063016798885053	0.0194651721684936	0.0121203524333354	0.0182526610024841	0.00539479710706789	0.0205257560981782	0.00575455199388878	0.0110469323032531	0.0124137776177968	0.00740870160556709	0.0117383514312021	0.00171143038985573	0.00898185229631663	0.019400760479696	0.000881501570221858	0.0119524423367053	0.00391506404427561	0.0142000142676876	0.00981715844030042
OM2_C_4C_2	0.0110531343475595	0.0057811999652402	0.0105507424757454	0.0259987524957477	0.0126898843234134	0.0155802278390801	0.0016242930759334	0.0135701567900022	0.0132799273306455	0	0.00189180156056165	0.0139313708008827	0.00149952178613261	0.0103999091291784	0.000210760821314472	0.00695624072218604	0.00209756621919959	0.00755937176732697	0.0138662170093866	0.0251853041874398	0.0160993271115492	0.001760537740419	0.0195810094267907	0.00618583613870766	0.025398792627106	0.00497317914304543	0.00788533754542231	0.00724655963723688	0.00752558643444342	0.00223311561559394	0.000866202313939748	0.0206878868074337	0.00154166439270615	0.011568593247927	0.00429826354299931	0.0061214163348578	0.0141613682593175	0.0013275625963683	0.00936504183758164	0.000920150916482604	0.00346293496214913
OM2_C_4C_3	0.0129448359275739	0.00767297043786849	0.00865900555433502	0.0278900514018987	0.0145815567012641	0.0174718396539049	0.00351609062450292	0.0116784675628732	0.0151715882769325	0.00189180156056165	0	0.0158230185702405	0.00039228018835363	0.0122916213326679	0.00168104098814013	0.00506446403414152	0.00398936190299997	0.00945112330766789	0.0119745331642001	0.0270766328229913	0.017990926835921	0.00365233478432331	0.0214725185411428	0.00429405332286088	0.027290113546669	0.00308138838894229	0.00977708513913959	0.00535478547729152	0.00941733837540487	0.00412491070755899	0.00275800219556157	0.0225793636540715	0.00343346223469934	0.0134602860294939	0.00619004644139801	0.00422963304484868	0.0160530112372376	0.00321936115406367	0.0112567696649899	0.000971651273050224	0.00535472351017843
OM2_C_4E_1	0.00287839879231551	0.00815041192444087	0.0244807798673951	0.0120689709075388	0.00124156680222086	0.00164898782863739	0.0123071802342236	0.0274995977898786	0.000651487565571738	0.0139313708008827	0.0158230185702405	0	0.0154307737328767	0.00353164914516989	0.0141421163230743	0.0208868629627952	0.0118339318366394	0.00637224526985815	0.0277955943438093	0.0112553696561132	0.00216813396055418	0.0121709429301679	0.00565020072879681	0.0201165661062257	0.0114688975977567	0.0189040661165174	0.00604627692892644	0.0211771396713561	0.00640603080629834	0.0116983891022817	0.0130652265437932	0.00675722585272591	0.0123898043602597	0.00236291699710524	0.00963331928393294	0.0200521550291918	0.000230014052721105	0.0126038940207226	0.00456654736852936	0.0148514515451799	0.0104686215537133
OM2_C_4E_3	0.0125525793029138	0.0072806983746926	0.00905127423378748	0.0274978815387653	0.0141893064897567	0.017079602632357	0.00312381203739597	0.0120707270128638	0.0147793405648343	0.00149952178613261	0.00039228018835363	0.0154307737328767	0	0.0118993623623019	0.00128876111589045	0.00545674017317919	0.00359708380613558	0.00905885555923147	0.0123667915629317	0.026684456617854	0.0175986924348496	0.00326005633169396	0.0210803036892918	0.00468633056400982	0.0268979389880597	0.00347366701080487	0.00938481828037217	0.00574706115564226	0.00902507053650506	0.00373263276306546	0.00236572295879109	0.0221871557348598	0.0030411835686568	0.0130680313419656	0.00579777147720393	0.00462191037020708	0.0156607674436908	0.00282708229277776	0.0108645072285626	0.000579371166834229	0.0049624471917136
OM2_C_4F_1	0.000653252772485744	0.00461881134679852	0.0209497980602897	0.01560037948646	0.00229008599862194	0.0051806260053627	0.00877567072334837	0.0239688077140552	0.00288016399144017	0.0103999091291784	0.0122916213326679	0.00353164914516989	0.0118993623623019	0	0.0106106613650938	0.0173556845966248	0.00830240968486736	0.00284061945682836	0.0242648243813405	0.0147868060733363	0.00569976724293373	0.00863942972029121	0.00918178339107274	0.0165853500753982	0.0150003268706595	0.0153727939815243	0.00251464737868971	0.0176459759067199	0.00287440539635976	0.00816686343783575	0.00953373850122631	0.0102887859495074	0.00885829711637413	0.0011687357007582	0.0061017460299614	0.0165209359201153	0.00376166208612712	0.00907239273393955	0.00103490430959576	0.0113200200403674	0.00693706621024784
OM2_C_4F_2	0.01126388548591	0.00599195808471746	0.0103399902447881	0.0262094607378402	0.0129006324238233	0.0157909695725689	0.0018350536644987	0.0133594102699362	0.013490674235124	0.000210760821314472	0.00168104098814013	0.0141421163230743	0.00128876111589045	0.0106106613650938	0	0.0067454835876832	0.00230832666233595	0.00777012801173975	0.0136554711278661	0.0253960156348382	0.0163100675663412	0.00197129829066519	0.0197917402447183	0.00597507822007087	0.0256095032429105	0.00476242018033666	0.00809609339306893	0.00703580282260638	0.0077363427190384	0.00244387601063794	0.00107696306260965	0.0208986141759572	0.00175242500308435	0.0117793434739058	0.00450902285152953	0.00591065835491909	0.0143721132779656	0.00153832325825056	0.0095757956778986	0.000709390145968336	0.00367369479009327
