	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_6E_1	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6G_2	OM2_C_6H_1	OM2_C_6H_2	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2
OM2_B_B_1	0	0.0119082950687639	0.00801886059138188	0.00639340676546715	0.0268698023161509	0.00858030998878083	0.0161710211482666	0.032757444686551	0.00114713832515947	0.0175128708293486	0.000505643444339285	0.014535923897814	0.028754730396005	0.00385444763935663	0.0216171277669182	0.0155682023467293	0.000106360687906574	0.00694197911399501	0.0303385905442848	0.00833389805119624	0.00321292987505741	0.00761001726705014	0.0162136267682493	0.00806235228277412	0.00271177753214486	0.0220608755822332	0.00819849561126957	0.0131750429100605	0.005382812161659	0.0101935137244038	0.0167313487478968	0.00278302449236159	0.0363068653458623	0.00377684213403667	0.000238508620333216	0.00776426008724173	0.0018523826378657	0.0184031233144767	0.00401912847970667	0.00384887428918814	0.00936118752494577	0.0177656463716035	0.0294373551212776	0.0264655297033246	0.0198685992954428	0.0145775813333719	0.0284321209071756	0.00853160010939128
OM2_B_B_2	0.0119082950687639	0	0.00388957070884451	0.0183011944724988	0.0387736224088016	0.0204878436015403	0.00426302849144434	0.0208521740146911	0.0130553682857931	0.0294189436061592	0.0114026767110248	0.0264425587561701	0.0406580079539725	0.0157624789333475	0.0335223029692932	0.0274746507915855	0.0120146501985526	0.0188497069283198	0.0422413893254967	0.0202414623389076	0.015121013951613	0.00429842064672798	0.00430563794584321	0.0199699497733157	0.00919662616873246	0.0101535663052023	0.00370993232047504	0.00126682094031161	0.0172907034528133	0.0221008337098114	0.00482340780682152	0.00912538120296725	0.0482076727744242	0.00813158678392636	0.011669798557132	0.0196718933007442	0.010055993534789	0.0303090134540326	0.00788930479800515	0.00805955597826147	0.00254721176692135	0.0296716679709293	0.0413404288938568	0.0383694622943974	0.0317741742339408	0.0264842088438347	0.0403354934231666	0.00337682082807025
OM2_B_B_3	0.00801886059138188	0.00388957070884451	0	0.0144119988167922	0.0348859562531734	0.0165987559323841	0.00815254918294825	0.0247409950977845	0.00916596819448757	0.0255304350689113	0.00751322825619253	0.0225538326604341	0.0367705404414796	0.011873174690501	0.029634134394204	0.0235859973645741	0.00812521875320803	0.0149605371051543	0.038354096196484	0.0163523618348354	0.0112316851334355	0.000408852455315417	0.00819515787217429	0.0160808353213229	0.00530712519003184	0.0140429311250565	0.000179639343055105	0.00515638226391876	0.013401462411827	0.018211834247847	0.00871291801465344	0.00523587875778975	0.04432109781545	0.00424206538451046	0.00778035739670348	0.0157827637741938	0.00616651137841233	0.0264205747244198	0.00399977920277447	0.00417003331400775	0.00134236384438592	0.0257831790327708	0.0374530357030701	0.0344817547943502	0.0278858551664212	0.0225954856235912	0.0364479912268472	0.000512752362192288
OM2_B_C_1	0.00639340676546715	0.0183011944724988	0.0144119988167922	0	0.020477654751615	0.00218694649506186	0.0225635766839301	0.0391478339478244	0.00524628236471539	0.0111199114271325	0.00689904213238925	0.00814278937870338	0.0223627941276978	0.00253898174119943	0.0152244757570807	0.00917512398398559	0.0062870476252001	0.000548581136872155	0.0239468441501777	0.00194052858319015	0.00318050051144748	0.0140031764616926	0.0226061784316139	0.00166897655391776	0.00910512706767069	0.0284528136201209	0.0145916243750841	0.0195678491200927	0.0010106071661247	0.00380019622514337	0.0231238526668062	0.00917637206274	0.0299159352580268	0.010170159824455	0.00663191172378087	0.00137087787550151	0.00824575401415963	0.0120102241041519	0.0104124381867541	0.010242189634778	0.0157542513797973	0.0113727036943663	0.023045499307305	0.0200733388998482	0.0134758069980013	0.00818444898645432	0.0220401473434857	0.0149247109269073
OM2_B_C_2	0.0268698023161509	0.0387736224088016	0.0348859562531734	0.020477654751615	0	0.0182910004941045	0.0430340660828992	0.0596081384203839	0.0257229483949239	0.0093585011225043	0.0273753122555736	0.012335597592479	0.00188544523793537	0.0230162087958597	0.00525376061105403	0.011303286491817	0.0267634690757944	0.0199291535354507	0.00346979183866588	0.0185373889950224	0.023657604433767	0.0344772814653301	0.0430766470653501	0.0188089075794247	0.0295808054654892	0.0489201701758207	0.0350655161811051	0.0400397296944126	0.0214881030749176	0.0166779212767279	0.0435940667689508	0.0296520301429525	0.00944032428859607	0.0306455266055168	0.0271082485843745	0.0191069682947814	0.0287216715296675	0.00846817101983872	0.0308877317170621	0.0307175347297796	0.0362277066718837	0.00910570507981156	0.00256827381160873	0.000404374779031402	0.00700253434260387	0.0122939392344125	0.00156274247277265	0.0353984797498127
OM2_B_C_3	0.00858030998878083	0.0204878436015403	0.0165987559323841	0.00218694649506186	0.0182910004941045	0	0.024750079390775	0.0413334839038473	0.00743319811451541	0.00893304271559176	0.00908593917082582	0.00595588090470637	0.0201761994189562	0.00472591878722731	0.0130376844400839	0.00698822773513363	0.00847395209778085	0.00163836606514895	0.0217603036995154	0.000246418287916418	0.00536743355956456	0.0161899435149248	0.0247926795261842	0.000517970620622279	0.0112919923643755	0.0306390653588013	0.0167783770394679	0.0217544578107955	0.00319755111816359	0.00161325454495589	0.0253103339339338	0.0113632362051656	0.0277296337879943	0.0123570070219589	0.00881881208032293	0.000816069499050991	0.0104326325968475	0.00982336996086567	0.0125992810142491	0.0124290355428503	0.0179409739794378	0.00918583899413129	0.0208589275109108	0.0178866725823686	0.0112889795154948	0.00599754097364911	0.0198535420554138	0.0171114552000239
OM2_C_4A_1	0.0161710211482666	0.00426302849144434	0.00815254918294825	0.0225635766839301	0.0430340660828992	0.024750079390775	0	0.0165896991658928	0.0173180419381527	0.0336804301607651	0.015665424607673	0.0307043218877636	0.0449182098633374	0.0200250127579288	0.0377833644064057	0.0317363210519011	0.016277371588187	0.0231120537852451	0.0465013799139831	0.0245037153573185	0.0193835829503658	0.00856139110456724	4.26097458710994e-05	0.0242322215634511	0.0134594599862221	0.0058906329211596	0.0079729141511092	0.00299621355562539	0.0215531483813879	0.0263629521264423	0.000560383600087092	0.0133882175435396	0.0524668002637721	0.0123944566736812	0.0159325350262164	0.0239341854382929	0.014318795676707	0.0345704121020761	0.0121521824010593	0.0123224281802759	0.00681021287554802	0.0339331298084956	0.0456005406405964	0.0426299564427516	0.0360354229772247	0.0307459682900705	0.0445957374612993	0.00763980861520154
OM2_C_4A_2	0.032757444686551	0.0208521740146911	0.0247409950977845	0.0391478339478244	0.0596081384203839	0.0413334839038473	0.0165896991658928	0	0.0339041127810684	0.0502597652966715	0.0322519985929124	0.0472851174417008	0.0614910993351472	0.0366101887320209	0.0543605163236342	0.0483166219550411	0.0328637630894183	0.0396961024747761	0.0630732438179791	0.0410872187905802	0.0359689788924563	0.025149752757801	0.0165470938237868	0.0408158331733647	0.030046654386528	0.0106994612932887	0.0245613964447676	0.0195855469516146	0.0381377805203135	0.0429456912765968	0.0160293716787946	0.0299754310025103	0.0690345411185509	0.0289819295911662	0.0325190299120646	0.0405179147937672	0.030905755365189	0.0511492903604797	0.0287397167637267	0.0289099194396512	0.0233989211214019	0.0505123361612678	0.0621729916434258	0.0592042771396499	0.0526135290077388	0.0473267441245444	0.0611688322874877	0.0242283573273228
OM2_C_4A_3	0.00114713832515947	0.0130553682857931	0.00916596819448757	0.00524628236471539	0.0257229483949239	0.00743319811451541	0.0173180419381527	0.0339041127810684	0	0.016365850903177	0.00165278142145996	0.0133888660732512	0.0276079184794779	0.00270731365129546	0.0204701719211658	0.0144211568446143	0.00104077768311628	0.00579485748476168	0.0291918161336148	0.00718678456841054	0.00206579430929233	0.00875712774258326	0.0173606469559758	0.00691523708530771	0.00385891149456768	0.0232077983753716	0.0093456019077441	0.0143221021616427	0.00423568330596781	0.00904641361541614	0.0178783614946391	0.00393015825735431	0.0351602503413306	0.00492397270194679	0.00138564680797012	0.00661714307743444	0.0029995186475648	0.0172561161249869	0.00516625814276484	0.00499600459323733	0.0105082847058538	0.0166186299962485	0.0282905591220403	0.0253186671458855	0.0187216144763611	0.0134305239892198	0.0272853015985477	0.00967870391093312
OM2_C_4B_1	0.0175128708293486	0.0294189436061592	0.0255304350689113	0.0111199114271325	0.0093585011225043	0.00893304271559176	0.0336804301607651	0.0502597652966715	0.016365850903177	0	0.0180184567738926	0.00297721834791471	0.0112438763236897	0.0136587548280114	0.00410481191432335	0.00194485829784552	0.0174065218222208	0.0105713533953745	0.012828145981042	0.00917945377392502	0.0143002304577465	0.0251216777602731	0.033723022200698	0.00945099768881561	0.0202243019032536	0.039568182460927	0.0257100316162924	0.0306853477048554	0.0121304697204248	0.00731982588464529	0.0342405772741484	0.0202955384973285	0.0187982404221783	0.0212892047856067	0.0177513527326232	0.00974908678129729	0.0193650269463297	0.000890355091941381	0.0215314523192656	0.0213612254802588	0.0268724644756137	0.000252803673643854	0.011926673760267	0.00895413831376184	0.0023560214348085	0.00293555787690499	0.0109211872061299	0.0260430636750002
