	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_2	OM2_C_4H_2	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_H_2A_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2
OM2_C_5G_2	0.0148749283262175	0.0201418395820427	0.0182121284984888	0.00777084187711573	0.0107604214213611	0.00370966414126552	0.0170209402736884	0.0175768840038893	0.00124276963245005	0.0105627480833849	0.0130237244764207	0.0149086489524378	0.0136472464545356	0.00426181270801445	0.0203533751410339	0.0044519100547191	0.0230405990768732	0.0223492554501938	0.0166936724547528	0.0242908171873998	0	0.00523588789813949	0.00634755881992801	0.0030740225722199	0.028039242882102	0.0113892691605478	0.00546224134818925	0.0081993989926477	0.00376232416976728	0.0127091466783219	0.0140788333983373	0.0130938061032101	0.00996064830552179	0.00242669583500868	0.0203412652967424	0.00404658885544725
OM2_C_5G_3	0.0114269243776439	0.0153571694024804	0.0130227149668984	0.0025509685125796	0.00603290626976357	0.00613451011838722	0.0125707941704376	0.0123414966127002	0.00447731933936709	0.0053420067551443	0.0180374383678188	0.0198984377721632	0.00918245860591576	0.00945320373514726	0.0254444675161332	0.00844975189671444	0.0181071361532203	0.0171321159100073	0.0115353030198975	0.0193772669341801	0.00523588789813949	0	0.00920941606066838	0.00795911051003496	0.0228844306423517	0.00640270831281584	0.00919306720839068	0.00361368331396332	0.00502435975560848	0.00757785397327395	0.00909026836986637	0.0181750247227796	0.0151934086145416	0.00753280564014125	0.0152549760488948	0.00140894645019353
OM2_C_6E_1	0.0204289874504852	0.0243902789107335	0.0213551761818477	0.0114148340927053	0.015213711366367	0.0100237128209367	0.0217649279114718	0.0201771745952314	0.00746497817553883	0.0139029669529755	0.0149639916442788	0.0123712277360847	0.0183864513934317	0.00740915684065239	0.0213366394788595	0.00996351129352879	0.0269576718388974	0.0251474122848365	0.0200505926038007	0.0282397393808996	0.00634755881992801	0.00920941606066838	0	0.00793169691939823	0.0311585375737856	0.0154280733488818	0.00164746120474398	0.0128187277101823	0.00418758543305913	0.0163316423758753	0.0180312715010069	0.0111877916626949	0.0101021320833908	0.00709662267548357	0.023878930201181	0.00784799038177058
OM2_C_6E_2	0.0159331755565031	0.0220345987116847	0.0206287765713971	0.0103869021795134	0.0128390316922945	0.00346591050567095	0.01868692021702	0.0201780512180481	0.00348344136745275	0.0131294259508607	0.0100835413369663	0.0133884210045071	0.015423728894588	0.00189296778159893	0.0174875795379915	0.00207161605739134	0.025055052847791	0.0248196155485178	0.019063387882387	0.0262723929852394	0.0030740225722199	0.00795911051003496	0.00793169691939823	0	0.0303362928308785	0.0136455774202949	0.00654960675186016	0.0103516467241276	0.00659214398203142	0.0150893339111438	0.0162713938788676	0.0114175258029882	0.00772834325904659	0.00086077002354571	0.0225684479359725	0.00695196645749394
OM2_C_6F_1	0.0172480997477401	0.00926322227766909	0.00988320967259234	0.0203386495882045	0.0175215102254294	0.0273627222295643	0.012919964432631	0.0110175427551407	0.027067592506649	0.0175696396798302	0.0399414001517514	0.0427470791031373	0.0154057783047019	0.0320717297007316	0.0473423217116257	0.0300046007111384	0.00618159796192205	0.00607796450835683	0.0113525984451975	0.00551790667051556	0.028039242882102	0.0228844306423517	0.0311585375737856	0.0303362928308785	0	0.0167018854508629	0.031660362237398	0.0199880699251471	0.0272790918792188	0.0153326773595985	0.014072255820166	0.0410510530103488	0.0379448099359598	0.0301291814156347	0.00778760856774463	0.0242354221339639
OM2_C_6F_2	0.00710909986097471	0.00897853922593098	0.00703020091566178	0.00401376008488962	0.00122271091152463	0.010808496505416	0.0065304876757885	0.00697119102037342	0.0103773202564804	0.00209480434216385	0.0234149708799337	0.0262436658576498	0.00345028558431098	0.0153736168894085	0.0308591564477405	0.0134530382049419	0.0117095994031532	0.0112438033147863	0.0054387938940037	0.0129773479985153	0.0113892691605478	0.00640270831281584	0.0154280733488818	0.0136455774202949	0.0167018854508629	0	0.0155620204915475	0.00329976312187956	0.011271079539653	0.00160388181916696	0.00269758815956069	0.0244711859740688	0.0212538286795161	0.0134310797063725	0.00895985994180021	0.00780860207780098
OM2_C_6F_3	0.0200732024414885	0.0245355456445301	0.0218005953349978	0.0115747268700903	0.0152200498061937	0.00899088862307667	0.0217323436198696	0.0207520598766015	0.00667150746712792	0.0142048915747959	0.0133402621314105	0.0113740093322285	0.0183332169324	0.00584267225323137	0.019814010964225	0.00861396797747815	0.0272169447983944	0.0257072003718044	0.0204279735513561	0.0284944957304579	0.00546224134818925	0.00919306720839068	0.00164746120474398	0.00654960675186016	0.031660362237398	0.0155620204915475	0	0.0127345382528145	0.00438459092027588	0.0165963360544019	0.0182217401341558	0.0100125023198295	0.0085654890842477	0.0057505904623294	0.0242333779443783	0.00778722155901941
OM2_C_6G_1	0.00794914012792849	0.011957119730683	0.0103207267756957	0.0022083362216253	0.00256206872598695	0.00753918425471183	0.00899940561683325	0.0101047674175282	0.00713336119347967	0.00339789462813782	0.0201309317860388	0.0231025165798861	0.00559936033822193	0.0120968970659227	0.0275785302813594	0.0101759358242604	0.014844161038564	0.0145311309413451	0.0087357660416187	0.0160930002212051	0.0081993989926477	0.00361368331396332	0.0128187277101823	0.0103516467241276	0.0199880699251471	0.00329976312187956	0.0127345382528145	0	0.00863663034385657	0.00480687628214378	0.0059292035334051	0.021289948397727	0.0179876809455911	0.0101591148884498	0.0122262897639709	0.00497822373678765
OM2_C_6G_2	0.0163297177119118	0.0202457559714427	0.0174167862062989	0.00726036672367847	0.0110281662517207	0.00722218071529206	0.0175789006518915	0.0163878640525328	0.00438719405833456	0.00983525565968396	0.015879502202795	0.0156309430461164	0.0141994584585854	0.0071411793161047	0.0229329380834471	0.00820006385997345	0.0228722688586348	0.021335700104382	0.0160483323283911	0.0241522529734693	0.00376232416976728	0.00502435975560848	0.00418758543305913	0.00659214398203142	0.0272790918792188	0.011271079539653	0.00438459092027588	0.00863663034385657	0	0.0122413839169644	0.0139013278117322	0.0141183208751485	0.0119015512444774	0.00578281697543673	0.0198592596434346	0.00368103976483381
OM2_C_6G_3	0.00785603664487117	0.0081403165061365	0.00554019287196874	0.00505606484723454	0.00278640424304886	0.0123449727871201	0.00630163140444148	0.00536888359562318	0.0117542982361564	0.00243886468254225	0.0249344764926618	0.0274743208369469	0.00386130965924054	0.0167778326698312	0.0323821124916999	0.0149824878509908	0.0106337433120807	0.00973842600682166	0.00398828293950072	0.0119150028223441	0.0127091466783219	0.00757785397327395	0.0163316423758753	0.0150893339111438	0.0153326773595985	0.00160388181916696	0.0165963360544019	0.00480687628214378	0.0122413839169644	0	0.00184082317456887	0.0257434335096909	0.022632626726806	0.0148317999159144	0.00767968441722423	0.00895563976371648
OM2_C_6H_1	0.00670781882912046	0.00636914718187852	0.00465516310822047	0.00664858009544518	0.00345648912134439	0.0133201076433146	0.00451585360923556	0.00518162611679594	0.0130503286898583	0.00422209384467018	0.0259278240561352	0.0289401043008118	0.00271130265871269	0.0180255057565561	0.0333572940533864	0.0159677797179476	0.00901756599335234	0.00882353592179153	0.00305643917390202	0.0102886657459197	0.0140788333983373	0.00909026836986637	0.0180312715010069	0.0162713938788676	0.014072255820166	0.00269758815956069	0.0182217401341558	0.0059292035334051	0.0139013278117322	0.00184082317456887	0	0.0271644380338003	0.0239150523761543	0.0160875924151495	0.00629857160747727	0.010492725665598
OM2_H_2A_2	0.027346299272559	0.0332097674489453	0.0311854207504426	0.0207202089816302	0.023848645507688	0.0148704054535226	0.0299916788945945	0.0303628694972802	0.0141805186227774	0.0234957545672516	0.00812526359585929	0.00205666596713825	0.0266619133374674	0.00952480344840809	0.0114661282732167	0.0127114058410474	0.0361286179950373	0.0352477599747016	0.0297075213218765	0.03737635604792	0.0130938061032101	0.0181750247227796	0.0111877916626949	0.0114175258029882	0.0410510530103488	0.0244711859740688	0.0100125023198295	0.021289948397727	0.0141183208751485	0.0257434335096909	0.0271644380338003	0	0.00421213186993284	0.0113173943309312	0.0334048506622879	0.01682704897908
OM2_H_2B_3	0.0235096498887512	0.029757073442486	0.0281540619357436	0.0177308660259973	0.0205119120504428	0.0110760062829753	0.0264089433137164	0.0275308599615163	0.0108824208200823	0.020522010612002	0.00533210183914787	0.00626298996213894	0.0231501671115171	0.00589988578234061	0.0112494718802697	0.00872688011233027	0.0327627088308931	0.0323032888630629	0.0266198538440451	0.0339861606803645	0.00996064830552179	0.0151934086145416	0.0101021320833908	0.00772834325904659	0.0379448099359598	0.0212538286795161	0.0085654890842477	0.0179876809455911	0.0119015512444774	0.022632626726806	0.0239150523761543	0.00421213186993284	0	0.00782951129135876	0.0302071440555437	0.0139468295657747
OM2_H_2C_1	0.0161078643824614	0.0219671619339704	0.0203657760643094	0.0100188337628011	0.0126849288804917	0.00377375257374837	0.0186878999889713	0.0198353213545501	0.00308970309483909	0.012791067521581	0.0106010805075057	0.0132429330811622	0.0153802922094324	0.00194632370658894	0.0179514851398222	0.002870794349827	0.0249492024519815	0.0245380736370742	0.018817279966749	0.0261793661553067	0.00242669583500868	0.00753280564014125	0.00709662267548357	0.00086077002354571	0.0301291814156347	0.0134310797063725	0.0057505904623294	0.0101591148884498	0.00578281697543673	0.0148317999159144	0.0160875924151495	0.0113173943309312	0.00782951129135876	0	0.0223820718903626	0.00643242027161774
OM2_H_2F_1	0.0102502630690175	0.00314341393079546	0.00279903190789819	0.0127342843036173	0.00973910148194131	0.0195769981017912	0.0058736941424941	0.00474366799248998	0.0193359284382265	0.0100313745070603	0.032162417267633	0.0351478758366642	0.00773273809102309	0.0243212246196718	0.0395719566426969	0.0222197550018367	0.00338474841686522	0.00349094500049002	0.00383324913242848	0.00460461046661009	0.0203412652967424	0.0152549760488948	0.023878930201181	0.0225684479359725	0.00778760856774463	0.00895985994180021	0.0242333779443783	0.0122262897639709	0.0198592596434346	0.00767968441722423	0.00629857160747727	0.0334048506622879	0.0302071440555437	0.0223820718903626	0	0.0166347891272329
OM2_H_2F_2	0.0126660434924672	0.0167659103840256	0.0143619050043875	0.00390369166806741	0.00743420899750492	0.00568547531304605	0.0139619168085668	0.0136031800966731	0.00351036938963598	0.00666990755531464	0.0170194859127887	0.0185276797953439	0.0105681533360064	0.00830739579669019	0.0243826904401412	0.00772386868494476	0.0195089743909389	0.0184405745846364	0.012894468549255	0.0207802764809289	0.00404658885544725	0.00140894645019353	0.00784799038177058	0.00695196645749394	0.0242354221339639	0.00780860207780098	0.00778722155901941	0.00497822373678765	0.00368103976483381	0.00895563976371648	0.010492725665598	0.01682704897908	0.0139468295657747	0.00643242027161774	0.0166347891272329	0
