	OM1_B_B	OM1_B_C	OM1_C_1A	OM1_C_1B	OM1_C_1D	OM1_C_1E	OM1_C_1F	OM1_C_2A	OM1_C_2C	OM1_C_2F	OM1_C_2G	OM1_C_2H	OM1_C_3D	OM1_C_3E	OM1_C_3F	OM1_H_1B	OM1_H_1C	OM1_H_1D	OM1_H_1G
OM1_B_B	0	0.0129738838394663	NA	0.00642398958667243	0.0105716042059341	0.00635702747380178	0.0122409982517289	0.0193294859467821	NA	0.00779394437284959	0.0151151337179035	0.011349326216573	NA	0.0197712918015079	0.0153015947743379	0.0109253256235831	NA	0.0192395262647248	0.0180144706240423
OM1_B_C	0.0129738838394663	0	NA	0.0193973108075828	0.00240239406665323	0.00661704598350055	0.000732926005451894	0.00635615525289221	NA	0.00518012143242908	0.00214139565499502	0.00162464069595909	NA	0.00679801306131721	0.00232787135811808	0.00204865906111724	NA	0.00626618520712748	0.00504099567650191
OM1_C_1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_1B	0.00642398958667243	0.0193973108075828	NA	0	0.0169951919824312	0.0127808352377854	0.0186644770033112	0.0257523636240902	NA	0.0142176860329509	0.021538395695437	0.0177728647458925	NA	0.0261941246187797	0.0217248414187748	0.0173488913356591	NA	0.0256624129700548	0.024437476691323
OM1_C_1D	0.0105716042059341	0.00240239406665323	NA	0.0169951919824312	0	0.004214675171536	0.00166946908100512	0.00875850294111863	NA	0.00277773936244634	0.00454378161370694	0.000777754423988712	NA	0.00920035502431994	0.00473025624912219	0.000353735609612047	NA	0.00866853402127887	0.00744335848175884
OM1_C_1E	0.00635702747380178	0.00661704598350055	NA	0.0127808352377854	0.004214675171536	0	0.00588412988143528	0.0129730119780826	NA	0.00143694165076122	0.00875839857920759	0.00499242391450925	NA	0.0134148497418565	0.00894486953671402	0.00456840841672979	NA	0.0128830459040729	0.0116579067656516
OM1_C_1F	0.0122409982517289	0.000732926005451894	NA	0.0186644770033112	0.00166946908100512	0.00588412988143528	0	0.00708906980708708	NA	0.00444720128582095	0.00287432009587793	0.000891715058828639	NA	0.00753092605637088	0.00306079555244447	0.00131573374102789	NA	0.00699910006664414	0.00577391428446639
OM1_C_2A	0.0193294859467821	0.00635615525289221	NA	0.0257523636240902	0.00875850294111863	0.0129730119780826	0.00708906980708708	0	NA	0.0115361449471334	0.00421477948716898	0.00798076737124502	NA	0.000441864426701715	0.00402830455931249	0.00840477636242969	NA	8.99712879573171e-05	0.00131517418466214
OM1_C_2C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_2F	0.00779394437284959	0.00518012143242908	NA	0.0142176860329509	0.00277773936244634	0.00143694165076122	0.00444720128582095	0.0115361449471334	NA	0	0.00732148891190546	0.0035554911202347	NA	0.0119779882049811	0.00750796138174335	0.00313147390404337	NA	0.011446177778246	0.0102210245320558
OM1_C_2G	0.0151151337179035	0.00214139565499502	NA	0.021538395695437	0.00454378161370694	0.00875839857920759	0.00287432009587793	0.00421477948716898	NA	0.00732148891190546	0	0.00376603180664015	NA	0.00465664090787613	0.000186476025443516	0.00419004834039327	NA	0.00412480874139145	0.00289961087400772
OM1_C_2H	0.011349326216573	0.00162464069595909	NA	0.0177728647458925	0.000777754423988712	0.00499242391450925	0.000891715058828639	0.00798076737124502	NA	0.0035554911202347	0.00376603180664015	0	NA	0.00842262150159109	0.00395250686948288	0.000424018854754686	NA	0.00789079804746028	0.00666561744145148
OM1_C_3D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_3E	0.0197712918015079	0.00679801306131721	NA	0.0261941246187797	0.00920035502431994	0.0134148497418565	0.00753092605637088	0.000441864426701715	NA	0.0119779882049811	0.00465664090787613	0.00842262150159109	NA	0	0.00447016622805826	0.00884662939970376	NA	0.000531835707328728	0.00175703825746546
OM1_C_3F	0.0153015947743379	0.00232787135811808	NA	0.0217248414187748	0.00473025624912219	0.00894486953671402	0.00306079555244447	0.00402830455931249	NA	0.00750796138174335	0.000186476025443516	0.00395250686948288	NA	0.00447016622805826	0	0.00437652317990202	NA	0.00393833376610874	0.00271313535716249
OM1_H_1B	0.0109253256235831	0.00204865906111724	NA	0.0173488913356591	0.000353735609612047	0.00456840841672979	0.00131573374102789	0.00840477636242969	NA	0.00313147390404337	0.00419004834039327	0.000424018854754686	NA	0.00884662939970376	0.00437652317990202	0	NA	0.0083148072541974	0.00708962934659487
OM1_H_1C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_H_1D	0.0192395262647248	0.00626618520712748	NA	0.0256624129700548	0.00866853402127887	0.0128830459040729	0.00699910006664414	8.99712879573171e-05	NA	0.011446177778246	0.00412480874139145	0.00789079804746028	NA	0.000531835707328728	0.00393833376610874	0.0083148072541974	NA	0	0.00122520294692319
OM1_H_1G	0.0180144706240423	0.00504099567650191	NA	0.024437476691323	0.00744335848175884	0.0116579067656516	0.00577391428446639	0.00131517418466214	NA	0.0102210245320558	0.00289961087400772	0.00666561744145148	NA	0.00175703825746546	0.00271313535716249	0.00708962934659487	NA	0.00122520294692319	0
