	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.0142127641408753	0.033136446846684	0.057746602154301	0.0894860140424568	0.0738842655739625	0.0829018956824369	0.100955959531336	0.0994053457208905	0.118069020002602	0.135246195739859	0.112772257165837	0.111461611320712	0.125307177325436	0.107030474072991	0.108161846601315	0.131997775148827	0.0857736884648217	0.0829185295468767	0.108361993420318	0.0281331221718542	0.05277518719737	0.0611172056594586	0.0411045255967751	0.0498699733780197	0.0717579723203996	0.142108357676778	0.147104390254487	0.102466913094348	0.120125045019347	0.110030040240096	0.0298699276542206	0.0266995428996578	0.0435658547861791	0.0543023381040831	0.083358176785336	0.0900878505729724	0.0954972900206009	0.103759410146939	0.0946762795847661	0.107487176175229	0.107013616488544	0.06917128911877	0.0699768330788259	0.0933007733067272	0.0535779135175035	0.0510851113081478	0.0897777590050159
OM1_B_B_2	0.0142127641408753	0	0.0291402986975304	0.0512050762379982	0.0872834631382438	0.0671359849662908	0.0782443045192053	0.097368447522955	0.0959567401171569	0.115380053780562	0.133349961274539	0.108765661083442	0.107112688131779	0.121784021400811	0.102380690989241	0.103475818942892	0.129293204228731	0.0812637226215511	0.0783212884366037	0.104097395274104	0.0229835169457285	0.0476395135980665	0.0577074295812011	0.0362200677138342	0.0445659258956131	0.0702166517475733	0.143773847085073	0.14893344587657	0.100590001667296	0.119208466649124	0.109051920779038	0.0233605380731419	0.0247178187054486	0.0386457925769061	0.0510337581432875	0.0793313915889816	0.0858585631107224	0.0907975473912633	0.0998301872692257	0.0926506659582473	0.104810254110298	0.104780344451324	0.0653902560686363	0.0658054037710183	0.0898765995436722	0.0490650937256736	0.0455906119399268	0.0857510035959921
OM1_B_B_3	0.033136446846684	0.0291402986975304	0	0.0287311210029571	0.0615375987215022	0.04335980876021	0.0509434442809179	0.0699427990327285	0.0690950554069578	0.0881008791525167	0.106817203809487	0.081595491111979	0.0794876572635196	0.0942527718592027	0.0752631187478664	0.07640044051702	0.102516830053368	0.0537642096403881	0.0510803631689503	0.0766988996196579	0.0148877629068842	0.0243192304589806	0.0305468158669703	0.0133037320396163	0.022304672617657	0.0428477577902565	0.128596715957111	0.13260176053462	0.0752128453340436	0.0946274160837823	0.0856433474833865	0.0344216923743068	0.0196806920524761	0.0139271678201581	0.0251093804499666	0.0521449049314192	0.0578927347585688	0.0636056250190365	0.0718379961660568	0.0659074391631391	0.0787708606259033	0.0775889485841344	0.0376694872318214	0.0384032338795346	0.0617421538882278	0.0279675605974786	0.0209488528599101	0.0574062387300527
OM1_C_1A_1	0.057746602154301	0.0512050762379982	0.0287311210029571	0	0.0568441424746156	0.0167465674860949	0.0319347979105279	0.0569840679668088	0.0554771501266695	0.0764445062745532	0.0978381397536714	0.0667719752441577	0.061682157654051	0.0798070750789941	0.0537079740193932	0.0581085272840294	0.0914539037935596	0.0333945594729808	0.029908609335793	0.0616061627604441	0.0307690666348427	0.00839700062398611	0.0190729153006874	0.020364170728135	0.00965895104321081	0.0381431951893916	0.136161549436579	0.139200385631971	0.069598199287169	0.0913672881460108	0.0842702412022134	0.0457217658746476	0.0357002718590337	0.0177064905040007	0.0192198697696798	0.0362790757851116	0.0417455278677824	0.0426716765531784	0.0554785812910275	0.0593513791830355	0.0711017208241755	0.0688300619509384	0.026075645522181	0.0231643774458881	0.0453267560320841	0.0148608623583261	0.0119089004446574	0.0420822236466793
OM1_C_1A_2	0.0894860140424568	0.0872834631382438	0.0615375987215022	0.0568441424746156	0	0.0518393662187466	0.0362839520594753	0.0221836002117819	0.0211510290022354	0.0320094942008983	0.0466967573109249	0.0315777683731096	0.0386684505536765	0.0408752763257611	0.0449923090753244	0.0355790390809717	0.043695850508974	0.0417181921204872	0.0429435327332671	0.0298911738114905	0.0717417590454583	0.0584156107200651	0.0422914386516098	0.0619269444351314	0.060725333729203	0.0238429684173761	0.0861494478092182	0.0872754333958496	0.0150540234540573	0.0374247816582622	0.0283722431976736	0.0936293479416333	0.0779799434288689	0.0541546064927404	0.0526609019705116	0.0279648699971067	0.0339346033334993	0.0411723997184938	0.031904445096691	0.0128527616917263	0.0230066033183647	0.0206735259449719	0.0335139318531291	0.0401044674590123	0.0305178981353041	0.0654021735342849	0.0552443886553478	0.0325334466421604
OM1_C_1A_3	0.0738842655739625	0.0671359849662908	0.04335980876021	0.0167465674860949	0.0518393662187466	0	0.0213186774396928	0.0468823972900659	0.0450862242988326	0.0660582528560057	0.0878884203256437	0.0549237269970595	0.0483121946217495	0.0672090622848814	0.0389722125147644	0.0447259931324771	0.0805758717166736	0.0212915492384825	0.0180376034974907	0.049151801634626	0.0473133844140186	0.0234102161483635	0.0237026595692169	0.0356620963784009	0.0256121971078119	0.0374438981609081	0.135359244381181	0.137544246302365	0.0633479932739188	0.085428142653221	0.0794313318224647	0.0617818281445972	0.0521180088798194	0.0317305936256138	0.0291075227775827	0.0278352906733108	0.0317713954480029	0.029507892562391	0.0429248720003526	0.0534167809116444	0.063580985127254	0.0599606028690262	0.0246097705708922	0.0213001857526837	0.0343860440960441	0.0276687535440961	0.0257471359941004	0.0318292972630175
OM1_C_1B_1	0.0829018956824369	0.0782443045192053	0.0509434442809179	0.0319347979105279	0.0362839520594753	0.0213186774396928	0	0.0275879154606802	0.0290447815984622	0.0473169342015235	0.069159396047459	0.0367383687763279	0.0303068257894754	0.0493355597713228	0.0252282487793309	0.0282287506427252	0.0624912054417099	0.00884811618971296	0.0108223804269649	0.0322016407714928	0.0580361670642906	0.035038743052768	0.0236440413695214	0.0443179415116513	0.0383959588878199	0.025904028318506	0.121512540095087	0.123079957597972	0.0456593192350712	0.0670308613621217	0.0632405062275452	0.0762231996472252	0.0623597340717681	0.0404609913266396	0.0319820501121254	0.0114708601397254	0.0124974712481965	0.0137475228437925	0.0249082972780122	0.0348265862811862	0.0447188870205983	0.0421970643024401	0.0160996913785847	0.0152256567477167	0.0150607193158467	0.0396823013063369	0.0345701803047192	0.0160326692153274
OM1_C_1B_2	0.100955959531336	0.097368447522955	0.0699427990327285	0.0569840679668088	0.0221836002117819	0.0468823972900659	0.0275879154606802	0	0.0133470596708307	0.0206812624870783	0.0422560333508688	0.012403563076518	0.0173005399179114	0.0258997066883729	0.0264881509153014	0.0152893384502923	0.0357022741525555	0.0314898090929333	0.034229048767131	0.0130417250999563	0.0789256133147028	0.0595900696072989	0.0441392457823469	0.0665106328833295	0.0627980287934017	0.0314412986111173	0.101539223198186	0.102158887467627	0.0232969532265892	0.0420086073371881	0.0409954151329201	0.0991772243422314	0.084375293180035	0.0608144474804124	0.0543860197433363	0.0216552427868296	0.0205817083087977	0.0251736998611922	0.0137929829997242	0.0161026902063975	0.0196872268113584	0.0189042813639592	0.0340095308858919	0.0373506852446751	0.0174278787623348	0.0653364062566048	0.0575047869538765	0.0217709998082049
OM1_C_1B_3	0.0994053457208905	0.0959567401171569	0.0690950554069578	0.0554771501266695	0.0211510290022354	0.0450862242988326	0.0290447815984622	0.0133470596708307	0	0.0243169863734447	0.0441415243987371	0.0186561381094611	0.0231044373694433	0.0281357463984427	0.0268057691039344	0.0181336039363253	0.0374944365814695	0.031993340563969	0.0335363033336427	0.0142068866095634	0.0777808320196048	0.0587457818990174	0.0438880452121101	0.0667066161855555	0.0613985920221348	0.030706607730215	0.101523953362114	0.101566127342356	0.0254269307775379	0.0460894688014052	0.0411399438970642	0.0979780380782204	0.083798191417523	0.0589239491053503	0.0557677011335169	0.0220157896512963	0.0266375317609028	0.0279713072843224	0.0159837536124026	0.021799314427265	0.0275917233832072	0.0179817488380238	0.0351285298009056	0.0393226408034569	0.0186100717777668	0.0648873041621979	0.0576775807741421	0.0237080022194839
OM1_C_1D_2	0.118069020002602	0.115380053780562	0.0881008791525167	0.0764445062745532	0.0320094942008983	0.0660582528560057	0.0473169342015235	0.0206812624870783	0.0243169863734447	0	0.0233696439983805	0.0146002012264747	0.026378061050869	0.0151144455693624	0.0380768802082853	0.0260358158262225	0.0161919393722159	0.0496728109089598	0.0521965749567527	0.0210578256319801	0.0973882043431182	0.0787670119604608	0.062721144850076	0.0857386565083697	0.0818903109502273	0.0470951067231722	0.0937825324409934	0.0929649093938573	0.0237758435120178	0.0309749421602072	0.0349956868289107	0.117856237658823	0.10292933621611	0.0794368013553408	0.073550822284226	0.0406816363820809	0.0392238013391463	0.0419466390918302	0.026627717839111	0.0254344585711977	0.0189919541323878	0.0161364906277391	0.053269045328377	0.0567658691876574	0.0344411080231666	0.0844122254754869	0.0768860090326174	0.0384095770654411
OM1_C_1D_3	0.135246195739859	0.133349961274539	0.106817203809487	0.0978381397536714	0.0466967573109249	0.0878884203256437	0.069159396047459	0.0422560333508688	0.0441415243987371	0.0233696439983805	0	0.035893654788106	0.046643176397646	0.0267678050971937	0.0591068310625267	0.0476864694118286	0.0108182534596643	0.0714666029253484	0.0742312640783354	0.0408018552282403	0.116927297206696	0.100032813283411	0.0837213726983044	0.105793589042019	0.102901123738964	0.0660760456505397	0.0834267229531961	0.0804039003096584	0.0346938433614562	0.0273686255105676	0.0347504569791568	0.138027279504516	0.122440914899823	0.0990592395080782	0.0941190293400202	0.0626526558876312	0.0614950893667798	0.0644916862369645	0.047627627922365	0.042575167608666	0.032943993363838	0.0306186354589865	0.0741833933238757	0.0784283370428877	0.0561218425953631	0.105776160471057	0.0978351117760639	0.0603034167508085
OM1_C_1E_1	0.112772257165837	0.108765661083442	0.081595491111979	0.0667719752441577	0.0315777683731096	0.0549237269970595	0.0367383687763279	0.012403563076518	0.0186561381094611	0.0146002012264747	0.035893654788106	0	0.0142644786296027	0.0162768124823824	0.0266049755949261	0.0127475495181398	0.0274945417164128	0.0393679353628714	0.0422253737026788	0.0113799205469663	0.0901700978010489	0.0700020191103814	0.0551791455815213	0.0778177613839788	0.0732658489087535	0.0432353038966962	0.103418814222029	0.103423553784451	0.0280073925465736	0.0418041203338293	0.043490157108507	0.109917133689594	0.0958453900287314	0.0720074878613701	0.0656318724910527	0.0316876216079558	0.0292202070514501	0.0303345121075963	0.0168405292566948	0.0254585969129681	0.0218605371421791	0.0212945419039844	0.0453637045607691	0.0479528978804005	0.025683705630688	0.0755642200300349	0.0682930042671045	0.0300389675893315
OM1_C_1E_2	0.111461611320712	0.107112688131779	0.0794876572635196	0.061682157654051	0.0386684505536765	0.0483121946217495	0.0303068257894754	0.0173005399179114	0.0231044373694433	0.026378061050869	0.046643176397646	0.0142644786296027	0	0.0223590927966192	0.0154368367842923	0.00920196458776751	0.0387036803928329	0.0308602818352446	0.0346278802419811	0.0137844939979859	0.0876040198056642	0.0651197817166483	0.05214539483137	0.0740148573819944	0.0684713442155422	0.0443739940645909	0.116079652505373	0.11592265712555	0.0386680453741473	0.054189061807367	0.0556472687636002	0.106100263971319	0.0921527101727674	0.0695698386376515	0.061124397051873	0.029681417291928	0.0236174936521586	0.0212805376044301	0.0109698511905532	0.032709958466716	0.0331261810759857	0.0300045635576559	0.0428266789641777	0.0436378757009334	0.0199742954022735	0.0693934859533022	0.0643533269851413	0.0256712870494459
OM1_C_1E_3	0.125307177325436	0.121784021400811	0.0942527718592027	0.0798070750789941	0.0408752763257611	0.0672090622848814	0.0493355597713228	0.0258997066883729	0.0281357463984427	0.0151144455693624	0.0267678050971937	0.0162768124823824	0.0223590927966192	0	0.0343982086365326	0.02460197893703	0.0186981556655681	0.0501943962108417	0.0533846676646444	0.0189382270471821	0.103624219591858	0.0831033286513809	0.0685664958105028	0.091025101393203	0.0861188766817001	0.0553381622619326	0.104244214288489	0.102490664974126	0.0349343155342816	0.0431576209479682	0.0462613381059617	0.123282749021293	0.108775638122486	0.0849715761011276	0.0787658736158935	0.0455224065818819	0.0422498956473771	0.0422090020580898	0.0252981940606572	0.0360998842345036	0.0304664764284723	0.0235681517761656	0.058863964210239	0.0615731815518493	0.0364070554753893	0.0880989165913554	0.0819162719683809	0.0412045494875055
OM1_C_1F_1	0.107030474072991	0.102380690989241	0.0752631187478664	0.0537079740193932	0.0449923090753244	0.0389722125147644	0.0252282487793309	0.0264881509153014	0.0268057691039344	0.0380768802082853	0.0591068310625267	0.0266049755949261	0.0154368367842923	0.0343982086365326	0	0.0149663432546756	0.0507881938374369	0.0229351171687246	0.0257228913451548	0.022932088481956	0.0818859946827474	0.0576520040208499	0.0470614340521726	0.0687328688293246	0.0608364091010281	0.0440747846248339	0.126525208437968	0.126524957498481	0.0484757263891621	0.0662786602827369	0.0658004317190106	0.0988013332221694	0.0861316106375995	0.0642267470611082	0.0561979965670107	0.0272363521450725	0.0231980339650368	0.0137540415716399	0.0159602454804125	0.0410296352538059	0.0451188354658118	0.0392114004126686	0.0399878531845959	0.0392239007599107	0.0181408563168974	0.06114152274007	0.0585314923192402	0.0236715053281537
