Sample	Marker	Overlap_Score
OM1_C_1B	S321_OM1_0.01	0.0183833649727826
OM1_C_1B	S438_OM1_0.01	0.0400193945401947
OM1_C_1B	S498_OM1_0.01	0.0972771371382248
OM1_C_1B	S506_OM1_0.01	0.052019631715474
OM1_C_1B	S538_OM1_0.01	0.0210378666764967
OM1_C_1B	S542_OM1_0.01	0.0310476834409579
OM1_C_1B	S574_OM1_0.01	0.0265343046814636
OM1_C_1B	S598_OM1_0.01	NA
OM1_C_1B	S600_OM1_0.01	NA
OM1_C_1B	S644_OM1_0.01	NA
OM1_C_1B	S686_OM1_0.01	0.0325731719322981
OM1_C_1B	S771_OM1_0.01	NA
OM1_C_1D	S1038_OM1_0.01	0
OM1_C_1D	S1050_OM1_0.01	0.0064799289965195
OM1_C_1D	S1062_OM1_0.01	0.0333272657519429
OM1_C_1D	S1070_OM1_0.01	0.00582449727935774
OM1_C_1D	S1074_OM1_0.01	0.109252609859596
OM1_C_1D	S1149_OM1_0.01	0.012437857509985
OM1_C_1D	S1159_OM1_0.01	0
OM1_C_1D	S1163_OM1_0.01	0.0178583727554024
OM1_C_1D	S1181_OM1_0.01	0.0196837277467134
OM1_C_1D	S1230_OM1_0.01	0.0425728384934189
OM1_C_1D	S1292_OM1_0.01	0.0156195568517844
OM1_C_1D	S1316_OM1_0.01	0.0178132210964392
OM1_C_1D	S1322_OM1_0.01	0.00128741442207203
OM1_C_1D	S1330_OM1_0.01	0
OM1_C_1D	S1334_OM1_0.01	NA
OM1_C_1D	S1377_OM1_0.01	0.0569967517399858
OM1_C_1D	S1411_OM1_0.01	0.0109244334075582
OM1_C_1D	S293_OM1_0.01	0.018573224660931
OM1_C_1D	S321_OM1_0.01	0.0288529020890263
OM1_C_1D	S438_OM1_0.01	NA
OM1_C_1D	S498_OM1_0.01	0.0469182318083336
OM1_C_1D	S506_OM1_0.01	0.0156731344151039
OM1_C_1D	S538_OM1_0.01	0.0158426931574441
OM1_C_1D	S542_OM1_0.01	0.00839757460568635
OM1_C_1D	S574_OM1_0.01	0.00695188299657618
OM1_C_1D	S598_OM1_0.01	0.00823180472004476
OM1_C_1D	S600_OM1_0.01	NA
OM1_C_1D	S644_OM1_0.01	NA
OM1_C_1D	S686_OM1_0.01	0.0408427375589158
OM1_C_1D	S771_OM1_0.01	NA
OM1_C_1E	S1038_OM1_0.01	0
