	OM1_B_B_1	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_C_1A_2	OM1_C_1E_3	OM1_C_2A_1	OM1_C_2F_2	OM1_C_2H_1	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1G_1
OM1_B_B_1	0	0.0160095867664747	0.0201316793439257	0.01755629271937	0.00615266414064147	0.0140124412771091	0.00384441288338197	0.0135952117424132	0.0412651788998396	0.0426254111801401	0.0186873114842856	0.014697474388946	0.0150416863865051	0.00299229526308574	0.0145889792524434	0.0111258947152592	0.00347878156274354	0.00590489929252951
OM1_B_B_3	0.0160095867664747	0	0.0082688998685184	0.00181803499462865	0.010458094043514	0.0027878978472744	0.018725647213965	0.0283057312353926	0.0253140316764367	0.0268876816371418	0.00504157541464312	0.00282826543155271	0.0114932980105672	0.0132276128464214	0.00479952694555255	0.00488773849970895	0.0194223552180192	0.0209520654589985
OM1_B_C_1	0.0201316793439257	0.0082688998685184	0	0.00694863512366956	0.0139900139459449	0.0107425421100414	0.0236289134220411	0.0335702766576258	0.0232843255363724	0.0237333409011605	0.00332198426270942	0.00680315785041128	0.00796533972140435	0.0171463834811832	0.00580642074880167	0.0106959109177407	0.0235576191853637	0.0258681738445571
OM1_B_C_2	0.01755629271937	0.00181803499462865	0.00694863512366956	0	0.0118112018293007	0.00459705135502449	0.0203954306698119	0.0300419864119547	0.0237180058912626	0.0251902394857681	0.00362804390874715	0.00333175800372377	0.0114082009386399	0.0147080094010275	0.00489861314254321	0.00645893908173332	0.0209985691587484	0.0226335393709155
OM1_C_1A_2	0.00615266414064147	0.010458094043514	0.0139900139459449	0.0118112018293007	0	0.00903152737274817	0.0096864221322839	0.0196230655195873	0.0354213335238079	0.0366348402260854	0.0125868964948358	0.00873414869768965	0.00968400079335875	0.00316088366887014	0.0084514168219016	0.00570629068486258	0.00960974011872285	0.011904260732425
OM1_C_1E_3	0.0140124412771091	0.0027878978472744	0.0107425421100414	0.00459705135502449	0.00903152737274817	0	0.0164173806987355	0.0258066036350933	0.0276468853297334	0.0293876304675571	0.00766423097077333	0.00425186442309024	0.0124864298094442	0.0114268220425511	0.00614267406778869	0.00340015013527097	0.0173265078220831	0.0186048306259415
OM1_C_2A_1	0.00384441288338197	0.018725647213965	0.0236289134220411	0.0203954306698119	0.0096864221322839	0.0164173806987355	0	0.00994568655810852	0.0440123503719923	0.0455740807429557	0.0219292145523374	0.017801645305136	0.0188664822030283	0.00660445281047752	0.0179510348056917	0.013956134534323	0.00237594626213235	0.00225941382630585
OM1_C_2F_2	0.0135952117424132	0.0283057312353926	0.0335702766576258	0.0300419864119547	0.0196230655195873	0.0258066036350933	0.00994568655810852	0	0.0534039299505301	0.0551609534166138	0.0318024499661213	0.0276320662083073	0.0285434553596587	0.0165075627051112	0.0278761908167376	0.0236905990533365	0.010447843113466	0.00772130749344837
OM1_C_2H_1	0.0412651788998396	0.0253140316764367	0.0232843255363724	0.0237180058912626	0.0354213335238079	0.0276468853297334	0.0440123503719923	0.0534039299505301	0	0.00369375064152123	0.0231663859557683	0.0266933847467352	0.0312268841010951	0.0383996334937991	0.0273191234334373	0.0301637052310912	0.0447036247031042	0.0462213431467847
OM1_C_2H_3	0.0426254111801401	0.0268876816371418	0.0237333409011605	0.0251902394857681	0.0366348402260854	0.0293876304675571	0.0455740807429557	0.0551609534166138	0.00369375064152123	0	0.0241257878838355	0.0279407898995624	0.0315281586811586	0.0396976886325112	0.0283172964412481	0.0316329546486633	0.0460929577378858	0.0478109116411702
OM1_C_3E_1	0.0186873114842856	0.00504157541464312	0.00332198426270942	0.00362804390874715	0.0125868964948358	0.00766423097077333	0.0219292145523374	0.0318024499661213	0.0231663859557683	0.0241257878838355	0	0.00422646542572929	0.00918501390649441	0.0157108849601673	0.00419300036650278	0.00827484103116108	0.0221638165739116	0.0241879503454469
OM1_C_3E_2	0.014697474388946	0.00282826543155271	0.00680315785041128	0.00333175800372377	0.00873414869768965	0.00425186442309024	0.017801645305136	0.0276320662083073	0.0266933847467352	0.0279407898995624	0.00422646542572929	0	0.00868627641486574	0.0117641984605932	0.00201618725202868	0.00405016901305879	0.0181721946044837	0.0200595828571118
OM1_C_3E_3	0.0150416863865051	0.0114932980105672	0.00796533972140435	0.0114082009386399	0.00968400079335875	0.0124864298094442	0.0188664822030283	0.0285434553596587	0.0312268841010951	0.0315281586811586	0.00918501390649441	0.00868627641486574	0	0.0123626325984277	0.0066942388434546	0.0101628044331022	0.018111297705083	0.0209312614470874
OM1_C_3F_2	0.00299229526308574	0.0132276128464214	0.0171463834811832	0.0147080094010275	0.00316088366887014	0.0114268220425511	0.00660445281047752	0.0165075627051112	0.0383996334937991	0.0396976886325112	0.0157108849601673	0.0117641984605932	0.0123626325984277	0	0.0115998797956571	0.00834755603469916	0.00645817190016199	0.00878793985963509
OM1_C_3F_3	0.0145889792524434	0.00479952694555255	0.00580642074880167	0.00489861314254321	0.0084514168219016	0.00614267406778869	0.0179510348056917	0.0278761908167376	0.0273191234334373	0.0283172964412481	0.00419300036650278	0.00201618725202868	0.0066942388434546	0.0115998797956571	0	0.0050276833834607	0.0180567766638536	0.0202038251628248
