	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_2	OM1_B_C_3	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_3	OM1_H_1C_1	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.0368855286532506	0.0048356769586623	0.00251371766511595	0.00488916981779892	0.0118579925107831	0.0316213942376628	0.0382276159631669	0.0332102359647702	0.00393779039114278	0.0131429783149726	0.0201501543784837	0.0164940939097315	0.00270562564884648	0.00260519925066894	0.0057230970582297	0.00588980100021341	0.0248804254316622	0.0247412786838331	0.0323152283372638	0.00738232483983443	0.00324034496291825	0.0177357656869879	0.0365477338642065	0.00714581094092041	0.0144002572309191	0.0308148509947897	0.0249294669832981	0.0205608543365651	0.00586128544897254	0.0234107006908711
OM1_B_B_2	0.0368855286532506	0	0.0326162824045975	0.0393143921456933	0.0389407928146393	0.0250722883270363	0.00532034906978472	0.00147081869543685	0.00727203791524742	0.0329756251417052	0.0238263718530644	0.0167459633889086	0.023641075577873	0.0395656645550035	0.0372814393464196	0.0317595805965617	0.0425819684087098	0.0120257738285554	0.0122709869552026	0.00574604376285533	0.0386560888322806	0.0374899287177798	0.0191554203891063	0.00077622499977035	0.0313469992629656	0.0271728698734715	0.00716466106514299	0.0120970633669215	0.0177152425675273	0.0322293566671109	0.0141638683351194
OM1_B_B_3	0.0048356769586623	0.0326162824045975	0	0.00692326978956331	0.00659112452451368	0.00760679679335396	0.0274202352682392	0.0339181368281461	0.0285910756460688	0.00175750324416797	0.00934732785221476	0.0159121844585392	0.0142161623500464	0.00745329196335046	0.00662223600319042	0.00457020498765962	0.0106810785817352	0.0207035448223745	0.0203733546562819	0.0283276413829748	0.0108785403790133	0.00718364466878288	0.0135710540124368	0.03223415847481	0.00645169251236688	0.0130926949240499	0.0268689608944657	0.0208608061134124	0.0171713913837165	0.00547281118883641	0.0188606656587075
OM1_B_C_2	0.00251371766511595	0.0393143921456933	0.00692326978956331	0	0.00393861644847125	0.0142561664699048	0.0340645129381772	0.0406459454486638	0.0354931168938667	0.00634397278294495	0.0156227925008355	0.0225749731584695	0.0189535119225642	0.00106415496116101	0.00387919652340181	0.00821514495989441	0.0039517704853406	0.0273243603104893	0.0271353737236195	0.0347957057459915	0.00807933689276182	0.00433588979523842	0.0201726732060363	0.0389644342996483	0.00954413715611636	0.0167373707645227	0.033299972069463	0.0273936283758393	0.0230737565138079	0.0082762651303194	0.025730471021195
OM1_B_C_3	0.00488916981779892	0.0389407928146393	0.00659112452451368	0.00393861644847125	0	0.0141268309271714	0.0338119888786589	0.0402047202303508	0.0344933450508093	0.00703942049481213	0.0159374929306665	0.0223439388902489	0.020460174638425	0.00500005456651679	0.00728936448448103	0.00983670618536918	0.0072644585536604	0.0271394494242975	0.0266752445360738	0.0348249797828141	0.0118744600621526	0.00786802002820006	0.0200593800821578	0.0385230295993818	0.0115564957527268	0.0187974961667012	0.0333847738376595	0.0273487078735798	0.0237534152403666	0.0102840968009125	0.0249677001990306
OM1_C_1D_2	0.0118579925107831	0.0250722883270363	0.00760679679335396	0.0142561664699048	0.0141268309271714	0	0.0198427002970896	0.0263978575939716	0.021471149639819	0.00792521620946193	0.00232744283236406	0.00833259140671304	0.00898115180380591	0.0145580600242052	0.0126014549421151	0.00732982666647639	0.017663904259167	0.0131114206145919	0.0128862442138711	0.02072397082364	0.0152406915124171	0.012935049750848	0.00596628935495531	0.0247152154653649	0.00779036117446403	0.00981195961662885	0.0192700355347565	0.0132549045902643	0.0100075821181192	0.00812455143688669	0.0116317233669068
OM1_C_1E_1	0.0316213942376628	0.00532034906978472	0.0274202352682392	0.0340645129381772	0.0338119888786589	0.0198427002970896	0	0.00674058605349999	0.00671095737291128	0.0277231757595741	0.0185305527514356	0.0115127681220483	0.0184622377928072	0.0342941358217988	0.0319758454713435	0.0264516770581456	0.037292205119553	0.00674345388587214	0.00722953404278047	0.00261193721126902	0.0333496404111371	0.0321789868403925	0.0138965192303801	0.00512278762011643	0.0260286873416572	0.0219935329814191	0.00294447733240087	0.00677722796500571	0.0124921917917395	0.0269136545369615	0.00942530354735375
OM1_C_1E_2	0.0382276159631669	0.00147081869543685	0.0339181368281461	0.0406459454486638	0.0402047202303508	0.0263978575939716	0.00674058605349999	0	0.00768583363552488	0.0343107756377436	0.0251979890749468	0.0180836596955748	0.025105352760086	0.0409127666268011	0.0386611796267207	0.0331424994505841	0.0439443136459218	0.0133997246615193	0.0135511774130784	0.00719919602790748	0.0400858538124524	0.0388775125032598	0.020503824973522	0.00168480517065114	0.03275625062964	0.0286373554222162	0.00863179642271055	0.0135071769720632	0.0191731152483047	0.0336257900996522	0.0153400299752543
OM1_C_1E_3	0.0332102359647702	0.00727203791524742	0.0285910756460688	0.0354931168938667	0.0344933450508093	0.021471149639819	0.00671095737291128	0.00768583363552488	0	0.0292855852081733	0.0208301254684925	0.0137370907971406	0.0227092433260426	0.0359121286564573	0.0340642974022915	0.0286851268964049	0.0390743177753321	0.0101159983667505	0.00916912545070419	0.00919703683092264	0.0362520014671515	0.0343795340643827	0.0160968309593104	0.00650657333891476	0.0286903903627734	0.026114870522387	0.00962020934280379	0.0107596171310679	0.0168570063702734	0.0293444103152934	0.00984217778060988
OM1_C_1F_1	0.00393779039114278	0.0329756251417052	0.00175750324416797	0.00634397278294495	0.00703942049481213	0.00792521620946193	0.0277231757595741	0.0343107756377436	0.0292855852081733	0	0.00931258791701368	0.0162340844334391	0.0134235543723639	0.00664270392462895	0.00518587659770807	0.00307009963806933	0.00979524563104754	0.0209820916469353	0.0208105069308595	0.02847640435888	0.00920022975814765	0.00569164924870506	0.0138294961063572	0.0326295622862826	0.00495532131949894	0.0119360370641217	0.026987993622722	0.0210582121046512	0.0169299624812124	0.00385613793436454	0.0194775116904004
