	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_2	OM1_B_C_3	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_3	OM1_H_1C_1	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_2A_1	0.0131429783149726	0.0238263718530644	0.00934732785221476	0.0156227925008355	0.0159374929306665	0.00232744283236406	0.0185305527514356	0.0251979890749468	0.0208301254684925	0.00931258791701368	0	0.00720598406467785	0.00676198360135629	0.0157915632838981	0.0134749880774173	0.00796751806251507	0.0187674193354805	0.01180261716356	0.0118908522752637	0.0191775582729057	0.0154450522304013	0.0137141556221306	0.00477376317400435	0.0235267346749136	0.00786807846629736	0.00805284043262191	0.0176819741894259	0.0117992629858318	0.00788160763687913	0.00854172727149506	0.0110691250277074
OM1_C_2A_2	0.0201501543784837	0.0167459633889086	0.0159121844585392	0.0225749731584695	0.0223439388902489	0.00833259140671304	0.0115127681220483	0.0180836596955748	0.0137370907971406	0.0162340844334391	0.00720598406467785	0	0.00981063790218037	0.0228374442606716	0.0206577234514616	0.0151678331794341	0.0258868478931788	0.00479761450966359	0.00468674122699745	0.0125227908025319	0.0225462738136206	0.0209123252015641	0.00243846664808024	0.0164032848216264	0.01500822685694	0.0128723064440793	0.011133052146366	0.00506603303132066	0.00539779666719868	0.0157418910820053	0.00435464350089416
OM1_C_2F_1	0.0164940939097315	0.023641075577873	0.0142161623500464	0.0189535119225642	0.020460174638425	0.00898115180380591	0.0184622377928072	0.025105352760086	0.0227092433260426	0.0134235543723639	0.00676198360135629	0.00981063790218037	0	0.0187522754683935	0.0157364737046304	0.0107901168189239	0.0211454276442174	0.0126114851113085	0.0136740220970641	0.0181641019059555	0.0156397572461546	0.0156982648069888	0.00833659633190836	0.0235563782673568	0.0094548236279756	0.00353378904921686	0.0166270409990243	0.0120826365458292	0.00599199907104921	0.0106908260050661	0.0141283309425833
OM1_C_2F_2	0.00270562564884648	0.0395656645550035	0.00745329196335046	0.00106415496116101	0.00500005456651679	0.0145580600242052	0.0342941358217988	0.0409127666268011	0.0359121286564573	0.00664270392462895	0.0157915632838981	0.0228374442606716	0.0187522754683935	0	0.00324776792880981	0.00814170583883561	0.00323023439615365	0.0275549513305142	0.0274382356859711	0.0349490143362694	0.00711604132306046	0.00359692751459994	0.0204179467890124	0.0392340186430694	0.00929988341457408	0.0163800257970731	0.033441815329708	0.027587030989986	0.0230881348099024	0.00806870035243627	0.0261154211511397
OM1_C_2F_3	0.00260519925066894	0.0372814393464196	0.00662223600319042	0.00387919652340181	0.00728936448448103	0.0126014549421151	0.0319758454713435	0.0386611796267207	0.0340642974022915	0.00518587659770807	0.0134749880774173	0.0206577234514616	0.0157364737046304	0.00324776792880981	0	0.00552725188576402	0.00545594900636763	0.0252674282418564	0.0253249973865688	0.0324642188693852	0.00477878983199846	0.000639945547308474	0.0182197234657699	0.0369930647002663	0.00631984712279141	0.0132105335300861	0.0309379438656339	0.0252154118221055	0.0203819333331763	0.00518848727019291	0.0242261150032148
OM1_C_2G_1	0.0057230970582297	0.0317595805965617	0.00457020498765962	0.00821514495989441	0.00983670618536918	0.00732982666647639	0.0264516770581456	0.0331424994505841	0.0286851268964049	0.00307009963806933	0.00796751806251507	0.0151678331794341	0.0107901168189239	0.00814170583883561	0.00552725188576402	0	0.0109133418706933	0.019747221383338	0.0198470039560861	0.0269520699134876	0.00800474599165879	0.00574693840118953	0.0127309265302829	0.0314758611807938	0.00189290946084794	0.0089685947999048	0.0254292671253555	0.0196893939085957	0.0149579389909709	0.00103957411854496	0.0188568641961368
OM1_C_2G_2	0.00588980100021341	0.0425819684087098	0.0106810785817352	0.0039517704853406	0.0072644585536604	0.017663904259167	0.037292205119553	0.0439443136459218	0.0390743177753321	0.00979524563104754	0.0187674193354805	0.0258868478931788	0.0211454276442174	0.00323023439615365	0.00545594900636763	0.0109133418706933	0	0.0305633798944175	0.0305178813959068	0.0378553398348007	0.00733044874284543	0.0054480207925723	0.023456153498873	0.0422697477829007	0.0117691668472216	0.0184655079270157	0.0363356051562721	0.0305541105801496	0.0258287717619611	0.0106419966463143	0.0292616326908059
OM1_C_2H_1	0.0248804254316622	0.0120257738285554	0.0207035448223745	0.0273243603104893	0.0271394494242975	0.0131114206145919	0.00674345388587214	0.0133997246615193	0.0101159983667505	0.0209820916469353	0.01180261716356	0.00479761450966359	0.0126114851113085	0.0275549513305142	0.0252674282418564	0.019747221383338	0.0305633798944175	0	0.00192643872976593	0.00777935686915029	0.0268261762697579	0.02548614486871	0.00715556008270277	0.0117322757449037	0.0194046189171121	0.0160556460026325	0.00646420194658659	0.000981097648585213	0.00674815512506026	0.0202429622535837	0.00431875822174767
OM1_C_2H_2	0.0247412786838331	0.0122709869552026	0.0203733546562819	0.0271353737236195	0.0266752445360738	0.0128862442138711	0.00722953404278047	0.0135511774130784	0.00916912545070419	0.0208105069308595	0.0118908522752637	0.00468674122699745	0.0136740220970641	0.0274382356859711	0.0253249973865688	0.0198470039560861	0.0305178813959068	0.00192643872976593	0	0.00879232714786445	0.02720989880032	0.0255885821418195	0.00711831621939403	0.0118665625919126	0.0196872005753443	0.0170089565185365	0.00767231108830134	0.00290542170758496	0.00806847235999692	0.0204278404561188	0.00256206921996076
OM1_C_2H_3	0.0323152283372638	0.00574604376285533	0.0283276413829748	0.0347957057459915	0.0348249797828141	0.02072397082364	0.00261193721126902	0.00719919602790748	0.00919703683092264	0.02847640435888	0.0191775582729057	0.0125227908025319	0.0181641019059555	0.0349490143362694	0.0324642188693852	0.0269520699134876	0.0378553398348007	0.00777935686915029	0.00879232714786445	0	0.0334723220808866	0.0326184995533895	0.0147705705458115	0.00590593422542732	0.0263514008269548	0.0216801967900604	0.00154770135425094	0.00747994003657911	0.012369585402827	0.0273230572282612	0.0112240129024265
OM1_C_3E_1	0.00738232483983443	0.0386560888322806	0.0108785403790133	0.00807933689276182	0.0118744600621526	0.0152406915124171	0.0333496404111371	0.0400858538124524	0.0362520014671515	0.00920022975814765	0.0154450522304013	0.0225462738136206	0.0156397572461546	0.00711604132306046	0.00477878983199846	0.00800474599165879	0.00733044874284543	0.0268261762697579	0.02720989880032	0.0334723220808866	0	0.00414202734852699	0.0201618200525175	0.0384565091495372	0.00758027430341622	0.0124385970225561	0.0319256520829061	0.0266041761130571	0.0211141767082425	0.00712368517327384	0.0265105958054501
OM1_C_3E_2	0.00324034496291825	0.0374899287177798	0.00718364466878288	0.00433588979523842	0.00786802002820006	0.012935049750848	0.0321789868403925	0.0388775125032598	0.0343795340643827	0.00569164924870506	0.0137141556221306	0.0209123252015641	0.0156982648069888	0.00359692751459994	0.000639945547308474	0.00574693840118953	0.0054480207925723	0.02548614486871	0.0255885821418195	0.0326184995533895	0.00414202734852699	0	0.0184750118564383	0.0372132524077433	0.00635513899040097	0.0130659015503896	0.0310875871873569	0.0254107466336589	0.0204757295455633	0.00529879120441719	0.0245429402971557
OM1_C_3E_3	0.0177357656869879	0.0191554203891063	0.0135710540124368	0.0201726732060363	0.0200593800821578	0.00596628935495531	0.0138965192303801	0.020503824973522	0.0160968309593104	0.0138294961063572	0.00477376317400435	0.00243846664808024	0.00833659633190836	0.0204179467890124	0.0182197234657699	0.0127309265302829	0.023456153498873	0.00715556008270277	0.00711831621939403	0.0147705705458115	0.0201618200525175	0.0184750118564383	0	0.0188255725494436	0.0126050439010999	0.0110498907208364	0.0133322280179373	0.00729389128826266	0.00549224455031404	0.0133144400930055	0.00645396111416576
OM1_C_3F_3	0.0365477338642065	0.00077622499977035	0.03223415847481	0.0389644342996483	0.0385230295993818	0.0247152154653649	0.00512278762011643	0.00168480517065114	0.00650657333891476	0.0326295622862826	0.0235267346749136	0.0164032848216264	0.0235563782673568	0.0392340186430694	0.0369930647002663	0.0314758611807938	0.0422697477829007	0.0117322757449037	0.0118665625919126	0.00590593422542732	0.0384565091495372	0.0372132524077433	0.0188255725494436	0	0.0311063217838742	0.0270888996264599	0.0072414586195586	0.011863281696541	0.0176016002015106	0.0319666544102906	0.0136728440279667
OM1_H_1C_1	0.00714581094092041	0.0313469992629656	0.00645169251236688	0.00954413715611636	0.0115564957527268	0.00779036117446403	0.0260286873416572	0.03275625062964	0.0286903903627734	0.00495532131949894	0.00786807846629736	0.01500822685694	0.0094548236279756	0.00929988341457408	0.00631984712279141	0.00189290946084794	0.0117691668472216	0.0194046189171121	0.0196872005753443	0.0263514008269548	0.00758027430341622	0.00635513899040097	0.0126050439010999	0.0311063217838742	0	0.00727600162291334	0.0248132784030244	0.0192542369566994	0.0141363695566943	0.00128948495500839	0.018932888898475
OM1_H_1D_1	0.0144002572309191	0.0271728698734715	0.0130926949240499	0.0167373707645227	0.0187974961667012	0.00981195961662885	0.0219935329814191	0.0286373554222162	0.026114870522387	0.0119360370641217	0.00805284043262191	0.0128723064440793	0.00353378904921686	0.0163800257970731	0.0132105335300861	0.0089685947999048	0.0184655079270157	0.0160556460026325	0.0170089565185365	0.0216801967900604	0.0124385970225561	0.0130659015503896	0.0110498907208364	0.0270888996264599	0.00727600162291334	0	0.020146555398603	0.015567992405618	0.00951371677234594	0.00856498241641349	0.0172264434659593
OM1_H_1D_2	0.0308148509947897	0.00716466106514299	0.0268689608944657	0.033299972069463	0.0333847738376595	0.0192700355347565	0.00294447733240087	0.00863179642271055	0.00962020934280379	0.026987993622722	0.0176819741894259	0.011133052146366	0.0166270409990243	0.033441815329708	0.0309379438656339	0.0254292671253555	0.0363356051562721	0.00646420194658659	0.00767231108830134	0.00154770135425094	0.0319256520829061	0.0310875871873569	0.0133322280179373	0.0072414586195586	0.0248132784030244	0.020146555398603	0	0.00606833221495356	0.0108220593189804	0.0257912050875352	0.0101821686971191
OM1_H_1D_3	0.0249294669832981	0.0120970633669215	0.0208608061134124	0.0273936283758393	0.0273487078735798	0.0132549045902643	0.00677722796500571	0.0135071769720632	0.0107596171310679	0.0210582121046512	0.0117992629858318	0.00506603303132066	0.0120826365458292	0.027587030989986	0.0252154118221055	0.0196893939085957	0.0305541105801496	0.000981097648585213	0.00290542170758496	0.00747994003657911	0.0266041761130571	0.0254107466336589	0.00729389128826266	0.011863281696541	0.0192542369566994	0.015567992405618	0.00606833221495356	0	0.00613254176933341	0.0201397880586738	0.00523638466030156
OM1_H_1G_1	0.0205608543365651	0.0177152425675273	0.0171713913837165	0.0230737565138079	0.0237534152403666	0.0100075821181192	0.0124921917917395	0.0191731152483047	0.0168570063702734	0.0169299624812124	0.00788160763687913	0.00539779666719868	0.00599199907104921	0.0230881348099024	0.0203819333331763	0.0149579389909709	0.0258287717619611	0.00674815512506026	0.00806847235999692	0.012369585402827	0.0211141767082425	0.0204757295455633	0.00549224455031404	0.0176016002015106	0.0141363695566943	0.00951371677234594	0.0108220593189804	0.00613254176933341	0	0.0151953681610414	0.00913388004069346
OM1_H_1G_2	0.00586128544897254	0.0322293566671109	0.00547281118883641	0.0082762651303194	0.0102840968009125	0.00812455143688669	0.0269136545369615	0.0336257900996522	0.0293444103152934	0.00385613793436454	0.00854172727149506	0.0157418910820053	0.0106908260050661	0.00806870035243627	0.00518848727019291	0.00103957411854496	0.0106419966463143	0.0202429622535837	0.0204278404561188	0.0273230572282612	0.00712368517327384	0.00529879120441719	0.0133144400930055	0.0319666544102906	0.00128948495500839	0.00856498241641349	0.0257912050875352	0.0201397880586738	0.0151953681610414	0	0.019537743275992
OM1_H_1G_3	0.0234107006908711	0.0141638683351194	0.0188606656587075	0.025730471021195	0.0249677001990306	0.0116317233669068	0.00942530354735375	0.0153400299752543	0.00984217778060988	0.0194775116904004	0.0110691250277074	0.00435464350089416	0.0141283309425833	0.0261154211511397	0.0242261150032148	0.0188568641961368	0.0292616326908059	0.00431875822174767	0.00256206921996076	0.0112240129024265	0.0265105958054501	0.0245429402971557	0.00645396111416576	0.0136728440279667	0.018932888898475	0.0172264434659593	0.0101821686971191	0.00523638466030156	0.00913388004069346	0.019537743275992	0
