	OM1_B_B	OM1_B_C	OM1_C_1A	OM1_C_1B	OM1_C_1D	OM1_C_1E	OM1_C_1F	OM1_C_2A	OM1_C_2C	OM1_C_2F	OM1_C_2G	OM1_C_2H	OM1_C_3D	OM1_C_3E	OM1_C_3F	OM1_H_1B	OM1_H_1C	OM1_H_1D	OM1_H_1G
OM1_B_B	0	0.00524942313522285	NA	0.0344722856761775	0.0489166685348634	0.0390115014538727	0.0415745341775618	0.0276929018487601	NA	0.00557145809343537	0.0193428286433282	0.0234699737953685	0.0272063218638564	0.0393765459887137	0.0370500775058496	0.0605513527270736	0.0423003838904429	0.0251436754455244	0.0285984988392398
OM1_B_C	0.00524942313522285	0	NA	0.0292248019488356	0.0436713280977253	0.033764608127512	0.0363280079791952	0.0224446795487502	NA	0.000322038468005949	0.0140939346015801	0.0182213787684886	0.0219580531877324	0.0341297034661568	0.0318029196672296	0.0553082949817388	0.0370539660755624	0.0198952200879203	0.0233503652241916
OM1_C_1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_1B	0.0344722856761775	0.0292248019488356	NA	0	0.0144531393344692	0.00454141940953711	0.00710591891751281	0.0067817318193077	NA	0.0289028629507202	0.0151331312811235	0.0110055476595505	0.00726843665972539	0.00490666306384731	0.00257898134341731	0.0260985482302119	0.00783221311886126	0.00933154714395219	0.00587588684345032
OM1_C_1D	0.0489166685348634	0.0436713280977253	NA	0.0144531393344692	0	0.00991195031222104	0.00734748741579975	0.02123413130216	NA	0.0433495109940679	0.0295839635118959	0.025457245386045	0.0217207647341247	0.0095467159864334	0.01187431482598	0.0116469546820018	0.00662119135296747	0.0237835451971987	0.0203284126865236
OM1_C_1E	0.0390115014538727	0.033764608127512	NA	0.00454141940953711	0.00991195031222104	0	0.00256452888626813	0.0113230268164303	NA	0.0334427023297772	0.0196740667618052	0.0155466894124601	0.0118097169713834	0.000365246545653046	0.00196244623806993	0.0215580303877536	0.00329083525078412	0.0138727566130768	0.0104172071154569
OM1_C_1F	0.0415745341775618	0.0363280079791952	NA	0.00710591891751281	0.00734748741579975	0.00256452888626813	0	0.0138874122100549	NA	0.0360061230010301	0.0222381951724263	0.0181109609677751	0.0143740909255186	0.00219928307069555	0.00452696704380719	0.0189938712644936	0.000726308534799442	0.0164370772261264	0.0129816126386712
OM1_C_2A	0.0276929018487601	0.0224446795487502	NA	0.0067817318193077	0.02123413130216	0.0113230268164303	0.0138874122100549	0	NA	0.0221226997576035	0.00835170765272414	0.00422392900098478	0.000486713438777326	0.0116882561481258	0.00936065471259837	0.0328782195581274	0.0146136683565519	0.00254987320637149	0.000905857905736798
OM1_C_2C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_2F	0.00557145809343537	0.000322038468005949	NA	0.0289028629507202	0.0433495109940679	0.0334427023297772	0.0360061230010301	0.0221226997576035	NA	0	0.0137719191731551	0.0178993789285381	0.0216360708759878	0.0338078005424899	0.0314809989464355	0.0549866102317223	0.0367320872644961	0.0195732276995257	0.0230283902698707
OM1_C_2G	0.0193428286433282	0.0140939346015801	NA	0.0151331312811235	0.0295839635118959	0.0196740667618052	0.0222381951724263	0.00835170765272414	NA	0.0137719191731551	0	0.00412783126170087	0.00786500574524678	0.0200392618675611	0.0177118650268161	0.0412258981199105	0.0229643714815099	0.00580187905227142	0.00925754031206759
OM1_C_2H	0.0234699737953685	0.0182213787684886	NA	0.0110055476595505	0.025457245386045	0.0155466894124601	0.0181109609677751	0.00422392900098478	NA	0.0178993789285381	0.00412783126170087	0	0.00373721832838483	0.0159119037322092	0.0135843911243529	0.0371003174307416	0.0188371813036018	0.00167406229217942	0.00512977984403311
OM1_C_3D	0.0272063218638564	0.0219580531877324	NA	0.00726843665972539	0.0217207647341247	0.0118097169713834	0.0143740909255186	0.000486713438777326	NA	0.0216360708759878	0.00786500574524678	0.00373721832838483	0	0.0121749448122813	0.0098473520888679	0.0333647434903871	0.0151003434206963	0.00206316068871714	0.00139257112411485
OM1_C_3E	0.0393765459887137	0.0341297034661568	NA	0.00490666306384731	0.0095467159864334	0.000365246545653046	0.00219928307069555	0.0116882561481258	NA	0.0338078005424899	0.0200392618675611	0.0159119037322092	0.0121749448122813	0	0.00232769219154398	0.0211928426379529	0.00292558995105287	0.0142379774437767	0.010782439056355
OM1_C_3F	0.0370500775058496	0.0318029196672296	NA	0.00257898134341731	0.01187431482598	0.00196244623806993	0.00452696704380719	0.00936065471259837	NA	0.0314809989464355	0.0177118650268161	0.0135843911243529	0.0098473520888679	0.00232769219154398	0	0.0235201257939198	0.00525326945914086	0.0119104260534502	0.00845482246041992
