	OM1_B_B	OM1_B_C	OM1_C_1A	OM1_C_1B	OM1_C_1D	OM1_C_1E	OM1_C_1F	OM1_C_2A	OM1_C_2C	OM1_C_2F	OM1_C_2G	OM1_C_2H	OM1_C_3D	OM1_C_3E	OM1_C_3F	OM1_H_1B	OM1_H_1C	OM1_H_1D	OM1_H_1G
OM1_B_B	0	0.0212259916953826	0.0306061374565471	0.0382839476142776	0.0152527757940997	0.107031866035734	0.0303937483676151	0.0316820527496654	NA	0.026152705959524	0.0284911521004184	0.000539925122640708	0.0262487849362866	0.00915891175796548	0.0457459187924589	0.00855347663285441	0.0174649819584911	0.0193021463985254	0.0272550151501532
OM1_B_C	0.0212259916953826	0	0.00938235463138959	0.0170629990649747	0.00597391201849836	0.128156570004358	0.00916990033212742	0.0104586111403716	NA	0.00492770355225307	0.00726675142540528	0.0217658276149888	0.0050238055719682	0.012067922182322	0.0245286216760073	0.0126733408863205	0.0037615121012166	0.00192412953047497	0.00603028575843036
OM1_C_1A	0.0306061374565471	0.00938235463138959	0	0.00768109882636706	0.0153559524412473	0.137481114258129	0.000212461024959054	0.00107629539487198	NA	0.00445472668830493	0.00211565622487126	0.0311458778297644	0.00435862448404709	0.0214493928649932	0.0151475606222876	0.0220547413047747	0.0131436972031974	0.0113064094948624	0.00335213853892542
OM1_C_1B	0.0382839476142776	0.0170629990649747	0.00768109882636706	0	0.0230360505031932	0.145108414337439	0.00789355506643311	0.00660482372822991	NA	0.0121356716476985	0.00979669598194972	0.0388235837388149	0.0120395739468333	0.0291287298142069	0.00746678743706114	0.0297339914736593	0.0208240207652625	0.0189868996503082	0.0110331320352401
OM1_C_1D	0.0152527757940997	0.00597391201849836	0.0153559524412473	0.0230360505031932	0	0.122215284260998	0.0151435095376029	0.0164321481580335	NA	0.0109014986738681	0.0132404538322297	0.0157926545137952	0.0109975973575803	0.00609416892885005	0.0305008892380199	0.0066996121122385	0.00221241795133537	0.0040497993888645	0.0120040401710125
OM1_C_1E	0.107031866035734	0.128156570004358	0.137481114258129	0.145108414337439	0.122215284260998	0	0.137270058260329	0.138550223462635	NA	0.133054915145869	0.135379250357799	0.106494076886924	0.133150422551156	0.11615122367194	0.152516947379074	0.11554859715832	0.124415979208287	0.126243303116839	0.134150624527427
OM1_C_1F	0.0303937483676151	0.00916990033212742	0.000212461024959054	0.00789355506643311	0.0151435095376029	0.137270058260329	0	0.00128875631056338	NA	0.00424226714471153	0.00190319551606377	0.0309334912899495	0.00414616487572341	0.0212369672261572	0.015360003205795	0.0218423176902791	0.0129312494383895	0.0110939582653503	0.00313967833953603
OM1_C_2A	0.0316820527496654	0.0104586111403716	0.00107629539487198	0.00660482372822991	0.0164321481580335	0.138550223462635	0.00128875631056338	0	NA	0.00553101229286104	0.00319194893294658	0.0322217799336886	0.0054349104657359	0.0225254979985371	0.0140713508762383	0.0231308358733182	0.0142199186802477	0.0123826494658691	0.00442842803172074
OM1_C_2C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_2F	0.026152705959524	0.00492770355225307	0.00445472668830493	0.0121356716476985	0.0109014986738681	0.133054915145869	0.00424226714471153	0.00553101229286104	NA	0	0.00233907858787013	0.0266924960333052	9.61028908835158e-05	0.0169952586697324	0.0196017950925261	0.017600645342351	0.00868915692206247	0.0068518093708103	0.00110259421327366
OM1_C_2G	0.0284911521004184	0.00726675142540528	0.00211565622487126	0.00979669598194972	0.0132404538322297	0.135379250357799	0.00190319551606377	0.00319194893294658	NA	0.00233907858787013	0	0.0290309170580932	0.00224297588211941	0.0193340571271546	0.0172630106910452	0.0199394248266025	0.0110281534749201	0.00919083399659894	0.00123648554777359
OM1_C_2H	0.000539925122640708	0.0217658276149888	0.0311458778297644	0.0388235837388149	0.0157926545137952	0.106494076886924	0.0309334912899495	0.0322217799336886	NA	0.0266924960333052	0.0290309170580932	0	0.0267885740207877	0.00969881980694441	0.0462854308607968	0.00909338680908419	0.0180048464545278	0.0198419976282206	0.0277947936544455
