	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_2	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_3D_2	OM1_C_3F_1	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_2	OM1_H_1G_3
OM1_C_2G_2	0.0461304710552777	0.0107818516486175	0.00334758247509271	0.0127001707311089	0.0411692517270631	0.0144525695581252	0.040511494078794	0.030335410648764	0.0546845284130532	0.0062065016460775	0	0.0248943653538611	0.0177320400741574	0.0659052329042137	0.0214461743437148	0.0172185029869365	0.0240519225846644	0.026469678112694	0.0231051931029962	0.0155310558233621	0.00916272747288722
OM1_C_2G_3	0.0253762854213157	0.0197563765325669	0.026550116638964	0.0139745247220864	0.0188591328854389	0.0113986988035423	0.0159502801305454	0.00721511220358729	0.0307871061010936	0.0221613769840959	0.0248943653538611	0	0.00987062161764027	0.043182815705143	0.0072461526670265	0.00946719435856054	0.00729443817283143	0.0107665346377378	0.0109911283569781	0.037443899255492	0.0248288812093169
OM1_C_2H_2	0.0320702534605694	0.0103485125863448	0.018770247598558	0.00998788939768844	0.0264536228417198	0.00944516111159392	0.0243756349950962	0.0168013945203544	0.0402447341077052	0.0163652994340094	0.0177320400741574	0.00987062161764027	0	0.0515977566706376	0.00907896220771768	0.00893449814134835	0.0139018898959521	0.00913617485681648	0.013693323983998	0.0302361888819757	0.016848377588344
OM1_C_3D_2	0.0216165283024023	0.061752264659474	0.0682651168312261	0.0564673428509184	0.0253386453554754	0.0520907307637824	0.0285666610449269	0.036997646187812	0.016872247080711	0.0640731937528624	0.0659052329042137	0.043182815705143	0.0515977566706376	0	0.0447474746941078	0.0518462638035136	0.0429078618115033	0.0460001558373379	0.0431240037643249	0.0798859188290696	0.0677455627570157
OM1_C_3F_1	0.0250619823383358	0.0177885325864592	0.023633839173774	0.013696414035995	0.0197513571154827	0.00882672605218717	0.0197807861555682	0.010833025306157	0.0343181952448229	0.0203288537200531	0.0214461743437148	0.0072461526670265	0.00907896220771768	0.0447474746941078	0	0.0107880898304423	0.0074515213331764	0.0117198000889473	0.00489668310017154	0.0357680275747623	0.0236870952719746
OM1_C_3F_2	0.0341027760425598	0.0142779219308277	0.0187038657162071	0.00491499809646245	0.0278127032561186	0.00555415471513943	0.0251813968624379	0.0148859662319335	0.0388262503269322	0.0132647270028402	0.0172185029869365	0.00946719435856054	0.00893449814134835	0.0518462638035136	0.0107880898304423	0	0.0100984546630956	0.0161963509864797	0.0141918199137926	0.0285538916177654	0.0169439594197967
OM1_C_3F_3	0.025576044597042	0.0221449602983164	0.0263956056501039	0.0141762301457729	0.0195602692635333	0.00967834587055221	0.0187576373485126	0.00714927136931462	0.0308439268002124	0.0213607759224866	0.0240519225846644	0.00729443817283143	0.0139018898959521	0.0429078618115033	0.0074515213331764	0.0100984546630956	0	0.0170043550578965	0.00795359714943405	0.0372608596553212	0.0262139354473953
OM1_H_1D_2	0.0266021938457667	0.0179956961074604	0.027404742234152	0.0187093971544499	0.021407360551149	0.0171978644385387	0.0189668108752444	0.0161172566014908	0.0358431841222141	0.0254949344206436	0.026469678112694	0.0107665346377378	0.00913617485681648	0.0460001558373379	0.0117198000889473	0.0161963509864797	0.0170043550578965	0	0.0158901788138206	0.0388283934255804	0.0251504632829063
OM1_H_1D_3	0.0234260558505081	0.0213077562681368	0.0257308015711179	0.0167953906751826	0.0188850219059184	0.0110000395613527	0.020718178431198	0.0117285712639021	0.0337188338761528	0.022500205822972	0.0231051931029962	0.0109911283569781	0.013693323983998	0.0431240037643249	0.00489668310017154	0.0141918199137926	0.00795359714943405	0.0158901788138206	0	0.0379914765905471	0.0268725053103124
OM1_H_1G_2	0.0607928348957096	0.0212679749187122	0.0130110132645029	0.023699677658844	0.0553027112070941	0.0279285161747057	0.053350958934903	0.0432475729772817	0.0672682047626762	0.0159275827752982	0.0155310558233621	0.037443899255492	0.0302361888819757	0.0798859188290696	0.0357680275747623	0.0285538916177654	0.0372608596553212	0.0388283934255804	0.0379914765905471	0	0.0138069998403482
OM1_H_1G_3	0.0484462129132804	0.00810961635347009	0.00687453268960548	0.012403106427019	0.0428169500298009	0.017044975716114	0.0404785195701257	0.0313283442969213	0.0553730933914496	0.00809037838860432	0.00916272747288722	0.0248288812093169	0.016848377588344	0.0677455627570157	0.0236870952719746	0.0169439594197967	0.0262139354473953	0.0251504632829063	0.0268725053103124	0.0138069998403482	0
