	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_2	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_3D_2	OM1_C_3F_1	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_2	OM1_H_1G_3
OM1_B_B_1	0	0.0417582134274096	0.0484504845760836	0.0381870705454619	0.00708962302141325	0.0333617447867821	0.0146244104083098	0.020670934489161	0.0195888697711444	0.0452822671127916	0.0461304710552777	0.0253762854213157	0.0320702534605694	0.0216165283024023	0.0250619823383358	0.0341027760425598	0.025576044597042	0.0266021938457667	0.0234260558505081	0.0607928348957096	0.0484462129132804
OM1_B_B_2	0.0417582134274096	0	0.0103006872792574	0.0110876391165968	0.0365164703324236	0.013684053051094	0.0347116178767394	0.0265548622802014	0.0504437287096149	0.0113094754011929	0.0107818516486175	0.0197563765325669	0.0103485125863448	0.061752264659474	0.0177885325864592	0.0142779219308277	0.0221449602983164	0.0179956961074604	0.0213077562681368	0.0212679749187122	0.00810961635347009
OM1_B_B_3	0.0484504845760836	0.0103006872792574	0	0.0139676191743747	0.0433604310800288	0.0167204811687271	0.0422741521293877	0.032400286558736	0.0567858805414838	0.00704844082836636	0.00334758247509271	0.026550116638964	0.018770247598558	0.0682651168312261	0.023633839173774	0.0187038657162071	0.0263956056501039	0.027404742234152	0.0257308015711179	0.0130110132645029	0.00687453268960548
OM1_B_C_1	0.0381870705454619	0.0110876391165968	0.0139676191743747	0	0.0321584326512291	0.00607201158284743	0.0298762011491539	0.0196054834276877	0.0436913674123045	0.00844088763861096	0.0127001707311089	0.0139745247220864	0.00998788939768844	0.0564673428509184	0.013696414035995	0.00491499809646245	0.0141762301457729	0.0187093971544499	0.0167953906751826	0.023699677658844	0.012403106427019
OM1_B_C_2	0.00708962302141325	0.0365164703324236	0.0433604310800288	0.0321584326512291	0	0.0277415880008279	0.00825602131389734	0.013930355450653	0.0179206126581159	0.0396837000682695	0.0411692517270631	0.0188591328854389	0.0264536228417198	0.0253386453554754	0.0197513571154827	0.0278127032561186	0.0195602692635333	0.021407360551149	0.0188850219059184	0.0553027112070941	0.0428169500298009
OM1_B_C_3	0.0333617447867821	0.013684053051094	0.0167204811687271	0.00607201158284743	0.0277415880008279	0	0.0267536394229885	0.0159779700264513	0.0402904186948853	0.0120631750595207	0.0144525695581252	0.0113986988035423	0.00944516111159392	0.0520907307637824	0.00882672605218717	0.00555415471513943	0.00967834587055221	0.0171978644385387	0.0110000395613527	0.0279285161747057	0.017044975716114
OM1_C_2A_2	0.0146244104083098	0.0347116178767394	0.0422741521293877	0.0298762011491539	0.00825602131389734	0.0267536394229885	0	0.0117676016232283	0.0169553101444995	0.0380721976775903	0.040511494078794	0.0159502801305454	0.0243756349950962	0.0285666610449269	0.0197807861555682	0.0251813968624379	0.0187576373485126	0.0189668108752444	0.020718178431198	0.053350958934903	0.0404785195701257
OM1_C_2A_3	0.020670934489161	0.0265548622802014	0.032400286558736	0.0196054834276877	0.013930355450653	0.0159779700264513	0.0117676016232283	0	0.0244210555720796	0.0275340491706903	0.030335410648764	0.00721511220358729	0.0168013945203544	0.036997646187812	0.010833025306157	0.0148859662319335	0.00714927136931462	0.0161172566014908	0.0117285712639021	0.0432475729772817	0.0313283442969213
OM1_C_2F_2	0.0195888697711444	0.0504437287096149	0.0567858805414838	0.0436913674123045	0.0179206126581159	0.0402904186948853	0.0169553101444995	0.0244210555720796	0	0.0516947059261177	0.0546845284130532	0.0307871061010936	0.0402447341077052	0.016872247080711	0.0343181952448229	0.0388262503269322	0.0308439268002124	0.0358431841222141	0.0337188338761528	0.0672682047626762	0.0553730933914496
OM1_C_2G_1	0.0452822671127916	0.0113094754011929	0.00704844082836636	0.00844088763861096	0.0396837000682695	0.0120631750595207	0.0380721976775903	0.0275340491706903	0.0516947059261177	0	0.0062065016460775	0.0221613769840959	0.0163652994340094	0.0640731937528624	0.0203288537200531	0.0132647270028402	0.0213607759224866	0.0254949344206436	0.022500205822972	0.0159275827752982	0.00809037838860432
