	OM1_B_B	OM1_B_C	OM1_C_1A	OM1_C_1B	OM1_C_1D	OM1_C_1E	OM1_C_1F	OM1_C_2A	OM1_C_2C	OM1_C_2F	OM1_C_2G	OM1_C_2H	OM1_C_3D	OM1_C_3E	OM1_C_3F	OM1_H_1B	OM1_H_1C	OM1_H_1D	OM1_H_1G
OM1_B_B	0	0.0110876391165968	NA	NA	NA	NA	NA	0.0347116178767394	NA	0.0504437287096149	0.0113094754011929	0.0103485125863448	0.061752264659474	NA	0.0177885325864592	NA	NA	0.0213077562681368	0.0212679749187122
OM1_B_C	0.0110876391165968	0	NA	NA	NA	NA	NA	0.0298762011491539	NA	0.0436913674123045	0.00844088763861096	0.00998788939768844	0.0564673428509184	NA	0.013696414035995	NA	NA	0.0167953906751826	0.023699677658844
OM1_C_1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_1D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_1E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_1F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_2A	0.0347116178767394	0.0298762011491539	NA	NA	NA	NA	NA	0	NA	0.0169553101444995	0.0380721976775903	0.0243756349950962	0.0285666610449269	NA	0.0197807861555682	NA	NA	0.020718178431198	0.053350958934903
OM1_C_2C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_2F	0.0504437287096149	0.0436913674123045	NA	NA	NA	NA	NA	0.0169553101444995	NA	0	0.0516947059261177	0.0402447341077052	0.016872247080711	NA	0.0343181952448229	NA	NA	0.0337188338761528	0.0672682047626762
OM1_C_2G	0.0113094754011929	0.00844088763861096	NA	NA	NA	NA	NA	0.0380721976775903	NA	0.0516947059261177	0	0.0163652994340094	0.0640731937528624	NA	0.0203288537200531	NA	NA	0.022500205822972	0.0159275827752982
OM1_C_2H	0.0103485125863448	0.00998788939768844	NA	NA	NA	NA	NA	0.0243756349950962	NA	0.0402447341077052	0.0163652994340094	0	0.0515977566706376	NA	0.00907896220771768	NA	NA	0.013693323983998	0.0302361888819757
OM1_C_3D	0.061752264659474	0.0564673428509184	NA	NA	NA	NA	NA	0.0285666610449269	NA	0.016872247080711	0.0640731937528624	0.0515977566706376	0	NA	0.0447474746941078	NA	NA	0.0431240037643249	0.0798859188290696
OM1_C_3E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_C_3F	0.0177885325864592	0.013696414035995	NA	NA	NA	NA	NA	0.0197807861555682	NA	0.0343181952448229	0.0203288537200531	0.00907896220771768	0.0447474746941078	NA	0	NA	NA	0.00489668310017154	0.0357680275747623
OM1_H_1B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_H_1C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OM1_H_1D	0.0213077562681368	0.0167953906751826	NA	NA	NA	NA	NA	0.020718178431198	NA	0.0337188338761528	0.022500205822972	0.013693323983998	0.0431240037643249	NA	0.00489668310017154	NA	NA	0	0.0379914765905471
OM1_H_1G	0.0212679749187122	0.023699677658844	NA	NA	NA	NA	NA	0.053350958934903	NA	0.0672682047626762	0.0159275827752982	0.0302361888819757	0.0798859188290696	NA	0.0357680275747623	NA	NA	0.0379914765905471	0
