	OM1_B_B_1	OM1_B_B_2	OM1_B_C_3	OM1_C_1A_2	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_3D_1	0.00834029856883594	0.0262487849362866	0.0050238055719682	0.00435862448404709	0.0135523113761009	0.0120395739468333	0.0109975973575803	0.011007937955242	0.133150422551156	0.00414616487572341	0.0108969642677883	0.0054349104657359	0.000821540204632778	0.00564093568079231	9.61028908835158e-05	0.0211517729723914	0.0195264979391575	0.00290087438923239	0.00224297588211941	0.0267885740207877	0	0.0124673524744045	0.0202669235700751	0.0170913513977073	0.0195057058409388	0.0176967373387049	0.00878525713125437	0.0174066189843501	0.00692504355553154	0.00312192488175381	0.00694791058783926	0.0140691357571224	0.00100649136127437	0.00512028266456037
OM1_C_3D_2	0.00412720987530174	0.0137830583964084	0.00744371661713793	0.0168256425753809	0.00108502536581296	0.0245055758258163	0.00146982826751227	0.00145948722310514	0.120753010540786	0.0166132033164666	0.00157046565429061	0.0179018190751081	0.01328884298954	0.0181078221138063	0.0123712549920664	0.0336158545569345	0.00705976684572612	0.00956660416163578	0.0147101780766349	0.0143229455105879	0.0124673524744045	0	0.0327312259382349	0.00462435558097942	0.0319701922132531	0.00522980238916596	0.0036822418900615	0.00493965445690852	0.01939178292697	0.0155890555910817	0.00551961576889243	0.00160188512492109	0.0134737821068246	0.00734724053385828
OM1_C_3D_3	0.0286054348546924	0.0465066503499277	0.0252897755878019	0.0159088223134673	0.0338158115624422	0.00822810054014807	0.0312619491043973	0.0312722864472466	0.153271988893058	0.0161212630010889	0.0311613476082595	0.0148326217813856	0.0194455036639187	0.0146266109408288	0.0203630117325995	0.000884992091444557	0.0397876364673522	0.0231672929581012	0.0180242523725498	0.0470461485015153	0.0202669235700751	0.0327312259382349	0	0.0373535150067787	0.000761330811835537	0.0379586541189075	0.0290502692595619	0.0376686547140948	0.013342578278483	0.0171454022967453	0.0272134166124503	0.0343324521033996	0.0192605782037058	0.0253862307145683
OM1_C_3E_2	0.00875150522568285	0.00915891175796548	0.012067922182322	0.0214493928649932	0.00353933660465695	0.0291287298142069	0.00609416892885005	0.00608382801465549	0.11615122367194	0.0212369672261572	0.00619480503019787	0.0225254979985371	0.0179127999906514	0.0227314869245837	0.0169952586697324	0.0382380365416404	0.00243543980005322	0.014190732813175	0.0193340571271546	0.00969881980694441	0.0170913513977073	0.00462435558097942	0.0373535150067787	0	0.03659257120943	0.000605452067301907	0.008306546476191	0.000315301463151281	0.0240153565019407	0.0202128830004075	0.0101438779262601	0.00302247850980285	0.0180977293540416	0.011971449233391
OM1_C_3F_3	0.0278443307298364	0.0457459187924589	0.0245286216760073	0.0151475606222876	0.0330547978920759	0.00746678743706114	0.0305008892380199	0.0305112267606674	0.152516947379074	0.015360003205795	0.0304002859952402	0.0140713508762383	0.0186842768352866	0.0138653383463244	0.0196017950925261	0.0016463224807884	0.0390267446956626	0.022406110368515	0.0172630106910452	0.0462854308607968	0.0195057058409388	0.0319701922132531	0.000761330811835537	0.03659257120943	0	0.0371977229554036	0.0282891722754211	0.0369077174712998	0.0125812956943201	0.0163841519971445	0.0264522908464257	0.0335714482119412	0.0184993493785183	0.0246250781653235
OM1_H_1B_1	0.00935693945509441	0.00855347663285441	0.0126733408863205	0.0220547413047747	0.00414478548332573	0.0297339914736593	0.0066996121122385	0.00668927122683793	0.11554859715832	0.0218423176902791	0.00680024793085456	0.0231308358733182	0.0185181795098979	0.0233368227178957	0.017600645342351	0.0388431606343757	0.00182998869913759	0.0147961390345433	0.0199394248266025	0.00909338680908419	0.0176967373387049	0.00522980238916596	0.0379586541189075	0.000605452067301907	0.0371977229554036	0	0.00891198242072763	0.000290150623908689	0.024620678893433	0.0208182429408471	0.010749306226815	0.0036279281941671	0.0187031073862174	0.0125768684574129
OM1_H_1C_1	0.00044497043270902	0.0174649819584911	0.0037615121012166	0.0131436972031974	0.00476726037811917	0.0208240207652625	0.00221241795133537	0.00222275898529688	0.124415979208287	0.0129312494383895	0.00211178065070747	0.0142199186802477	0.00960677197636764	0.0144259306884548	0.00868915692206247	0.0299349734454291	0.0107419081660422	0.0058844374881404	0.0110281534749201	0.0180048464545278	0.00878525713125437	0.0036822418900615	0.0290502692595619	0.008306546476191	0.0282891722754211	0.00891198242072763	0	0.00862183981537711	0.0157099500162758	0.0119070624291251	0.00183738740403196	0.00528411576282089	0.00979171682281272	0.0036650345857697
OM1_H_1C_2	0.00906679768626495	0.00884361941816619	0.0123832066664161	0.0217646410647539	0.00385463652325297	0.029443933072347	0.0064094659652905	0.00639912506574253	0.115837397404699	0.0215522164731826	0.00651010192269522	0.0228407407315589	0.0182280642599293	0.0230467285803748	0.0173105266342314	0.0385531684560991	0.00212013892008599	0.0145060108662325	0.0196493152875572	0.00938352859265357	0.0174066189843501	0.00493965445690852	0.0376686547140948	0.000315301463151281	0.0369077174712998	0.000290150623908689	0.00862183981537711	0	0.0243305912204451	0.0205281371489102	0.0104591673449013	0.00333777883103837	0.0184129928549521	0.012286733985136
OM1_H_1C_3	0.0152650185679782	0.0331716354832254	0.0119486963061363	0.00256644769499089	0.0204766515803692	0.00511468864244156	0.017922140696418	0.017932480537556	0.140030237192239	0.00277890815865307	0.0178215149409985	0.00149015382568097	0.00610351615667734	0.00128412642322603	0.00702114472430296	0.014227506906996	0.0264502363883412	0.00982584529710567	0.00468209451447546	0.0337113436452993	0.00692504355553154	0.01939178292697	0.013342578278483	0.0240153565019407	0.0125812956943201	0.024620678893433	0.0157099500162758	0.0243305912204451	0	0.00380314903437109	0.0138727090090748	0.0209934309084813	0.00591856740909668	0.0120451692144454
OM1_H_1D_1	0.0114621141407544	0.0293698360709236	0.00814568358098729	0.00123670580740528	0.0166739785578543	0.00891777318686716	0.0141193449286558	0.0141296852305626	0.136252524378566	0.0010242448820017	0.0140187147045576	0.00231300006364247	0.00230038684851388	0.00251902716805492	0.00321802741771132	0.0180302912890089	0.0226479199812766	0.00602277923689178	0.000878951266486577	0.0299095910306524	0.00312192488175381	0.0155890555910817	0.0171454022967453	0.0202128830004075	0.0163841519971445	0.0208182429408471	0.0119070624291251	0.0205281371489102	0.00380314903437109	0	0.0100697554127897	0.017190784890907	0.00211543596697722	0.00824215921005623
OM1_H_1D_2	0.00139241738421639	0.0193021463985254	0.00192412953047497	0.0113064094948624	0.00660462683997491	0.0189868996503082	0.0040497993888645	0.00406014037966543	0.126243303116839	0.0110939582653503	0.00394916250090518	0.0123826494658691	0.00776943455718355	0.0125886651938611	0.0068518093708103	0.0280981552704769	0.0125792059369885	0.00404706600359011	0.00919083399659894	0.0198419976282206	0.00694791058783926	0.00551961576889243	0.0272134166124503	0.0101438779262601	0.0264522908464257	0.010749306226815	0.00183738740403196	0.0104591673449013	0.0138727090090748	0.0100697554127897	0	0.00712147814355346	0.00795438158343901	0.00182765165474283
OM1_H_1G_1	0.00572908132362591	0.0121812696498158	0.00904556273801525	0.0184273473109151	0.000516860082821202	0.0261070873425137	0.00307171078400217	0.0030613697667465	0.119159149144577	0.0182149124006743	0.00317234790077843	0.0195035009600675	0.014890613179485	0.0197094994681855	0.0139730397544999	0.0352170451591652	0.00545790390049422	0.0111684273347182	0.0163119237366218	0.0127211649554869	0.0140691357571224	0.00160188512492109	0.0343324521033996	0.00302247850980285	0.0335714482119412	0.0036279281941671	0.00528411576282089	0.00333777883103837	0.0209934309084813	0.017190784890907	0.00712147814355346	0	0.0150755492397093	0.00894908757251669
OM1_H_1G_2	0.00934676122414008	0.0272550151501532	0.00603028575843036	0.00335213853892542	0.014558730272691	0.0110331320352401	0.0120040401710125	0.0120143806814164	0.134150624527427	0.00313967833953603	0.0119034079263027	0.00442842803172074	0.000184951212877468	0.00463445401732783	0.00110259421327366	0.0201454410617166	0.0205328424785319	0.00390736156490155	0.00123648554777359	0.0277947936544455	0.00100649136127437	0.0134737821068246	0.0192605782037058	0.0180977293540416	0.0184993493785183	0.0187031073862174	0.00979171682281272	0.0184129928549521	0.00591856740909668	0.00211543596697722	0.00795438158343901	0.0150755492397093	0	0.00612676245480461
OM1_H_1G_3	0.00322006606012023	0.0211295293096845	9.64779988044199e-05	0.00947882948901214	0.00843224158634908	0.0171594666795313	0.00587743525015491	0.00588777617286662	0.128060644696052	0.00926637533004314	0.00577679901763738	0.0105550852378193	0.00594181371040774	0.0107611041647588	0.00502418067893744	0.0262710015165911	0.0144067378186187	0.00221942033206306	0.00736322753656826	0.0216693660315345	0.00512028266456037	0.00734724053385828	0.0253862307145683	0.011971449233391	0.0246250781653235	0.0125768684574129	0.0036650345857697	0.012286733985136	0.0120451692144454	0.00824215921005623	0.00182765165474283	0.00894908757251669	0.00612676245480461	0
