	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_2	OM1_C_1D_1	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3F_1	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_2H_3	0.0072917073179644	0.00860932579308462	0.0176008245911219	0.0202649238955783	0.00981656740609696	0.000867731924846548	0.0178628320928339	0.0141172960050741	0.0136485143676601	0.0119521045692656	0.00242160525361801	0.0195320987030408	0.0266198885022004	0.0165143991476052	0.0150853530609837	0.0109256709288861	0.0178984174541192	0.019598009032019	0.0224059817738819	0.0186404964877891	0.0141223690808744	0	0.0241484403006473	0.0270616424638882	0.0225924250148632	0.0241732630792849	0.0155784450706169	0.0182165276850171	0.0160863607025022	0.026529939265862	0.0201235051667474	0.00325668625979324	0.0131365387394743	0.0253050218099357	0.0208092156305054
OM1_C_3E_1	0.016857765590038	0.0327553912735724	0.00654858273279103	0.00388417660777473	0.0143330544637971	0.0232808782359453	0.00628655032915593	0.0100323330244602	0.0105011289588795	0.0121975596729736	0.0217272773442214	0.00461709805504178	0.00247199980266737	0.00763509915512498	0.00906423477653382	0.0132239825079498	0.00625096149697687	0.00455117943708664	0.00174278597896987	0.00550880524779338	0.0100272597737642	0.0241484403006473	0	0.00291386312619758	0.00155631012885525	2.48278114314179e-05	0.00857111574265076	0.00593281929585549	0.00806316801083977	0.00238202869832478	0.00402561461210378	0.0274043756588806	0.0110131159884831	0.00115682692153779	0.00333980755968802
OM1_C_3E_2	0.0197712918015079	0.035668071727479	0.00946238325826163	0.00679801306131721	0.0172466677533546	0.0261941246187797	0.00920035502431994	0.0129460649173928	0.0134148497418565	0.0151112365351334	0.0246405990914467	0.00753092605637088	0.000441864426701715	0.0105488809095291	0.0119779882049811	0.0161376299667831	0.00916476674776202	0.00746500824304716	0.00465664090787613	0.00842262150159109	0.0129409917844912	0.0270616424638882	0.00291386312619758	0	0.00447016622805826	0.0028890353880041	0.0114848794117271	0.00884662939970376	0.0109769417141717	0.000531835707328728	0.00693944951910928	0.0303173982118975	0.013926824129793	0.00175703825746546	0.00625364958835985
OM1_C_3F_1	0.0153015947743379	0.0311996339602154	0.00499229024803857	0.00232787135811808	0.0127768432205286	0.0217248414187748	0.00473025624912219	0.00847606879833812	0.00894486953671402	0.0106413196206785	0.0201712040120185	0.00306079555244447	0.00402830455931249	0.00607881407654674	0.00750796138174335	0.0116677556868084	0.00469466720601239	0.00299487666366509	0.000186476025443516	0.00395250686948288	0.00847099549696056	0.0225924250148632	0.00155631012885525	0.00447016622805826	0	0.00158113791829657	0.00701483806703411	0.00437652317990202	0.00650688620038577	0.00393833376610874	0.00246930984741414	0.0258484484769983	0.0094568620843112	0.00271313535716249	0.00178350064506793
OM1_C_3F_2	0.0168825909488786	0.0327802098200737	0.00657341017282882	0.00390900428769512	0.0143578805019031	0.023305701369851	0.00631137779820519	0.0100571599662954	0.0105259558177022	0.0122223861997054	0.0217521010817462	0.00464192568117988	0.00244717204409539	0.00765992646222623	0.00908906187779809	0.0132488088096523	0.00627578896989137	0.00457600706842896	0.00176761376311078	0.00553363279600973	0.010052086716473	0.0241732630792849	2.48278114314179e-05	0.0028890353880041	0.00158113791829657	0	0.0085959429189274	0.00595764680220996	0.00808799525998054	0.00235720093603021	0.00405044228238784	0.0274291969878191	0.0110379427523106	0.00113199912220779	0.00336463527361136
OM1_C_3F_3	0.00828706563026125	0.0241866378291722	0.00202257239553505	0.00468699326025214	0.00576218446813413	0.0147107824822762	0.00228460812083372	0.00146126088632814	0.00193007350386527	0.00362657552847939	0.0131570128329212	0.00395407196791944	0.0110430344143703	0.000936037840958504	0.00049313232810286	0.00465304983605282	0.00232019737264263	0.00401999070265396	0.00682836513979908	0.00306236065614052	0.0014561874622945	0.0155784450706169	0.00857111574265076	0.0114848794117271	0.00701483806703411	0.0085959429189274	0	0.00263834299040765	0.000507959912427706	0.0109530668994668	0.00454555553453921	0.018834797907548	0.00244208024893731	0.00972790921653922	0.00523136012610913
OM1_H_1B_1	0.0109253256235831	0.026824384823422	0.000615771735391618	0.00204865906111724	0.0084004830976994	0.0173488913356591	0.000353735609612047	0.00409959838905708	0.00456840841672979	0.00626489770163138	0.0157951652075026	0.00131573374102789	0.00840477636242969	0.00170230660879089	0.00313147390404337	0.00729136173763462	0.000318146293587607	0.00138165279779103	0.00419004834039327	0.000424018854754686	0.00409452499078903	0.0182165276850171	0.00593281929585549	0.00884662939970376	0.00437652317990202	0.00595764680220996	0.00263834299040765	0	0.00213038406909748	0.0083148072541974	0.0019072204815987	0.0214727696618689	0.00508041187298807	0.00708962934659487	0.00259302955482147
OM1_H_1B_2	0.00879501267599039	0.0246944920712346	0.00151461302325481	0.00417903680104491	0.00627013800427323	0.0152187028403973	0.00177664892417939	0.00196922029118286	0.00243803258620707	0.00413453279531576	0.0136649409870878	0.00344611445792717	0.0105350950029915	0.000428077999228166	0.00100109215353652	0.00516100551086023	0.00181223820168372	0.00351203327945595	0.00632041283494663	0.00255440212302927	0.00196414687013107	0.0160863607025022	0.00806316801083977	0.0109769417141717	0.00650688620038577	0.00808799525998054	0.000507959912427706	0.00213038406909748	0	0.0104451271475326	0.00403759885784249	0.019342693416945	0.00295003889041178	0.0092199651106989	0.0047234045698764
OM1_H_1D_1	0.0192395262647248	0.0351364675143247	0.00893056313128726	0.00626618520712748	0.016714885216143	0.0256624129700548	0.00866853402127887	0.0124142588461192	0.0128830459040729	0.0145794414580287	0.0241088730069898	0.00699910006664414	8.99712879573171e-05	0.0100170646855358	0.011446177778246	0.0156058407065998	0.00863294562768648	0.0069331820775143	0.00412480874139145	0.00789079804746028	0.012409185689497	0.026529939265862	0.00238202869832478	0.000531835707328728	0.00393833376610874	0.00235720093603021	0.0109530668994668	0.0083148072541974	0.0104451271475326	0	0.00640762200928425	0.0297857292207319	0.013395022823995	0.00122520294692319	0.00572182047761186
OM1_H_1D_2	0.0128324532443637	0.0287310938537906	0.00252299118892176	0.000141438770963378	0.0103076462409728	0.019255890391743	0.00226095556195268	0.00600680257018125	0.00647560931539738	0.00817208428765694	0.0177022003930573	0.000591487255460496	0.00649759199873377	0.00360952302385677	0.00503868394213693	0.00919853781095854	0.00222536630678629	0.000525568164228542	0.0022828341864572	0.0014832020429741	0.00600172920585094	0.0201235051667474	0.00402561461210378	0.00693944951910928	0.00246930984741414	0.00405044228238784	0.00454555553453921	0.0019072204815987	0.00403759885784249	0.00640762200928425	0	0.023379657225501	0.00698760885401168	0.00518243316646519	0.000685810249770192
OM1_H_1D_3	0.0105483060364633	0.0053526921683076	0.0208570938473189	0.0235210689594176	0.0130731076765353	0.00412441410578399	0.0211190898451095	0.0173737034790764	0.0169049383484585	0.0152085841309045	0.00567827584729247	0.0227882795254711	0.0298756727149467	0.0197707144516636	0.0183417248755746	0.0141821809585678	0.0211546736320038	0.0228541866878963	0.0256620154267325	0.0218967191828747	0.017378776373531	0.00325668625979324	0.0274043756588806	0.0303173982118975	0.0258484484769983	0.0274291969878191	0.018834797907548	0.0214727696618689	0.019342693416945	0.0297857292207319	0.023379657225501	0	0.0163929801803387	0.0285608881475372	0.0240653333515261
OM1_H_1G_1	0.00584502650609036	0.0217450051360175	0.00446464498659595	0.00712904518013192	0.00332012045689091	0.012268855598062	0.0047266792123553	0.000980820578486356	0.000512007583496695	0.00118449892464261	0.0107150523528064	0.00639613077324904	0.0134849884767164	0.00337811540808965	0.00194894873606124	0.00221097831783075	0.00476226825152827	0.00646204892596052	0.00927039173029946	0.00550442661150002	0.000985894004648494	0.0131365387394743	0.0110131159884831	0.013926824129793	0.0094568620843112	0.0110379427523106	0.00244208024893731	0.00508041187298807	0.00295003889041178	0.013395022823995	0.00698760885401168	0.0163929801803387	0	0.012169889136874	0.00767340634304517
OM1_H_1G_2	0.0180144706240423	0.0339117716987634	0.00770538941455938	0.00504099567650191	0.015489792292141	0.024437476691323	0.00744335848175884	0.0111891149118904	0.0116579067656516	0.0133543212371175	0.0228839046281959	0.00577391428446639	0.00131517418466214	0.00879189914985214	0.0102210245320558	0.0143807331212256	0.00740776984511417	0.00570799593951203	0.00289961087400772	0.00666561744145148	0.011184041704402	0.0253050218099357	0.00115682692153779	0.00175703825746546	0.00271313535716249	0.00113199912220779	0.00972790921653922	0.00708962934659487	0.0092199651106989	0.00122520294692319	0.00518243316646519	0.0285608881475372	0.012169889136874	0	0.00449662845831692
OM1_H_1G_3	0.0135182221883389	0.0294167024906139	0.00320879951263305	0.000544371496973434	0.0109934295149685	0.0199416091476358	0.00294676422666879	0.00669260325320736	0.00716140852894396	0.00885787730827911	0.0183879330976127	0.00127729732560842	0.00581179072845136	0.0042953295847656	0.00572448732838158	0.00988432641834928	0.00291117501531443	0.00121137826258556	0.00159702480376407	0.00216901152742438	0.00668752990421692	0.0208092156305054	0.00333980755968802	0.00625364958835985	0.00178350064506793	0.00336463527361136	0.00523136012610913	0.00259302955482147	0.0047234045698764	0.00572182047761186	0.000685810249770192	0.0240653333515261	0.00767340634304517	0.00449662845831692	0
