C85L2_2	C85L3_2	C85L5_2	C85L6_1	C85N1_1	C85P1a_2	C85P1b_1	C85P1c_1	C85P1d_1	C85P1e_1
53	460	93	371	478	201	130	465	62	0
368	1683	390	1603	1835	829	533	1951	227	125
1106	5976	1365	5595	5829	2698	2223	7622	743	451
1556	10766	2262	9646	9909	4355	3814	14218	1688	844
1122	10922	2259	9152	9459	4021	3471	14857	2896	835
601	6464	1053	5615	5402	2668	2056	9145	1467	561
359	4385	577	4202	3296	1747	1125	5299	947	329
211	2155	652	2043	1703	808	503	1940	330	145
