T790M_707_1	T790M_708_1	T790M_709_2	T790M_710_2	T790M_713_2	T790M_714A_1	T790M_714B_1	T790M_714C_1	T790M_715A_1	T790M_715B_1	T790M_716_1	T790M_717_2	T790M_III_1_N_2	T790M_III_1_N2_2
2021	1708	1500	950	1269	1270	1238	1613	1280	2033	1498	1410	1352	2738
6467	5834	5195	3097	4141	3575	3671	4906	3897	5636	4804	4678	4296	9019
11044	10451	8895	5477	7189	6167	6506	8443	7047	10598	9016	8307	7684	17045
8536	8331	7352	4325	6280	5211	5013	6642	5651	8590	7316	6701	6054	14113
3122	3111	2600	1702	2268	2239	2539	2903	2621	3682	3364	2852	2642	5367
4613	5311	4253	3907	4054	5138	5754	5412	5967	8486	7363	5883	6000	9408
9132	11231	8700	8312	8283	10906	11226	10816	11958	18181	14415	12031	10583	19691
8946	11138	8768	8370	7946	10362	10380	10416	11089	17396	15000	11616	8455	20216
1588	2059	1541	1397	1462	2187	2238	2163	2232	3633	3281	2281	1111	3773
