T790M_707_2	T790M_708_1	T790M_709_1	T790M_710_1	T790M_713_1	T790M_714A_1	T790M_714B_1	T790M_714C_1	T790M_715A_2	T790M_715B_1	T790M_716_1	T790M_717_2	T790M_III_1_N_1	T790M_III_1_N2_1
318	302	275	424	506	351	289	296	512	498	351	289	359	474
2359	2308	2537	3038	3733	2498	2207	2165	3317	3375	2402	2363	2723	3989
6402	6303	6740	7703	9725	6513	5592	5375	8212	8764	5970	6324	7161	10628
989	955	1026	1252	1512	1073	942	871	1340	1470	985	970	1219	1727
553	531	638	643	834	520	502	570	572	812	502	546	714	1123
965	923	1136	1040	1439	922	839	985	945	1297	893	1008	1198	2008
1135	1083	1348	1220	1687	1080	962	1144	1074	1537	1071	1190	1344	2290
530	552	661	634	724	570	506	556	499	774	527	578	693	947
