C92L1_1	C92L2_2	C92L3_1	C92N1_1	C92N2_1	C92P1d_1	C92P1e_2	C92P1f_1	C92P1g_1	C92P1h_2
1163	5044	3730	144	104	6454	1665	9947	1024	4279
4608	7407	14448	422	373	18069	9626	24757	7667	17743
4622	4034	19760	1486	1506	21581	14879	14548	20346	24568
3207	1391	11659	4626	4408	11702	9766	10452	25748	13268
1506	1586	4624	13376	12270	6076	6357	5776	16536	7429
1089	1827	1361	19797	17580	4118	4687	5545	6089	7388
858	1461	1000	17625	15390	3350	3356	5129	2739	5952
609	654	655	10533	8917	1777	1585	2496	1291	3480
785	615	669	9932	7889	1971	1688	2501	1254	3594
909	791	723	10628	8898	2229	1718	2852	1384	4247
781	687	603	8863	7904	1950	1519	2645	1282	3756
399	275	310	5090	4207	1232	721	1367	655	1994
91	52	50	1278	1003	164	122	230	101	455
