C92L1_1	C92L2_1	C92L3_1	C92N1_2	C92N2_2	C92P1d_2	C92P1e_2	C92P1f_1	C92P1g_1	C92P1h_2
0	0	179	296	197	285	413	718	878	575
187	741	1036	205	185	820	3180	4445	7492	2728
939	2527	2882	215	229	5036	14394	20289	24986	13768
1235	3084	2453	639	563	10934	20224	29679	30625	22060
498	1188	1064	1247	833	11880	7870	19393	4206	10991
313	291	790	3514	2264	5866	2426	4658	416	2638
291	355	852	9767	6328	3099	1885	2226	770	3121
222	450	545	14491	9601	1968	2340	2509	1219	4044
217	508	176	13498	9073	1250	2296	2258	1221	3813
125	337	0	9237	6197	840	1450	1355	770	2477
82	152	80	3068	2391	429	739	764	298	929
0	78	0	1817	1377	184	372	345	91	407
0	109	0	1205	994	437	484	376	0	426
