C92L1_2	C92L2_2	C92L3_3	C92N1_2	C92N2_2	C92P1d_2	C92P1e_2	C92P1f_2	C92P1g_3	C92P1h_2
63	0	0	52	91	0	2141	3987	775	2457
0	98	116	80	0	312	15063	17192	6945	3561
143	428	448	274	232	1531	5418	1955	17065	16467
494	1172	1086	1380	949	5513	5412	3920	10407	22837
1723	1871	1392	4585	3547	7953	6926	8528	2086	6266
2603	1803	1205	14855	11036	8405	4536	9676	1236	5442
2814	1493	925	25087	18718	6743	4952	7622	1939	8805
2197	1020	498	25096	18919	5455	4475	5936	1859	8738
921	497	239	15273	11847	2411	2685	2920	1043	4860
529	317	113	8372	6415	1401	1921	1956	647	3470
154	97	58	2265	1452	423	485	562	175	890
