C92L1_2	C92L2_2	C92L3_2	C92N1_2	C92N2_1	C92P1d_2	C92P1e_1	C92P1f_3	C92P1g_1	C92P1h_3
7391	9471	3503	183	140	4580	733	5453	2089	3399
452	6380	9325	242	204	3061	917	5787	1552	8127
309	867	1697	596	458	2017	7528	26025	19426	27319
661	709	2170	1345	996	2365	6773	7041	3061	6616
2950	2794	10143	5460	4171	6648	4662	16598	6989	15914
5508	6271	1574	13186	10991	7739	6042	25912	9833	25543
8977	11380	2488	27047	22333	11841	7224	25960	5107	27390
3880	6569	684	10653	9635	2782	1556	6253	1586	10205
1246	4860	551	6406	5910	1378	1535	4080	1248	5373
316	499	186	1437	1327	386	446	1106	399	1743
