C92L1_3	C92L2_3	C92L3_1	C92N1_1	C92N2_3	C92P1d_1	C92P1e_1	C92P1f_1	C92P1g_1	C92P1h_3
4854	2988	3997	0	0	971	1035	1621	1348	16964
7826	9015	4346	0	0	4601	6448	7817	8291	26457
1845	15629	1026	60	146	5136	8628	11446	13478	12171
819	12567	1151	240	735	4867	4672	5731	7866	10649
2189	5470	1639	854	2655	2614	2801	1986	5316	8709
3898	1837	1601	2248	6954	1318	1301	800	1837	4528
4649	2287	1312	5246	15367	1087	1468	1575	660	5134
4355	2871	1037	8041	22296	1084	1944	2207	1026	7300
3372	2812	772	8397	23300	951	1927	2344	990	7352
1536	1755	574	6181	17291	787	1535	1699	800	5323
732	858	254	1776	5674	247	566	632	312	2234
