C92L1_2	C92L2_1	C92L3_1	C92N1_2	C92N2_1	C92P1d_1	C92P1e_1	C92P1f_2	C92P1g_2	C92P1h_2
0	98	104	0	0	285	787	2557	116	818
216	376	636	0	73	1236	2293	7689	600	3402
735	837	2135	205	116	4325	5495	13588	2519	8308
1510	1817	4405	1035	917	9370	6315	4092	8088	7578
1001	2589	4738	5630	4966	7380	7694	1918	14055	4118
1966	2760	2796	15899	14449	6430	6341	4583	8132	6257
2514	2698	1572	25905	24482	7915	7482	7921	4491	9614
469	517	254	5634	5318	1256	1066	1297	610	1640
