C92L1_1	C92L2_2	C92L3_2	C92N1_2	C92N2_2	C92P1d_1	C92P1e_2	C92P1f_2	C92P1g_1	C92P1h_2
2047	2385	752	462	269	2539	4007	2690	2554	9428
5051	5303	4426	1158	995	11913	16887	16366	11750	28339
947	3194	7711	4352	3627	17374	12252	28469	21571	24363
931	1579	6834	17460	13753	9314	10040	9040	9931	12105
1694	1990	3711	28835	28977	7295	8706	8111	12740	14337
1804	2334	1919	28615	29752	6219	9012	8862	14880	16144
917	1098	980	25744	22041	3177	4624	4199	9817	8560
167	253	232	6064	5538	951	1295	1258	2460	2057
