C92L1_3	C92L2_3	C92L3_3	C92N1_3	C92N2_3	C92P1d_2	C92P1e_3	C92P1f_2	C92P1g_3	C92P1h_3
87	52	94	0	0	487	1276	1729	410	5651
210	137	172	130	56	1114	3915	2835	1115	7898
412	269	309	210	79	2031	7087	2616	3001	6969
562	393	343	669	360	2317	7790	1697	4796	4749
564	413	314	1735	949	1980	4960	746	4644	2380
528	349	248	3549	1918	1463	2092	440	2684	1451
422	287	190	6762	4066	1009	1210	542	842	2032
349	266	200	11207	6656	835	1502	705	572	2955
332	287	141	13351	8137	791	1743	806	578	3415
273	218	121	12706	7459	731	1564	680	492	3108
142	154	74	8464	5453	437	1061	419	351	2028
82	80	0	4201	2426	244	603	231	214	1090
0	0	0	1732	1050	88	229	75	99	420
