C92L1_3	C92L2_1	C92L3_3	C92N1_3	C92N2_2	C92P1d_3	C92P1e_3	C92P1f_3	C92P1g_3	C92P1h_3
5659	3545	2434	200	0	5227	157	1106	329	828
15520	7027	11956	936	221	16497	1295	5934	2317	4834
8064	2629	16495	3708	910	9680	5017	10248	7973	17438
7973	2686	8175	11567	3454	6617	9247	6637	11273	26479
4531	2511	8135	21423	6424	3496	11134	5827	6351	18109
2892	1273	3537	20679	5551	1461	5180	3773	3419	8564
962	493	1377	11333	2734	580	2025	1817	1452	3311
605	335	529	6725	1501	353	1772	1325	660	2478
169	92	149	2041	468	106	862	418	138	693
