C92L1_2	C92L2_1	C92L3_2	C92N1_2	C92N2_1	C92P1d_1	C92P1e_3	C92P1f_1	C92P1g_1	C92P1h_2
1793	12564	2635	0	0	1385	1508	1019	6934	6988
10138	12804	13271	0	73	10549	22038	8847	31533	24881
4443	3343	21492	77	82	23128	28019	23018	24148	15539
4285	1496	9900	166	157	12216	13495	13299	3869	3241
956	194	1614	439	393	2844	9610	3586	200	543
283	256	194	1291	811	613	6601	697	274	944
427	478	306	3536	2306	993	1939	1093	606	1647
1180	1289	876	10462	7686	2549	4027	2755	1794	4053
1882	2066	1421	16851	12883	4095	6625	4496	2940	6268
2177	2371	1554	19036	14091	4593	7901	5188	3452	6993
1396	1631	914	13028	9201	3137	5408	3402	2291	4600
387	598	234	4676	3011	1033	1870	1109	730	1262
133	203	87	1543	895	330	601	345	256	469
