C92L1_1	C92L2_2	C92L3_2	C92N1_1	C92N2_1	C92P1d_1	C92P1e_2	C92P1f_2	C92P1g_1	C92P1h_1
0	266	0	0	0	85	0	2578	1806	1482
263	1221	490	0	0	1001	9037	11840	10853	7461
618	666	773	246	167	3695	4869	774	4471	4777
397	942	782	1442	1026	5049	1253	327	5514	694
584	1340	257	6264	4790	2725	1461	1330	1065	1547
628	1246	214	12309	9700	1858	3031	2860	1418	3284
371	1106	137	9659	7801	1391	2718	2658	1171	2533
57	165	0	1865	1581	311	405	508	228	338
