C92L1_2	C92L2_2	C92L3_2	C92N1_2	C92N2_3	C92P1d_3	C92P1e_3	C92P1f_3	C92P1g_3	C92P1h_3
268	547	4507	0	0	1229	521	1123	6404	567
1659	3813	8344	70	112	3405	2882	6829	22845	3325
2963	7191	3703	144	200	4801	6687	11939	31453	9867
3091	8686	686	363	608	4620	6550	6630	7354	12888
1824	5913	222	949	1376	1637	3444	3817	1664	6849
1123	2760	390	2399	3594	674	1628	2478	1067	3070
1072	2008	592	4647	6817	1006	1535	2498	1984	3401
994	2053	632	6258	9422	1370	1795	2863	2567	4463
856	1701	501	6081	8879	1309	1665	2533	2294	4101
586	762	222	3736	5558	749	893	1229	1280	2375
303	277	91	1684	2446	429	534	638	542	1334
