a	b	r	l1	markers
C12P9	C79P9	0.3417253780157149	1.497653152816678	11
C12P9	C79P10	0.4493980352408534	1.5306682434674486	11
C12P9	C79P11	0.4119752950737051	1.5366972167352175	11
C12P9	C79P12	0.39874587002406764	1.521436480645484	11
C12P9	C79M1	0.23097621933895385	1.5283217895286372	11
C12P9	C92L1	0.452442736902293	1.2529873857554312	11
C12P9	C92L2	0.326405642473626	1.3411569626270796	11
C12P9	C92L3	0.48590304423457864	0.9652241634082874	11
C12P9	C92P1d	0.4522317703648622	1.2452055426280422	11
C12P9	C92P1e	0.5792796787416665	1.1327491977964965	11
C12P9	C92P1f	0.6067706848998978	1.049186796210319	11
C12P9	C92P1g	0.47127479565817104	1.1843962878730414	11
C12P9	C92P1h	0.5187682745064496	1.2518239573012238	11
C12P10	C45P2	0.24711940849141215	2.721047273256641	14
C12P10	C45P3	0.21063139788392096	2.722180975557208	14
C12P10	C45P1	0.1955242950478281	2.690251291755427	14
C12P10	C45L1	0.1344924364201614	2.6002041289744824	14
C12P10	C45L2	0.21559163100194093	2.651332333389496	14
C12P10	C45M1	0.13486922576690089	2.6969283702078743	14
C12P10	C45M2	0.21881703319587353	2.692332218771628	14
C12P10	C46P4	-0.5440677637132331	2.943556554064176	13
C12P10	C46P1	-0.5219581983066532	2.9506034347808	13
C12P10	C46P2	-0.3539341163322286	2.9416620341332442	13
C12P10	C46P3	-0.46370881916497325	2.935008053319112	13
C12P10	C46P5	0.13716372366823226	2.922260676447014	13
C12P10	C46M1	-0.034693645525866845	2.814600377000748	13
C12P10	C46L1	-0.10755679094705463	2.8971291457683557	13
C12P10	C51P2	0.30381975960697816	2.6199056035676604	12
C12P10	C51M1a	0.34392403060820637	2.6133598790690296	12
C12P10	C51M1b	0.34707792455314407	2.5589135144466226	12
C12P10	C51L1	0.31623558199284796	2.6474749035157004	12
C12P10	C51L2	0.47954260546058314	2.518877038180857	12
C12P10	C51P1	0.5023954932027231	2.564001866740064	12
C12P10	C51P3	0.4285832827512115	2.6055328886851155	12
C12P10	C53P1	-0.19291957071295615	2.3881730415486895	11
C12P10	C53M1a	-0.065551997536802	2.33266521126675	11
C12P10	C53L1	-0.02098319495541367	2.3340231295267038	11
C12P10	C53P2	-0.3845912528545681	2.330002796839631	11
C12P10	C53P3	-0.07941881211184305	2.343190911481687	11
C12P10	C53P4	-0.34364080200861274	2.4191666815287403	11
C12P10	C53M1b	-0.06160711653161198	2.330596197499525	11
C12P10	C53M2	-0.08507860075389051	2.3135209120961866	11
C12P10	C53M3	-0.38890820697346645	2.384513449324953	11
C12P10	C59P3	0.22367926860671586	2.9254083273672844	12
C12P10	C59M1b	-0.09048698097409115	2.9623175891484608	12
C12P10	C59L1	0.14500195089410126	2.9366564929425305	12
C12P10	C59L2	0.29130358212972784	2.936502369427472	12
C12P10	C59L3	0.404275602919213	2.8180634841285013	12
C12P10	C59M1a	-0.07148834331022826	2.926386638695071	12
C12P10	C59M1c	-0.1292714107370302	3.0048033105323615	12
C12P10	C59P1	-0.017421346117169893	2.911191557389223	12
C12P10	C59P2	0.059111955703357505	2.9369112896319156	12
C12P10	C59P4	0.1211018201693164	2.8759391789980424	12
C12P10	C59P5	0.05361096347763399	2.968335653605702	12
C12P10	C63M1	0.33356947233878836	2.7616092680662954	13
C12P10	C63L1	0.5218642451180113	2.677380577321981	13
C12P10	C63P1	0.5167678206403495	2.7206884502164645	13
C12P10	C69P1	-0.6726769366335348	3.2451524691463445	11
C12P10	C69P2	-0.6132067829884611	3.27341449636116	11
C12P10	C69P3	-0.6631327927470141	3.2785850286034166	11
C12P10	C69P4	-0.6962615201988545	3.2890190245096567	11
C12P10	C69P5	-0.4050222194193484	3.2990592601999933	11
C12P10	C69P6	-0.4375725825980977	3.2614662820199514	11
C12P10	C69L1	0.3921173043227549	3.1053522203607073	11
C12P10	C69M1	-0.16547743850069405	3.172210799117728	11
C12P10	C69M2	-0.42861633017334066	3.1633666616664637	11
C12P10	C69M3a	-0.6372044258982145	3.2088905886491337	11
C12P10	C69M3b	-0.1195438254286445	3.2199891802371594	11
C12P10	C69M3c	-0.043394370318582995	3.2192796006520057	11
C12P10	C79P1	0.34919416200502007	1.9645350522623537	11
C12P10	C79P2	0.3506792251039934	2.00962069287061	11
C12P10	C79P3	0.4910970200452876	2.00752770240829	11
C12P10	C79P4	0.5668154036235178	2.0550108063693298	11
C12P10	C79P5	0.5706140101345142	1.9941315641565909	11
C12P10	C79P6	0.38962380953677406	1.95255753608929	11
C12P10	C79P7	0.4171664192995368	1.9939567763225405	11
C12P10	C79P8	0.3896315730323038	2.011293472799633	11
C12P10	C79P9	0.3886963593871175	2.007230261547912	11
C12P10	C79P10	0.49576235213202063	2.014725171233611	11
C12P10	C79P11	0.44015572929118263	2.0462743254664515	11
C12P10	C79P12	0.45304098430321915	2.018040649253241	11
C12P10	C79M1	0.2752614538248493	2.0378988982598716	11
C12P10	C92L1	0.45497365143476576	1.8011364278421924	11
C12P10	C92L2	0.3347931475254177	1.9027162596863318	11
C12P10	C92L3	0.495662371535308	1.4939737085387008	11
C12P10	C92P1d	0.4385220174322335	1.7697342634811364	11
C12P10	C92P1e	0.5553051706134535	1.6703530655925236	11
C12P10	C92P1f	0.5752361035299645	1.5595515607950026	11
C12P10	C92P1g	0.44317022924362576	1.6580558344196326	11
C12P10	C92P1h	0.48037490311957176	1.8274942799291274	11
C12M1	C45P2	0.3397250213445232	2.885912542578594	14
C12M1	C45P3	0.2999329071317558	2.887046244879161	14
C12M1	C45P1	0.28529918341627286	2.85511656107738	14
C12M1	C45L1	0.2221550557023573	2.7650693982964354	14
C12M1	C45L2	0.29955921536444213	2.8161976027114486	14
C12M1	C45M1	0.22838680619304097	2.8595352313110425	14
C12M1	C45M2	0.30176482141464667	2.8571974880935804	14
C12M1	C46P4	-0.5147723997097401	3.10547000502868	13
C12M1	C46P1	-0.5181537857993859	3.1143659266090227	13
C12M1	C46P2	-0.3290487426319426	3.1039351642593394	13
C12M1	C46P3	-0.44242239805484695	3.099165150865759	13
C12M1	C46P5	0.13148364959528894	3.086417773993661	13
C12M1	C46M1	-0.07182016956663471	3.018532820877621	13
C12M1	C46L1	-0.11178933864986527	3.0512207598679444	13
C12M1	C51P2	0.3036851427807752	2.815366701111945	12
C12M1	C51M1a	0.34377037858103004	2.808820976613314	12
C12M1	C51M1b	0.3313466657987763	2.7543746119909067	12
C12M1	C51L1	0.3019882538740403	2.8429360010599845	12
C12M1	C51L2	0.4661627939694383	2.71533106400234	12
C12M1	C51P1	0.4858568185433797	2.759462964284348	12
C12M1	C51P3	0.41231244514302945	2.8009939862294	12
C12M1	C53P1	-0.2963118793734761	2.636901859183194	11
C12M1	C53M1a	-0.15570484667415485	2.580288283683847	11
C12M1	C53L1	-0.08108637076609569	2.5263297582231377	11
C12M1	C53P2	-0.45828491512765696	2.576007168976279	11
C12M1	C53P3	-0.15866557540731116	2.5626158297485673	11
C12M1	C53P4	-0.4286946405471868	2.6529088404224734	11
C12M1	C53M1b	-0.15291295132334234	2.589077633596386	11
C12M1	C53M2	-0.15720831719846565	2.5751059592952115	11
C12M1	C53M3	-0.47120789988615297	2.6315149013520203	11
C12M1	C59P3	0.22257878543920231	3.068778237548221	12
C12M1	C59M1b	-0.1398728982487661	3.192517255318631	12
C12M1	C59L1	0.09133203201422471	3.1668561591127014	12
C12M1	C59L2	0.23982371449593712	3.1531184898530085	12
C12M1	C59L3	0.345717166648017	3.048263150298672	12
C12M1	C59M1a	-0.12121326235856653	3.1565863048652414	12
C12M1	C59M1c	-0.18200401734780183	3.235002976702532	12
C12M1	C59P1	-0.037194987005570355	3.127958572984832	12
C12M1	C59P2	0.027835054772251115	3.158604357320859	12
C12M1	C59P4	0.09545722808274927	3.106138845168213	12
C12M1	C59P5	0.01923774224839137	3.1877438125837347	12
C12M1	C63M1	0.3245212568971485	2.9661974756973133	13
C12M1	C63L1	0.5202014464469619	2.8819687849529987	13
C12M1	C63P1	0.49643781674643167	2.9252766578474825	13
C12M1	C69P1	-0.6601710040385417	3.492056609062719	11
C12M1	C69P2	-0.6134130857673403	3.522895857622832	11
C12M1	C69P3	-0.6536724453742743	3.527014399798487	11
C12M1	C69P4	-0.6836555836751833	3.5361080861038103	11
C12M1	C69P5	-0.3451976716106081	3.5479813998792804	11
C12M1	C69P6	-0.46391521138563485	3.5161708272219245	11
C12M1	C69L1	0.39958360619771927	3.36005676556268	11
C12M1	C69M1	-0.1334984520389354	3.426915344319701	11
C12M1	C69M2	-0.3889502948701455	3.418071206868436	11
C12M1	C69M3a	-0.6093934123340076	3.4635951338511064	11
C12M1	C69M3b	-0.11009284166766052	3.4746937254391326	11
C12M1	C69M3c	-0.023892997286972344	3.4739841458539784	11
C12M1	C79P1	0.22329214486393556	2.119331321504194	11
C12M1	C79P2	0.23480979692097678	2.1131016306632646	11
C12M1	C79P3	0.4148464981837136	2.0809151474881684	11
C12M1	C79P4	0.5361127295895487	2.1588382760444174	11
C12M1	C79P5	0.5059964909321906	2.0725052853244055	11
C12M1	C79P6	0.2643305316312837	2.097961326433949	11
C12M1	C79P7	0.31825141344383234	2.0931587631409734	11
C12M1	C79P8	0.29249129658315054	2.1377182290252335	11
C12M1	C79P9	0.3149021944335173	2.1064122670172867	11
C12M1	C79P10	0.3906595710683109	2.1289792022776806	11
C12M1	C79P11	0.40615766869580466	2.1196632097364416	11
C12M1	C79P12	0.35442437650817654	2.135246794260513	11
C12M1	C79M1	0.18105249663443043	2.12299835665264	11
C12M1	C92L1	0.3573493307692619	1.968695114763635	11
C12M1	C92L2	0.24245278957574967	2.0702749466077743	11
C12M1	C92L3	0.4182665715983727	1.661532395460143	11
C12M1	C92P1d	0.35182095558301785	1.9372929504025789	11
C12M1	C92P1e	0.4636999039743602	1.8379117525139663	11
C12M1	C92P1f	0.4931034106884575	1.7271102477164448	11
C12M1	C92P1g	0.3652404195589463	1.8256145213410748	11
C12M1	C92P1h	0.38097071887259026	1.9950529668505697	11
C12L5	C45P2	0.3284335128275196	3.120157067361728	14
C12L5	C45P3	0.30531200427297184	3.121290769662296	14
C12L5	C45P1	0.291638486633814	3.0893610858605145	14
C12L5	C45L1	0.22413456730425876	2.99931392307957	14
C12L5	C45L2	0.3105400086174214	3.050442127494583	14
C12L5	C45M1	0.22231284924343137	3.0937797560941775	14
C12L5	C45M2	0.3061534496407806	3.0914420128767155	14
C12L5	C46P4	-0.5795962375180757	3.244089719881856	13
C12L5	C46P1	-0.562177565124131	3.2529856414621987	13
C12L5	C46P2	-0.40504102574020817	3.2425548791125154	13
C12L5	C46P3	-0.47552168072116596	3.2377848657189356	13
C12L5	C46P5	0.05689058318672068	3.225037488846837	13
C12L5	C46M1	-0.069637577130880493	3.110479559646658	13
C12L5	C46L1	-0.031480264358802426	3.1898404747211204	13
C12L5	C51P2	0.3174783087424391	2.7124512026917116	12
C12L5	C51M1a	0.33508037216903974	2.70590547819308	12
C12L5	C51M1b	0.3311981769086555	2.6514591135706733	12
C12L5	C51L1	0.3151572094109989	2.740020502639751	12
C12L5	C51L2	0.4789906349918639	2.6114226373049076	12
C12L5	C51P1	0.48068688288231937	2.656547465864114	12
C12L5	C51P3	0.43673402813526857	2.698078487809166	12
C12L5	C53P1	-0.2361014390194013	2.5847389490085035	11
C12L5	C53M1a	-0.17655339846258117	2.5281253735091567	11
C12L5	C53L1	0.04581033814997429	2.484490036807502	11
C12L5	C53P2	-0.5247396148802043	2.5238442588015886	11
C12L5	C53P3	-0.11506038301738519	2.510452919573877	11
C12L5	C53P4	-0.3315105805470414	2.600745930247783	11
C12L5	C53M1b	-0.18745661574227193	2.5369147234216958	11
C12L5	C53M2	-0.2012385001784397	2.522943049120521	11
C12L5	C53M3	-0.4675601814610797	2.5793519911773295	11
C12L5	C59P3	0.05347713863995947	3.107439049967961	12
C12L5	C59M1b	-0.21215379708598517	3.145671870276472	12
C12L5	C59L1	0.020143186265608466	3.1200107740705416	12
C12L5	C59L2	0.17752377936454225	3.1185330920281493	12
C12L5	C59L3	0.3123695974999616	3.0014177652565124	12
C12L5	C59M1a	-0.19988845124531085	3.109740919823082	12
C12L5	C59M1c	-0.24686436892300584	3.1881575916603726	12
C12L5	C59P1	-0.18009753832967926	3.093222279989899	12
C12L5	C59P2	-0.09484141230804785	3.1189420122325924	12
C12L5	C59P4	-0.04322048793849141	3.0592934601260535	12
C12L5	C59P5	-0.09541210132145753	3.1503663762063785	12
C12L5	C63M1	0.23942069888985773	3.123193860039782	13
C12L5	C63L1	0.44569062349627303	3.038965169295468	13
C12L5	C63P1	0.46734814274228553	3.082273042189952	13
C12L5	C69P1	-0.8345930071734013	3.625735109782239	11
C12L5	C69P2	-0.7120659910013191	3.6565743583423513	11
C12L5	C69P3	-0.7903338328623393	3.6606929005180064	11
C12L5	C69P4	-0.8521817876998131	3.6697865868233297	11
C12L5	C69P5	-0.5594984218093033	3.6816599005987998	11
C12L5	C69P6	-0.6185518645346855	3.6498493279414443	11
C12L5	C69L1	0.4501215460011783	3.4937352662821994	11
C12L5	C69M1	-0.33033825233101527	3.5605938450392203	11
C12L5	C69M2	-0.5685060958348886	3.551749707587956	11
C12L5	C69M3a	-0.7669313676284804	3.5972736345706267	11
C12L5	C69M3b	-0.3512280018265856	3.608372226158652	11
C12L5	C69M3c	-0.26700129897883607	3.6076626465734987	11
C12L5	C79P1	0.2768983107540931	2.270718574424603	11
C12L5	C79P2	0.3277045196551021	2.302114626979844	11
C12L5	C79P3	0.5017187434394618	2.293078685385348	11
C12L5	C79P4	0.5893598409735464	2.371001813941597	11
C12L5	C79P5	0.554146917124927	2.284668823221585	11
C12L5	C79P6	0.341345349685436	2.2509311121647033	11
C12L5	C79P7	0.3967496311735889	2.2796436619020093	11
C12L5	C79P8	0.3235714958008723	2.3188192091153317	11
C12L5	C79P9	0.34511887757811244	2.3023631565199345	11
C12L5	C79P10	0.4416576148739026	2.34114274017486	11
C12L5	C79P11	0.44182125872878364	2.331826747633621	11
C12L5	C79P12	0.41787975944062833	2.3319109773528957	11
C12L5	C79M1	0.27298469506099043	2.3204478594729507	11
C12L5	C92L1	0.4255552879299034	1.9623696307959717	11
C12L5	C92L2	0.2896212310544449	2.062096731460592	11
C12L5	C92L3	0.41196226161891747	1.6484364289557085	11
C12L5	C92P1d	0.4319624038133843	1.9106296267801655	11
C12L5	C92P1e	0.543299112625498	1.9021083095717761	11
C12L5	C92P1f	0.6003281406484248	1.6905957873678488	11
C12L5	C92P1g	0.4170887327958303	1.8484896596529146	11
C12L5	C92P1h	0.4959385833700183	2.0004212529136116	11
C12P3	C45P2	0.36067396219348313	2.5823857109576482	14
C12P3	C45P3	0.32795623602112234	2.5835194132582155	14
C12P3	C45P1	0.3112275524612844	2.5515897294564343	14
C12P3	C45L1	0.237051901373014	2.4615425666754898	14
C12P3	C45L2	0.3300721335590794	2.512670771090503	14
C12P3	C45M1	0.25011133650809453	2.556008399690097	14
C12P3	C45M2	0.33022387429314737	2.5536706564726352	14
C12P3	C46P4	-0.5430678718345716	2.7655539351594887	13
C12P3	C46P1	-0.5333304224904818	2.767202356860813	13
C12P3	C46P2	-0.33509599217001246	2.7579624827624136	13
C12P3	C46P3	-0.4595895413901452	2.7576404190569503	13
C12P3	C46P5	0.11180192330571356	2.7501590145310284	13
C12P3	C46M1	-0.05658074832207955	2.686213417010256	13
C12P3	C46L1	-0.06706349023879152	2.71620400701512	13
C12P3	C51P2	0.33369050997325056	2.3784016878881222	12
C12P3	C51M1a	0.37105689881849013	2.369495489719213	12
C12P3	C51M1b	0.3642419866193301	2.3396567418347076	12
C12P3	C51L1	0.3354900405840683	2.4127097503594457	12
C12P3	C51L2	0.49573400580920196	2.305191242486139	12
C12P3	C51P1	0.5193039630827033	2.339053683803543	12
C12P3	C51P3	0.44388507544391764	2.3711440016272696	12
C12P3	C53P1	-0.25973862787014057	2.2811627946976127	11
C12P3	C53M1a	-0.14566036532835494	2.224549219198266	11
C12P3	C53L1	-0.031485067862362784	2.1696556423309445	11
C12P3	C53P2	-0.4616052786785125	2.220268104490698	11
C12P3	C53P3	-0.11852271371255003	2.206876765262986	11
C12P3	C53P4	-0.39788079492215245	2.2971697759368923	11
C12P3	C53M1b	-0.1504048780236449	2.2333385691108054	11
C12P3	C53M2	-0.14199590207913562	2.2193668948096303	11
C12P3	C53M3	-0.45099007773774025	2.275775836866439	11
C12P3	C59P3	0.20383003540838412	2.6880191533190754	12
C12P3	C59M1b	-0.11638236399799302	2.8129235427289285	12
C12P3	C59L1	0.11454331428006236	2.7872624465229983	12
C12P3	C59L2	0.26717435424186115	2.773524777263305	12
C12P3	C59L3	0.3850824780853834	2.668669437708969	12
C12P3	C59M1a	-0.09977545122540488	2.7769925922755387	12
C12P3	C59M1c	-0.15767632880350638	2.855409264112829	12
C12P3	C59P1	-0.043659159575227355	2.7483648603951294	12
C12P3	C59P2	0.03333398065709201	2.7790106447311556	12
C12P3	C59P4	0.09118059698306477	2.72654513257851	12
C12P3	C59P5	0.029456663176133914	2.808150099994032	12
C12P3	C63M1	0.2749983871599146	2.6024317581999292	13
C12P3	C63L1	0.4784686085828017	2.518203067455615	13
C12P3	C63P1	0.46514911993362684	2.561510940350099	13
C12P3	C69P1	-0.7287036007237989	3.164922404821261	11
C12P3	C69P2	-0.6692223639494659	3.1957616533813735	11
C12P3	C69P3	-0.7199378110014146	3.1998801955570286	11
C12P3	C69P4	-0.7592052639736256	3.208973881862352	11
C12P3	C69P5	-0.4174171730953153	3.220847195637822	11
C12P3	C69P6	-0.5398318241461231	3.1890366229804665	11
C12P3	C69L1	0.45427596850771185	3.0329225613212216	11
C12P3	C69M1	-0.1586474618161601	3.0997811400782425	11
C12P3	C69M2	-0.4340143817808155	3.090937002626978	11
C12P3	C69M3a	-0.655848516034333	3.136460929609648	11
C12P3	C69M3b	-0.18660984724052754	3.1475595211976737	11
C12P3	C69M3c	-0.09293179859203167	3.14684994161252	11
C12P3	C79P1	0.2698961288171861	1.8633716593454919	11
C12P3	C79P2	0.28608419863725004	1.8616605481436255	11
C12P3	C79P3	0.46674167008434425	1.8152172683742533	11
C12P3	C79P4	0.6073772081764175	1.863920378963688	11
C12P3	C79P5	0.5256705970444193	1.8197077775013424	11
C12P3	C79P6	0.3004726157710367	1.8459923959817495	11
C12P3	C79P7	0.3747410363620569	1.8417176806213342	11
C12P3	C79P8	0.33633974983188447	1.8862771465055943	11
C12P3	C79P9	0.34266304322787333	1.8549711844976478	11
C12P3	C79P10	0.43416754235222954	1.8726806375996177	11
C12P3	C79P11	0.428102264290413	1.8247453126557125	11
C12P3	C79P12	0.3918998661517475	1.8838057117408737	11
C12P3	C79M1	0.23891189262682974	1.8715572741330007	11
C12P3	C92L1	0.3981151686068247	1.6108959469910262	11
C12P3	C92L2	0.26852808632235997	1.7104862120197994	11
C12P3	C92L3	0.433778799903681	1.3094901120169562	11
C12P3	C92P1d	0.39202858786862477	1.5775042158146044	11
C12P3	C92P1e	0.49971351721546486	1.4822714073791352	11
C12P3	C92P1f	0.5396861112524247	1.3673215131284706	11
C12P3	C92P1g	0.3916121531922822	1.499277954318697	11
C12P3	C92P1h	0.43079000969130726	1.6352642322625954	11
