subject	all_mrca	p1_p2_mrca	p1_p3_mrca	p2_p3_mrca
TM10	227.9282461953868	227.9282461953868	NA	NA
TM11	1080.6079009299433	1080.6079009299433	NA	NA
TM12	674.3698550256829	674.3698550256829	NA	NA
TM13	598.964544510248	598.964544510248	NA	NA
TM14	1088.8696611564853	1088.8696611564853	1502.8123289167625	1088.8696611564853
TM15	361.1933193626545	361.1933193626545	NA	NA
TM16	590.5690041824256	590.5690041824256	NA	NA
TM17	888.9818941014369	888.9818941014369	NA	NA
TM18	821.6598199233102	821.6598199233102	NA	NA
TM22	951.9255741665884	951.9255741665884	951.9255741665884	1425.405184504727
TM23	773.8092711277483	773.8092711277483	NA	NA
TM25	306.8089168871315	306.8089168871315	NA	NA
TM26	867.0290127804062	867.0290127804062	NA	NA
TM28	224.78818634530916	224.78818634530916	NA	NA
TM29	136.41347151205093	136.41347151205093	NA	NA
TM2	290.89187163863573	290.89187163863573	NA	NA
TM30	164.8703620464239	164.8703620464239	NA	NA
TM31	339.7437119467784	339.7437119467784	NA	NA
TM32	401.233184584014	401.233184584014	NA	NA
TM33	276.3972312925536	276.3972312925536	NA	NA
TM34	511.4102787115184	511.4102787115184	NA	NA
TM36	216.796441286086	216.796441286086	NA	NA
TM37	232.20511237140505	232.20511237140505	232.20511237140505	328.7984314134093
TM38	321.4117750193426	321.4117750193426	NA	NA
TM39	944.7521447528931	944.7521447528931	NA	NA
TM3	193.52259834108088	193.52259834108088	NA	NA
TM40	245.28925593732293	245.28925593732293	NA	NA
TM41	415.0612323005094	415.0612323005094	415.0612323005094	635.6439422018531
TM42	130.28923288977217	130.28923288977217	NA	NA
TM43	331.983661903423	331.983661903423	331.983661903423	1134.9173435012265
TM44	693.1139451007375	693.1139451007375	NA	NA
TM5	287.3031720785448	287.3031720785448	NA	NA
TM8	335.17391092022314	335.17391092022314	NA	NA
TM9	313.91378861340604	313.91378861340604	NA	NA
