samples	mrca	comparison	subject
C80P1a_C80P1d	1483.6316446620149	primary_primary	C80
C80P1b_C80P1c	1966.2124601475605	primary_primary	C80
C80P1b_C80P1d	1508.7737877264024	primary_primary	C80
C80P1c_C80P1d	1508.7737877264024	primary_primary	C80
C80M1	2135.3448455997955	met_primary	C80
C80M2	2012.2119808816383	met_primary	C80
C80M3	2247.423943879949	met_primary	C80
C80M4	2047.3856085230877	met_primary	C80
C83P1a_C83P1b	1714.0111758238454	primary_primary	C83
C83P1a_C83P1c	1714.0111758238454	primary_primary	C83
C83P1a_C83P1d	1714.0111758238454	primary_primary	C83
C83P1a_C83P1e	1714.0111758238454	primary_primary	C83
C83P1a_C83P1f	1714.0111758238454	primary_primary	C83
C83P1b_C83P1c	2274.0083089437	primary_primary	C83
C83P1b_C83P1d	2274.0083089437	primary_primary	C83
C83P1b_C83P1e	2090.3622450791413	primary_primary	C83
C83P1b_C83P1f	2496.658170048353	primary_primary	C83
C83P1c_C83P1d	2461.6022182015413	primary_primary	C83
C83P1c_C83P1e	2090.3622450791413	primary_primary	C83
C83P1c_C83P1f	2274.0083089437	primary_primary	C83
C83P1d_C83P1e	2090.3622450791413	primary_primary	C83
C83P1d_C83P1f	2274.0083089437	primary_primary	C83
C83P1e_C83P1f	2090.3622450791413	primary_primary	C83
C83L1	2365.5946635392957	met_primary	C83
C83L2	2721.1718200034857	met_primary	C83
C83L3	2355.088827745054	met_primary	C83
C83L4	2355.088827745054	met_primary	C83
C83L5	2355.088827745054	met_primary	C83
C83L6	2544.82336965049	met_primary	C83
C83L7	2544.82336965049	met_primary	C83
C83L8	2365.5946635392957	met_primary	C83
C83L9	2672.5231795620757	met_primary	C83
C84P1a_C84P1b	3615.6071722928955	primary_primary	C84
C84P1a_C84P1c	3615.6071722928955	primary_primary	C84
C84P1a_C84P1d	3517.9249949552027	primary_primary	C84
C84P1b_C84P1c	3651.956151479035	primary_primary	C84
C84P1b_C84P1d	3517.9249949552027	primary_primary	C84
C84P1c_C84P1d	3517.9249949552027	primary_primary	C84
C84L10	2922.877657981976	met_primary	C84
C84L11	3480.3138497296673	met_primary	C84
C84L12	3434.1108165938745	met_primary	C84
C84L14	3480.3138497296673	met_primary	C84
C84L2	3480.3138497296673	met_primary	C84
C84L3	3338.5328706905657	met_primary	C84
C84L4	3229.3173881115204	met_primary	C84
C84L5	3136.229169279829	met_primary	C84
C84L6	3480.3138497296673	met_primary	C84
C84L7	3136.229169279829	met_primary	C84
C84L8	3480.3138497296673	met_primary	C84
C84L9	3338.5328706905657	met_primary	C84
C85P1a_C85P1b	594.0918962706521	primary_primary	C85
C85P1a_C85P1c	666.019331032497	primary_primary	C85
C85P1a_C85P1d	594.0918962706521	primary_primary	C85
C85P1a_C85P1e	594.0918962706521	primary_primary	C85
C85P1b_C85P1c	594.0918962706521	primary_primary	C85
C85P1b_C85P1d	905.4206600327399	primary_primary	C85
C85P1b_C85P1e	1243.9317792028858	primary_primary	C85
C85P1c_C85P1d	594.0918962706521	primary_primary	C85
C85P1c_C85P1e	594.0918962706521	primary_primary	C85
C85P1d_C85P1e	905.4206600327399	primary_primary	C85
C85L1	992.2025382545606	met_primary	C85
C85L2	712.1632650971467	met_primary	C85
C85L3	712.1632650971467	met_primary	C85
C85L5	791.6214369737945	met_primary	C85
C85L6	560.2352671156633	met_primary	C85
C89P1a_C89P1b	1679.310874360205	primary_primary	C89
C89P1a_C89P1c	1602.7268826153283	primary_primary	C89
C89P1a_C89P1e	1602.7268826153283	primary_primary	C89
C89P1a_C89P1f	1595.2182947108151	primary_primary	C89
C89P1a_C89P1g	1602.7268826153283	primary_primary	C89
C89P1a_C89P1h	1602.7268826153283	primary_primary	C89
C89P1a_C89P1i	1520.5807643072474	primary_primary	C89
C89P1b_C89P1c	1602.7268826153283	primary_primary	C89
C89P1b_C89P1e	1602.7268826153283	primary_primary	C89
C89P1b_C89P1f	1595.2182947108151	primary_primary	C89
C89P1b_C89P1g	1602.7268826153283	primary_primary	C89
C89P1b_C89P1h	1602.7268826153283	primary_primary	C89
C89P1b_C89P1i	1520.5807643072474	primary_primary	C89
C89P1c_C89P1e	1774.3232264984179	primary_primary	C89
C89P1c_C89P1f	1595.2182947108151	primary_primary	C89
C89P1c_C89P1g	1649.0967323464097	primary_primary	C89
C89P1c_C89P1h	1729.801131309124	primary_primary	C89
C89P1c_C89P1i	1520.5807643072474	primary_primary	C89
