samples	mrca	comparison	subject
C58P3_C58P4	1528.7833029896992	primary_primary	C58
C58P1_C58P2	2199.517813239381	primary_primary	C58
C58P1_C58P4	2041.9291473289506	primary_primary	C58
C58P2_C58P4	2041.9291473289506	primary_primary	C58
C58M1	2087.0884103775857	met_primary	C58
C58L10	2005.8745486533514	met_primary	C58
C58L1	2005.8745486533514	met_primary	C58
C58L2	1649.4255591364188	met_primary	C58
C58L3	2087.0884103775857	met_primary	C58
C58L4	2087.0884103775857	met_primary	C58
C58L5	2087.0884103775857	met_primary	C58
C58L6	2087.0884103775857	met_primary	C58
C58L7	1943.2302027515168	met_primary	C58
C58L8	2319.4760914905078	met_primary	C58
C58L9	2087.0884103775857	met_primary	C58
C59P3_C59P1	2356.90765353075	primary_primary	C59
C59P3_C59P2	2062.300778848979	primary_primary	C59
C59P3_C59P4	2163.1215132212574	primary_primary	C59
C59P3_C59P5	2062.300778848979	primary_primary	C59
C59P1_C59P2	2062.300778848979	primary_primary	C59
C59P1_C59P4	2163.1215132212574	primary_primary	C59
C59P1_C59P5	2062.300778848979	primary_primary	C59
C59P2_C59P4	2062.300778848979	primary_primary	C59
C59P2_C59P5	2136.792338441009	primary_primary	C59
C59P4_C59P5	2062.300778848979	primary_primary	C59
C59M1	2308.3210187855775	met_primary	C59
C59L1	1925.7698157509858	met_primary	C59
C59L2	1874.943526414349	met_primary	C59
C59L3	2172.989824067412	met_primary	C59
C61P1_C61P2	798.9396058169335	primary_primary	C61
C61P1_C61P3	542.6060073827576	primary_primary	C61
C61P1_C61P4	542.6060073827576	primary_primary	C61
C61P2_C61P3	542.6060073827576	primary_primary	C61
C61P2_C61P4	542.6060073827576	primary_primary	C61
C61P3_C61P4	880.0223562621185	primary_primary	C61
C61M1	570.395751304472	met_primary	C61
C61L1	347.9037199421201	met_primary	C61
C65P1_C65P2	1144.5232560052148	primary_primary	C65
C65L1	1262.7733015176364	met_primary	C65
C65L3	1262.7733015176364	met_primary	C65
C65M1	1262.7733015176364	met_primary	C65
C65L2	1262.7733015176364	met_primary	C65
C66P1_C66P2	665.0394064739781	primary_primary	C66
C66P1_C66P3	972.1835603855582	primary_primary	C66
C66P2_C66P3	665.0394064739781	primary_primary	C66
C66L1	890.8612202310177	met_primary	C66
C66L2	417.09003804982336	met_primary	C66
C66L3	599.7723032786434	met_primary	C66
C66L4	890.8612202310177	met_primary	C66
C66L5	837.96793172805	met_primary	C66
C66M1	1051.9485609642227	met_primary	C66
C66M2	1051.9485609642227	met_primary	C66
C69P1_C69P2	1733.884824670704	primary_primary	C69
C69P1_C69P3	1733.884824670704	primary_primary	C69
C69P1_C69P4	1821.5188645044625	primary_primary	C69
C69P1_C69P5	1538.9989723007952	primary_primary	C69
C69P1_C69P6	1623.622553112929	primary_primary	C69
C69P2_C69P3	1855.248138161535	primary_primary	C69
C69P2_C69P4	1733.884824670704	primary_primary	C69
C69P2_C69P5	1538.9989723007952	primary_primary	C69
C69P2_C69P6	1623.622553112929	primary_primary	C69
C69P3_C69P4	1733.884824670704	primary_primary	C69
C69P3_C69P5	1538.9989723007952	primary_primary	C69
C69P3_C69P6	1623.622553112929	primary_primary	C69
C69P4_C69P5	1538.9989723007952	primary_primary	C69
C69P4_C69P6	1623.622553112929	primary_primary	C69
C69P5_C69P6	1538.9989723007952	primary_primary	C69
C69L1	502.227449098114	met_primary	C69
C69M1	790.7212433702557	met_primary	C69
C69M2	790.7212433702557	met_primary	C69
C69M3	869.0547044910701	met_primary	C69
C77P1_C77P2	175.83206326651836	primary_primary	C77
C77M1	315.2422164195774	met_primary	C77
C77L1	315.2422164195774	met_primary	C77
C77L2	315.2422164195774	met_primary	C77
C79P1_C79P2	2268.4085049216733	primary_primary	C79
C79P1_C79P3	2223.829555359675	primary_primary	C79
C79P1_C79P4	1823.7031427825536	primary_primary	C79
C79P1_C79P5	2223.829555359675	primary_primary	C79
C79P1_C79P6	2223.829555359675	primary_primary	C79
C79P1_C79P7	2223.829555359675	primary_primary	C79
C79P1_C79P8	2305.4396615211576	primary_primary	C79
C79P1_C79P9	2268.4085049216733	primary_primary	C79
C79P1_C79P10	2121.704014189017	primary_primary	C79
C79P1_C79P11	2223.829555359675	primary_primary	C79
C79P1_C79P12	2268.4085049216733	primary_primary	C79
C79P2_C79P3	2223.829555359675	primary_primary	C79
C79P2_C79P4	1823.7031427825536	primary_primary	C79
C79P2_C79P5	2223.829555359675	primary_primary	C79
C79P2_C79P6	2223.829555359675	primary_primary	C79
C79P2_C79P7	2223.829555359675	primary_primary	C79
C79P2_C79P8	2268.4085049216733	primary_primary	C79
C79P2_C79P9	2292.252645214557	primary_primary	C79
C79P2_C79P10	2121.704014189017	primary_primary	C79
C79P2_C79P11	2223.829555359675	primary_primary	C79
C79P2_C79P12	2292.252645214557	primary_primary	C79
C79P3_C79P4	1823.7031427825536	primary_primary	C79
C79P3_C79P5	2273.1763582125686	primary_primary	C79
C79P3_C79P6	2273.1763582125686	primary_primary	C79
C79P3_C79P7	2273.1763582125686	primary_primary	C79
C79P3_C79P8	2223.829555359675	primary_primary	C79
C79P3_C79P9	2223.829555359675	primary_primary	C79
C79P3_C79P10	2121.704014189017	primary_primary	C79
C79P3_C79P11	2313.008038092778	primary_primary	C79
C79P3_C79P12	2223.829555359675	primary_primary	C79
C79P4_C79P5	1823.7031427825536	primary_primary	C79
C79P4_C79P6	1823.7031427825536	primary_primary	C79
C79P4_C79P7	1823.7031427825536	primary_primary	C79
C79P4_C79P8	1823.7031427825536	primary_primary	C79
C79P4_C79P9	1823.7031427825536	primary_primary	C79
C79P4_C79P10	1823.7031427825536	primary_primary	C79
C79P4_C79P11	1823.7031427825536	primary_primary	C79
C79P4_C79P12	1823.7031427825536	primary_primary	C79
C79P5_C79P6	2542.995228069138	primary_primary	C79
C79P5_C79P7	2343.963912691351	primary_primary	C79
C79P5_C79P8	2223.829555359675	primary_primary	C79
C79P5_C79P9	2223.829555359675	primary_primary	C79
C79P5_C79P10	2121.704014189017	primary_primary	C79
C79P5_C79P11	2273.1763582125686	primary_primary	C79
C79P5_C79P12	2223.829555359675	primary_primary	C79
C79P6_C79P7	2343.963912691351	primary_primary	C79
C79P6_C79P8	2223.829555359675	primary_primary	C79
C79P6_C79P9	2223.829555359675	primary_primary	C79
C79P6_C79P10	2121.704014189017	primary_primary	C79
C79P6_C79P11	2273.1763582125686	primary_primary	C79
C79P6_C79P12	2223.829555359675	primary_primary	C79
C79P7_C79P8	2223.829555359675	primary_primary	C79
C79P7_C79P9	2223.829555359675	primary_primary	C79
C79P7_C79P10	2121.704014189017	primary_primary	C79
C79P7_C79P11	2273.1763582125686	primary_primary	C79
C79P7_C79P12	2223.829555359675	primary_primary	C79
C79P8_C79P9	2268.4085049216733	primary_primary	C79
C79P8_C79P10	2121.704014189017	primary_primary	C79
C79P8_C79P11	2223.829555359675	primary_primary	C79
C79P8_C79P12	2268.4085049216733	primary_primary	C79
C79P9_C79P10	2121.704014189017	primary_primary	C79
C79P9_C79P11	2223.829555359675	primary_primary	C79
C79P9_C79P12	2336.293553592833	primary_primary	C79
C79P10_C79P11	2121.704014189017	primary_primary	C79
C79P10_C79P12	2121.704014189017	primary_primary	C79
C79P11_C79P12	2223.829555359675	primary_primary	C79
C79M1	2349.0522735740215	met_primary	C79
