a	b	l1	r	marker	divs	subject	tumor_a	tumor_b
TM33N1	TM33P2	0.07025275141375416	NA	30	744.8822528252766	TM33	N1	P2
TM33P1	TM33P2	0.06430530994512695	0.6323424286519305	30	681.8221802936524	TM33	P1	P2
TM34N1	TM34P1	0.06301611519297629	NA	29	668.1529890949073	TM34	N1	P1
TM34N1	TM34P2	0.06330386476629588	NA	29	671.203966403418	TM34	N1	P2
TM34P1	TM34P2	0.02985378266570747	0.897956758463813	29	316.5363980752885	TM34	P1	P2
TM36N1	TM36P1	0.0668763661505029	NA	26	709.082808523309	TM36	N1	P1
TM36N1	TM36P2	0.050299890395120395	NA	26	533.3242459603703	TM36	N1	P2
TM36P1	TM36P2	0.0762824201324459	0.2859412292799178	26	808.8141719115073	TM36	P1	P2
TM37N1	TM37P1	0.04066595670224778	NA	29	431.1766988778038	TM37	N1	P1
TM37N1	TM37P2	0.09433909536527389	NA	29	1000.2671279209999	TM37	N1	P2
TM37N1	TM37P3	0.04455276016571775	NA	29	472.3880516276375	TM37	N1	P3
TM37P1	TM37P2	0.09451428234515648	0.463421476737317	29	1002.1246163412334	TM37	P1	P2
TM37P1	TM37P3	0.038108806216716605	0.65224577690169006	29	404.06351147739133	TM37	P1	P3
TM37P2	TM37P3	0.07687132979096772	0.5638894324627517	29	815.0583167218188	TM37	P2	P3
TM38N1	TM38P1	0.07537349588711414	NA	21	799.1769473774418	TM38	N1	P1
TM38N1	TM38P2	0.06924264527433624	NA	21	734.1722077155707	TM38	N1	P2
TM38P1	TM38P2	0.08398894418839041	0.06181936443541305	21	890.5256050543273	TM38	P1	P2
TM39N1	TM39P1	0.11672078063373949	NA	25	1237.5776931202577	TM39	N1	P1
TM39N1	TM39P2	0.18797846381359432	NA	25	1993.1151277399117	TM39	N1	P2
TM39P1	TM39P2	0.12649272302412976	0.6650498544408348	25	1341.1885313543833	TM39	P1	P2
TM3N1	TM3P1	0.12254383993080176	NA	24	1299.3189550672128	TM3	N1	P1
TM3N1	TM3P2	0.04984278909207393	NA	24	528.4776507519161	TM3	N1	P2
TM3P1	TM3P2	0.13588288647126257	-0.19821070276254707	24	1440.7514091369671	TM3	P1	P2
TM40N1	TM40P1	0.08200540517514017	NA	12	869.494357465818	TM40	N1	P1
TM40N1	TM40P2	0.05073383305156942	NA	12	537.9252925674851	TM40	N1	P2
TM40P1	TM40P2	0.0864708647852187	0.24554295394044348	12	916.8411381586574	TM40	P1	P2
TM41N1	TM41P1	0.06074228285620175	NA	27	644.0437930922013	TM41	N1	P1
TM41N1	TM41P2	0.08597499682300344	NA	27	911.5835042957013	TM41	N1	P2
TM41N1	TM41P3	0.08953119983580811	NA	27	949.2895365631204	TM41	N1	P3
TM41P1	TM41P2	0.05553945868602673	0.7955409018185349	27	588.8788164764239	TM41	P1	P2
TM41P1	TM41P3	0.08486712698506825	0.6107951481490487	27	899.8368813647627	TM41	P1	P3
TM41P2	TM41P3	0.05560607636519467	0.7397209716145132	27	589.5851564551155	TM41	P2	P3
TM42N1	TM42P1	0.07620344522681348	NA	34	807.9768096098135	TM42	N1	P1
TM42N1	TM42P2	0.027636252335673867	NA	34	293.02416610282773	TM42	N1	P2
TM42P1	TM42P2	0.07926352581084031	-0.014382454954031907	34	840.422509933097	TM42	P1	P2
TM43N1	TM43P1	0.09764054450181713	NA	14	1035.2720326532424	TM43	N1	P1
TM43N1	TM43P2	0.12666814308446453	NA	14	1343.048491101203	TM43	N1	P2
TM43N1	TM43P3	0.14729839901707673	NA	14	1561.7888422789308	TM43	N1	P3
TM43P1	TM43P2	0.17281993416048858	-0.4260619884311661	14	1832.3908928836304	TM43	P1	P2
TM43P1	TM43P3	0.17118499940602133	-0.4282073866789059	14	1815.0558581892958	TM43	P1	P3
TM43P2	TM43P3	0.05988957703562222	0.9465562216651455	14	635.0026463776805	TM43	P2	P3
TM44N1	TM44P1	0.1343660838513732	NA	21	1424.6689165675264	TM44	N1	P1
TM44N1	TM44P2	0.11335417404716236	NA	21	1201.8819310593994	TM44	N1	P2
TM44P1	TM44P2	0.11697969722098035	0.620326815432849	21	1240.322957425451	TM44	P1	P2
TM5N1	TM5P1	0.06781674482084506	NA	14	719.0535408914675	TM5	N1	P1
TM5N1	TM5P2	0.046548808057295825	NA	14	493.55192948729854	TM5	N1	P2
TM5P1	TM5P2	0.060172186740442175	0.4747890168125627	14	637.9991262216765	TM5	P1	P2
TM8N1	TM8P1	0.040307524560564474	NA	29	427.37628201427617	TM8	N1	P1
TM8N1	TM8P2	0.11175588921910078	NA	29	1184.9354915331905	TM8	N1	P2
TM8P1	TM8P2	0.0888402953473417	0.20705163709272278	29	941.9639517070203	TM8	P1	P2
TM9N1	TM9P1	0.10289445162421243	NA	31	1090.9786362340153	TM9	N1	P1
TM9N1	TM9P2	0.05740721593783974	NA	31	608.6824426898287	TM9	N1	P2
TM9P1	TM9P2	0.10108879929150064	0.3290835894579516	31	1071.8335016970318	TM9	P1	P2
