a	b	generations
MSS1E5	MSS1E533	33.006578332027026
MSS1E5	MSS1E53311	71.59155587980806
MSS1E5	MSS1E53315	71.59155587980806
MSS1E5	MSS1E6	51.6
MSS1E5	MSS1E633	83.43069887313419
MSS1E5	MSS1E63313	120.99483638199081
MSS1E5	MSS1E6332A	120.99483638199081
MSS1E5	MSS1E63336	120.99483638199081
MSS1E5	MSS1G6	51.6
MSS1E5	MSS1G623	85.60871541387225
MSS1E5	MSS1G62332	125.3633028483583
MSS1E5	MSS1G62333	125.3633028483583
MSS1E5	MSS1G62335	125.3633028483583
MSS1E5	MSS1M3	25.8
MSS1E533	MSS1E53311	38.58497754778102
MSS1E533	MSS1E53315	38.58497754778102
MSS1E533	MSS1E6	84.60657833202703
MSS1E533	MSS1E633	116.43727720516122
MSS1E533	MSS1E63313	154.00141471401784
MSS1E533	MSS1E6332A	154.00141471401784
MSS1E533	MSS1E63336	154.00141471401784
MSS1E533	MSS1G6	84.60657833202703
MSS1E533	MSS1G623	118.61529374589927
MSS1E533	MSS1G62332	158.36988118038533
MSS1E533	MSS1G62333	158.36988118038533
MSS1E533	MSS1G62335	158.36988118038533
MSS1E533	MSS1M3	58.80657833202703
MSS1E53311	MSS1E53315	77.16995509556205
MSS1E53311	MSS1E6	123.19155587980805
MSS1E53311	MSS1E633	155.02225475294225
MSS1E53311	MSS1E63313	192.58639226179886
MSS1E53311	MSS1E6332A	192.58639226179886
MSS1E53311	MSS1E63336	192.58639226179886
MSS1E53311	MSS1G6	123.19155587980805
MSS1E53311	MSS1G623	157.2002712936803
MSS1E53311	MSS1G62332	196.95485872816636
MSS1E53311	MSS1G62333	196.95485872816636
MSS1E53311	MSS1G62335	196.95485872816636
MSS1E53311	MSS1M3	97.39155587980805
MSS1E53315	MSS1E6	123.19155587980805
MSS1E53315	MSS1E633	155.02225475294225
MSS1E53315	MSS1E63313	192.58639226179886
MSS1E53315	MSS1E6332A	192.58639226179886
MSS1E53315	MSS1E63336	192.58639226179886
MSS1E53315	MSS1G6	123.19155587980805
MSS1E53315	MSS1G623	157.2002712936803
MSS1E53315	MSS1G62332	196.95485872816636
MSS1E53315	MSS1G62333	196.95485872816636
MSS1E53315	MSS1G62335	196.95485872816636
MSS1E53315	MSS1M3	97.39155587980805
MSS1E6	MSS1E633	31.83069887313419
MSS1E6	MSS1E63313	69.39483638199081
MSS1E6	MSS1E6332A	69.39483638199081
MSS1E6	MSS1E63336	69.39483638199081
MSS1E6	MSS1G6	51.6
MSS1E6	MSS1G623	85.60871541387225
MSS1E6	MSS1G62332	125.3633028483583
MSS1E6	MSS1G62333	125.3633028483583
MSS1E6	MSS1G62335	125.3633028483583
MSS1E6	MSS1M3	25.8
MSS1E633	MSS1E63313	37.564137508856625
MSS1E633	MSS1E6332A	37.564137508856625
MSS1E633	MSS1E63336	37.564137508856625
MSS1E633	MSS1G6	83.43069887313419
MSS1E633	MSS1G623	117.43941428700643
MSS1E633	MSS1G62332	157.1940017214925
MSS1E633	MSS1G62333	157.1940017214925
MSS1E633	MSS1G62335	157.1940017214925
MSS1E633	MSS1M3	57.63069887313419
MSS1E63313	MSS1E6332A	75.12827501771325
MSS1E63313	MSS1E63336	75.12827501771325
MSS1E63313	MSS1G6	120.99483638199081
MSS1E63313	MSS1G623	155.00355179586305
MSS1E63313	MSS1G62332	194.75813923034912
MSS1E63313	MSS1G62333	194.75813923034912
MSS1E63313	MSS1G62335	194.75813923034912
MSS1E63313	MSS1M3	95.19483638199083
MSS1E6332A	MSS1E63336	75.12827501771325
MSS1E6332A	MSS1G6	120.99483638199081
MSS1E6332A	MSS1G623	155.00355179586305
MSS1E6332A	MSS1G62332	194.75813923034912
MSS1E6332A	MSS1G62333	194.75813923034912
MSS1E6332A	MSS1G62335	194.75813923034912
MSS1E6332A	MSS1M3	95.19483638199083
MSS1E63336	MSS1G6	120.99483638199081
MSS1E63336	MSS1G623	155.00355179586305
MSS1E63336	MSS1G62332	194.75813923034912
MSS1E63336	MSS1G62333	194.75813923034912
MSS1E63336	MSS1G62335	194.75813923034912
MSS1E63336	MSS1M3	95.19483638199083
MSS1G6	MSS1G623	34.008715413872245
MSS1G6	MSS1G62332	73.76330284835831
MSS1G6	MSS1G62333	73.76330284835831
MSS1G6	MSS1G62335	73.76330284835831
MSS1G6	MSS1M3	25.8
MSS1G623	MSS1G62332	39.754587434486055
MSS1G623	MSS1G62333	39.754587434486055
MSS1G623	MSS1G62335	39.754587434486055
MSS1G623	MSS1M3	59.80871541387225
MSS1G62332	MSS1G62333	79.50917486897211
MSS1G62332	MSS1G62335	79.50917486897211
MSS1G62332	MSS1M3	99.5633028483583
MSS1G62333	MSS1G62335	79.50917486897211
MSS1G62333	MSS1M3	99.5633028483583
MSS1G62335	MSS1M3	99.5633028483583
