C39-1-A_3	C39-1-B-T1_3	C39-1-C-J_2	C39-1-H-Sec_1	C39-1-I-T1_2	C39-2-E_3	C39-2-I-J_1
3415	1512	2907	3932	1748	856	2325
8524	6055	7186	8618	6372	3001	6173
10781	10511	8687	9708	11003	4636	7621
7961	10865	6268	6813	11224	4129	6518
6076	7314	5019	4588	7207	2677	4297
3540	5676	4307	2863	4414	2110	2926
2015	3410	2901	1497	2401	1779	2005
771	1626	1346	700	1351	1014	1182
