	RPTEC_R1	RPTEC_R2	RPTEC_R3	RPTEC_R4	RPTEC_R5	RPTEC_Root1
RPTEC_R1	0	0.0073111514221392	0.00958633065330623	0.0200685611651674	0.0141185509613435	0.0103469772131845
RPTEC_R2	0.0073111514221392	0	0.00677307831147483	0.0130165955735571	0.00703364859648423	0.00486628486270626
RPTEC_R3	0.00958633065330623	0.00677307831147483	0	0.0130537748260817	0.0116237174652325	0.00346387667350435
RPTEC_R4	0.0200685611651674	0.0130165955735571	0.0130537748260817	0	0.00880114906633987	0.0102580630042928
RPTEC_R5	0.0141185509613435	0.00703364859648423	0.0116237174652325	0.00880114906633987	0	0.00823257351769383
RPTEC_Root1	0.0103469772131845	0.00486628486270626	0.00346387667350435	0.0102580630042928	0.00823257351769383	0
