	HMEC_4_1_1	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.0180714477470737	0.0136839212248221	0.0240786704836503	0.0168948790227331	0.029886814028431	0.0338327382314963	0.0336345837371368	0.0177511252769585	0.0294848199885864	0.020334038827928	0.0261262792654559	0.0321756940836573	0.0186024975280363	0.00800467666934583	0.00972036281664878	0.0386684684888312	0.0247727734574494	0.0304328781928303	0.0134018897809713	0.0266085622771222	0.0264439111439315	0.0278808589797999	0.0255346022639961	0.0198514024499644	0.0238397396734042	0.00851466420374164	0.0209186749655175	0.0101723160452834	0.00508068501231832	0.0153448306688194	0.0300259649860149	0.00753967231174929	0.0199031154930123	0.0174073767325362	0.00833231922380025	0.0214817092278625	0.0196178488291444	0.0231690504568148	0.0190427761173471	0.0164834004318356	0.0112468988740319	0.0194614408083914	0.0168366808619984	0.0142719240960894	0.024190883441292	0.0214399250566559	0.0184130372911544	0.0159151663838129	0.0271896135101407	0.0130828608611429	0.00315413852448085	0.0223335623636411	0.0256530429013906	0.0153976492398956	0.0188520925465853	0.0200717263665112	0.0147983435924328	0.0128755915894665	0.0207880278912081	0.0110639231552031	0.019479017967098
HMEC_4_1_3	0.0180714477470737	0	0.00438796470951787	0.00600826946280794	0.00117671341723579	0.0118179097641979	0.0157651193786256	0.0155668951901044	0.000320363830368165	0.011415796916818	0.00226292502884756	0.00805635186787821	0.0141075091373513	0.000531121588679062	0.0100673619976761	0.0277897990179542	0.0206027179512706	0.00670252636633016	0.0123641389219069	0.00467001481553332	0.00853875501975762	0.00837406250344743	0.00981138432247424	0.00746453194159197	0.00178021128158276	0.00576928723912601	0.00955738001147368	0.00284765933218782	0.00789971987072798	0.0129912479411037	0.00272692202032008	0.0119571023719618	0.0105323579664502	0.00183193245560513	0.000664155122970331	0.00973972344620552	0.00341079273083571	0.00154662141376275	0.00509845801485329	0.000971462771779963	0.00158823791954572	0.00682511020363805	0.00139018955413537	0.00123491821934383	0.00379991922610938	0.0061205068448636	0.00336900104763794	0.000341635270073276	0.00215653136482442	0.00911995533391272	0.00498906345608923	0.0149176556827793	0.00426280441875079	0.00758300079512028	0.0026740985582172	0.000780751751518837	0.00200057010526686	0.00327345733826835	0.00519634474904075	0.0388534008822476	0.00700809168221022	0.0375449717211264
HMEC_4_2_1	0.0136839212248221	0.00438796470951787	0	0.0103961256341745	0.00321125789586493	0.0162055431913305	0.0201525361862584	0.0199543241267873	0.00406760315498853	0.0158034494590764	0.00665086350852031	0.0124441426501416	0.0184950233074173	0.00491908173865229	0.00567949793443361	0.0234029962790896	0.0249897980181787	0.0110903619809977	0.0167517455063708	0.000282052414456325	0.0129265283138042	0.0127618418572522	0.0141991076742363	0.0118523430932253	0.00616815684676458	0.0101571501042358	0.00516950223362358	0.00723558814891888	0.00351180390770859	0.00860348044832404	0.00166105061486404	0.0163447290547659	0.00614450721648265	0.0062198773002209	0.00372381390690726	0.0053518504655303	0.00779871112447957	0.00593457011785497	0.0094863386216655	0.00535941839820438	0.00279973456345545	0.00243717469643426	0.00577814025453043	0.00315305329517742	0.000588049396709055	0.0105083598049154	0.0077569202524302	0.00472959715917788	0.00223144176096208	0.0135077065040183	0.000601104003593354	0.0105299685865923	0.00865070496213246	0.011970807965087	0.00171387417020082	0.00516870941970366	0.00638851253599142	0.00111451375772002	0.000808387404417248	0.0344678519981656	0.00262015921406432	0.0331592502638077
HMEC_4_2_2	0.0240786704836503	0.00600826946280794	0.0103961256341745	0	0.00718496281451894	0.00580980164136923	0.00975721031511742	0.00955897441625002	0.00632862848443892	0.00540767256080779	0.00374536449542091	0.00204812128872046	0.00809950771802564	0.00547715476899213	0.0160752446705232	0.03379579106166	0.0145951505045688	0.000694267880627375	0.00635605405141333	0.010678165603414	0.00253053645734756	0.00236583971620392	0.00380320267610261	0.0014562881069451	0.00422807600395292	0.00023898547814349	0.0155652940710587	0.0031606314249459	0.0139077272013768	0.0189989261149296	0.00873513488208108	0.00594900004305882	0.0165402109149605	0.00417635512264343	0.00667241407253977	0.0157476264291761	0.00259749768393904	0.00446166439156478	0.000909822403855064	0.00503681828442907	0.00759647873897767	0.0128331708685139	0.00461809511510764	0.00724316645249792	0.0098081000536845	0.000112239003640878	0.00263928944401511	0.00566663878193823	0.00816475900734987	0.00311175269328444	0.0109972023155431	0.0209251761752012	0.00174548262898364	0.00157475948267346	0.00868231285437342	0.00522752738302277	0.00400771833932794	0.00928165457404395	0.0112044755958099	0.044857404208151	0.0130161436608879	0.0435492434305876
HMEC_4_2_3	0.0168948790227331	0.00117671341723579	0.00321125789586493	0.00718496281451894	0	0.0129945521206953	0.0169417095772925	0.0167434883435634	0.000856349715205251	0.0125924437948103	0.00343963481754776	0.00923303076527693	0.0152841229546209	0.00170783458260166	0.00889069072000231	0.0266134389779018	0.0217792251116986	0.00787921524984056	0.0135407749012595	0.0034933090454026	0.00971542995296896	0.00955073881397879	0.0109880477767566	0.0086412154111712	0.00295692224398264	0.00694598202633419	0.00838070428874478	0.00402436740951707	0.00672303141387791	0.0118146069586289	0.00155021058150802	0.0131337431291115	0.00935569095849123	0.00300864330266014	0.000512558453295184	0.00856304928424037	0.00458749886037376	0.00272333286639989	0.00627515655054678	0.0021481752152847	0.000411524807910886	0.00564841488868871	0.00256690130673944	5.8204836268343e-05	0.00262321047812305	0.00729719950424771	0.00454570733184491	0.00151834844511152	0.000979818936064628	0.0102966252083341	0.00381235895684223	0.0137410391569396	0.00543950704344564	0.00875968337515625	0.00149738701495525	0.00195746445555987	0.00317728055871435	0.00209674713474524	0.00401964112696161	0.0376773936409641	0.00583139745754888	0.0363689162470904
HMEC_4_G2_3E_1	0.029886814028431	0.0118179097641979	0.0162055431913305	0.00580980164136923	0.0129945521206953	0	0.00394749518651958	0.00374925328502269	0.0121382555346531	0.000402133980362799	0.00955508495748865	0.00376169775455484	0.00228974778239497	0.0112868159979798	0.0218842408022248	0.0396024848420711	0.00878563589025736	0.00511554179063873	0.000546260227784468	0.0164875657890271	0.0032792839208317	0.00344398032450143	0.00200661618054558	0.0043535278607234	0.0100377813392375	0.00604878384925679	0.0213743342287224	0.0089703687809903	0.019716902010367	0.0248076461195636	0.0145446472443272	0.000139200267061728	0.0223491658356399	0.00998606212979888	0.0124820263763844	0.0215566509861491	0.0084072498310463	0.0102713620232172	0.00671961020623717	0.0108464958801637	0.0134060487028206	0.0186424260790747	0.0104277874477676	0.0130527530704539	0.0156175526389429	0.00569756408455282	0.00844904054328467	0.0114762926936379	0.0139743009734866	0.00269806789669752	0.0168065824044831	0.0267336920907665	0.00755525440034016	0.00423505722758223	0.0144918280215167	0.01103719799977	0.00981743071250697	0.0150911371561345	0.0170138423741598	0.0506618805278704	0.018825385562916	0.0493540140064862
HMEC_4_G2_3E_3	0.0338327382314963	0.0157651193786256	0.0201525361862584	0.00975721031511742	0.0169417095772925	0.00394749518651958	0	0.000198243028149239	0.0160854513783701	0.00434962650764217	0.0135023827159271	0.00770914874851995	0.00165775316405536	0.0152340477354802	0.0258308630499825	0.0435472802569096	0.00483820491612109	0.00906296625756562	0.00340123778147601	0.0204345427866401	0.00722674300531701	0.00739143672721505	0.00595409318269946	0.00830096795229203	0.0139850616349052	0.00999618674251269	0.0253209939652006	0.0129176867219675	0.0236636778647846	0.0287540373402604	0.0184917293592266	0.00380829572532852	0.0262957531763477	0.0139333443312484	0.0164292070851125	0.0255032974140947	0.0123545862046278	0.0142186336079457	0.0106669959309536	0.0147937452913207	0.0173531868945732	0.022589272533437	0.0143750531038379	0.0169999078345382	0.0195645781789119	0.00964497541225747	0.0123963755827545	0.0154235166395158	0.0179214116877178	0.0066455357799972	0.0207535410032702	0.0306799160597253	0.0115026167914949	0.00818249958777306	0.0184389128279674	0.0149844398308073	0.0137647190699182	0.0190381909075493	0.0209607888470057	0.0546050064413579	0.0227722202550262	0.0532973590592423
HMEC_4_G2_4A_1	0.0336345837371368	0.0155668951901044	0.0199543241267873	0.00955897441625002	0.0167434883435634	0.00374925328502269	0.000198243028149239	0	0.0158872279727394	0.00415138485447008	0.0133041534555788	0.0075109101399339	0.00145951031973361	0.015035822284522	0.0256326712260569	0.0433491852015563	0.00503644610038694	0.00886472936748287	0.00320299558230765	0.0202363316108891	0.00702850385275941	0.00719319775633199	0.00575585276711579	0.00810273006009041	0.0137868333891926	0.0097979512021188	0.0251228001135212	0.0127194562812941	0.0234654777099912	0.0285558579498081	0.0182935123509356	0.00361005374363914	0.0260975632377021	0.0137351159750867	0.0162309845375621	0.0253051042826398	0.012156354677653	0.0140204058663081	0.0104687614441528	0.0145955188272433	0.0171549667456147	0.0223910685272401	0.0141768257045482	0.0168016867526214	0.0193663643175248	0.00944673934807685	0.0121981441347002	0.0152252916338726	0.017723193080637	0.00644729601969089	0.0205553308423833	0.0304817456159359	0.0113043837148866	0.00798426154784401	0.0182406956694593	0.014786213801781	0.013566490356507	0.0188399754793981	0.0207625793541144	0.0544069983438546	0.0225740168916156	0.0530993395891887
HMEC_4_G2_4A_2	0.0177511252769585	0.000320363830368165	0.00406760315498853	0.00632862848443892	0.000856349715205251	0.0121382555346531	0.0160854513783701	0.0158872279727394	0	0.0117361438744994	0.00258328811763397	0.00837670717726856	0.0144278473870282	0.00085148536148161	0.00974701073629389	0.0274695344181409	0.0209230278694846	0.00702288424709583	0.0126844830156054	0.00434965357582631	0.00885910930240158	0.00869441714315049	0.0101317356184859	0.00778488843133975	0.00210057463737625	0.00608964662555862	0.00923702748441486	0.0031680220187757	0.00757936369628821	0.0126709052459076	0.00240655902567179	0.0122774477221294	0.0102120079181372	0.00215229578563846	0.000343791321704919	0.00941937136390299	0.00373115494843575	0.00186698487760189	0.00541881834877956	0.00129182644279887	0.0012678743454269	0.00650475204505191	0.00171055308255568	0.000914554532671993	0.00347955708089078	0.00644086569024415	0.00368936330279728	0.000661999071512684	0.00183616803858043	0.00944030830255924	0.00466870259710094	0.0145973198555735	0.0045831657749284	0.00790335705558924	0.00235373552939411	0.00110111547258396	0.00232093334648625	0.00295309473948763	0.00487598415147024	0.0385332335303795	0.00668773384039388	0.0372247910964161
HMEC_4_G2_4A_3	0.0294848199885864	0.011415796916818	0.0158034494590764	0.00540767256080779	0.0125924437948103	0.000402133980362799	0.00434962650764217	0.00415138485447008	0.0117361438744994	0	0.00915296465400704	0.00335956574223759	0.00269188080697484	0.010884701254363	0.0214821810212958	0.0392005992947716	0.00918775741131367	0.00471341156879991	0.000948394127773984	0.0160854734967653	0.00287715140925159	0.00304184797518578	0.00160448270094615	0.0039513965604072	0.00963566248975351	0.00564665519661669	0.0209722709713297	0.00856824681518282	0.0193148280376284	0.0244056079106172	0.0141425455505762	0.000541334235404037	0.021947109298447	0.00958394312099437	0.0120799160266916	0.0211545889620238	0.00800512636663829	0.00986924390388056	0.00631748285081261	0.010444379632513	0.0130039420625499	0.0182403456364738	0.0100256698270741	0.0126506449796829	0.0152154559867855	0.00529543480923467	0.00804691718663816	0.0110741786162224	0.0135721967500316	0.00229593488031413	0.0164044917719824	0.0263316696275327	0.00715312885918126	0.00383292577597178	0.0140897260891154	0.0106350823959388	0.00941531119010299	0.0146890379841573	0.0166117528375672	0.0502601576941598	0.0184233061955573	0.0489522697168389
