	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_Root1_2	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_3
HMEC_4_1_1	0	0.010645741708946	0.0102233095863897	0.0203959005025001	0.0819052452982725	0.00281952010285142	0.0323210458547116	0.0173306174242098	0.0325098173228968	0.032736780430889	0.0418277954649198	0.0468810766030378	0.0233178535622338	0.02954475889581	0.0258824992094803	0.0168653943749056	0.0136170881468629	0.0112524684907062	0.0176529115412556	0.0173083595210624	0.00961701104601729	0.0193530549341651	0.0179281459025576	0.011579917598621	0.0267010397634314	0.0308053526514875	0.0128382976039416	0.0457722504521294	0.0100881828270401	0.0197756863545878	0.0228686428812812	0.00180665982406841	0.0142963690113271	0.0446337429646742	0.0362328456801986	0.0353417027483308	0.0304710024997983	0.0393557586917671	0.0385459281376712	0.0268189240646854	0.0232949145781555	0.027052122572937	0.017498092256632	0.0173624374535129	0.0131769903935497	0.0293312564776979	0.0259570728954964	0.0426394053445911	0.0263885047600609
HMEC_4_1_2	0.010645741708946	0	0.00437053100022126	0.0138071055252542	0.0829693222947286	0.00802396909888903	0.0309420270690078	0.0114341683032199	0.0237328841546682	0.0321615180025411	0.0394136924774218	0.0445744686171883	0.020137815536945	0.0249739784745506	0.0217859096544576	0.012482160405463	0.013577890744229	0.00769359445968689	0.0104176748993549	0.016696859224158	0.0121221749146643	0.0164361996350395	0.0159532950464091	0.0109459374252626	0.0225034601840269	0.0272667689987174	0.00487718651523705	0.04517445307163	0.00848980036710309	0.0118645258660255	0.0214194420649361	0.0097738329598661	0.0113392785051576	0.0441280162312457	0.0320045955102057	0.0339165937005841	0.0311436643453581	0.0376734813117179	0.0358986367566865	0.0243447325044889	0.0228578570003458	0.0222952051893776	0.0192541979942965	0.00693676621763887	0.00394260460415222	0.0240250175686706	0.0199425366771743	0.0325361168548172	0.0239256022162546
HMEC_4_1_3	0.0102233095863897	0.00437053100022126	0	0.0108215759848934	0.0786569645781969	0.00742162320457778	0.0267504785602419	0.00800118188575578	0.0223385339637731	0.027887122303456	0.0354388093388344	0.0406031282773722	0.0161271749498863	0.0214070968589751	0.0180292709139393	0.00853743608774007	0.00923609806981221	0.00332528044808793	0.00769786171277635	0.0123318406935397	0.0082813105232453	0.0122944846439412	0.0116672500714114	0.00664070611304444	0.0187875073252366	0.0234419063697848	0.00266594719382171	0.0409500778781091	0.0042567118599832	0.00967620514264685	0.0171553151703878	0.0100950827507385	0.0070469305880987	0.0398906536527408	0.0284113237885069	0.0297491417200371	0.0267870285796117	0.0335634280379184	0.0319492584141444	0.0202612056151602	0.018522128651437	0.0187470248499078	0.0226393705138554	0.0081279901692542	0.00351386192354482	0.0206954386676459	0.0168313705594178	0.0325587965627961	0.019834943922602
HMEC_4_2_1	0.0203959005025001	0.0138071055252542	0.0108215759848934	0	0.0716369283488119	0.0177759546271556	0.0192793914456835	0.00309044929158543	0.0129273077540632	0.0211343608994874	0.0264967190155343	0.0315869308502689	0.00840412068298397	0.0114359914144243	0.00879297168134863	0.00455361313025356	0.0105384922733098	0.00916411977126422	0.00340359193821595	0.0101781391010701	0.0136153788643598	0.00676205254396345	0.00803911278997767	0.0103182456746616	0.00935098258404191	0.0141881255118524	0.00898514842669873	0.033314119823589	0.0105791444819621	0.00303243420143419	0.0114053347737601	0.0206485324748522	0.0071969517544136	0.0323815828748647	0.0184071733982287	0.0219685932782786	0.0215416036134244	0.0253079325589287	0.0229595631200866	0.0124679920179873	0.0136535344464342	0.00880027296448131	0.0330441137485281	0.0106391916708734	0.00994518938596147	0.010264049460174	0.00613631502530343	0.025135131759596	0.0121311974224241
HMEC_4_2_2	0.0819052452982725	0.0829693222947286	0.0786569645781969	0.0716369283488119	0	0.0811507200141662	0.0524676146903695	0.0725900432452202	0.0733327619099432	0.0509415930966973	0.0461274462918618	0.0417363605287576	0.0635281159423433	0.0611065655224397	0.0629160861704288	0.0708784621325535	0.0698682842619871	0.0753579440743192	0.0745036403449724	0.0664155676804402	0.0728899557619202	0.0667700249774216	0.0670630535264233	0.0725226344205794	0.0624613018772783	0.0578261423125004	0.0785846796382696	0.0383781100265759	0.074970837009345	0.0746372091654864	0.0616443465445057	0.0834520822111645	0.0716607944538426	0.0392947479754849	0.055446510967618	0.0497035335728003	0.0520108484774978	0.0465142241766195	0.0494353059794404	0.0592922274829084	0.0601747607577216	0.0633483341647177	0.099273582794153	0.0821548839092326	0.0800740672682723	0.0630331195905052	0.0669239240247403	0.0827830330541822	0.0596663503859455
HMEC_4_2_3	0.00281952010285142	0.00802396909888903	0.00742162320457778	0.0177759546271556	0.0811507200141662	0	0.0307686403631292	0.0147404576013673	0.0297394083961373	0.0313752712670902	0.0401174125925815	0.0452193514670025	0.0212698503810488	0.0273214927121405	0.0237034960654004	0.0144655887774394	0.0119233582333688	0.00871300180072651	0.0149339717061436	0.0156487658933083	0.00831262820648004	0.0172715314224597	0.0159911861822861	0.00960201243720146	0.0245140662510424	0.0287840918944613	0.0100235066581103	0.0444972310809872	0.00776449736166239	0.0170244676426053	0.0211682755021331	0.00293982400613744	0.0120300575591952	0.0433749568174136	0.0341225283196397	0.0338060910422784	0.0293935605373221	0.0377916005763197	0.0367659695586785	0.0249649739340351	0.0218351341821757	0.0247723183136871	0.0182503555941557	0.0146081980740765	0.0103660611631571	0.0269822405997565	0.0234708038433516	0.0398252728839458	0.0245309194139064
HMEC_4_G2_3E_1	0.0323210458547116	0.0309420270690078	0.0267504785602419	0.0192793914456835	0.0524676146903695	0.0307686403631292	0	0.0201705776458462	0.0244659243575828	0.00256740048439183	0.00975822530117388	0.0146342063011298	0.0110783438301898	0.0101875612787679	0.0107503875678947	0.0185616020378489	0.0188489066870736	0.0235535909775914	0.0220748835614543	0.0151257398214154	0.022707276741342	0.0145127033594925	0.0151478820092559	0.0212906032448481	0.0104723463877636	0.00684473174642393	0.0263403511752494	0.0142645821785261	0.0235499523866988	0.0223074141850163	0.00968689724810223	0.0335067746253195	0.0197269456707815	0.0132513867500093	0.00945856710879529	0.00304142826368377	0.00607935299302236	0.00703893423746775	0.00702657322005619	0.0068377232959403	0.00905161678440841	0.0116509299960705	0.048777205546811	0.0297512191207332	0.0277833072190441	0.0123638154587819	0.0153279634449143	0.0369911685313277	0.00720853329642639
HMEC_4_G2_3E_2	0.0173306174242098	0.0114341683032199	0.00800118188575578	0.00309044929158543	0.0725900432452202	0.0147404576013673	0.0201705776458462	0	0.0158765820807167	0.0217478475328004	0.028129798321649	0.0332774083497979	0.00910068503959567	0.0135482581639692	0.010390043154952	0.0023434406312821	0.00803735994042853	0.00608443969581823	0.00224238595305927	0.00859253466300365	0.0106970636496291	0.00612741826522985	0.00672064360089437	0.00739665076781247	0.0110868349053105	0.0158882622417038	0.00656287946016047	0.0344007768725445	0.00749257437222058	0.00396332432186972	0.0113125894536828	0.0176335843932632	0.0044067965057192	0.0334107372281998	0.020580277795891	0.0230308016803618	0.0215743323937541	0.0266124005882129	0.0245961023275281	0.0133673190104176	0.0133126954006263	0.0108698866305033	0.0305192186704537	0.0097458825869719	0.00780786296930838	0.0127124680837478	0.00884555497502595	0.0277350676739927	0.0129760007350826
HMEC_4_G2_3E_3	0.0325098173228968	0.0237328841546682	0.0223385339637731	0.0129273077540632	0.0733327619099432	0.0297394083961373	0.0244659243575828	0.0158765820807167	0	0.0269568526374659	0.0274299407569307	0.0316409653278003	0.0172929544615423	0.014303551403573	0.0151807570601611	0.0174395920213403	0.0233500120765816	0.0216526899638528	0.0149519903304742	0.022221423347651	0.0265350453568151	0.0183075387407594	0.0200508277653786	0.0232346435580515	0.0149543880445151	0.0176350814897789	0.0198431026340114	0.0359784759477057	0.0232517238846329	0.012756335165096	0.0209603737451995	0.0324181205230479	0.0201234498850187	0.0353638185710361	0.0180883774197297	0.026053761494374	0.0291024452170566	0.0279028081018813	0.0244258875110955	0.0193235423899287	0.0232651682753831	0.013535251441263	0.0421151646291209	0.0175335703780596	0.0199877928320927	0.0121426613680193	0.010600957526242	0.0131124711085385	0.0192524957091827
HMEC_4_G2_4A_1	0.032736780430889	0.0321615180025411	0.027887122303456	0.0211343608994874	0.0509415930966973	0.0313752712670902	0.00256740048439183	0.0217478475328004	0.0269568526374659	0	0.0104136330256711	0.0148307194463196	0.0127734111460034	0.0126579367654293	0.0128754502980896	0.0199707964848956	0.019528907000817	0.0246210656385529	0.0237514195001862	0.0158645970058848	0.0231600611007969	0.0158518884414204	0.0162227495646416	0.0220848348404157	0.012690149422102	0.00937314060755152	0.0276957645063143	0.0131597880500276	0.0244422118951195	0.0241645187466998	0.0107458589828744	0.0340227297240535	0.0208434594450184	0.0120610213557906	0.0118485445110092	0.0034797872219441	0.00406477950938918	0.00716623643824957	0.0083787469540497	0.00870510436264803	0.0095649799553635	0.013943224887217	0.0495296480943945	0.0314373423235143	0.0291848993962354	0.0148281344638432	0.0175860290356481	0.0395376163086884	0.00901497032284557
