	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3F_1	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.00781857736512475	0.00473231132254373	0.0122901255828406	0.00193265717246899	0.00732857729426107	0.0371742683631061	0.011029382093646	0.000884075217226085	0.0120242427717045	0.00180854759653135	0.0109633418041677	0.00635640437013628	0.00259839034778987	0.00186551776720579	0.0152764670622763	0.0130798428628751	0.00793556661214634	0.0105517755009865	0.00439850229309696	0.0029497332145226	0.00439175769724334	0.00126617994764277	0.00841622875012516	0.000644703575382325	0.00537156828133258	0.00253508055323985	0.000522991393855827	0.00522006915361751	0.000437785168899056	0.00822132595875549	0.000833741021602752	0.00777093415895251	0.00985065322519395	0.0116033499263864	0.0114233609665277	0.00261425560822133	0.000525324701014401	0.00632497320448234	0.00814821666796427	0.00438829814353299	0.00266283114810541	0.00668041015826444	0.00274179640766656	0.00982281927909523	0.00798221743494902	0.0124302114881592	0.00175913089018613	0.0108338257146686	0.0071284210228169	0.000148244910407943	0.00626759238171052	0.0155035901859852	0.000282368084027755	0.0169562450351277	0.00466372667757024	0.00289785278877325	0.00215126988942898	0.0141667880817527	0.00236738454543013	3.57196511201982e-05	0.0175165545677092	0.0150540840971834	0.011568509672131	0.0049552580960914	0.0147241029687354
HMEC_4_1_2	0.00781857736512475	0	0.00308630903411705	0.00447170923512025	0.00975117882970033	0.000490010624274201	0.0293588427797276	0.00321090856653493	0.00870262985482283	0.00420581359731486	0.00962707349869591	0.00314486553637547	0.00146220032551545	0.00522022699768883	0.00968404173220889	0.00745822290562863	0.0052614670296789	0.0157537729910082	0.00273328272493844	0.00342011936217445	0.0107682166256272	0.0122101762978759	0.00908472332464897	0.000597666157363688	0.00846326482499612	0.00244704775966899	0.0052835362927619	0.00834155587491993	0.00259854812729107	0.00738080173346912	0.000402758319186358	0.00865229707778396	4.7644293939701e-05	0.00203213459664967	0.00378490128620829	0.0192412845665769	0.00520436185873298	0.00834388912096638	0.00149363194116932	0.000329647192703435	0.0034303235410966	0.00515578668146509	0.0011381895610562	0.00507682198171725	0.0176408817826084	0.0158004205165079	0.0046118020634154	0.00605947791015861	0.0186518022841329	0.0149466823755701	0.00796681878825439	0.00155101357052865	0.00768536123435825	0.00753621556276558	0.0247735683340682	0.0124821316608785	0.0107163383001062	0.00566734342162827	0.00634847391866101	0.00545123086312163	0.00778285853498802	0.00969847336824325	0.00723582534128327	0.0037500594667544	0.0127736479907495	0.00690582307596908
HMEC_4_1_3	0.00473231132254373	0.00308630903411705	0	0.00755797929361542	0.00666494540276218	0.00259629988135736	0.0324440687913739	0.00629719426511588	0.00561637764441543	0.00729208725738438	0.00654083771380689	0.00623115195376399	0.00162411145710249	0.00213393088610086	0.00659780702519289	0.0105444414078339	0.00834772543656479	0.0126676970095112	0.00581957339609772	0.000333811650896023	0.00768200388719127	0.0091239970692679	0.00599847765995185	0.00368397264640899	0.00537700868848298	0.000639263085973142	0.00219724072645479	0.00525529779368603	0.000487762374652609	0.0042945295191857	0.00348906572871997	0.00556604403065643	0.00303866490757551	0.00511843161807619	0.00687118031637503	0.0161553393671632	0.0021180656119528	0.00525763107667255	0.00159267984625871	0.00341595492477244	0.000344015874508283	0.0020694900244551	0.00194812203880429	0.00199052466949833	0.0145548729621473	0.0127143460928931	0.00769807015920153	0.00297318978646195	0.0155658329380641	0.0118605802587793	0.00488055493726099	0.00153529821975795	0.0107715749827197	0.00444994548811826	0.0216878904645816	0.00939595930240768	0.00763012444743124	0.00258105136116191	0.00943471395639373	0.00236493678633306	0.00469659197202101	0.0127846398540683	0.0103220483842343	0.00683633892322263	0.00968748319069294	0.00999205264892872
HMEC_4_2_1	0.0122901255828406	0.00447170923512025	0.00755797929361542	0	0.0142226553951638	0.00496171580326422	0.0248883324511811	0.00126080740778377	0.0131741468710545	0.000265897498371884	0.0140985550470743	0.00132685064537466	0.00593389507712427	0.00969185158788465	0.0141555209997819	0.00298655065926484	0.000789764703466239	0.0202249456992692	0.00173843442234945	0.00789178348955157	0.0152396503793611	0.0166815433027341	0.0135562260336266	0.00387404693805621	0.0129347905513257	0.00691872871666393	0.00975515929352216	0.0128130859554014	0.0070702266732321	0.0118523644200276	0.00406895364855979	0.0131238159417176	0.00451935316995589	0.00243958289697742	0.000686812274946323	0.0237122238168799	0.00967598684513538	0.012815419118438	0.00596532630278455	0.00414206431946004	0.0079019874751185	0.00962741287561767	0.0056098881397625	0.00954845012221179	0.0221119333864128	0.0202715903792437	0.00014009390315882	0.0105310803300789	0.0231227839501397	0.0194179031303586	0.0124383619591309	0.00602270721164904	0.00321369300798401	0.0120077731871824	0.0292440505718576	0.0169534852800997	0.0151877743229903	0.0101389564966769	0.00187678448168062	0.00992284958831277	0.012254407957589	0.00522684820521355	0.00276414932381223	0.000721654272029336	0.0172449869803904	0.00243414176391606
HMEC_4_2_2	0.00193265717246899	0.00975117882970033	0.00666494540276218	0.0142226553951638	0	0.0092611848583754	0.0391058820853752	0.0129619350190384	0.00104858263650717	0.0139567776481545	0.000124109740883404	0.012895895877387	0.00828902300764794	0.00453103888847429	6.71394972743429e-05	0.0172089330472765	0.0150123570367364	0.00600294461068458	0.0124843365862803	0.00633113907275946	0.00101707824963446	0.00245910847947814	0.000666477845096108	0.0103488223054436	0.00128795420711311	0.00730419674003429	0.00446772942153695	0.00140966632021135	0.00715269899824632	0.00237044157922315	0.0101539221500826	0.00109891682412803	0.00970353623181145	0.011783225694958	0.0135358926120863	0.00949078403026779	0.00454690406586065	0.00140733301459237	0.00825759217716285	0.0100808138339316	0.00632093500316368	0.00459547934929381	0.00861302525727435	0.00467444418456456	0.00789021940269519	0.00604959591632134	0.0143627385915872	0.00369178329866545	0.00890123988194966	0.00519579118103791	0.001784412456468	0.0082002119625655	0.0174360507956193	0.00221502479700871	0.0150237771163633	0.00273107888832712	0.000965197674403604	0.00408392061877859	0.0160992792719227	0.00430003425330373	0.00196837677171918	0.01944896432693	0.016986555274129	0.0135010529928719	0.00302261195979677	0.0166565817197223
HMEC_4_2_3	0.00732857729426107	0.000490010624274201	0.00259629988135736	0.00496171580326422	0.0092611848583754	0	0.0298486954294971	0.00370091701671962	0.00821263240148468	0.0046958206105167	0.00913707909386543	0.00363487406924533	0.000972189962042947	0.0047302209140666	0.00919404752564937	0.00794822271181094	0.00575147212437389	0.0152638068772064	0.00322329173693355	0.00293011057865279	0.0102782264237213	0.0117201921034541	0.00859472709270086	0.00108767666251905	0.00797326663420303	0.00195703801451385	0.00479353032589897	0.00785155731736198	0.00210853850893894	0.00689080047403825	0.000892768877581768	0.00816229946762445	0.000442366334252084	0.00252214428256242	0.0042749089513421	0.0187513408774825	0.0047143557460929	0.00785389057038049	0.00100362159195589	0.000819657767226787	0.00294031476952053	0.004665780480521	0.000648179072129575	0.00458681563909935	0.017150927230557	0.015310454672255	0.00510180838669134	0.00556947349487863	0.0181618544806845	0.0144567117278578	0.00747681913599699	0.00106100324811523	0.00817536039403657	0.00704621471712899	0.0242836697205277	0.0119921486868086	0.0102263478965786	0.00517733819436986	0.006838476615059	0.00496122521271133	0.00729285836446348	0.0101884659834674	0.00772582576239043	0.00424006718295466	0.0122836663556194	0.00739582437656607
HMEC_4_G2_3E_1	0.0371742683631061	0.0293588427797276	0.0324440687913739	0.0248883324511811	0.0391058820853752	0.0298486954294971	0	0.0261488392863842	0.0380578793350726	0.0251541690028668	0.0389818426832779	0.0262148659698914	0.0308205561042621	0.0345771152373568	0.0390387806959875	0.0219023768606	0.0240987410813178	0.0451048759959602	0.0266263447639449	0.0327777494188769	0.0401223666504184	0.0415635023355098	0.0384397765957449	0.0287613621771311	0.0378186355662283	0.0318050490449261	0.0346403971393485	0.0376969877843621	0.0319564929859999	0.0367367049361497	0.028956210363365	0.0380075721622121	0.0294064719447685	0.0273273071774861	0.0255749846326842	0.0485899233403505	0.0345612569491527	0.0376993198608594	0.0308519767357216	0.0290292988995111	0.0327879495943161	0.0345127027125487	0.030496657304105	0.0344337719429463	0.0469906855358669	0.0451514923740392	0.0247482701346061	0.0354159958103584	0.0480008769107205	0.044298316526899	0.0373224369634969	0.0309093382562966	0.0216752730576142	0.0368920439184756	0.054117731183745	0.0418352970774799	0.0400705171036981	0.0350240363012791	0.0230119410830439	0.0348080187219484	0.0371385670066133	0.0196624181304934	0.0221247395367971	0.0256098182761918	0.0421266393928928	0.0224546880581294
HMEC_4_G2_3E_2	0.011029382093646	0.00321090856653493	0.00629719426511588	0.00126080740778377	0.0129619350190384	0.00370091701671962	0.0261488392863842	0	0.0119134135106877	0.000994910033288712	0.0128378330791199	6.60432785831768e-05	0.00467310069569381	0.00843108265113392	0.0128947997606897	0.00424735213873629	0.0020505713536402	0.0189643200312571	0.000477627403815468	0.00663100069299854	0.0139789436055016	0.0154208575197269	0.0122954972826458	0.00261324428027618	0.011674054374614	0.00565793970870744	0.00849439090028748	0.0115523483677329	0.00580943857336973	0.0105916161919058	0.00280815160248033	0.0118630819845794	0.00325855267436214	0.00117877683731855	0.000573995317573907	0.0224516692175077	0.00841521777277222	0.0115546815576867	0.00470453207868065	0.00288126251209982	0.00664120474846348	0.00836664338953921	0.00434909219102159	0.0082876799683938	0.0208513447024677	0.0190109655837093	0.00140090121885523	0.0092703189086426	0.021862216505362	0.0181572627012563	0.011177620116173	0.00476191327713837	0.00447449369629187	0.010747026620434	0.0279836331387914	0.0156928036805635	0.0139270668312311	0.00887819148025963	0.00313758913577955	0.00866208265323143	0.0109936640748681	0.00648763978518872	0.00402495153145489	0.000539153317958879	0.0159843099444965	0.00369494496706808
HMEC_4_G2_3F_1	0.000884075217226085	0.00870262985482283	0.00561637764441543	0.0131741468710545	0.00104858263650717	0.00821263240148468	0.0380578793350726	0.0119134135106877	0	0.0129082662828146	0.000924472941194483	0.0118473737230006	0.00724046420021564	0.00348246253239733	0.000981443165397547	0.0161604602047628	0.0139638572755264	0.00705151028040746	0.0114358104824606	0.00528256973214335	0.00206566004683738	0.00350768766673814	0.000382104892874911	0.00930027783237866	0.00023937169379749	0.00625563225696482	0.00341915286537592	0.000361083886729175	0.00610413370983771	0.00132186019170539	0.00910537617816061	5.03342081635643e-05	0.00865498691011577	0.0107346931674197	0.0124873768615346	0.0105393264783074	0.00349832776040682	0.000358750579485897	0.00720903317681094	0.00903226730745797	0.00527236561557146	0.00354690320012874	0.00756446848385884	0.00362586829342532	0.00893877373325317	0.00709816134053957	0.0133142315865503	0.00264320454826979	0.00994978694917069	0.00624436082018102	0.000735830343627509	0.00715165261201754	0.0163875809495161	0.00116644319048322	0.0160722623642889	0.00377965739638582	0.00201377953436553	0.00303534291762166	0.0150507923634488	0.00325145718251702	0.000919794857166631	0.0184005227786459	0.015938079536395	0.0124525368855008	0.00407118967380563	0.0156081017564542
HMEC_4_G2_4A_1	0.0120242427717045	0.00420581359731486	0.00729208725738438	0.000265897498371884	0.0139567776481545	0.0046958206105167	0.0251541690028668	0.000994910033288712	0.0129082662828146	0	0.0138326769521731	0.00106095328598915	0.00566800090887953	0.00942596315488222	0.0138896430641817	0.0032524472007832	0.00105566211967941	0.0199590885145151	0.00147253717681101	0.00762589195680936	0.014973775600801	0.0164156730925141	0.01329034645499	0.00360815082204511	0.0126689093456372	0.00665283577840474	0.00948927098136094	0.0125472044402057	0.00680433394135551	0.0115864805665029	0.00380305768069969	0.0128579352226827	0.00425345757331992	0.00217368592259578	0.000420914805120352	0.0234463819619032	0.0094100983819725	0.0125495376091427	0.00569943217080117	0.00387616840911623	0.00763609595811834	0.00936152432043659	0.00534399360915684	0.00928256141845298	0.0218460841863727	0.0200057333830613	0.00040599139572593	0.0102651935644226	0.0228569393283848	0.0191520427534342	0.012172479509732	0.00575681314638692	0.003479589404955	0.0117418896992855	0.0289782381860673	0.0166876159788319	0.0149218993879399	0.00987306893435196	0.00214268158368815	0.00965696160013172	0.0119885250599549	0.00549274287904389	0.00303004599705087	0.000455756806166377	0.0169791186701664	0.00270003861468048
