	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.00987858847242169	0.02505958829711	0.179993872810231	0.181910668480402	0.187083152152535	0.113861344928141	0.115430242227469	0.206573701411637	0.201454058382078	0.165553802356771	0.182653854120084	0.178671165764617	0.173590536447358	0.179622747483891	0.263695221688621	0.181878072992801	0.222368953863233	0.20898053796711	0.16625266299611	0.153565827655731	0.194455332690927	0.194028197584616	0.195472054612001	0.200406689674905	0.209973442084604	0.199273096903152	0.123707739665947	0.124300373762995	0.125417730249731	0.175752927181119	0.175014756481905	0.205384694480775	0.184349832199184	0.182254380895505	0.214126776558753	0.00530801307150074	0.0113438559966985	0.00858526830304995	0.012889865595849	0.0308976879859312	0.178713141775046	0.160215189822181	0.207840030315058	0.195874940640982	0.194850916359351	0.193180067917923	0.200374308105215	0.179782442160562	0.189716100565078	0.185082987823199	0.178001743983379	0.159899612981609	0.163388397011568	0.172389923792164	0.187548109221733	0.216128171936802	0.184715274354503	0.208606866648136	0.209110803004627	0.21813441851906	0.200497830428562	0.248025069905411	0.176721840640956	0.149766541632942	0.203616054755432	0.206465750597321	0.265761685396298
HMEC_4_1_2	0.00987858847242169	0	0.015800964829782	0.172994962097307	0.175013285505704	0.179746616501899	0.117439680138723	0.116435010914499	0.199104401591511	0.194463406618168	0.158938101847958	0.17593968453875	0.171996188825737	0.166830807635689	0.172605762146887	0.255759951829772	0.175080220176378	0.214460173010962	0.201301975818186	0.159631404340432	0.147600512860496	0.187305389465215	0.186821859625385	0.18812033697099	0.192942755660111	0.202493345652603	0.191894942690874	0.120796146117816	0.121345387218153	0.121761436785285	0.168622551804461	0.168238554846026	0.197715318927972	0.177298339929246	0.17543046056772	0.206544946520747	0.00957679184226954	0.00513044389112143	0.00222179091489325	0.00766490845732509	0.0214925276014582	0.171661053010945	0.15388872835358	0.200262023588312	0.18849254304378	0.187463380355279	0.185761541139974	0.192921593886437	0.173068783261052	0.182418068253159	0.177948701389886	0.171258544408584	0.153593184652053	0.157170536200515	0.16574263555803	0.180283405320224	0.208392111787346	0.177655769035698	0.20112391770351	0.201400255199409	0.210336789006712	0.193022703210157	0.240030714147106	0.169632762337262	0.144010210757966	0.196331376385324	0.199844934274007	0.257437997070615
HMEC_4_1_3	0.02505958829711	0.015800964829782	0	0.164765925876294	0.167120829681595	0.170772395799508	0.126659694602179	0.123204183884744	0.189821215559322	0.185963101207095	0.151946477795317	0.168423400348306	0.1648650190715	0.159431855667734	0.164748956645879	0.245284756323944	0.167254595074235	0.204364953781805	0.191700413706276	0.152461448376952	0.142063921792099	0.178534077762129	0.177973707957738	0.178879062087905	0.183552368880289	0.192942338104116	0.182468620313183	0.120465608088956	0.121048755159112	0.120208304800959	0.160249202994627	0.160404681733118	0.188056100633806	0.16920401556875	0.167582263599774	0.196779855228869	0.0253024468424469	0.0181351869516513	0.0175170876062243	0.0198465452884476	0.00856422879664744	0.163425344657429	0.147134921464768	0.190790749233522	0.179528204909259	0.178609072096608	0.176642370341942	0.183511040250393	0.165386874661269	0.173647745950799	0.169491029423048	0.163631042926527	0.147266703402642	0.150890680617737	0.158250933899161	0.171375893880238	0.198569365123468	0.1693621892548	0.19140571340564	0.191453628097645	0.200352229757826	0.183659021869541	0.230702584628105	0.16161797813276	0.139133421790124	0.18706502598702	0.192493991007355	0.246111385996216
HMEC_4_2_1	0.179993872810231	0.172994962097307	0.164765925876294	0	0.00532954394441062	0.012681761472975	0.17796837576984	0.150483960775232	0.0323696837573112	0.022905648873235	0.0211532608792403	0.00960593141082048	0.0153299226424659	0.012796769398714	0.0102443072665335	0.0979822463514441	0.00573365806178703	0.0558280195045795	0.0384542740725854	0.0188938019655814	0.0401555077892793	0.0167413398418678	0.0167772721146165	0.0211228134258308	0.0268668776641759	0.0366095337739187	0.0260264154749143	0.0966501043829582	0.0961111644668679	0.0866030370623893	0.00569930546112153	0.00812334689594892	0.0349749319875928	0.00829001369064519	0.00547999418400733	0.0422678517095265	0.177263755840248	0.173729902853501	0.173007700947446	0.17299063711704	0.164523269607111	0.00276961426454901	0.027191595735045	0.0354306869594213	0.020837657652256	0.020520533470384	0.0191107005366231	0.0268739746866331	0.00755857207803919	0.0138566689021439	0.00686436302805905	0.0078148438477705	0.0299730871020671	0.0282701988612051	0.0124697065770178	0.0118868067873599	0.04630088532761	0.00569868399846435	0.0366066816542817	0.039774525902642	0.0494691334762568	0.0269372481875665	0.0915641186402165	0.00982522293612116	0.0476670793576862	0.0286853087992494	0.0307499048426631	0.108548663737734
HMEC_4_2_2	0.181910668480402	0.175013285505704	0.167120829681595	0.00532954394441062	0	0.0152330951805251	0.17763566826932	0.149593177399011	0.0326906027407236	0.0225875020785123	0.0199904883718317	0.00501907973543318	0.0109786099883281	0.0106648908115884	0.0072701114970581	0.0980107539886197	0.0039288983175429	0.0562303350055203	0.0388837585176488	0.0183754751754272	0.0390108011087619	0.017882383629387	0.0180476810296509	0.0231855212686697	0.0282355576611864	0.0375714510515953	0.0281128517521496	0.0963226510255801	0.0956836436589036	0.0863666247011543	0.00899390495399332	0.00964188735385798	0.0358907474395831	0.00567379419300272	0.00296110761873258	0.0432179857399509	0.179071172442551	0.175642172904003	0.174988045740425	0.174828802252681	0.166893343953411	0.00556370341073858	0.0273014499661876	0.0358872093411764	0.0212193046175936	0.0203811716287952	0.0204995088231692	0.028386298446116	0.00646184134700041	0.0146554861808968	0.00805777605616726	0.00604836267506558	0.0288378384907877	0.0268458733927828	0.0125769394808229	0.0146249308386823	0.046781349465529	0.00592792666846653	0.0382029306642329	0.041147586951699	0.050094426126746	0.02812630932003	0.0900163622640678	0.00872191735187824	0.0462646937327508	0.0300758874200491	0.0270045607291284	0.109275423459219
HMEC_4_2_3	0.187083152152535	0.179746616501899	0.170772395799508	0.012681761472975	0.0152330951805251	0	0.189795183331539	0.162420990949103	0.0213435118432771	0.017695294894276	0.0328047283414984	0.0197853909481876	0.025408070875544	0.0243104223322614	0.0174214074913255	0.0865771704391981	0.0167402268262599	0.0438827316835197	0.0267076922497233	0.0309457213820421	0.0522070511638815	0.00945414615712716	0.00818069867905861	0.0101717403039116	0.0151440776714625	0.025445704736225	0.0153151591469802	0.108788305831126	0.108273573428953	0.0986690565435139	0.0140889074228558	0.020556710656583	0.0228442446121598	0.0124865312760426	0.0161204680710365	0.0307463874191127	0.184465282463899	0.180467234531203	0.179892324018891	0.179797109752736	0.170072121106043	0.0129965187503044	0.0394251116937041	0.0238861655484575	0.0102644083107238	0.0109782030675149	0.00715023839291185	0.0152414337269947	0.0195238532058595	0.00490030234538961	0.00725017770215306	0.0201653517985024	0.0419798234489427	0.0406513840755655	0.0250906706488327	0.00264878440147847	0.0344876108942947	0.00946172332611969	0.0254747014955706	0.0275053824054641	0.0374854934011394	0.0151748008552376	0.0820404122012881	0.0172686471909888	0.0595145927011115	0.0189955953031485	0.0307442584682283	0.0963117377277064
HMEC_4_G2_3E_1	0.113861344928141	0.117439680138723	0.126659694602179	0.17796837576984	0.17763566826932	0.189795183331539	0	0.0353780674033142	0.209559170370806	0.197317134435483	0.159060759797682	0.175333642014603	0.170801969093418	0.168032739344404	0.177077957120675	0.273252080040005	0.176339048270991	0.23200587867521	0.215210712604648	0.160004802727161	0.139979652045354	0.193622539239039	0.194079721004386	0.198134072731382	0.204225107843931	0.213581730041551	0.202417458422292	0.0824689051105966	0.0830023147945551	0.0922941593319176	0.17621737710327	0.170393542066684	0.211942318482949	0.181983978429119	0.176998272772808	0.219232784251145	0.111369380559309	0.118016788773596	0.115342068133301	0.116864845534024	0.133181466434183	0.177490508593893	0.151200888699512	0.212548540535293	0.198049666568455	0.196953415884556	0.196482497243701	0.204134032339665	0.173303058614845	0.191117443513036	0.184408821754303	0.171991266939904	0.149891419912908	0.151502042809555	0.165991962154541	0.189217684498969	0.223132926961054	0.182833320604996	0.212949162483964	0.21668879599726	0.226236735758818	0.204354280805024	0.257911564189082	0.17579753556246	0.134040377028653	0.204795428597143	0.194772267093161	0.283498452850243
HMEC_4_G2_3E_2	0.115430242227469	0.116435010914499	0.123204183884744	0.150483960775232	0.149593177399011	0.162420990949103	0.0353780674033142	0	0.181759404025723	0.170036326778511	0.130492408932463	0.147137854192978	0.141747261088045	0.139556677141668	0.148335264151569	0.245336200312678	0.148678035121718	0.203833837252412	0.187146945272056	0.13195006850768	0.111073803949334	0.166447085620254	0.166825019344572	0.171211571443179	0.176957846294913	0.186447654421261	0.175799880556709	0.0572551653988778	0.0570028433363075	0.0663905374177188	0.148611292973582	0.14317867880068	0.184195015188587	0.153598117830128	0.149238157248771	0.192060833486101	0.111808774853327	0.116297335250477	0.114608765221378	0.114643186669002	0.128237606581773	0.149769141736949	0.123885707773686	0.184674871868756	0.170082666955691	0.168659896295518	0.168872971480773	0.176994518150177	0.14576705346152	0.163236020741794	0.156657832170747	0.144165711521105	0.121247714279412	0.123040947841827	0.138549441017536	0.162032281469959	0.195227474024316	0.155012350343651	0.186352854458639	0.18946722343	0.198425001804522	0.176938534886726	0.226974153984374	0.147266923538649	0.104355765901346	0.178106369800493	0.165949614886604	0.255915257482598
HMEC_4_G2_3G_2	0.206573701411637	0.199104401591511	0.189821215559322	0.0323696837573112	0.0326906027407236	0.0213435118432771	0.209559170370806	0.181759404025723	0	0.0169802403811864	0.0520423064646187	0.0356534330793213	0.0412478552378122	0.0427821857215859	0.0343642930911055	0.0657069223022864	0.0341450386337134	0.0246055945649738	0.00829575440982084	0.0506327588311335	0.0714654719404662	0.0174249808455627	0.0165864249926349	0.0142244171671339	0.0078144804450245	0.00760671638162721	0.0129777640163598	0.128662751105291	0.128081390350041	0.118701024802722	0.0348242993665841	0.0401769653458321	0.00689857098388057	0.0286502393373643	0.0334207941872733	0.0115659864801626	0.203987975463629	0.199731798532172	0.199327614714593	0.199066884598134	0.188745333126049	0.0329404479420356	0.0594633660452356	0.00411906543707917	0.0121832465202388	0.014154800592354	0.0143580170144781	0.00856754662405297	0.0373194441384309	0.0192114576482952	0.0257588408080186	0.0384155915013105	0.0612490012329985	0.0594889826934121	0.0444885317069999	0.0217732391616535	0.0145401839314346	0.027285678754624	0.0117336160870185	0.0109219581250596	0.0178803384648423	0.00704570991816281	0.0651630067710884	0.0356897941871795	0.0784720173260406	0.0118130474422487	0.0290456634557666	0.0769831476900636
HMEC_4_G2_3G_3	0.201454058382078	0.194463406618168	0.185963101207095	0.022905648873235	0.0225875020785123	0.017695294894276	0.197317134435483	0.170036326778511	0.0169802403811864	0	0.0423732029088376	0.0239739837644127	0.0314001661046553	0.0331271241157868	0.0272498099867644	0.0788611795234242	0.0224079970112176	0.0410069059950368	0.0252353489446915	0.0404014966857465	0.0606213564229421	0.00849836129098316	0.00976139638379634	0.0128192077682294	0.0148884544687713	0.0192588704861688	0.0139591451711191	0.116114550845918	0.115603904794326	0.106451691715668	0.0275693582081751	0.0290098015667795	0.0229521873786083	0.0210776094434645	0.0220065260075958	0.0249791315669805	0.198855200400593	0.195271109445819	0.194513958310941	0.194599425192094	0.18561977065098	0.0246050139495804	0.0480433407516268	0.0210893609847114	0.0142474880638014	0.0163234180671441	0.0154002086853911	0.0146789030603424	0.0251308075920645	0.015923330275764	0.0182165493735141	0.0271321398363823	0.0507318176084436	0.0480808020751719	0.0330247369654359	0.0161746858684705	0.0308675952025142	0.0185982982487284	0.0201585701985576	0.0259435828145272	0.0340730806126196	0.0151988010732564	0.0792963188307649	0.029166273878062	0.0679632863720946	0.0116831516532667	0.0191063121600776	0.0919001512836495
