Sample	Marker	Overlap_Score
HMEC_4_G2_3F	Nax30_HMEC_0.01	0.0155695047215607
HMEC_4_G2_3F	Nax38_HMEC_0.01	0.013580143853791
HMEC_4_G2_3F	Nax4_HMEC_0.01	NA
HMEC_4_G2_3F	Nax40_HMEC_0.01	0.0252058737582701
HMEC_4_G2_3F	Nax49_HMEC_0.01	0.00536455641383921
HMEC_4_G2_3F	Nax50_HMEC_0.01	0.0117602520038233
HMEC_4_G2_3F	Nax56_HMEC_0.01	0.0153720074591504
HMEC_4_G2_3F	S1-17_HMEC_0.01	NA
HMEC_4_G2_3F	S14-51_HMEC_0.01	0.0353375532390522
HMEC_4_G2_3F	Sal102_HMEC_0.01	0.0153602250537027
HMEC_4_G2_3F	Sal22_HMEC_0.01	NA
HMEC_4_G2_3F	Sal27_HMEC_0.01	NA
HMEC_4_G2_3F	Sal45_HMEC_0.01	NA
HMEC_4_G2_3F	Sal46_HMEC_0.01	NA
HMEC_4_G2_3F	Sal58_HMEC_0.01	0.0101709554307305
HMEC_4_G2_3F	Sal66_HMEC_0.01	0.031609541542541
HMEC_4_G2_3F	Sal74_HMEC_0.01	0.00559320431427429
HMEC_4_G2_3F	Sal78_HMEC_0.01	0.00347467550490532
HMEC_4_G2_3F	Sal87_HMEC_0.01	0.010339088797613
HMEC_4_G2_3G	JF06_HMEC_0.01	0.0360652683901652
HMEC_4_G2_3G	JF12_HMEC_0.01	0.00887188985389212
HMEC_4_G2_3G	JF21_HMEC_0.01	0.018625674049888
HMEC_4_G2_3G	JF27_HMEC_0.01	0.017305522171292
HMEC_4_G2_3G	Nax10_HMEC_0.01	NA
HMEC_4_G2_3G	Nax11_HMEC_0.01	NA
HMEC_4_G2_3G	Nax18_HMEC_0.01	0.00197269018928009
HMEC_4_G2_3G	Nax30_HMEC_0.01	0.0324610503201809
HMEC_4_G2_3G	Nax38_HMEC_0.01	0.0164467763644206
HMEC_4_G2_3G	Nax4_HMEC_0.01	0.00772613681431855
HMEC_4_G2_3G	Nax40_HMEC_0.01	NA
HMEC_4_G2_3G	Nax49_HMEC_0.01	0.0162068145167645
HMEC_4_G2_3G	Nax50_HMEC_0.01	NA
HMEC_4_G2_3G	Nax56_HMEC_0.01	NA
HMEC_4_G2_3G	S1-17_HMEC_0.01	0.017549442864021
HMEC_4_G2_3G	S14-51_HMEC_0.01	0.018027738428595
HMEC_4_G2_3G	Sal102_HMEC_0.01	NA
HMEC_4_G2_3G	Sal22_HMEC_0.01	NA
HMEC_4_G2_3G	Sal27_HMEC_0.01	NA
HMEC_4_G2_3G	Sal45_HMEC_0.01	0.0519759578165073
HMEC_4_G2_3G	Sal46_HMEC_0.01	0.0117566029863982
HMEC_4_G2_3G	Sal58_HMEC_0.01	0.02609280300282
HMEC_4_G2_3G	Sal66_HMEC_0.01	0.00485284454642473
HMEC_4_G2_3G	Sal74_HMEC_0.01	0.0189970317917841
HMEC_4_G2_3G	Sal78_HMEC_0.01	0.00711513242603101
HMEC_4_G2_3G	Sal87_HMEC_0.01	0.0288524365679909
HMEC_4_G2_4A	JF06_HMEC_0.01	0.00783142469557549
HMEC_4_G2_4A	JF12_HMEC_0.01	0.0488959949368066
HMEC_4_G2_4A	JF21_HMEC_0.01	0.00966584212935503
HMEC_4_G2_4A	JF27_HMEC_0.01	0.00778217185710134
HMEC_4_G2_4A	Nax10_HMEC_0.01	0.017342971565084
HMEC_4_G2_4A	Nax11_HMEC_0.01	0.0142573138725173
HMEC_4_G2_4A	Nax18_HMEC_0.01	0.00124863573955247
HMEC_4_G2_4A	Nax30_HMEC_0.01	0.0174878006160469
HMEC_4_G2_4A	Nax38_HMEC_0.01	0.00554842424821506
HMEC_4_G2_4A	Nax4_HMEC_0.01	0.0183305210579593
HMEC_4_G2_4A	Nax40_HMEC_0.01	NA
HMEC_4_G2_4A	Nax49_HMEC_0.01	0.00613703490944451
HMEC_4_G2_4A	Nax50_HMEC_0.01	0.00447224909483515
HMEC_4_G2_4A	Nax56_HMEC_0.01	0.0149687382729135
HMEC_4_G2_4A	S1-17_HMEC_0.01	0.00338085540310035
HMEC_4_G2_4A	S14-51_HMEC_0.01	0.00274041616972137
HMEC_4_G2_4A	Sal102_HMEC_0.01	0.000469785523453448
HMEC_4_G2_4A	Sal22_HMEC_0.01	0.0109353129917553
HMEC_4_G2_4A	Sal27_HMEC_0.01	0.0112209934208889
HMEC_4_G2_4A	Sal45_HMEC_0.01	0.00887225962227442
HMEC_4_G2_4A	Sal46_HMEC_0.01	0.00478237952977767
HMEC_4_G2_4A	Sal58_HMEC_0.01	0.0705951071917243
HMEC_4_G2_4A	Sal66_HMEC_0.01	0.0383608943510786
HMEC_4_G2_4A	Sal74_HMEC_0.01	0.00783843908841828
HMEC_4_G2_4A	Sal78_HMEC_0.01	0.00440760385458239
HMEC_4_G2_4A	Sal87_HMEC_0.01	0.0122585550545664
HMEC_4_G2_4B	JF06_HMEC_0.01	0.00782890620429944
HMEC_4_G2_4B	JF12_HMEC_0.01	0.0370103950063043
HMEC_4_G2_4B	JF21_HMEC_0.01	0.0268857072135658
HMEC_4_G2_4B	JF27_HMEC_0.01	0.00706263629366366
HMEC_4_G2_4B	Nax10_HMEC_0.01	0.0135001050172537
HMEC_4_G2_4B	Nax11_HMEC_0.01	0.00427984064615622
HMEC_4_G2_4B	Nax18_HMEC_0.01	0.0123337736987889
HMEC_4_G2_4B	Nax30_HMEC_0.01	0.0141166052615098
HMEC_4_G2_4B	Nax38_HMEC_0.01	0.00773540105559961
HMEC_4_G2_4B	Nax4_HMEC_0.01	0.0065964058880017
HMEC_4_G2_4B	Nax40_HMEC_0.01	0.0105445311360011
HMEC_4_G2_4B	Nax49_HMEC_0.01	0.00758710625113301
HMEC_4_G2_4B	Nax50_HMEC_0.01	0.0101794042107398
HMEC_4_G2_4B	Nax56_HMEC_0.01	0.012966344609005
HMEC_4_G2_4B	S1-17_HMEC_0.01	0.00902637711939905
HMEC_4_G2_4B	S14-51_HMEC_0.01	0.0116761433810931
HMEC_4_G2_4B	Sal102_HMEC_0.01	0.00701939958361841
HMEC_4_G2_4B	Sal22_HMEC_0.01	0.0102774617527323
HMEC_4_G2_4B	Sal27_HMEC_0.01	0.0339837834059508
HMEC_4_G2_4B	Sal45_HMEC_0.01	0.0131367130477516
HMEC_4_G2_4B	Sal46_HMEC_0.01	0.00987102197365453
HMEC_4_G2_4B	Sal58_HMEC_0.01	0.0183738935647332
HMEC_4_G2_4B	Sal66_HMEC_0.01	0.00609106523051323
HMEC_4_G2_4B	Sal74_HMEC_0.01	0.0178225842074515
HMEC_4_G2_4B	Sal78_HMEC_0.01	0.00437744460885087
HMEC_4_G2_4B	Sal87_HMEC_0.01	0.0384659744767064
HMEC_4_G2_4C	JF06_HMEC_0.01	0.00672295293892319
HMEC_4_G2_4C	JF12_HMEC_0.01	0.0349602684320882
HMEC_4_G2_4C	JF21_HMEC_0.01	0.147333527793426
HMEC_4_G2_4C	JF27_HMEC_0.01	0.0250206860459958
HMEC_4_G2_4C	Nax10_HMEC_0.01	0.00491995410303669
HMEC_4_G2_4C	Nax11_HMEC_0.01	NA
HMEC_4_G2_4C	Nax18_HMEC_0.01	0.00753717198903614
HMEC_4_G2_4C	Nax30_HMEC_0.01	0.00525801178344093
HMEC_4_G2_4C	Nax38_HMEC_0.01	0.0323375644612884
HMEC_4_G2_4C	Nax4_HMEC_0.01	0.0168296978440171
HMEC_4_G2_4C	Nax40_HMEC_0.01	NA
HMEC_4_G2_4C	Nax49_HMEC_0.01	0.00713381596256643
HMEC_4_G2_4C	Nax50_HMEC_0.01	0.0280563396556562
HMEC_4_G2_4C	Nax56_HMEC_0.01	NA
HMEC_4_G2_4C	S1-17_HMEC_0.01	0.0335046406363538
HMEC_4_G2_4C	S14-51_HMEC_0.01	0.012714838136973
HMEC_4_G2_4C	Sal102_HMEC_0.01	0.00329607064743564
HMEC_4_G2_4C	Sal22_HMEC_0.01	0.0544047055897932
HMEC_4_G2_4C	Sal27_HMEC_0.01	NA
HMEC_4_G2_4C	Sal45_HMEC_0.01	0.0279998181651563
HMEC_4_G2_4C	Sal46_HMEC_0.01	0.00968864774921158
HMEC_4_G2_4C	Sal58_HMEC_0.01	0.0457756535842178
HMEC_4_G2_4C	Sal66_HMEC_0.01	0.0116433233916317
HMEC_4_G2_4C	Sal74_HMEC_0.01	0.0200373520456145
HMEC_4_G2_4C	Sal78_HMEC_0.01	0.000724434885882363
HMEC_4_G2_4C	Sal87_HMEC_0.01	0.0263491290740723
HMEC_4_G2_4D	JF06_HMEC_0.01	0.0180490557014231
HMEC_4_G2_4D	JF12_HMEC_0.01	0.0483847456929923
HMEC_4_G2_4D	JF21_HMEC_0.01	0.0165941494595692
HMEC_4_G2_4D	JF27_HMEC_0.01	0.0064098299892516
HMEC_4_G2_4D	Nax10_HMEC_0.01	0.00709499173543859
