	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4B_1	HMEC_4_G2_4C_2	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_8_1	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.00576265143805957	0.00773603855889502	0.0198706944726606	0.0173094032370606	0.00951078207362029	0.00614644453629257	0.00443170847232139	0.0163970109594806	0.0179443661673746	0.00678042425533835	0.00225551994251281	0.016259892417024	0.0350318757835931	0.0309170301905702	0.0373897147916518	0.0186243254230524	0.00794815150167428	0.0158791726468884	0.00959590886143934	0.0030390690523736	0.00494752547390821	0.00855590398910672	0.0210929796881792	0.0111575568424882	0.00966820598998266	0.0201163127533249	0.00449641754068683	0.0303755467288682	0.00786949870019901	0.00694565774529119	0.0223809847740667	0.0249990531380552	0.0240994269617171	0.010932421401202	0.0178752528506096	0.0116604844746697	0.00760876559590399	0.0150969746725187	0.0126047019985057	0.0118173436058176	0.00926412028063886	0.0101439359986536	0.010352980339994	0.0037166363008516	0.0170731248919168	0.0100479429340572	0.0063062573561751	0.0248086544169536	0.0111910502907468	0.0357229600942697	0.0304172962594777
HMEC_4_1_2	0.00576265143805957	0	0.0133993928328414	0.0227090253178035	0.0194160786001838	0.0151949681648767	0.011881634614244	0.00285366635197422	0.0200118169654835	0.0132649591955033	0.00190914239133279	0.00801117558259782	0.0198465128805702	0.0340368856762419	0.0328370603005559	0.0364734715221602	0.0225664697769319	0.0122867312716193	0.0173530599039847	0.00806087789671281	0.0027241615613409	0.00117461433153648	0.0138612233794294	0.0238397104539194	0.00541434686206275	0.0125463659628422	0.0220279661164736	0.00294123929057265	0.0315738137856093	0.0102759214943719	0.0120917791856732	0.0251646233585506	0.0264316944814263	0.0262426662293268	0.00789966059591321	0.0232152394766469	0.0173577892051027	0.00710264584602713	0.0174785305920653	0.0144546205286953	0.00920911472748352	0.0138593797443525	0.0157409287325878	0.0138387488739527	0.00800676511068105	0.0163697189820761	0.0140417437847766	0.0106060302618602	0.0259973363915451	0.0161733874044632	0.0305042131086615	0.0331575155221358
HMEC_4_1_3	0.00773603855889502	0.0133993928328414	0	0.0202337910426343	0.0154449555292257	0.00424884032048029	0.0030551215311151	0.0120727022045249	0.0159082199390249	0.0241173820956724	0.0145158133995167	0.0055173563954582	0.015847952934753	0.0359511116570114	0.0318079872057862	0.0381137963754451	0.0171544678234485	0.008711601408228	0.0187299513737515	0.0141514517049379	0.0107023684611789	0.0124384892670651	0.00610548742513425	0.0177115890382928	0.0188122188357784	0.012172920745827	0.0218336265247775	0.0113961690931235	0.0322829293503058	0.0117258937144515	0.0029011225874301	0.0225639346434145	0.0232187524206702	0.0251080217766633	0.0180440599032215	0.0103988638256089	0.00396785047654143	0.013999499171892	0.0168745629955919	0.012237670031483	0.0167421599574637	0.00871145996265567	0.00534502306348526	0.0116432285424211	0.00801257633005355	0.0190739324632579	0.0105070783646195	0.00824783481871282	0.0233910483237256	0.0087171315035259	0.0421517097670983	0.0263971679863529
HMEC_4_2_1	0.0198706944726606	0.0227090253178035	0.0202337910426343	0	0.0354324824904695	0.0164724997447605	0.0175918882731036	0.0198696598265949	0.0044581849419704	0.0358000200765102	0.021834150552342	0.0193242227600084	0.00447228393208616	0.0547644655338175	0.011577951750434	0.0570814916487171	0.00501229667808445	0.0123141752210222	0.00673457046117785	0.0293545522395926	0.021255072421371	0.0228539436009175	0.0141302633698444	0.037936240471036	0.0257953954686684	0.0103238061412751	0.00374260657343083	0.0236060279039537	0.0124842185901878	0.0124899429300449	0.0225260328959465	0.0025111493011223	0.0432915655022711	0.00498309178121093	0.018808168270146	0.0273639870884931	0.0208441746620676	0.0160905796330109	0.00531503853660567	0.0314782106423912	0.03132908274833	0.0116707047053396	0.0154965884671523	0.00954556781860499	0.0161553485427456	0.0368914412169978	0.0101553124796786	0.0137168096532211	0.043361441832339	0.0117147765816764	0.0517912825444068	0.0464214729522915
HMEC_4_2_2	0.0173094032370606	0.0194160786001838	0.0154449555292257	0.0354324824904695	0	0.0196283727240773	0.0178530700473444	0.0205263487474143	0.0312299874104562	0.0209450549419468	0.0213178752031615	0.0167463673048715	0.0311540009703672	0.0212242597814116	0.0469622891384191	0.0231896376489911	0.0325932822255081	0.0232787057769107	0.0327880885732237	0.0126600970493891	0.0181875139571199	0.0183075327500135	0.021412166621823	0.00482764189419472	0.023041164359892	0.0261967979205617	0.0365665618203448	0.0165284973132201	0.0470346416549192	0.024867716413709	0.0129216835044623	0.0378355411289696	0.00787903477849644	0.0401703018837463	0.0271369467909065	0.0154050022172212	0.0166075313608978	0.0247400494573168	0.0314733743415731	0.00496337317833031	0.013909283275243	0.0237665248709775	0.020724006383886	0.0262389859423742	0.0204229064066415	0.00877146687955337	0.0253609418160255	0.0221752461317961	0.00795510013060217	0.0241455199759686	0.0368272482862437	0.0138221486435715
HMEC_4_2_3	0.00951078207362029	0.0151949681648767	0.00424884032048029	0.0164724997447605	0.0196283727240773	0	0.00341074122888037	0.0131839302210706	0.012049941418244	0.0271490507094793	0.015859586865431	0.00738747932802546	0.0120136233941827	0.040194753557112	0.0280026911577052	0.0423593640977555	0.0130408407789927	0.00634994831126799	0.0159598790588442	0.017652456537453	0.0125057188410157	0.0144539396626009	0.00292769662922784	0.0216070107975025	0.02048643140103	0.00988205790283954	0.018464893838193	0.0138522847227834	0.0287720150008667	0.0102306123835724	0.00708713189061214	0.0187016368392561	0.0273409077333009	0.021425310877252	0.0180477846335474	0.0118063760459466	0.00463462776951994	0.0136890982211221	0.0137526477494349	0.0164762519071075	0.0201936556034667	0.00562850501917479	0.00109888585006486	0.00884310733519427	0.00795233497369211	0.0231936179150064	0.00751243105054185	0.00674934077338101	0.0275551126881172	0.00476087661066041	0.0450883916608537	0.0299601533187147
HMEC_4_G2_3F_1	0.00614644453629257	0.011881634614244	0.0030551215311151	0.0175918882731036	0.0178530700473444	0.00341074122888037	0	0.0100549122564004	0.0133930705952908	0.0237495381847654	0.0126764238035075	0.00398224481465825	0.0133120186843787	0.037800696237578	0.029147767980436	0.0400324721875253	0.0149465905071938	0.00571492182150633	0.0157150189993501	0.0143857426036668	0.00917024439247811	0.0110931184319263	0.00365512956387023	0.020490087471552	0.017230192840274	0.0091287542462497	0.0189646657629187	0.0104438344425495	0.0294437113482256	0.00869867502522516	0.00493523895968763	0.0199889319441666	0.0257099833850261	0.0223838132360451	0.0154944637085892	0.0131591957257413	0.0061353624042894	0.0112886146526216	0.0139477348919386	0.0141290639853204	0.0168950079103974	0.00593060536459935	0.00420350790604127	0.00868289822383442	0.00527943291377373	0.0204046536516527	0.00762541204932724	0.0051958314352697	0.0257967971458281	0.00654636546743467	0.0416809756265254	0.0293279243617947
HMEC_4_G2_3F_2	0.00443170847232139	0.00285366635197422	0.0120727022045249	0.0198696598265949	0.0205263487474143	0.0131839302210706	0.0100549122564004	0	0.0171680193775315	0.0161043126944791	0.00270589395904378	0.00656081838994879	0.0170015872156004	0.0363799318337428	0.0301213610101263	0.0388002861367293	0.0197410652383825	0.00960162252467957	0.0146489914513495	0.0102765302334721	0.00233969389437804	0.00309307947196841	0.0115073783669678	0.0246823056659637	0.00741564267390356	0.00969332278948172	0.0192816505688374	0.00440737113475203	0.0289942472486933	0.00742278352055541	0.0113566128871334	0.0223324093440251	0.0278909970256976	0.0234781059392129	0.00675916986543617	0.0222990917669308	0.015926715846031	0.00461169386058651	0.0146579132812669	0.0156053407283929	0.0117759140354092	0.0112104429450268	0.0135956688077794	0.0110060308778598	0.0055085576942386	0.0185208398199977	0.0112636124448175	0.0079570090435842	0.0275544165768091	0.0136196391656003	0.0331754479603296	0.0340450645918031
HMEC_4_G2_3F_3	0.0163970109594806	0.0200118169654835	0.0159082199390249	0.0044581849419704	0.0312299874104562	0.012049941418244	0.0133930705952908	0.0171680193775315	0	0.0332679082629313	0.0194453637870948	0.015538179714509	0.000189781510348765	0.0509383632728164	0.0159559766044589	0.0532202343664985	0.00281061423602159	0.00851237646158328	0.00739846946002395	0.0259883558781691	0.0181965932293534	0.0199657266192519	0.00983179902651099	0.0335859483731105	0.0237856417599003	0.00752559736766198	0.00721396232952989	0.0204642122127121	0.0169187073533073	0.00982153125873724	0.0183135991739139	0.00666398898167205	0.0390657379372844	0.0094408515832269	0.0175735961437596	0.022937773218257	0.0163884204291172	0.0140808435816093	0.00472710374073311	0.0274427467039688	0.0281290731684621	0.0075691748682136	0.0110567516555584	0.00619736814486852	0.0127260390760002	0.0331932791039563	0.00635938642210185	0.0100950021537027	0.0391766860540916	0.00728975922568768	0.0499627790417769	0.0419974835699164
HMEC_4_G2_3G_3	0.0179443661673746	0.0132649591955033	0.0241173820956724	0.0358000200765102	0.0209450549419468	0.0271490507094793	0.0237495381847654	0.0161043126944791	0.0332679082629313	0	0.0139713439128127	0.019829353298952	0.0331013164310051	0.0258348629701605	0.0453163784468417	0.0282335522291725	0.0358245155127443	0.0254296086226686	0.0299948568897168	0.0103606701895856	0.0153621989319586	0.0134363376372592	0.02649841538242	0.0256876664837475	0.0105524169125107	0.0257810123782716	0.0347365878250773	0.0134485107006322	0.0435273240148018	0.0234949021119557	0.0217245022625925	0.0382082994179017	0.0247633097625087	0.0389788198914597	0.0182795011235252	0.0317381966144567	0.0278637985581862	0.0197688971615933	0.0305085474170498	0.0173862702182095	0.00791442533101825	0.0269410294217954	0.0279269829365547	0.0271013500362412	0.021045385090636	0.0129522168730269	0.0272726020310508	0.0237296207354	0.0238504476187015	0.0290816017027925	0.018042833526969	0.0336078789148901
