	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2
HMEC_4_1_1	0	0.0216677540234469	0.00512849198906894	0.00792110171575812	0.0265421695256209	0.0122470470613366	0.0130662150904452	0.0120799715041622	0.0184889697888596	0.00889652639090127	0.0823869588152669	0.0189648208702385	0.0198270482979098	0.013980936779301	0.264833980367354	0.0136896270674009	0.00404634845475186	0.0585451173243644	0.108562678110295	0.0695042201996276	0.00802292500399785	0.024427256858234	0.00878214611453473	0.00891699525446835	0.00827585170835129	0.00913670570604104	0.0124741934397122	0.00607110493498663	0.00957118782612531	0.00480351269438012	0.0206592930806462	0.0124363134983866	0.00909312532318449	0.0185323175255059	0.0179911989378949	0.0131309541475674	0.0198436957819834	0.0141687197805263	0.011978673345826	0.0105079569656898	0.00509126022904958	0.0164359126306569	0.0111555496829314	0.0152742822782937	0.0280476549769423	0.0104954360025067	0.0230164630390073	0.00815244539325513	0.00814570765960795	0.0052734492402745	0.020326678346168	0.01317161069621	0.0122158943407924	0.00402239647891308	0.00683090122557153	0.0157127362130465	0.0165708678682723	0.0274178322861669	0.0229092814358996	0.0292307483439071	0.0140735262894373	0.0336397612784977	0.0250241272595014	0.0202630120315063	0.0687649764299656	0.0565937363333595
HMEC_4_1_2	0.0216677540234469	0	0.0232822832408564	0.0234609921608233	0.00971661923178546	0.0147648745384489	0.0161451290226479	0.0302866876188174	0.0147240278681669	0.0204070291528024	0.0627146367014762	0.00983829174776049	0.00786942944532417	0.00883180551519175	0.26959638834193	0.0103491111330904	0.0238719565486996	0.0391079940678445	0.0887200822472799	0.0500923813117507	0.0256170089632819	0.0426841515044388	0.0267775823167148	0.0239693788476485	0.015211899189013	0.024216495132135	0.0331593639667976	0.0192582385320913	0.0173510527626982	0.0230637809292418	0.0365640583177904	0.0307790105802691	0.0198939741342201	0.0364384402116223	0.0360068186386699	0.0318139096808773	0.0403171565020778	0.0135761051482494	0.010785945980989	0.0264771348298634	0.0184000638222944	0.0069035842469993	0.0275232735454939	0.00895141297683422	0.00906450793219227	0.0227094246778948	0.0407094763136151	0.0288822823420487	0.0160631114717493	0.0261643853634289	0.0075021779575944	0.0139632285338679	0.0105179651517654	0.0252571348380716	0.0211759286467246	0.0311432028232094	0.0331698554038133	0.0458231563564829	0.0416354195496261	0.0103794785642797	0.02112709976573	0.0511076663248651	0.00397322502728235	0.0399942074841158	0.0485349566452308	0.0368592157364097
HMEC_4_1_3	0.00512849198906894	0.0232822832408564	0	0.00441961913984017	0.0295100569295781	0.011920382529266	0.0163201995897139	0.0101515519971739	0.0227701499283099	0.0100226692115434	0.0845635731226362	0.0211481445691393	0.0227521041156627	0.0162732588459834	0.263175937128793	0.0166998157046156	0.00571907436400362	0.0613770187861314	0.111205914239969	0.0723214966644088	0.00367836628219218	0.0221027665117008	0.00951634058364552	0.0100525156390819	0.00863841726557156	0.00907585947337243	0.0111391458074996	0.00650559201370335	0.0114447182982827	0.00739465425814475	0.0191852525756598	0.0130667192638481	0.0105789945244929	0.0157586222316095	0.0176655768273468	0.0116342581431057	0.0183031774394003	0.0170762809436283	0.0145092099801011	0.0121381448742431	0.00832849470680976	0.0180005460084409	0.011175583058067	0.0164700947392584	0.0306198547872581	0.00903103466603692	0.0211161197270881	0.00718299713653659	0.00845683750816525	0.00625151555431635	0.0227930203522221	0.0158418129201683	0.0142777025479789	0.00450396104029537	0.00856370954652283	0.0146284054790108	0.0160557035584727	0.0253180827007283	0.020516191732612	0.0319236176018233	0.0141718684695228	0.0313291824012508	0.0267014928993509	0.0188595461350452	0.0705387495144522	0.0590723639583226
HMEC_4_2_1	0.00792110171575812	0.0234609921608233	0.00441961913984017	0	0.0304867526334316	0.0100398400160377	0.0161222508396923	0.00795405643135368	0.0239060658738854	0.0115011275512877	0.085674607793904	0.0218752804990564	0.0238717658372585	0.0174132318929241	0.259756689387333	0.0177389578216061	0.00823689800568671	0.0616361654463572	0.111860728903154	0.0726966262986476	0.00293416965055158	0.0200133222302884	0.0110737851700784	0.00815425445545907	0.00925376862440104	0.00640666418896604	0.0111289682252827	0.00693218617238685	0.0100301062603741	0.00820448614829907	0.0161621982730078	0.0119625257312738	0.0106257796620559	0.0148552207492824	0.0160980171218297	0.0102211666277585	0.0177513471993017	0.0187250276068076	0.0152649168011515	0.0115544551282005	0.00880454365673349	0.0185489112296096	0.00977793333916801	0.0178055278609272	0.0306825016110376	0.00654704550934089	0.0191749313390586	0.00773292953891086	0.00766790134262603	0.00794988323657563	0.0239470517407344	0.0155859332134586	0.0155674058539213	0.00702825800915733	0.00789767839891532	0.0120648220424379	0.0142163426457108	0.0233360483617069	0.0186935408917297	0.0325292088601622	0.0111592405167718	0.0289692184507024	0.0265064480978688	0.0176955923355545	0.0702921722720821	0.0598722239579714
HMEC_4_2_2	0.0265421695256209	0.00971661923178546	0.0295100569295781	0.0304867526334316	0	0.022831756734602	0.0198773650348789	0.0365801963207445	0.0128132080189335	0.0257012331362899	0.0568015335280119	0.0135844023492739	0.00757299643201652	0.0139276523380049	0.275117595120586	0.0140522115146762	0.0288720396752825	0.0328820712888693	0.0823327107774895	0.0437979215760446	0.0323314821181516	0.0491821173232767	0.0316505612413212	0.0294888437478673	0.0220762016853701	0.0303521928343722	0.038620293842722	0.0255076765801367	0.0232138402844581	0.0280116242612676	0.0429180779195008	0.0356620561318652	0.0254386006661104	0.0430119862680954	0.0413396956709596	0.037830297419864	0.0458499049695844	0.0164376292098359	0.0160248557748971	0.0312736752037262	0.0235433090995068	0.0138118349449606	0.0332139338135832	0.0150596954362666	0.00635497398865173	0.0297817681269358	0.0470341074548308	0.0343477749775503	0.0230895389677522	0.0311782624546767	0.00926730551264024	0.0187239626809733	0.0160047736171044	0.0304494180912865	0.026749509695404	0.0374434035623315	0.0388741592009718	0.052162368067157	0.048057289647463	0.00382304537738528	0.027963033202114	0.0577673448862639	0.00942318905377448	0.0456467113707148	0.0453853116145364	0.030782771382653
HMEC_4_2_3	0.0122470470613366	0.0147648745384489	0.011920382529266	0.0100398400160377	0.022831756734602	0	0.0112486886956228	0.0164861720493845	0.0186324544955231	0.0120399419541464	0.0773728705223111	0.0146432249348276	0.0172977711391232	0.0111449073272893	0.260879381146766	0.0117243426453689	0.0135983566349785	0.0524657286516601	0.102886428871486	0.0635598456207247	0.0127998903763812	0.0283088462018768	0.0162644749900633	0.0116275507512767	0.00620568118881078	0.0108912990055998	0.0204311954759481	0.0080898102769892	0.00674484433600289	0.0122340625432728	0.0224771071606961	0.0185777169689541	0.00998781838027404	0.0228817815325872	0.0227150498947273	0.0182011067779352	0.0269490247522026	0.0141977602553687	0.00915364138584291	0.0150438491253723	0.00882954763192555	0.0108501217947291	0.0146854813701482	0.0123472183674285	0.0218365106507409	0.00897534204924454	0.0265285147039757	0.0165728989716407	0.00413301980049795	0.0149382419646801	0.0167709492955837	0.00941307861708969	0.0101053534070996	0.0142649699932806	0.00953371652401549	0.0172902996621938	0.019838205762588	0.0314512793888599	0.0274084760898741	0.0242635888013728	0.00827039397336245	0.036534158024231	0.0172472945446785	0.0263266592294946	0.0606847990316987	0.0511274228327621
HMEC_4_G2_3F_1	0.0130662150904452	0.0161451290226479	0.0163201995897139	0.0161222508396923	0.0198773650348789	0.0112486886956228	0	0.0198135726095555	0.0103788410170032	0.0111548416118189	0.0759460064715977	0.0115253294605387	0.0157323299114036	0.010462756900362	0.26399903678519	0.00795870904628907	0.0136566693339484	0.0485946803373081	0.0998324571057655	0.0595998091659325	0.0182192205592508	0.0314411174401907	0.0149980580937804	0.012608373503188	0.0109194912542091	0.0135296662228652	0.0223614212965187	0.0105911191771755	0.00827858829027281	0.0111918963443119	0.0252991880740671	0.0189769606602675	0.0082655933885931	0.0255440863456981	0.0222446428206423	0.0198507352455591	0.0285039294352547	0.0096317052287312	0.00752664524002346	0.0121638412191714	0.00862635969868617	0.0117420426508721	0.0144216990742293	0.0157512113257519	0.0197674242033065	0.0130583737567318	0.0281613089669855	0.018372133753267	0.0103386892313985	0.0152103628984743	0.0142861308083222	0.00286434117971888	0.0103452194844294	0.0155578131028402	0.00916428500066408	0.0185075455240233	0.0195507215200228	0.0339279706586521	0.0306680749209025	0.0221787068606297	0.010773639639725	0.0394420448867514	0.0180850680048923	0.0277351790841148	0.0586931236402787	0.0483472311288024
HMEC_4_G2_3F_2	0.0120799715041622	0.0302866876188174	0.0101515519971739	0.00795405643135368	0.0365801963207445	0.0164861720493845	0.0198135726095555	0	0.0281200572643098	0.0163371443068992	0.0926144665350569	0.0280772518488699	0.0299336985142898	0.024012543299998	0.25574598294449	0.0236024001846899	0.0112843010381713	0.0673647463382785	0.118101360585659	0.0785121984206265	0.00735547705623617	0.0127596569977982	0.012299247129369	0.00817424328815575	0.0164056191167876	0.006844110724932	0.00563141795189538	0.0128144354767464	0.0140876499812084	0.0104157532237324	0.00921780132973872	0.00662485560933486	0.0147484076963655	0.0115007451842046	0.00946254130261173	0.00491418587469458	0.0107318348457226	0.0244319206508209	0.0213986962347784	0.0106955185065993	0.0132934213726877	0.0254436379667706	0.00829801789602049	0.0251045873839916	0.0365547212303827	0.0104334043828413	0.0128053768540671	0.00555675396965389	0.0143521944649321	0.00869347236104304	0.0304565798564277	0.0202820287421177	0.0222907229444296	0.00917747881189411	0.011007655127522	0.0081442632623781	0.00940803709749219	0.0159738778812331	0.0115025365530899	0.038683806798599	0.013643840679466	0.0218715238745648	0.0330367587018995	0.0101129365329576	0.0764942223250982	0.0663914546801931
HMEC_4_G2_3F_3	0.0184889697888596	0.0147240278681669	0.0227701499283099	0.0239060658738854	0.0128132080189335	0.0186324544955231	0.0103788410170032	0.0281200572643098	0	0.0179994028574414	0.0683847405287333	0.011740849727728	0.0104796191395395	0.0110853233010283	0.270803440932254	0.00851421362033297	0.0201760407629557	0.0419419426550249	0.092396204129407	0.0528126179480521	0.0255294444135124	0.0401715596683866	0.0222616661431175	0.0206729841284196	0.0169632886333739	0.0220643988144153	0.0295390755389195	0.0182816187165648	0.0158909093133878	0.0186586990034517	0.0341244266712715	0.0260417353581694	0.0170292772052829	0.034397556079071	0.0309421750797803	0.0285723139045985	0.0361733246133332	0.0103830805107226	0.010718862552386	0.0209120405681162	0.0153111777959998	0.0131351020935204	0.0236657668275994	0.0157329957473281	0.0149067409620438	0.0225092243102647	0.0374556786442872	0.0255099496333061	0.0174228331782498	0.022047916567178	0.0110399269209141	0.0109869133673933	0.0123456019295225	0.0219684994866601	0.0179112957589312	0.0282415451179345	0.0288897943303366	0.0427289921201694	0.0391443806923672	0.0158200118096522	0.020747936059686	0.0485366532583307	0.016188172175538	0.0358385775947577	0.0545474066745739	0.04141474295585
HMEC_4_G2_3G_2	0.00889652639090127	0.0204070291528024	0.0100226692115434	0.0115011275512877	0.0257012331362899	0.0120399419541464	0.0111548416118189	0.0163371443068992	0.0179994028574414	0	0.0803879053183229	0.0143346854869471	0.02069678507407	0.012275005905736	0.266258002807994	0.0118511072743272	0.00695646056446664	0.0557439955704153	0.105923036543487	0.0663646094923296	0.0124935934592154	0.0276421314193128	0.00718132378488756	0.0133801736727365	0.00753193610334492	0.0129555991111988	0.0176107544642909	0.00530175061418073	0.0121880800996954	0.00782127298644721	0.0242143263206056	0.0182932092604503	0.00426035726997605	0.0181987745423137	0.0197976976454088	0.015154193175744	0.0236848496104306	0.0100281433743214	0.0103471439860178	0.0104269545361821	0.00882888314457193	0.0137005300204965	0.0110798697228762	0.0157925592483931	0.0270718365672249	0.0089487782921421	0.0238132625325411	0.0134022438183743	0.00941941671479908	0.00987191173391402	0.0174556365813058	0.0104525640618511	0.0105050707648463	0.00987683877622814	0.00779844767964079	0.015776054640359	0.016681237488225	0.0301983233572494	0.0265099389445331	0.028479320657964	0.0131186288202062	0.0361123994122802	0.023634038436891	0.0237710723793294	0.0642130400237945	0.0535949401281164
