	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3E_2	HMEC_4_G2_3E_3	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_3G_2	HMEC_4_G2_3G_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_2	HMEC_4_G2_4C_3	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_2	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_2	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3	HMEC_STAT_G2_3B_1	HMEC_STAT_G2_3B_2	HMEC_STAT_G2_3B_3	HMEC_STAT_G2_3C_1	HMEC_STAT_G2_3C_2	HMEC_STAT_G2_3C_3
HMEC_4_1_1	0	0.0115976088923954	0.0394951517875555	0.0134905453447581	0.00956533709932508	0.0114907648009138	0.0250825569882328	0.0679868724594914	0.00627305179949037	0.010804130546392	0.0627341917096402	0.0284897576730809	0.061090444634754	0.041944331991179	0.0476469994759288	0.0236383098842048	0.0806745551924717	0.0446224970722099	0.0353844547991374	0.014037824137833	0.0127790550743589	0.0588553549147923	0.0888568498530312	0.0400070100679685	0.0158048042209467	0.0374152404156036	0.0378780053757991	0.00387173553140409	0.0381891097228231	0.0285421997431626	0.0399563679277406	0.0210771809866958	0.0422012185374072	0.0451615561780394	0.0500610215634997	0.0198669580449866	0.0158951844798025	0.0321805158138594	0.0306427421324997	0.0188517878125043	0.0137054544180526	0.0252106179891851	0.0235276428078464	0.00322600686505663	0.0437536727182515	0.0366300630191006	0.012769427159391	0.0148857865219989	0.0361501073401977	0.028639519568114	0.0151999827039354	0.0551095053573202	0.0197829112996473	0.023665418274681	0.0209478913786197	0.0356744746748215	0.0238158481483463	0.0219221295588726	0.00965448381763634	0.0556624498218335	0.0226560408589561	0.0315188599608027	0.0218823314823497	0.0166752698442089	0.0583223037962621	0.0382766480418063	0.0170623419538493	0.0459851655305594	0.0374026260788696	0.0571748356522857
HMEC_4_1_2	0.0115976088923954	0	0.0477099637510122	0.0235809638470899	0.017376691738048	0.0214025724321153	0.0236852099329724	0.0768263140446104	0.0101266949628541	0.0111161925005342	0.0718666731281391	0.0374338051218205	0.0686084209912577	0.0499870792069481	0.0507544280422275	0.0124600034323261	0.0896299813801571	0.0526099488048483	0.0437179727026275	0.0212333952174238	0.0230055210926707	0.0661372211462025	0.0969077656725339	0.04798237386697	0.00603704669700709	0.0447511103851186	0.0482535484345797	0.0153740749093017	0.0469857200157208	0.0387683468882773	0.0497641619782932	0.0316388739184153	0.0504482272192297	0.0535136291417235	0.0597082245097604	0.0249229613225303	0.0243859676844587	0.0397970195645918	0.0399769712667491	0.0276701179759476	0.0214821970085135	0.014424254201404	0.0328810770515753	0.0142720071205225	0.0531501672285264	0.0457311035122371	0.024123227676079	0.0260832261808682	0.0461763542099536	0.0359675965626478	0.009214524174707	0.0633020765969048	0.0286523407769072	0.0327568640757901	0.0234966856998586	0.0415558550010836	0.0323124178138832	0.0307207739432729	0.0122659991350111	0.0644726196980648	0.0143643273401313	0.0409977400758561	0.0326224253695766	0.0272557047504741	0.0660046473889281	0.0463482997213828	0.0281166040980841	0.0564189689122008	0.0464286707593849	0.0670853474558061
HMEC_4_1_3	0.0394951517875555	0.0477099637510122	0	0.026349745882063	0.0306459760276203	0.0281117453822765	0.0345556195882588	0.0292656552478468	0.037686632172303	0.037231388730315	0.0246679261329751	0.0112661091924661	0.0217671820063473	0.00254905305741463	0.0242770342756628	0.0596529309317924	0.0421156573591847	0.00519104994207248	0.00411734707996861	0.0265044097449621	0.0271216207579039	0.0197896328169892	0.0494673450568647	0.00131977307896135	0.0475174907048573	0.00500887354619913	0.0137978299423115	0.0364287795918614	0.00333223516324405	0.0149240602424811	0.00980191705457431	0.0210435857245357	0.00274156040150051	0.00581615814111282	0.0148198302068822	0.0238469314405467	0.0237150291898822	0.00815699891312067	0.0101408780879629	0.0206494488059686	0.0263693459711896	0.0546486032091381	0.0163572512499095	0.0395555576445175	0.00871250744881434	0.00543327888110491	0.0298355697654605	0.0277157769352884	0.011093401151994	0.0120189456386493	0.0428621129993418	0.0156693167410912	0.0197194704322231	0.0159876156178903	0.027726097353023	0.0115735194680973	0.0156966221305524	0.0175832265859371	0.035608366994315	0.0169863009470364	0.0614491594497229	0.00996525215030099	0.021227277765267	0.0243764604010797	0.0189206626714317	0.00149563026112872	0.0256700857861535	0.017375135321168	0.00477300697371669	0.0223449752133645
HMEC_4_2_1	0.0134905453447581	0.0235809638470899	0.026349745882063	0	0.00706313111111256	0.0021827863305923	0.0241601840703735	0.0545408251951376	0.0137835515218715	0.0158467984795198	0.0492615530160717	0.0151605952842791	0.0480893168594926	0.0288543896643006	0.0385137149792613	0.0360357566029301	0.0672178955816343	0.0315288806179761	0.0222389517671116	0.00679249434630458	0.000778359735631125	0.0459909896095416	0.075569678315786	0.0269804805875172	0.0255926392784908	0.0248635440689518	0.0247032961127859	0.0101283623043796	0.0248159006004097	0.0152362533893313	0.0265128408242189	0.00811702538811181	0.0290094200905899	0.0318999809264852	0.0366036757339535	0.0125292297461918	0.00467022919836722	0.019602772144885	0.017175013702232	0.00615357252282194	0.0056617201081959	0.0346015174457508	0.0101097843303288	0.0132161089265548	0.0302696972135442	0.0231842364533249	0.0054690531593546	0.00510933585700027	0.0227662261191252	0.0165189419788643	0.0224348002293182	0.0418521077409593	0.00689974567233578	0.0103673735142726	0.016631147313986	0.0244734871101713	0.0109487527220426	0.00891823222643639	0.0136671647636739	0.0422302730640136	0.0360760554751425	0.0180333542365579	0.00921893716971858	0.00391485940360542	0.0452607709475552	0.0252246553505219	0.00579649912681023	0.0328709656795218	0.0239702105249486	0.0437943350497812
HMEC_4_2_2	0.00956533709932508	0.017376691738048	0.0306459760276203	0.00706313111111256	0	0.00508327902278714	0.0188499811070344	0.0596102501156002	0.00725926857727539	0.00878433041218185	0.0545679341656472	0.0200889818785979	0.05199712505558	0.0330154250400882	0.0383135670519866	0.0297287117249382	0.0724025973885172	0.0356777367510719	0.0265825787763407	0.00448268703320627	0.00678118673784251	0.0496706979050139	0.0800555214802058	0.031035277490327	0.0187034983819358	0.0281643322051501	0.0311486179602976	0.00802045273193514	0.0297083148515154	0.0216588425947426	0.0324294807176826	0.0150272796272629	0.0333822116723114	0.03641439501105	0.0423518941888193	0.0105036040596557	0.00702980759865018	0.0229996681635695	0.0226068245776134	0.0102996684288821	0.0043070747879421	0.027580947195208	0.0155192900090549	0.0110079588237534	0.0357896609030873	0.0283871898622364	0.0105003523166698	0.0113916187391545	0.028910416004334	0.0193231519115741	0.0153751505124681	0.0463060423261403	0.0112819060099415	0.0153846742623172	0.0126556148978741	0.0261275965171784	0.0150386481068839	0.0133673856586246	0.00660620321052363	0.0472401864259836	0.0308258959356399	0.0236325635143895	0.0162082678494489	0.0109755955147632	0.0492869980503873	0.0293445878727366	0.0126926499845865	0.0393082025688907	0.0290985513119022	0.0497585814567016
HMEC_4_2_3	0.0114907648009138	0.0214025724321153	0.0281117453822765	0.0021827863305923	0.00508327902278714	0	0.0230186385682924	0.0565131702635106	0.0116103255369827	0.0138248934225162	0.0512760001315961	0.0170176272884594	0.0498044631749702	0.0305921346485435	0.0390976793987977	0.0338578414280654	0.0692173891085035	0.03327136932121	0.0239953676434917	0.00595244833408301	0.00172178802386639	0.0476491245745505	0.0774327639733314	0.0286859505041736	0.0234471283115286	0.0263669140184713	0.0268730039382023	0.00833617700822989	0.0267119363497407	0.0173965536550035	0.028615143538191	0.0102942557465449	0.0307981425589442	0.0337288637901302	0.0386876364887687	0.0122552923588402	0.00519381103595851	0.0210962146175332	0.0191622612619284	0.00756810341166378	0.00488676425771143	0.0325044693332387	0.0120381309147514	0.0115095480723582	0.0323071306687457	0.0251436825686252	0.00597141910425692	0.00641110745215663	0.0248991063171401	0.0178137087301682	0.0203932239307353	0.043684422538652	0.00843724687734526	0.0121943593825676	0.0158616360656699	0.0255213783682041	0.012521053655532	0.0105492908789703	0.0116394392861365	0.044181751673276	0.0339980108256887	0.0200595629122094	0.0113753526895883	0.00602519224521545	0.0470000161284959	0.0269393108662675	0.00760986364160051	0.0350422560607416	0.0259158341546994	0.0459150648246062
HMEC_4_G2_3E_1	0.0250825569882328	0.0236852099329724	0.0345556195882588	0.0241601840703735	0.0188499811070344	0.0230186385682924	0	0.0626507116651821	0.01891337315669	0.0145802480820699	0.0587616512819091	0.0285137171114276	0.0518202273242883	0.0360644579645328	0.0285579344540694	0.0315613955215853	0.0752362262477553	0.0382094757785006	0.0315898233895136	0.0173770468433028	0.0243226377385522	0.04902003790743	0.0801633398882892	0.0341947495322264	0.0195525826494897	0.0300196367095876	0.0417409423897119	0.025757587245718	0.0354844760079421	0.033570463945405	0.0409078897366023	0.0298795073784464	0.0369636388639194	0.0398951859930442	0.04910961361034	0.0133321841970317	0.0205055771861468	0.0267835789425599	0.031501287394205	0.0224611930439212	0.0185053494720785	0.0226758129541866	0.0266827551632832	0.0278856281270759	0.0424858267100115	0.0353183842894026	0.0289660604461508	0.0292406276994749	0.038671980521241	0.0233833846807245	0.014701983395918	0.0483510554086756	0.0230368438239722	0.0258593088611	0.00823920287016953	0.0244074463226707	0.0239956132585949	0.0238981624586546	0.0154308354312673	0.050984304870523	0.0372462331269627	0.0327181737591089	0.0312423474105924	0.0273585503927897	0.0497170761349394	0.0330648625372084	0.0297543212056722	0.0490755683654134	0.0356722750981246	0.0567554910808224
HMEC_4_G2_3E_2	0.0679868724594914	0.0768263140446104	0.0292656552478468	0.0545408251951376	0.0596102501156002	0.0565131702635106	0.0626507116651821	0	0.0667578099335832	0.0664649266389278	0.00582607592155593	0.0395999612347534	0.0134554228445103	0.0271788640977215	0.0421313312221273	0.0888394472895996	0.0128564298024303	0.024725444000455	0.0331702909736028	0.0556290707942821	0.0552756527300169	0.0161246715663227	0.0220781852915127	0.0291833379125162	0.0767381754186138	0.0329955675651101	0.032293179505136	0.064618814651023	0.029925129919881	0.0402242183069629	0.0287470413589883	0.0477130852829911	0.0265525943149126	0.0234631253809933	0.019003224076256	0.0530278806461349	0.0525991166544965	0.0373795771226736	0.0373783187076166	0.0493879732100432	0.0554033483406048	0.0836756570986379	0.0444867790736666	0.0675845808746471	0.0244512027697	0.0313858095166634	0.0569276902796765	0.0546373919022858	0.0327632266066315	0.0412554892310694	0.0720559083626145	0.0143242929541306	0.0484173609575828	0.0444010620097459	0.0565913279881007	0.0382753770060474	0.0445896095081066	0.0462936563938962	0.0648171496348711	0.0123829217492072	0.0903122873149126	0.0365487882120454	0.0473561057581976	0.0518067108885926	0.0140858291100007	0.030693511947449	0.0523702911744187	0.0261701770262846	0.0306215835331926	0.0147648468742755
HMEC_4_G2_3E_3	0.00627305179949037	0.0101266949628541	0.037686632172303	0.0137835515218715	0.00725926857727539	0.0116103255369827	0.01891337315669	0.0667578099335832	0	0.00453502743302899	0.0617671413251549	0.0273126211590092	0.0588019258381315	0.0400028999099939	0.0429039646587104	0.0224770563023803	0.0795610391431738	0.0426448896593896	0.03366390488482	0.0111894454347781	0.0132945275675233	0.0563949995934653	0.0870068053870995	0.0380057448142065	0.0119324494671561	0.0349167343790361	0.0383101652804688	0.00816373026341176	0.0368847452912576	0.0288125908120296	0.0396810112173312	0.021899296233429	0.0404266157568322	0.0434812302279053	0.0496037295245066	0.0156702577585262	0.0142607502955484	0.0298644560308694	0.0298604536645605	0.0175469090963832	0.0113721820185768	0.0212112358718259	0.0227769238675291	0.00933633830717288	0.0430339224525658	0.0356124144451143	0.0154557637724423	0.0170616414405159	0.036138051295902	0.0260804877630301	0.00976660368695894	0.0533190272694017	0.0185293047785245	0.0226362272321606	0.0156110917171775	0.0322048389502053	0.0222042961359802	0.0205969071435925	0.00360290278726486	0.054393770564436	0.0238749258018475	0.0308894255311764	0.0229798979496365	0.0176126418243526	0.0561469312241613	0.0363470540750827	0.0188459942660649	0.0464773126785456	0.0363128716027399	0.0570070834081182
HMEC_4_G2_3F_1	0.010804130546392	0.0111161925005342	0.037231388730315	0.0158467984795198	0.00878433041218185	0.0138248934225162	0.0145802480820699	0.0664649266389278	0.00453502743302899	0	0.0616980340734781	0.0275796654857391	0.0577512941140654	0.039408125616981	0.0399213498711577	0.0224648829512657	0.0792951992835868	0.0419855628686287	0.0333520462572284	0.0112938651118852	0.015540315552198	0.0552265597213461	0.0861640548501661	0.0373951179489973	0.0104248904749367	0.0339640023514923	0.0394793052932181	0.0124384186170999	0.0368286246317105	0.030067261837734	0.0403333935987455	0.0237530910930731	0.0399549518502957	0.0430407146166442	0.0500040250320107	0.0138967012896821	0.0149541132832324	0.0291703194424333	0.0303449409832346	0.0181942265276206	0.0118950918607066	0.0188753695620775	0.0235294543370579	0.0138614487094963	0.0433179617745882	0.0357940428424176	0.018670281213313	0.0199331622546281	0.0370353279285694	0.0252983988900069	0.00659597295901035	0.0526933380652827	0.0191457146507284	0.023191975297951	0.0125046637336626	0.0304894116165846	0.0223399335416205	0.021033979843428	0.00218586370520757	0.0541538749875259	0.0254750024632647	0.0314584313980714	0.0249624863526014	0.0197588451666049	0.0552026377945659	0.0358207150749876	0.0214136646038256	0.0475819312072398	0.0364278514782551	0.0575523144570837
