	HMEC_4_1_1	HMEC_4_1_2	HMEC_4_1_3	HMEC_4_2_1	HMEC_4_2_2	HMEC_4_2_3	HMEC_4_G2_3E_1	HMEC_4_G2_3F_1	HMEC_4_G2_3F_2	HMEC_4_G2_3F_3	HMEC_4_G2_4A_1	HMEC_4_G2_4A_2	HMEC_4_G2_4A_3	HMEC_4_G2_4B_1	HMEC_4_G2_4B_2	HMEC_4_G2_4B_3	HMEC_4_G2_4C_1	HMEC_4_G2_4C_3	HMEC_4_G2_4D_1	HMEC_4_G2_4D_2	HMEC_4_G2_4D_3	HMEC_5_1_1	HMEC_5_1_2	HMEC_5_1_3	HMEC_5_2_1	HMEC_5_2_3	HMEC_5_3_1	HMEC_5_3_3	HMEC_5_4_1	HMEC_5_4_2	HMEC_5_4_3	HMEC_5_5_1	HMEC_5_5_2	HMEC_5_5_3	HMEC_5_6_1	HMEC_5_6_2	HMEC_5_6_3	HMEC_5_7_2	HMEC_5_7_3	HMEC_5_8_1	HMEC_5_8_2	HMEC_5_8_3	HMEC_5_9_1	HMEC_5_9_2	HMEC_5_9_3	HMEC_Root1_1	HMEC_Root1_2	HMEC_Root1_3	HMEC_Root2_1	HMEC_Root2_2	HMEC_Root2_3	HMEC_STAT_2_1	HMEC_STAT_2_2	HMEC_STAT_2_3	HMEC_STAT_3_1	HMEC_STAT_3_2	HMEC_STAT_3_3	HMEC_STAT_4_1	HMEC_STAT_4_2	HMEC_STAT_4_3
HMEC_4_1_1	0	0.0344970371791076	0.0149181891554412	0.0264703037407838	0.0516936737489159	0.0477979920498176	0.0636257837355437	0.0121064382082468	0.0338586866533578	0.0263717263341258	0.0202178512534162	0.0271584048615437	0.0367920856638491	0.0255066283125888	0.0213554890648145	0.0459255942076554	0.0871473491613324	0.0425124990810488	0.0634866983273855	0.0234113823454969	0.0285818729191362	0.014272249449127	0.0176918774573686	0.0183424003722166	0.0148948789243847	0.0397937745018656	0.00840690980878084	0.00881051923766502	0.0180826229884042	0.023600443829571	0.0136129660368381	0.00853092502116929	0.0101993849709323	0.0136083438623048	0.0249719909370552	0.0131295778828265	0.0175200198479549	0.00754153464271106	0.0141598459098638	0.0137462046526065	0.0171971448523159	0.0320916817158772	0.0281555848402065	0.0409902439190198	0.051764768595915	0.00988938054333212	0.0327115037165798	0.0172689700682452	0.0118173714145264	0.013859321482775	0.0170434121839997	0.0143503329604218	0.0303594226693145	0.0137055260063989	0.0363848591211702	0.0367365950549624	0.0243791516353383	0.0334852311388175	0.010040697583569	0.0227858909060383
HMEC_4_1_2	0.0344970371791076	0	0.0272364631341498	0.0110363067021287	0.0176741072458244	0.0150224202574836	0.05807678737226	0.0329209222780873	0.0102224954009383	0.0153814509242348	0.0211739259814174	0.0197173002927525	0.010146065545545	0.0255371716703991	0.0495112961967722	0.0224135047500363	0.060434948474526	0.0762611936285087	0.0942306353707568	0.0486412939301728	0.00959965141095327	0.0250064826743975	0.0199067669214504	0.020433099268627	0.022741393109929	0.0115930040196979	0.0286542982972556	0.0326070792938091	0.017815960612078	0.0228030313785236	0.0219277555352752	0.0338159304465196	0.0252969653099609	0.0266383902065982	0.0108387077101608	0.0233834554442858	0.0194964615191519	0.0378271131582017	0.0259259049229131	0.0369722218539538	0.0464496443209155	0.00447379784191799	0.0108723902191722	0.0123157800906909	0.0214229536447224	0.0258197827656052	0.010552049090466	0.0281885457971873	0.024053907467828	0.0248568544536163	0.0218839719939215	0.0339302584248017	0.0119348369569876	0.0215361529674696	0.00504719216466751	0.0197663196231032	0.0195200738894139	0.00709696190144243	0.0276546563490432	0.0130541587156853
HMEC_4_1_3	0.0149181891554412	0.0272364631341498	0	0.019416736149038	0.044529829304914	0.0390636658015341	0.0651769245649175	0.0106109250714349	0.0235329964027028	0.0177558729350468	0.0112958178811379	0.0135486862265064	0.0329429362853634	0.0126785934426723	0.0240325967900686	0.0442379892899734	0.0850339384036244	0.0514275901220653	0.0671902567265434	0.0227555740849579	0.023563750459442	0.00475462340415707	0.00997942590334126	0.0161681582799703	0.00903980184789548	0.0345399183469829	0.00926531744354592	0.0102467931151504	0.0142074085686222	0.010348969808823	0.00898666446982081	0.0123666677731479	0.0109775694213827	0.0101013015455614	0.0192749124523906	0.00774305522966706	0.0141893665783277	0.0144913908539965	0.0117968257247387	0.0124671447279507	0.0221228826139472	0.0246078292732462	0.0190977060504981	0.0305905000102005	0.046198087312889	0.0120472536144152	0.0254894312926264	0.0149994370239718	0.0143130309198864	0.0105792311328598	0.0203888325929484	0.0111167355417352	0.0197953336214052	0.0102256648170129	0.0308683518529191	0.024144577038356	0.0253936925636528	0.0235521563122052	0.00993695790983862	0.0169272277718535
HMEC_4_2_1	0.0264703037407838	0.0110363067021287	0.019416736149038	0	0.0273942693524808	0.025306567999295	0.0571145216618406	0.022959299055336	0.0129368558588594	0.014218966170449	0.011579670770684	0.0163288729371749	0.0146660907607189	0.019168063856803	0.0409923411516297	0.0262439232187114	0.0662782830309176	0.0670001952616712	0.0857525339126007	0.0394814427380226	0.00990017917370978	0.0173305971998003	0.012098769243266	0.0103709172553894	0.0137570830959105	0.0152941301050181	0.0195377442150268	0.0230410845110477	0.0117883300675447	0.014985958129177	0.0140072036532991	0.0240764279159969	0.0174646921533788	0.0163951667958108	0.00862342710527744	0.0143601468375989	0.01343790146441	0.0286013739207054	0.0163372998608273	0.0271001529054071	0.0374113610839986	0.00697909097706378	0.00668850903723962	0.0154108705149004	0.0303519797611888	0.016993813428749	0.00791633108033478	0.018594388643813	0.0162416404580698	0.0174755585692097	0.0156675186958822	0.0245017081879858	0.0119675599966768	0.0136447578507962	0.0138215105614706	0.0223757435373984	0.0186971592498809	0.00976033189419558	0.0182323412852988	0.00969772654733271
HMEC_4_2_2	0.0516936737489159	0.0176741072458244	0.044529829304914	0.0273942693524808	0	0.0105003171644798	0.0588263627733261	0.0501633728618112	0.0242079384501581	0.0316939408108122	0.0381017935415388	0.0352316795546596	0.0175948516173043	0.0415726755672422	0.0670912193483586	0.0207069201966301	0.0471588087401223	0.0935677404351734	0.111504552071121	0.0659464388359158	0.0240283181939805	0.0421328484804223	0.0374885504070962	0.0365986229743068	0.0402544741439713	0.0168878711121032	0.0459048386159355	0.0498764732567667	0.034428188478155	0.0386449395785782	0.0391937324423913	0.051046306025236	0.0422823004423193	0.043646343706552	0.0272114996043164	0.040765086203212	0.0357744057407024	0.0552543205436508	0.0431499970098272	0.0541440804896537	0.0640129031606146	0.0208353314867671	0.0274601524490875	0.0191777233872725	0.0111633089845458	0.0430294996099343	0.0240791430752629	0.0449822669403293	0.0406755465462288	0.0424057775638054	0.0373195021248025	0.0512975074701094	0.0274919474218248	0.0390985947967918	0.0156595785211467	0.0307782369880338	0.0324249214016158	0.0217622586063748	0.0447330297613119	0.0304832063786562
HMEC_4_2_3	0.0477979920498176	0.0150224202574836	0.0390636658015341	0.025306567999295	0.0105003171644798	0	0.0610757646401893	0.0464417618241915	0.0190617790588334	0.0263741607224818	0.0346634721703546	0.0283870926331196	0.0203207860288428	0.0361989438667284	0.0620303411591517	0.0275763354684146	0.0569716128766682	0.089411975889252	0.105254578230232	0.0609859906675077	0.0214797272767824	0.0369344785132814	0.033381982794662	0.0348324327999581	0.0365645710557856	0.0208361910636927	0.0421045178292476	0.0460030278727437	0.0304958924758134	0.0335127539224539	0.0349870149269195	0.0475260543854226	0.0383883294235869	0.0404646101165347	0.0234764414073716	0.0368365093451918	0.0317459261200357	0.0512735116803201	0.0402086719213704	0.0499995264804572	0.0597452451600519	0.0188187294097817	0.0240214705314375	0.0171611584489591	0.0148768715302103	0.0399477963186035	0.0236908526652105	0.0424967667982267	0.0376723621226638	0.0383536178207934	0.0357406726976594	0.0472218538402019	0.0220184192161836	0.0353126324953046	0.0155233023227463	0.0217492063930481	0.0300428800150321	0.0173044900090217	0.0412059026866587	0.0265958755936413
HMEC_4_G2_3E_1	0.0636257837355437	0.05807678737226	0.0651769245649175	0.0571145216618406	0.0588263627733261	0.0610757646401893	0	0.0657853977908373	0.0663715254854527	0.0684789343295699	0.0643037430157783	0.0669578678291082	0.0530913161690072	0.0726314144224161	0.082393347600395	0.0470953029708155	0.0621904955253628	0.0923709567539708	0.113407489965961	0.0809210640119699	0.050957867307969	0.0606823240508687	0.0645454167550518	0.0553007735703449	0.0637359523328516	0.0568914312327907	0.0606252724858798	0.0632176124497897	0.0544886495246275	0.061906269980039	0.0584696743875874	0.0638040462962782	0.0574511423069254	0.0608743263399963	0.0541099405993356	0.0603508057382152	0.0533648438841101	0.0671246640885224	0.0648862336085378	0.0672991622564402	0.078111490635918	0.0581010435721041	0.0632332669108665	0.0618759982915644	0.0502302482450144	0.0606635965935138	0.0614735145113675	0.0681469190518823	0.0556871499433957	0.0674775064489687	0.0537323508583073	0.0706067733400118	0.0663425008214579	0.0619474328672582	0.0562312917282718	0.0687545672234604	0.0494500304037396	0.0604685940507966	0.0591591846629116	0.0623314947494433
HMEC_4_G2_3F_1	0.0121064382082468	0.0329209222780873	0.0106109250714349	0.022959299055336	0.0501633728618112	0.0464417618241915	0.0657853977908373	0	0.0302526638505271	0.0245996505324695	0.0132462827291635	0.022625359617392	0.0362070609035027	0.0180133757012654	0.0197223381062757	0.0461911490449722	0.0869585330725692	0.0447690847828347	0.0636238452254729	0.0178536280347073	0.0286084596296163	0.0122431326064829	0.0143275020261157	0.0157043811967766	0.0108227666550696	0.0373243483902529	0.00752216499971202	0.00417494228273555	0.0191303219726714	0.0165303743328002	0.0133684993012971	0.0043653958174838	0.012982520151543	0.00697186802439257	0.0249670154899409	0.0103201554112839	0.0189818574854466	0.00780447986354404	0.00898423323433994	0.00485182333095205	0.0156789835431322	0.0294571466011457	0.0241135777928715	0.035812053637065	0.0520027815767131	0.0105953811734125	0.0284317423242557	0.0104713568441684	0.0149513934610507	0.0126367128620448	0.0207068037457363	0.00515994427295868	0.0268486100257506	0.0132077643627719	0.0357827400533194	0.0337800885306839	0.0292775408270653	0.0299124459364833	0.00808024956180644	0.0222921086132142
HMEC_4_G2_3F_2	0.0338586866533578	0.0102224954009383	0.0235329964027028	0.0129368558588594	0.0242079384501581	0.0190617790588334	0.0663715254854527	0.0302526638505271	0	0.00975739199400759	0.0176789993923348	0.0130075612400382	0.0194912711646895	0.0179042142599945	0.0447987070000593	0.0320108601545065	0.0689455544769617	0.0737560674511277	0.0894608219178348	0.0435362187852832	0.0167284033301993	0.0230312122703879	0.0168143231625753	0.0221443719354614	0.0203560079786939	0.0186194492578816	0.0277202245474444	0.0308485176017982	0.0198858660605916	0.0189282562021458	0.0215918237421714	0.0322256994163926	0.0257369045300222	0.0252567767393778	0.0150982504503287	0.0221295541722297	0.021661613896571	0.0357797357042357	0.0237956924437203	0.0339369778970797	0.0426599616647389	0.00964495617719628	0.00740762589086342	0.0117883302196326	0.0299616125394588	0.0255946144269683	0.0115891778165307	0.0252884425172423	0.0257231573431222	0.0218541230929845	0.0257378646864462	0.0298874042518551	0.00389974717137533	0.020415737158595	0.0148423742912168	0.0135416493610584	0.025799665366205	0.00623516045568733	0.0271036198133442	0.0125295797324128
HMEC_4_G2_3F_3	0.0263717263341258	0.0153814509242348	0.0177558729350468	0.014218966170449	0.0316939408108122	0.0263741607224818	0.0684789343295699	0.0245996505324695	0.00975739199400759	0	0.014256729463906	0.0115301350196508	0.0230349647987709	0.0143638815773588	0.0370824297850194	0.0357733861206735	0.0748979142042257	0.0660715490503631	0.0822394744122299	0.0370631707694537	0.0179902939753252	0.0178607022151661	0.0106538381222807	0.0194087473278811	0.014482166963621	0.0238771874113942	0.0217868201575528	0.024882929185138	0.0162010035094261	0.0178581098267125	0.0163179615973907	0.0261301071606339	0.0199767729319071	0.0206830838092129	0.0144195795423401	0.0168330482359161	0.0180333294937503	0.0288008823177233	0.0180190918918272	0.0283621796695832	0.0350540513005174	0.0143438079420342	0.00908174464625291	0.020936110218781	0.0358788365578607	0.019385632542514	0.0157521664845955	0.0198964107092702	0.0204080179569883	0.013909853195915	0.0212735759721678	0.0236237680523911	0.00671530970771705	0.0138978946866664	0.0190430021438371	0.0163535723236366	0.0229151083069567	0.0134400064243173	0.0217761065109034	0.00725431341677253
