	OM4_B_B_1	OM4_B_B_2	OM4_B_B_3	OM4_C_1A_1	OM4_C_1A_2	OM4_C_1A_3	OM4_C_1D_1	OM4_C_1D_2	OM4_C_1D_3	OM4_C_1E_1	OM4_C_1E_2	OM4_C_1E_3	OM4_C_1G_1	OM4_C_1G_3	OM4_C_2A_1	OM4_C_2A_2	OM4_C_2A_3	OM4_C_2B_2	OM4_C_2B_3	OM4_C_2C_1	OM4_C_2C_2	OM4_C_2C_3	OM4_C_2G_1	OM4_C_2G_3	OM4_C_3A_1	OM4_C_3A_2	OM4_C_3A_3	OM4_C_3C_1	OM4_C_3C_2	OM4_C_3C_3	OM4_C_3D_1	OM4_C_3D_2	OM4_C_3D_3	OM4_C_3E_2	OM4_C_3E_3	OM4_C_3F_1	OM4_C_3F_3	OM4_C_3H_1	OM4_C_3H_2	OM4_C_3H_3
OM4_B_B_1	0	0.00266282096403429	0.010942988447758	0.0164773306804656	0.0191261622074676	0.0068351864382227	0.0238886861901303	0.0238857546360692	0.0335958517517597	0.0370141950964062	0.0378060875093022	0.042356621099984	0.00869092047810269	0.024536300133723	0.017576981810303	0.0131814259979996	0.0144413540831175	0.00919112298988379	0.0370069746541976	0.0055161793142474	0.0108349547097478	0.0277580937255863	0.0259860944135587	0.0390096092390836	0.0138114775373217	0.0277309569887251	0.0167721833464931	0.012092925620556	0.0189545230551428	0.044656244056759	0.0398263723313651	0.0313014077053767	0.0338176203475778	0.0184843959043179	0.033655263524661	0.0236871109450493	0.0463376459201517	0.041795678800487	0.0363057705326293	0.0511426027921497
OM4_B_B_2	0.00266282096403429	0	0.00994520828565224	0.0146942188636699	0.0170285071240893	0.00945684007273833	0.0256156956286182	0.0259844029746168	0.0355899581039277	0.0388333332858692	0.0395794118302073	0.0444137030332582	0.0110395238076291	0.0260809688473402	0.0150804966805921	0.0110780017575039	0.0149324266065968	0.0105169840425484	0.0387144622404248	0.00756721124342195	0.0127795352171595	0.0300295551903976	0.0276515980520936	0.0413368583611863	0.0115009672325749	0.0264192071733043	0.0185257672070691	0.0117055350312255	0.0195153035122673	0.0464074646597345	0.0412317575565556	0.0321193162444263	0.0356561368874289	0.020773296820132	0.0357061219974977	0.0259548035556806	0.0481199217363233	0.0435283554628091	0.0380216032499026	0.0530910087984961
OM4_B_B_3	0.010942988447758	0.00994520828565224	0	0.0221190475941731	0.0231383083151609	0.0144782359340012	0.0219910102754693	0.0242542623447652	0.0326597902277891	0.0348784950697942	0.0353811616611691	0.041515924433028	0.0135691120445467	0.0215984120714509	0.0190454681781534	0.0179159536644181	0.00816225591029437	0.00889319186628239	0.0342454724357788	0.0163557894467588	0.0126369202455455	0.0290845408855875	0.0235737899491881	0.040277224539116	0.00782186367649092	0.034447227970849	0.015958046966895	0.00302494863116113	0.012134601999635	0.0419097015817468	0.035438786176567	0.0246725550930981	0.0319233026585149	0.0207928672602844	0.0330845850885152	0.0252842278283578	0.043724805989626	0.0390209734013933	0.0336156173378959	0.0494055015963817
OM4_C_1A_1	0.0164773306804656	0.0146942188636699	0.0221190475941731	0	0.00382961821705415	0.0225398263064961	0.0402744427365559	0.0403245944032971	0.0500558007881101	0.0534488952832669	0.0542186547784896	0.0587854825407243	0.0250329801218458	0.0407676457549321	0.00763393298352057	0.00422755827026659	0.0290496223139915	0.025205946687261	0.053378255879784	0.017175069920012	0.0272991301759251	0.0440134130077007	0.0423276442338255	0.0550986129798887	0.0177946946635654	0.0123470574918606	0.0331695906735188	0.0248071120274124	0.0335733957148673	0.0610530815017575	0.0558720702547072	0.0463011414135471	0.0502608066700001	0.0347759946564697	0.0500991191194203	0.0399712830396181	0.0627508988190383	0.0581822811245278	0.0526831877166584	0.0675916067505412
OM4_C_1A_2	0.0191261622074676	0.0170285071240893	0.0231383083151609	0.00382961821705415	0	0.0255345013892617	0.0425679917729844	0.04297025115812	0.0526013849748472	0.0558031688046272	0.0565224868831325	0.0614073008336541	0.0278035247176794	0.0428956989712601	0.00554994871694133	0.00595769475318952	0.0305984351423028	0.0273777067539679	0.0556137041684746	0.0205184797178677	0.0298008250757287	0.0468586910134747	0.0445567751381407	0.0580521801100683	0.017660033547277	0.0124622741169641	0.0355156529099743	0.0260061190989545	0.03501397423543	0.0633215603501564	0.0577818741534711	0.0477074740510044	0.0526399323731674	0.0375927288906646	0.0527072696637568	0.042794669439832	0.065052218469155	0.0604349128195946	0.0549290606469204	0.0700849865146242
OM4_C_1A_3	0.0068351864382227	0.00945684007273833	0.0144782359340012	0.0225398263064961	0.0255345013892617	0	0.0191703034217239	0.0181390687396828	0.027967516317767	0.0317820667711972	0.0326792894343884	0.036507111877507	0.00327125430749304	0.020303445599709	0.0243748348976465	0.0196779483449554	0.0140147598758721	0.0077170463693769	0.0320555959855479	0.00624789065860781	0.00663544590995982	0.0215157301816969	0.0213680260725148	0.0325838072114232	0.0196109186158807	0.0328333777353842	0.0123728837052527	0.0141782777865406	0.0178001762201014	0.0395177181853881	0.0356047881758418	0.0287955232406593	0.0285770491656934	0.0123419083603398	0.0278868152810887	0.017500526506896	0.0411111797281233	0.0367277849327467	0.0313425537616067	0.0454978188167426
OM4_C_1D_1	0.0238886861901303	0.0256156956286182	0.0219910102754693	0.0402744427365559	0.0425679917729844	0.0191703034217239	0	0.00501493976119305	0.0106784228028885	0.0132621438484334	0.0139731331787304	0.0195386729385389	0.0159968253457487	0.00224336534638558	0.0397732416634525	0.0366543763432978	0.0140675719012068	0.0152105537291306	0.0131245329260327	0.0254070407197797	0.013109338871627	0.00938837846226033	0.00220787515026273	0.0190998472162812	0.0298096981363102	0.051531096563602	0.0071181741240721	0.0191583089524981	0.012007500700313	0.0208043516850292	0.0164853477400941	0.0129804528722917	0.0101318682676782	0.00884556813542588	0.0111641961204928	0.0077357016057823	0.0225194762984172	0.0179276807439388	0.0124247708905138	0.0277078769662151
OM4_C_1D_2	0.0238857546360692	0.0259844029746168	0.0242542623447652	0.0403245944032971	0.04297025115812	0.0181390687396828	0.00501493976119305	0	0.0098308427557396	0.013847664967368	0.0148424100021629	0.0184828571026854	0.0153250310975749	0.00724253099730773	0.0407678840718942	0.0370179532687495	0.01697676082689	0.0162665473318598	0.0144696993080224	0.0242935689128897	0.013235361678907	0.00500846974849284	0.00627600051037175	0.0160338989001607	0.031949309633272	0.0509573031868238	0.00829939252853991	0.0216938628830965	0.0159820948724416	0.0215777433272544	0.0191624043480579	0.0178400395588477	0.0107012821368074	0.00600129894010107	0.00978902138932964	0.00276971366403237	0.0230945202864999	0.018886129835237	0.0137646724119334	0.0273814309175807
OM4_C_1D_3	0.0335958517517597	0.0355899581039277	0.0326597902277891	0.0500558007881101	0.0526013849748472	0.027967516317767	0.0106784228028885	0.0098308427557396	0	0.00477057649703499	0.00594256465935464	0.00891650913280659	0.0251207705415064	0.0114736876175808	0.050135143280055	0.0466543203834972	0.0247283867691683	0.0254921528339268	0.00634228683960297	0.0341134506595425	0.022819898799205	0.00794789040479792	0.0093598300432653	0.0098394984288146	0.0404742470616041	0.0607732451465277	0.0172531363530353	0.0298329807985853	0.0222598697095315	0.0120756522461455	0.0123601085797171	0.0177310645320319	0.00292624149096013	0.0157505098764205	0.00113990224632221	0.0110041063318395	0.0134430026822065	0.00965296976330527	0.00583584511793526	0.017574132026513
OM4_C_1E_1	0.0370141950964062	0.0388333332858692	0.0348784950697942	0.0534488952832669	0.0558031688046272	0.0317820667711972	0.0132621438484334	0.013847664967368	0.00477057649703499	0	0.00117879982032371	0.00762688585265038	0.0287830823838135	0.013288646000109	0.0529978583462216	0.049884110232346	0.026754337154359	0.0284689369070363	0.0021244098589028	0.0379998461970266	0.0261851743984188	0.0126808828615267	0.0113819413309887	0.0123350765083551	0.0426609035325408	0.0644877442523329	0.0203148108847109	0.0319353996875217	0.0236216328399854	0.00774719240385747	0.00811169768503578	0.0163740251945755	0.00321017791748787	0.0198479346504631	0.00563386002012849	0.01544265940943	0.00934789474006389	0.00505509413436437	0.00209414830784934	0.0145421212144631
OM4_C_1E_2	0.0378060875093022	0.0395794118302073	0.0353811616611691	0.0542186547784896	0.0565224868831325	0.0326792894343884	0.0139731331787304	0.0148424100021629	0.00594256465935464	0.00117879982032371	0	0.00787776690401457	0.0296481114157905	0.0138352875714104	0.0536334785570515	0.0506149863037691	0.0272360992873588	0.0291707151904636	0.00150463199660454	0.0389078970543558	0.026985429231619	0.0138338121640176	0.0120096081294739	0.0132402706975673	0.0431406300582985	0.0653354230671037	0.021067691540857	0.0324175770146889	0.0239605966219289	0.00686167449003894	0.00708222127815716	0.0160984156648782	0.00414268216583035	0.0208361473055276	0.0068123652641901	0.0165196513554907	0.00854815611352948	0.00405701029769635	0.00187740714928486	0.0140717374740932
OM4_C_1E_3	0.042356621099984	0.0444137030332582	0.041515924433028	0.0587854825407243	0.0614073008336541	0.036507111877507	0.0195386729385389	0.0184828571026854	0.00891650913280659	0.00762688585265038	0.00787776690401457	0	0.0337909402347469	0.0200986416617373	0.0590235756184177	0.0554602884390173	0.0335207927157968	0.0343936146242247	0.00938115574425129	0.0425464601658284	0.0316441024293683	0.0153075263312	0.0180300461819937	0.00819449195824128	0.049329048317017	0.0692627261605403	0.0261602305949719	0.0386577641272767	0.0307702110245305	0.00764756890740013	0.0139647392133731	0.0239544576454466	0.00985326493826072	0.0241764939848718	0.00871440921393578	0.0191027110246584	0.00778437254697006	0.00753958342412304	0.00962987058515911	0.00922035964343162
OM4_C_1G_1	0.00869092047810269	0.0110395238076291	0.0135691120445467	0.0250329801218458	0.0278035247176794	0.00327125430749304	0.0159968253457487	0.0153250310975749	0.0251207705415064	0.0287830823838135	0.0296481114157905	0.0337909402347469	0	0.0170629742566267	0.0261107825366094	0.0218674251529365	0.0114613384258959	0.00541408829476866	0.0289732706597896	0.00943043185901552	0.00340939523633015	0.0190708613565755	0.0181841683637349	0.0303314398460413	0.0197520217929141	0.0357393087672535	0.00911814640243146	0.0126154461925518	0.0148971238831115	0.0365012683509119	0.0323906367400723	0.0255665374271	0.0255739981565536	0.00979573003580707	0.0251119145609355	0.0150009543092297	0.0381252317800452	0.03368592681959	0.0282619459355799	0.0426844381189302
OM4_C_1G_3	0.024536300133723	0.0260809688473402	0.0215984120714509	0.0407676457549321	0.0428956989712601	0.020303445599709	0.00224336534638558	0.00724253099730773	0.0114736876175808	0.013288646000109	0.0138352875714104	0.0200986416617373	0.0170629742566267	0	0.0398455957196941	0.0370294385152322	0.0134916220912174	0.0155720661363823	0.0127926276278406	0.026486648131555	0.0139567584609424	0.0114076867639425	0.00211789654531142	0.0204913205699157	0.0293937739263529	0.0522493020319949	0.00795541673357444	0.0186677029813479	0.0107905967985248	0.0205235649649251	0.0153675661420223	0.0107678249528389	0.0103520870472162	0.0108064137276763	0.0121379205997928	0.00997593834963355	0.0223006544124484	0.0176219154308325	0.0121287925514677	0.0278280670043814
